cod_calle;nombre_calle;cod_tipovia;nombre_tipo_via;
2305;VIAR JUAN;CL;CALLE
2310;CONCEPCION;CL;CALLE
1750;DIEZ CALIXTO;CL;CALLE
1760;LEGUINA CALIXTO;CL;CALLE
1895;DEUSTU CANAL DE;CL;CALLE
1910;CANARIAS ISLAS;CL;CALLE
1920;CANTABRIA;CL;CALLE
1930;CANTALOJAS;CL;CALLE
1940;CANTARRANAS;CL;CALLE
1950;CANTERA;CL;CALLE
1710;CACERES;CL;CALLE
1720;CADAGUA;CL;CALLE
1605;BRAILLE LUIS;CL;CALLE
1650;BUENOS AIRES;CL;CALLE
1660;BURGOS;CL;CALLE
1670;BUTRON;CL;CALLE
1580;ZALBIDE DAVID BOMBERO;CL;CALLE
1615;BROUARD SANTIAGO;CL;CALLE
1620;BUEN PASTOR;CL;CALLE
2895;DONOSTIA-SAN SEBASTIAN;CL;CALLE
2900;DOS DE MAYO;CL;CALLE
2905;DURANGO;CL;CALLE
2520;CRUZ DE LA;CL;CALLE
2530;MEDINA DE POMAR;CL;CALLE
2870;LANDIN FELIX DOCTOR;CL;CALLE
2880;CARMELO GIL DOCTORES;CL;CALLE
3000;ELCANO;CL;CALLE
3040;ELEXABARRI;CL;CALLE
2924;ECHAVE ALFREDO DE;CL;CALLE
2970;EGAÑA;CL;CALLE
2980;EGILEOR;CL;CALLE
3055;ELIZALDE;CL;CALLE
3063;ELLACURIA IGNACIO;CL;CALLE
3090;ENCARNACION;CL;CALLE
2220;CIUDADELA;CL;CALLE
3110;ENDERIKA;CL;CALLE
3160;IBARRETA ENRIQUE;CL;CALLE
3170;AGUIRRE DOMINGO DE;CL;CALLE
3180;GUEZALA ANTONIO PINTOR;CL;CALLE
3200;EPALZA;CL;CALLE
3205;EPETXA;CL;CALLE
3210;ERCILLA;CL;CALLE
3225;ERDIKOETXE;CL;CALLE
2550;SORKUNDE;CL;CALLE
2575;ARENAZA CUEVA;CL;CALLE
2590;TXAKOLIN;CL;CALLE
2595;ATEGORRI TXAKOLINDEGIA;CL;CALLE
2650;REGOYOS DARIO DE;CL;CALLE
2670;DEPRIT LASA AMADEO;CL;CALLE
2350;MIRASOL CONDE;CL;CALLE
2370;PICASSO PABLO;CL;CALLE
2400;CORDELERIA;CL;CALLE
2715;ELIZONDO;CL;CALLE
2720;DIPUTACION;CL;CALLE
2740;DIQUE;CL;CALLE
2750;LARRAKOTORRE;CL;CALLE
2760;URKIOLA;CL;CALLE
2780;ACHUCARRO DOCTOR;CL;CALLE
2790;ALBERCA DOCTOR;CL;CALLE
2800;IRUÑA;CL;CALLE
2830;DIAZ EMPARANZA DOCTOR;CL;CALLE
2840;ENTRECANALES DOCTOR;CL;CALLE
2850;BENITA ASAS;CL;CALLE
2420;CORREO;CL;CALLE
2430;CORTES;CL;CALLE
2460;ECHEVARRIETA COSME;CL;CALLE
2470;COSTA;CL;CALLE
2480;CRISTO DEL;CL;CALLE
