CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
3;OTXARKOAGA-TXURDINAGA    ;21;HOMBRES;719
3;OTXARKOAGA-TXURDINAGA    ;21;MUJERES;812
3;OTXARKOAGA-TXURDINAGA    ;22;HOMBRES;497
3;OTXARKOAGA-TXURDINAGA    ;22;MUJERES;528
3;OTXARKOAGA-TXURDINAGA    ;23;HOMBRES;805
3;OTXARKOAGA-TXURDINAGA    ;23;MUJERES;922
4;BEGOÑA                   ;02;HOMBRES;550
4;BEGOÑA                   ;02;MUJERES;681
4;BEGOÑA                   ;03;HOMBRES;716
4;BEGOÑA                   ;03;MUJERES;756
4;BEGOÑA                   ;05;HOMBRES;450
4;BEGOÑA                   ;05;MUJERES;483
4;BEGOÑA                   ;06;HOMBRES;557
4;BEGOÑA                   ;06;MUJERES;597
4;BEGOÑA                   ;08;HOMBRES;876
4;BEGOÑA                   ;08;MUJERES;983
4;BEGOÑA                   ;09;HOMBRES;560
4;BEGOÑA                   ;09;MUJERES;674
4;BEGOÑA                   ;10;HOMBRES;749
4;BEGOÑA                   ;10;MUJERES;948
4;BEGOÑA                   ;12;HOMBRES;656
4;BEGOÑA                   ;12;MUJERES;803
4;BEGOÑA                   ;13;HOMBRES;514
4;BEGOÑA                   ;13;MUJERES;602
4;BEGOÑA                   ;14;HOMBRES;735
4;BEGOÑA                   ;14;MUJERES;846
4;BEGOÑA                   ;15;HOMBRES;509
4;BEGOÑA                   ;15;MUJERES;563
4;BEGOÑA                   ;16;HOMBRES;361
4;BEGOÑA                   ;16;MUJERES;422
4;BEGOÑA                   ;17;HOMBRES;341
4;BEGOÑA                   ;17;MUJERES;385
4;BEGOÑA                   ;18;HOMBRES;371
4;BEGOÑA                   ;18;MUJERES;424
4;BEGOÑA                   ;19;HOMBRES;419
4;BEGOÑA                   ;19;MUJERES;462
4;BEGOÑA                   ;20;HOMBRES;367
4;BEGOÑA                   ;20;MUJERES;400
4;BEGOÑA                   ;21;HOMBRES;628
4;BEGOÑA                   ;21;MUJERES;693
4;BEGOÑA                   ;22;HOMBRES;642
4;BEGOÑA                   ;22;MUJERES;759
4;BEGOÑA                   ;24;HOMBRES;712
4;BEGOÑA                   ;24;MUJERES;872
4;BEGOÑA                   ;25;HOMBRES;510
4;BEGOÑA                   ;25;MUJERES;537
4;BEGOÑA                   ;26;HOMBRES;512
4;BEGOÑA                   ;26;MUJERES;571
4;BEGOÑA                   ;27;HOMBRES;403
4;BEGOÑA                   ;27;MUJERES;535
4;BEGOÑA                   ;28;HOMBRES;584
4;BEGOÑA                   ;28;MUJERES;647
4;BEGOÑA                   ;29;HOMBRES;858
4;BEGOÑA                   ;29;MUJERES;965
4;BEGOÑA                   ;30;HOMBRES;791
4;BEGOÑA                   ;30;MUJERES;853
4;BEGOÑA                   ;31;HOMBRES;340
4;BEGOÑA                   ;31;MUJERES;352
4;BEGOÑA                   ;32;HOMBRES;516
4;BEGOÑA                   ;32;MUJERES;561
4;BEGOÑA                   ;33;HOMBRES;671
