DISTRITO;SECCIÓN;HOMBRES;MUJERES;TOTAL
6;31;477;529;1006
6;32;287;344;631
6;33;445;539;984
6;34;460;560;1020
6;35;562;701;1263
6;36;495;621;1116
6;37;461;578;1039
6;38;432;523;955
6;39;592;773;1365
6;41;719;974;1693
6;42;538;670;1208
6;43;458;568;1026
6;44;436;549;985
6;45;444;642;1086
6;46;671;915;1586
7;1;424;544;968
7;2;321;402;723
7;3;541;665;1206
7;4;406;496;902
7;5;433;534;967
7;6;702;836;1538
7;7;305;364;669
7;8;629;781;1410
7;10;709;875;1584
7;12;473;607;1080
7;13;1033;1192;2225
7;14;324;419;743
7;15;451;459;910
7;16;605;709;1314
7;17;865;1003;1868
7;19;684;753;1437
7;21;615;652;1267
7;22;776;868;1644
7;23;754;798;1552
7;24;525;602;1127
7;26;689;750;1439
7;27;797;821;1618
7;28;485;475;960
7;29;562;604;1166
7;30;761;878;1639
7;31;293;338;631
7;32;606;690;1296
7;33;462;506;968
7;34;508;505;1013
7;35;928;927;1855
7;36;362;370;732
7;37;413;382;795
7;38;886;922;1808
7;39;435;369;804
7;40;529;526;1055
7;41;863;786;1649
7;42;822;839;1661
7;43;742;814;1556
8;1;631;677;1308
8;2;765;859;1624
8;3;586;614;1200
8;4;629;714;1343
8;5;585;610;1195
8;6;462;473;935
8;7;738;788;1526
8;8;937;977;1914
8;9;335;354;689
8;10;565;624;1189
8;12;595;614;1209
8;13;764;761;1525
8;14;618;622;1240
8;15;875;980;1855
8;16;896;952;1848
8;18;694;888;1582
8;19;713;896;1609
8;20;627;839;1466
8;21;497;589;1086
8;22;769;992;1761
8;23;534;628;1162
8;24;863;1055;1918
8;25;664;683;1347
;TOTALES;162692;182782;345474
