Codigo parada;Parada;Zona;Correspondencias
5105;Puente del Arenal;Puente de el Arenal;03,A1,A2,A7,28,30,40,56,58,71,72,75,77,85
5106;Ribera / Merkatua;Mercado de la Ribera;11,A2,22,40,56,58,72,75,77,85
5107;San Nicolás 4;Vda. Epalza-San Nicolas;A2,A5
5108;Sendeja (5);Sendeja-Tinglados;03,A1,A7A7RF,11,22,28,30,71,72,77
5109;Unamuno;Iturribide;A2,A5
5110;Viuda de Epalza 1 / San Nicolás;Vda. Epalza-San Nicolas;11,22,62,72,77
5111;Zumalacárregui / (T.Zubiria);Zumalacarregui-Grupo Panera;03,A1,30,40,62
5201;Amadeo Deprit 1;Bº Dolaretxe;40,48
5202;Fika 2;FIKA;A2
5203;Iturribide 53;FIKA;A2
5204;Prim 22 Bis;Prim;A2,A5
5205;Prim 36;Prim;A2,A5
5206;Prim 52;Prim;A5
5207;Prim 60;Prim;A5
5301;Fika 18;FIKA;A2
5302;Fika 22;;A2
5303;Fika 8;FIKA;A2
5304;Zabalbide (32);Zabalbide-Fica;A2
5305;Zabalbide 41;Zabalbide-Telefonica;40,48
5306;Zabalbide 7;Zabalbide-Fica;A2
5401;Atxuri (15) / Geltokia-Estación;Atxuri;77
5402;Atxuri (49);Atxuri;77
5403;Atxuri 15;Atxuri;40,77
5404;Atxuri 49;Atxuri;40,77
5405;Dieciséis de Agosto;Atxuri-Estacion;11,22,58,72,75,85
5406;Santos Juanes 4;Pl. Santos Juanes;77
5407;Santos Juanes 7;Pl. Santos Juanes;40,77
5501;Abusu / Ibaialde;Zamacola-Iglesia;40,50,56
5502;Abusu / Ibaieder;Zamacola-La Peña;40,50,56
5503;Abusu / Ibaizabal;Zamacola-Campa Ibaizabal;40,56
5504;Buia / (Bolintxubidea);Malmasin;50
5505;Buia / Bolintxubidea;Malmasin;50
5506;Buia Auzoa (153);Buia Goiti;50
5507;Buia Auzoa 153;Buia Goiti;50
5508;Buia Bekoa;Pl. Buia;50
