Codigo parada;Parada;Zona;Correspondencias
8506;Zazpilanda 7;Grupo Zazpi-Landa;18,85,88
8507;Zorrotzabaso (12);Mendigain-Siete Campas;18,85
8508;Zorrotza-Kastrexana / (Ciudad Jardín);Grupo Amistad;88
8509;Zorrotza-Kastrexana 25;Zorrotza-Kastrexana-Astillero;18,85,88
8510;Zorrotza-Kastrexana 4;Zorrotza-Kastrexana-Correos;18,85,88
8511;Zorrotza-Kastrexana 77;Grupo Amistad;88
8601;Altamira;Bº Altamira;2828RF,58,80
8602;Basurtu-Kastrexana / (Altamira);Bº Altamira-Entrada;28,58,80
8603;Kobeta Mendia / (Acc.Barrio);Masustegui-Caserio;58
8604;Kobeta Mendia 33;Monte Kobeta-La Cuadra;58
8605;Kobeta Mendia 34;Monte Kobeta-La Cuadra;58
8606;Kobeta Mendia 41 / (Mirador);Cº Monte Kobeta-Cervecera;58
8607;Kobetabidea (104);Cº Kobeta-Deposito Aguas;58
8608;Kobetabidea (16);Cº Kobeta-Cruce;58
8609;Kobetabidea (193) / Alto Kastrexana;CºKobeta-Pepsi;58
8610;Kobetabidea 104;Cº Kobeta-Deposito Aguas;58
8611;Kobetabidea 193 / Alto Kastrexana;CºKobeta-Pepsi;58
8612;Masustegi Estrata / (Eskailerak);Masustegui-Caserio;58
8613;Masustegi Estrata / (Eskola);Cº Kobeta-Escuelas;58
8614;Zorrotza-Kastrexana / (Sta.Águeda);Zorrotza-Kastrexana-Agueda;88
8615;Zorrotza-Kastrexana / Etxebarria;Zorrotza-Kastrexana-Acenor;88
8616;Zorrotza-Kastrexana / Pte.Diablo;Zorrotza-Kastrexana-Puente Diablo;88
8617;Zorrotza-Kastrexana / Sta.Águeda;Zorrotza-Kastrexana-Agueda;88
8618;Zorrotza-Kastrexana 185;Zorrotza-Kastrexana-Stop;88
8619;Zorrotza-Kastrexana 200;Zorrotza-Kastrexana-Batzoki;88
8620;Zubileta 74;;88
8621;Zorrotza-Kastresana/(Pte.Diablo);Zorrotza-Kastrexana-Puente Diablo;88
