Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
256/2300A/12001;Salaris del Grup A2;25.653,21;0,00;25.653,21;26.591,16;26.591,16;0,00;-937,95
256/2300A/12003;Salaris del Grup C1;28.142,48;0,00;28.142,48;34.535,43;34.535,43;0,00;-6.392,95
256/2300A/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;16.863,54;16.863,54;0,00;-106,38
256/2300A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;7.318,69;7.318,69;0,00;359,89
256/2300A/12006;Triennis;33.667,88;0,00;33.667,88;26.892,78;26.892,78;0,00;6.775,10
256/2300A/12100;Complement de destí;66.808,88;0,00;66.808,88;59.080,96;59.080,96;0,00;7.727,92
256/2300A/12101;Complement  específic;113.186,49;0,00;113.186,49;101.861,18;101.861,18;0,00;11.325,31
256/2300A/12103;Altres complements;66.531,41;0,00;66.531,41;69.517,12;69.517,12;0,00;-2.985,71
256/2300A/14300;Altre personal;0,00;10,00;10,00;37.523,04;37.523,04;0,00;-37.513,04
256/2300A/15000;Productivitat;901,20;0,00;901,20;416,70;416,70;0,00;484,50
256/2300A/16000;Seguretat social;112.403,40;0,00;112.403,40;96.578,50;96.578,50;0,00;15.824,90
256/2300A/22001;Premsa, revistes, llibres i altres publicacions;1.687,00;0,00;1.687,00;1.323,26;1.323,26;0,00;363,74
256/2300A/22201;Comunicacions postals;3.000,00;0,00;3.000,00;1.789,98;1.649,54;140,44;1.210,02
256/2300A/22601;Atencions protocol·làries i representatives;500,00;0,00;500,00;127,05;127,05;0,00;372,95
256/2300A/2260200;Difusió d'activitats;2.000,00;0,00;2.000,00;0,00;0,00;0,00;2.000,00
256/2300A/22620;El Sud Suma + Nou Pla de Barris;0,00;34.792,32;34.792,32;0,00;0,00;0,00;34.792,32
256/2300A/22699;Altres despeses diverses;1.000,00;0,00;1.000,00;2.638,21;2.498,30;139,91;-1.638,21
256/2300A/2270001;Contractes de neteja;11.708,82;0,00;11.708,82;2.983,19;2.983,19;0,00;8.725,63
256/2300A/23020;Dietes personal no directiu;750,00;0,00;750,00;506,60;199,05;307,55;243,40
256/2310A/22799;Altres treballs realitzats per altres empreses i prof.;177.000,00;0,00;177.000,00;170.612,98;140.036,41;30.576,57;6.387,02
256/2310A/48200;Transf. corrents institucions sense ànim de lucre;980.884,00;0,00;980.884,00;984.563,44;821.163,28;163.400,16;-3.679,44
256/2310B/12000;Salaris del Grup A1;57.378,42;0,00;57.378,42;65.169,30;65.169,30;0,00;-7.790,88
256/2310B/12001;Salaris del Grup A2;76.608,00;0,00;76.608,00;65.430,83;65.430,83;0,00;11.177,17
256/2310B/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.431,77;8.431,77;0,00;-53,19
256/2310B/12006;Triennis;19.239,29;0,00;19.239,29;16.336,20;16.336,20;0,00;2.903,09
256/2310B/12100;Complement de destí;56.831,30;0,00;56.831,30;55.195,54;55.195,54;0,00;1.635,76
256/2310B/12101;Complement  específic;92.358,00;0,00;92.358,00;89.160,41;89.160,41;0,00;3.197,59
256/2310B/12103;Altres complements;42.268,42;0,00;42.268,42;44.512,80;44.512,80;0,00;-2.244,38
256/2310B/15000;Productivitat;0,00;10,00;10,00;370,26;370,26;0,00;-360,26
256/2310B/16000;Seguretat social;97.859,12;0,00;97.859,12;96.412,07;96.412,07;0,00;1.447,05
256/2311A/12001;Salaris del Grup A2;617.356,01;0,00;617.356,01;615.287,68;615.287,68;0,00;2.068,33
256/2311A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.248,54;10.248,54;0,00;-363,70
256/2311A/12004;Salaris del Grup C2;138.662,77;0,00;138.662,77;139.842,12;139.842,12;0,00;-1.179,35
256/2311A/12005;Salaris del Grup E;7.532,32;0,00;7.532,32;7.559,26;7.559,26;0,00;-26,94
256/2311A/12006;Triennis;75.226,06;0,00;75.226,06;68.791,59;68.791,59;0,00;6.434,47
256/2311A/12100;Complement de destí;307.919,21;0,00;307.919,21;305.074,60;305.074,60;0,00;2.844,61
256/2311A/12101;Complement  específic;548.049,70;0,00;548.049,70;542.807,35;542.807,35;0,00;5.242,35
256/2311A/12103;Altres complements;247.376,43;0,00;247.376,43;311.835,54;311.835,54;0,00;-64.459,11
256/2311A/13000;Retribucions bàsiques;66.826,76;0,00;66.826,76;68.315,50;68.315,50;0,00;-1.488,74
256/2311A/15000;Productivitat;3.270,27;0,00;3.270,27;3.020,81;3.020,81;0,00;249,46
256/2311A/16000;Seguretat social;589.045,64;0,00;589.045,64;563.707,91;563.707,91;0,00;25.337,73
256/2311A/20200;Lloguers d’edificis i altres construccions;1.792,06;0,00;1.792,06;1.792,06;1.331,00;461,06;0,00
256/2311A/22104;Vestuari;500,00;0,00;500,00;0,00;0,00;0,00;500,00
256/2311A/22699;Altres despeses diverses;5.500,00;0,00;5.500,00;2.042,79;1.432,71;610,08;3.457,21
256/2311A/22706;Estudis i treballs tècnics;16.385,91;0,00;16.385,91;16.385,88;15.020,39;1.365,49;0,03
256/2311A/22799;Altres treballs realitzats per altres empreses i prof.;595.670,26;-320.052,43;275.617,83;231.206,31;193.542,53;37.663,78;44.411,52
256/2311A/48000;A famílies i institucions sense ànim de lucre;1.134.125,41;595.916,43;1.730.041,84;1.621.750,91;1.481.469,73;140.281,18;108.290,93
256/2311A/48002;Transf. famílies per pèrdua habitatge en cas de desnonament;271.000,00;0,00;271.000,00;67.171,70;0,00;67.171,70;203.828,30
256/2311A/48200;Transf. corrents institucions sense ànim de lucre;58.117,00;29.058,50;87.175,50;88.812,15;61.163,79;27.648,36;-1.636,65
257/3400A/11000;Retribucions bàsiques;10.686,13;0,00;10.686,13;10.708,86;10.708,86;0,00;-22,73
257/3400A/11001;Retribucions complementàries;49.115,22;0,00;49.115,22;50.136,02;50.136,02;0,00;-1.020,80
257/3400A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.940,42;14.940,42;0,00;-263,10
257/3400A/12001;Salaris del Grup A2;12.906,52;0,00;12.906,52;13.160,02;13.160,02;0,00;-253,50
257/3400A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.203,08;10.203,08;0,00;-318,24
257/3400A/12004;Salaris del Grup C2;23.318,02;0,00;23.318,02;19.626,55;19.626,55;0,00;3.691,47
257/3400A/12005;Salaris del Grup E;23.035,74;0,00;23.035,74;23.332,08;23.332,08;0,00;-296,34
