parada_punt_id;linia_id;trajecte_id;direccio_id;sequencia_id;
"58";"1793";"12";"2";"26";
"59";"1793";"12";"2";"27";
"1";"1793";"12";"2";"28";
"158";"1794";"1";"2";"1";
"163";"1794";"1";"2";"2";
"164";"1794";"1";"2";"3";
"165";"1794";"1";"2";"4";
"166";"1794";"1";"2";"5";
"167";"1794";"1";"2";"6";
"168";"1794";"1";"2";"7";
"142";"1794";"1";"2";"8";
"143";"1794";"1";"2";"9";
"683";"1794";"1";"2";"10";
"145";"1794";"1";"2";"11";
"150";"1794";"1";"2";"12";
"151";"1794";"1";"2";"13";
"169";"1794";"1";"2";"14";
"170";"1794";"1";"2";"15";
"171";"1794";"1";"2";"16";
"172";"1794";"1";"2";"17";
"173";"1794";"1";"2";"18";
"174";"1794";"1";"2";"19";
"175";"1794";"1";"2";"20";
"176";"1794";"1";"2";"21";
"177";"1794";"1";"2";"22";
"178";"1794";"1";"2";"23";
"179";"1794";"1";"2";"24";
"180";"1794";"1";"2";"25";
"181";"1794";"1";"2";"26";
"182";"1794";"1";"2";"27";
"403";"1794";"1";"2";"28";
"404";"1794";"1";"2";"29";
"187";"1794";"1";"2";"30";
"188";"1794";"1";"2";"31";
"189";"1794";"1";"2";"32";
"190";"1794";"1";"2";"33";
"191";"1794";"1";"2";"34";
"192";"1794";"1";"2";"35";
"284";"1794";"1";"2";"36";
"202";"1794";"1";"2";"37";
"203";"1794";"1";"2";"38";
"44";"1791";"12";"2";"12";
"285";"1794";"1";"2";"39";
"286";"1794";"1";"2";"40";
"287";"1794";"1";"2";"41";
"288";"1794";"1";"2";"42";
"53";"1794";"1";"2";"43";
"54";"1794";"1";"2";"44";
"55";"1794";"1";"2";"45";
"300";"1794";"1";"2";"46";
"300";"1794";"2";"1";"1";
"7";"1794";"2";"1";"2";
"8";"1794";"2";"1";"3";
"9";"1794";"2";"1";"4";
"243";"1794";"2";"1";"5";
"244";"1794";"2";"1";"6";
"245";"1794";"2";"1";"7";
"246";"1794";"2";"1";"8";
"236";"1794";"2";"1";"9";
"394";"1794";"2";"1";"10";
"113";"1794";"2";"1";"11";
"119";"1794";"2";"1";"12";
"120";"1794";"2";"1";"13";
"121";"1794";"2";"1";"14";
"122";"1794";"2";"1";"15";
"123";"1794";"2";"1";"16";
"124";"1794";"2";"1";"17";
"126";"1794";"2";"1";"18";
"127";"1794";"2";"1";"19";
"128";"1794";"2";"1";"20";
"129";"1794";"2";"1";"21";
"130";"1794";"2";"1";"22";
"131";"1794";"2";"1";"23";
"132";"1794";"2";"1";"24";
"17";"1794";"2";"1";"25";
"18";"1794";"2";"1";"26";
"401";"1794";"2";"1";"27";
"134";"1794";"2";"1";"28";
"135";"1794";"2";"1";"29";
"136";"1794";"2";"1";"30";
"137";"1794";"2";"1";"31";
"138";"1794";"2";"1";"32";
"139";"1794";"2";"1";"33";
"140";"1794";"2";"1";"34";
"141";"1794";"2";"1";"35";
"142";"1794";"2";"1";"36";
"143";"1794";"2";"1";"37";
"683";"1794";"2";"1";"38";
"145";"1794";"2";"1";"39";
"150";"1794";"2";"1";"40";
"151";"1794";"2";"1";"41";
"152";"1794";"2";"1";"42";
"153";"1794";"2";"1";"43";
"154";"1794";"2";"1";"44";
"155";"1794";"2";"1";"45";
"156";"1794";"2";"1";"46";
"157";"1794";"2";"1";"47";
"158";"1794";"2";"1";"48";
"119";"1794";"3";"1";"1";
"120";"1794";"3";"1";"2";
"121";"1794";"3";"1";"3";
"122";"1794";"3";"1";"4";
"123";"1794";"3";"1";"5";
"124";"1794";"3";"1";"6";
"126";"1794";"3";"1";"7";
"127";"1794";"3";"1";"8";
"128";"1794";"3";"1";"9";
"129";"1794";"3";"1";"10";
"130";"1794";"3";"1";"11";
"131";"1794";"3";"1";"12";
"132";"1794";"3";"1";"13";
"17";"1794";"3";"1";"14";
"18";"1794";"3";"1";"15";
"401";"1794";"3";"1";"16";
"134";"1794";"3";"1";"17";
"135";"1794";"3";"1";"18";
"136";"1794";"3";"1";"19";
"137";"1794";"3";"1";"20";
"138";"1794";"3";"1";"21";
"139";"1794";"3";"1";"22";
"140";"1794";"3";"1";"23";
"141";"1794";"3";"1";"24";
"142";"1794";"3";"1";"25";
"143";"1794";"3";"1";"26";
"683";"1794";"3";"1";"27";
"145";"1794";"3";"1";"28";
"200";"1795";"1";"1";"1";
"201";"1795";"1";"1";"2";
"202";"1795";"1";"1";"3";
"203";"1795";"1";"1";"4";
"204";"1795";"1";"1";"5";
"205";"1795";"1";"1";"6";
"206";"1795";"1";"1";"7";
"207";"1795";"1";"1";"8";
"13";"1795";"1";"1";"9";
"208";"1795";"1";"1";"10";
"209";"1795";"1";"1";"11";
"210";"1795";"1";"1";"12";
"131";"1795";"1";"1";"13";
"132";"1795";"1";"1";"14";
"17";"1795";"1";"1";"15";
"18";"1795";"1";"1";"16";
"401";"1795";"1";"1";"17";
"134";"1795";"1";"1";"18";
"212";"1795";"1";"1";"19";
"213";"1795";"1";"1";"20";
"214";"1795";"1";"1";"21";
"215";"1795";"1";"1";"22";
"216";"1795";"1";"1";"23";
"217";"1795";"1";"1";"24";
"24";"1795";"1";"1";"25";
"218";"1795";"1";"1";"26";
"218";"1795";"2";"2";"1";
"96";"1795";"2";"2";"2";
"224";"1795";"2";"2";"3";
"225";"1795";"2";"2";"4";
"226";"1795";"2";"2";"5";
"227";"1795";"2";"2";"6";
"228";"1795";"2";"2";"7";
"176";"1795";"2";"2";"8";
"177";"1795";"2";"2";"9";
"178";"1795";"2";"2";"10";
"179";"1795";"2";"2";"11";
"180";"1795";"2";"2";"12";
"230";"1795";"2";"2";"13";
"231";"1795";"2";"2";"14";
"49";"1795";"2";"2";"15";
"232";"1795";"2";"2";"16";
"233";"1795";"2";"2";"17";
"234";"1795";"2";"2";"18";
"235";"1795";"2";"2";"19";
"236";"1795";"2";"2";"20";
"237";"1795";"2";"2";"21";
"238";"1795";"2";"2";"22";
"200";"1795";"2";"2";"23";
"271";"1797";"1";"2";"1";
"272";"1797";"1";"2";"2";
"635";"1797";"1";"2";"3";
"273";"1797";"1";"2";"4";
"274";"1797";"1";"2";"5";
"682";"1797";"1";"2";"6";
"275";"1797";"1";"2";"7";
"276";"1797";"1";"2";"8";
"277";"1797";"1";"2";"9";
"278";"1797";"1";"2";"10";
"279";"1797";"1";"2";"11";
"16";"1797";"1";"2";"12";
"179";"1797";"1";"2";"13";
"180";"1797";"1";"2";"14";
"181";"1797";"1";"2";"15";
"280";"1797";"1";"2";"16";
"281";"1797";"1";"2";"17";
"282";"1797";"1";"2";"18";
"283";"1797";"1";"2";"19";
"191";"1797";"1";"2";"20";
"192";"1797";"1";"2";"21";
"193";"1797";"1";"2";"22";
"194";"1797";"1";"2";"23";
"195";"1797";"1";"2";"24";
"645";"1797";"1";"2";"25";
"646";"1797";"1";"2";"26";
"647";"1797";"1";"2";"27";
"667";"1797";"1";"2";"28";
"668";"1797";"2";"1";"1";
"115";"1797";"2";"1";"2";
"149";"1797";"2";"1";"3";
"653";"1797";"2";"1";"4";
"116";"1797";"2";"1";"5";
"117";"1797";"2";"1";"6";
"118";"1797";"2";"1";"7";
"119";"1797";"2";"1";"8";
"120";"1797";"2";"1";"9";
"247";"1797";"2";"1";"10";
"248";"1797";"2";"1";"11";
"249";"1797";"2";"1";"12";
"264";"1797";"2";"1";"13";
"250";"1797";"2";"1";"14";
"130";"1797";"2";"1";"15";
"131";"1797";"2";"1";"16";
"132";"1797";"2";"1";"17";
"46";"1797";"2";"1";"18";
"251";"1797";"2";"1";"19";
"252";"1797";"2";"1";"20";
"640";"1797";"2";"1";"21";
"253";"1797";"2";"1";"22";
"254";"1797";"2";"1";"23";
"255";"1797";"2";"1";"24";
"256";"1797";"2";"1";"25";
"257";"1797";"2";"1";"26";
"270";"1797";"2";"1";"27";
"637";"1797";"2";"1";"28";
"271";"1797";"2";"1";"29";
"271";"1797";"3";"2";"1";
"272";"1797";"3";"2";"2";
"635";"1797";"3";"2";"3";
"263";"1797";"3";"2";"4";
"269";"1797";"3";"2";"5";
"274";"1797";"3";"2";"6";
"682";"1797";"3";"2";"7";
"275";"1797";"3";"2";"8";
"276";"1797";"3";"2";"9";
"277";"1797";"3";"2";"10";
"278";"1797";"3";"2";"11";
"279";"1797";"3";"2";"12";
"16";"1797";"3";"2";"13";
"179";"1797";"3";"2";"14";
"180";"1797";"3";"2";"15";
"181";"1797";"3";"2";"16";
"280";"1797";"3";"2";"17";
"281";"1797";"3";"2";"18";
"282";"1797";"3";"2";"19";
"283";"1797";"3";"2";"20";
"191";"1797";"3";"2";"21";
"192";"1797";"3";"2";"22";
"193";"1797";"3";"2";"23";
"194";"1797";"3";"2";"24";
"195";"1797";"3";"2";"25";
"645";"1797";"3";"2";"26";
"646";"1797";"3";"2";"27";
"647";"1797";"3";"2";"28";
"667";"1797";"3";"2";"29";
"30";"1798";"1";"2";"1";
"324";"1798";"1";"2";"2";
"325";"1798";"1";"2";"3";
"39";"1798";"1";"2";"4";
"326";"1798";"1";"2";"5";
"327";"1798";"1";"2";"6";
"328";"1798";"1";"2";"7";
"329";"1798";"1";"2";"8";
"332";"1798";"1";"2";"9";
"333";"1798";"1";"2";"10";
"334";"1798";"1";"2";"11";
"231";"1798";"1";"2";"12";
"49";"1798";"1";"2";"13";
"50";"1798";"1";"2";"14";
"51";"1798";"1";"2";"15";
"52";"1798";"1";"2";"16";
"53";"1798";"1";"2";"17";
"54";"1798";"1";"2";"18";
"55";"1798";"1";"2";"19";
"300";"1798";"1";"2";"20";
"300";"1798";"2";"1";"1";
"7";"1798";"2";"1";"2";
"8";"1798";"2";"1";"3";
"9";"1798";"2";"1";"4";
"10";"1798";"2";"1";"5";
"11";"1798";"2";"1";"6";
"12";"1798";"2";"1";"7";
"13";"1798";"2";"1";"8";
"208";"1798";"2";"1";"9";
"301";"1798";"2";"1";"10";
"302";"1798";"2";"1";"11";
"182";"1798";"2";"1";"12";
"183";"1798";"2";"1";"13";
"303";"1798";"2";"1";"14";
"304";"1798";"2";"1";"15";
"305";"1798";"2";"1";"16";
"306";"1798";"2";"1";"17";
"307";"1798";"2";"1";"18";
"308";"1798";"2";"1";"19";
"309";"1798";"2";"1";"20";
"310";"1798";"2";"1";"21";
"30";"1798";"2";"1";"22";
"317";"1798";"3";"2";"1";
"320";"1798";"3";"2";"2";
"322";"1798";"3";"2";"3";
"323";"1798";"3";"2";"4";
"245";"1812";"8";"2";"9";
"246";"1812";"8";"2";"10";
"236";"1812";"8";"2";"11";
"394";"1812";"8";"2";"12";
"158";"1814";"1";"2";"1";
"163";"1814";"1";"2";"2";
"164";"1814";"1";"2";"3";
"165";"1814";"1";"2";"4";
"166";"1814";"1";"2";"5";
"167";"1814";"1";"2";"6";
"168";"1814";"1";"2";"7";
"169";"1814";"1";"2";"8";
"170";"1814";"1";"2";"9";
"171";"1814";"1";"2";"10";
"172";"1814";"1";"2";"11";
"173";"1814";"1";"2";"12";
"174";"1814";"1";"2";"13";
"175";"1814";"1";"2";"14";
"176";"1814";"1";"2";"15";
