Districte;Sexe;Nacionalitat;Total;
"1";"D";"UCRAÏNA";"37";
"1";"D";"UGANDA";"2";
"1";"D";"URUGUAI";"32";
"1";"D";"VENEÇUELA";"34";
"1";"D";"XILE";"31";
"1";"D";"XINA";"136";
"1";"D";"ZIMBABWE";"1";
"1";"H";"AFGANISTAN";"1";
"1";"H";"ALBÀNIA";"1";
"1";"H";"ALEMANYA";"27";
"1";"H";"ALGÈRIA";"4";
"1";"H";"ANDORRA";"1";
"1";"H";"ARGENTINA";"60";
"1";"H";"ARMÈNIA";"3";
"1";"H";"AUSTRÀLIA";"1";
"1";"H";"ÀUSTRIA";"5";
"1";"H";"BANGLA DESH";"3";
"1";"H";"BÈLGICA";"2";
"1";"H";"BIELORÚSSIA";"1";
"1";"H";"BOLÍVIA";"138";
"1";"H";"BÒSNIA I HERCEGOVINA";"3";
"1";"H";"BRASIL";"34";
"1";"H";"BULGÀRIA";"8";
"1";"H";"BURKINA FASO";"6";
"1";"H";"CAMERUN";"1";
"1";"H";"CANADÀ";"2";
"1";"H";"COLÒMBIA";"56";
"1";"H";"COREA";"1";
"1";"H";"COSTA D'IVORI";"3";
"1";"H";"COSTA RICA";"1";
"1";"H";"CROÀCIA";"1";
"1";"H";"CUBA";"35";
"1";"H";"EGIPTE";"2";
"1";"H";"EL SALVADOR";"2";
"1";"H";"EQUADOR";"135";
"1";"H";"ESLOVÀQUIA";"1";
"1";"H";"ESLOVÈNIA";"2";
"1";"H";"ESPANYA";"23239";
"1";"H";"ESTATS UNITS D'AMÈRICA";"18";
"1";"H";"FILIPINES";"3";
"1";"H";"FINLÀNDIA";"4";
"1";"H";"FRANÇA";"39";
"1";"H";"GÀMBIA";"42";
"1";"H";"GEÒRGIA";"5";
"1";"H";"GHANA";"12";
"1";"H";"GRÈCIA";"2";
"1";"H";"GUATEMALA";"1";
"1";"H";"GUINEA";"20";
"1";"H";"GUINEA BISSAU";"2";
"1";"H";"GUINEA EQUATORIAL";"3";
"1";"H";"HONDURES";"17";
"1";"H";"HONGRIA";"3";
"1";"H";"ÍNDIA";"6";
"1";"H";"IRAN";"4";
"1";"H";"IRLANDA";"5";
"1";"H";"ISRAEL";"1";
"1";"H";"ITÀLIA";"72";
"1";"H";"JAPÓ";"3";
"1";"H";"KAZAKHSTAN";"1";
"1";"H";"LITUÀNIA";"1";
"1";"H";"MALI";"5";
"1";"H";"MARROC";"222";
"1";"H";"MAURITÀNIA";"3";
"1";"H";"MÈXIC";"9";
"1";"H";"MOÇAMBIC";"1";
"1";"H";"MOLDÀVIA";"6";
"1";"H";"NICARAGUA";"5";
"1";"H";"NIGÈRIA";"3";
"1";"H";"NOVA ZELANDA";"1";
"1";"H";"PAÏSOS BAIXOS";"16";
"1";"H";"PAKISTAN";"28";
"1";"H";"PANAMÀ";"4";
"1";"H";"PARAGUAI";"57";
"1";"H";"PERÚ";"45";
"1";"H";"POLÒNIA";"11";
"1";"H";"PORTUGAL";"19";
"1";"H";"REGNE UNIT";"37";
"1";"H";"REP. DEMOCRÀTICA DEL CONGO";"1";
"1";"H";"REPÚBLICA DE SUD-ÀFRICA";"3";
"1";"H";"REPÚBLICA DOMINICANA";"39";
"1";"H";"ROMANIA";"141";
"1";"H";"RÚSSIA";"21";
"1";"H";"RWANDA";"1";
"1";"H";"SENEGAL";"35";
"1";"H";"SUÈCIA";"3";
"1";"H";"SUÏSSA";"2";
"1";"H";"TAILÀNDIA";"1";
"1";"H";"TAIWAN";"1";
"1";"H";"TURQUIA";"4";
"1";"H";"UCRAÏNA";"23";
"1";"H";"URUGUAI";"36";
"1";"H";"VENEÇUELA";"24";
"1";"H";"XILE";"16";
"1";"H";"XINA";"131";
"2";"D";"AFGANISTAN";"1";
"2";"D";"ALEMANYA";"11";
"2";"D";"ALGÈRIA";"2";
"2";"D";"ARGENTINA";"23";
"2";"D";"ARMÈNIA";"5";
"2";"D";"ÀUSTRIA";"1";
"2";"D";"BANGLA DESH";"2";
"2";"D";"BÈLGICA";"2";
"2";"D";"BIELORÚSSIA";"2";
"2";"D";"BOLÍVIA";"237";
"2";"D";"BRASIL";"43";
"2";"D";"BULGÀRIA";"5";
"2";"D";"BURKINA FASO";"4";
"2";"D";"CANADÀ";"1";
"2";"D";"COLÒMBIA";"49";
"2";"D";"COSTA D'IVORI";"4";
"2";"D";"COSTA RICA";"3";
"2";"D";"CUBA";"16";
"2";"D";"DINAMARCA";"2";
"2";"D";"EL SALVADOR";"2";
"2";"D";"EQUADOR";"105";
"2";"D";"ESLOVÀQUIA";"1";
"2";"D";"ESPANYA";"10919";
"2";"D";"ESTATS UNITS D'AMÈRICA";"11";
"2";"D";"FILIPINES";"1";
"2";"D";"FINLÀNDIA";"1";
"2";"D";"FRANÇA";"27";
"2";"D";"GÀMBIA";"9";
"2";"D";"GEÒRGIA";"8";
"2";"D";"GHANA";"3";
"2";"D";"GUATEMALA";"1";
"2";"D";"GUINEA";"21";
"2";"D";"GUINEA BISSAU";"3";
"2";"D";"HONDURES";"31";
"2";"D";"HONGRIA";"2";
"2";"D";"ÍNDIA";"8";
"2";"D";"IRAQ";"1";
"2";"D";"IRLANDA";"1";
"2";"D";"ITÀLIA";"23";
"2";"D";"JAPÓ";"5";
"2";"D";"KENYA";"1";
"2";"D";"LITUÀNIA";"1";
"2";"D";"MALI";"9";
"2";"D";"MARROC";"453";
"2";"D";"MAURITÀNIA";"8";
"2";"D";"MÈXIC";"11";
"2";"D";"MOLDÀVIA";"11";
"2";"D";"NEPAL";"1";
"2";"D";"NICARAGUA";"3";
"2";"D";"NIGÈRIA";"9";
"2";"D";"PAÏSOS BAIXOS";"3";
"2";"D";"PAKISTAN";"41";
"2";"D";"PARAGUAI";"47";
"2";"D";"PERÚ";"25";
"2";"D";"POLÒNIA";"6";
"2";"D";"PORTUGAL";"14";
"2";"D";"REGNE UNIT";"7";
"2";"D";"REPÚBLICA DOMINICANA";"34";
"2";"D";"REPÚBLICA TXECA";"3";
"2";"D";"ROMANIA";"61";
"2";"D";"RÚSSIA";"20";
"2";"D";"SENEGAL";"28";
"2";"D";"SÍRIA";"2";
"2";"D";"TAILÀNDIA";"2";
"2";"D";"TAIWAN";"2";
"2";"D";"TUNÍSIA";"1";
"2";"D";"TURQUIA";"3";
"2";"D";"UCRAÏNA";"30";
"2";"D";"URUGUAI";"19";
"2";"D";"VENEÇUELA";"15";
"2";"D";"XILE";"13";
"2";"D";"XINA";"90";
"2";"H";"AFGANISTAN";"6";
"2";"H";"ALEMANYA";"7";
"2";"H";"ALGÈRIA";"4";
"2";"H";"ANDORRA";"3";
"2";"H";"ARGENTINA";"27";
"2";"H";"ARMÈNIA";"4";
"2";"H";"ÀUSTRIA";"2";
"2";"H";"BANGLA DESH";"3";
"2";"H";"BÈLGICA";"2";
"2";"H";"BIELORÚSSIA";"2";
"2";"H";"BOLÍVIA";"168";
"2";"H";"BRASIL";"20";
"2";"H";"BULGÀRIA";"8";
"2";"H";"BURKINA FASO";"2";
"2";"H";"CAMERUN";"1";
"2";"H";"CANADÀ";"2";
"2";"H";"COLÒMBIA";"39";
"2";"H";"CONGO";"2";
"2";"H";"COSTA D'IVORI";"8";
"2";"H";"COSTA RICA";"3";
"2";"H";"CUBA";"13";
"2";"H";"EGIPTE";"5";
"2";"H";"EL SALVADOR";"3";
"2";"H";"EQUADOR";"115";
"2";"H";"ESPANYA";"10002";
"2";"H";"ESTATS UNITS D'AMÈRICA";"7";
"2";"H";"FRANÇA";"11";
"2";"H";"GÀMBIA";"22";
"2";"H";"GEÒRGIA";"9";
"2";"H";"GHANA";"8";
"2";"H";"GRÈCIA";"1";
"2";"H";"GUATEMALA";"1";
"2";"H";"GUINEA";"43";
"2";"H";"GUINEA BISSAU";"4";
"2";"H";"GUINEA EQUATORIAL";"1";
"2";"H";"HAITÍ";"1";
"2";"H";"HONDURES";"17";
"2";"H";"HONGRIA";"1";
"2";"H";"ÍNDIA";"6";
"2";"H";"IRAQ";"1";
"2";"H";"ITÀLIA";"29";
"2";"H";"MALI";"34";
"2";"H";"MARROC";"572";
"2";"H";"MAURITÀNIA";"22";
"2";"H";"MÈXIC";"8";
"2";"H";"MOLDÀVIA";"4";
"2";"H";"NEPAL";"1";
"2";"H";"NICARAGUA";"1";
"2";"H";"NÍGER";"1";
"2";"H";"NIGÈRIA";"11";
"2";"H";"PAÏSOS ÀSIA S.R.D.E.";"2";
"2";"H";"PAÏSOS BAIXOS";"8";
"2";"H";"PAKISTAN";"81";
"2";"H";"PARAGUAI";"20";
"2";"H";"PERÚ";"36";
"2";"H";"POLÒNIA";"5";
"2";"H";"PORTUGAL";"12";
"2";"H";"REGNE UNIT";"17";
"2";"H";"REPÚBLICA DOMINICANA";"35";
"2";"H";"ROMANIA";"53";
"2";"H";"RÚSSIA";"9";
"2";"H";"SENEGAL";"63";
"2";"H";"SÈRBIA";"3";
"2";"H";"SUÏSSA";"1";
"2";"H";"TOGO";"2";
"2";"H";"TURQUIA";"2";
"2";"H";"UCRAÏNA";"17";
"2";"H";"URUGUAI";"20";
"2";"H";"VENEÇUELA";"10";
"2";"H";"XILE";"9";
"2";"H";"XINA";"93";
"3";"D";"ALEMANYA";"7";
"3";"D";"ALGÈRIA";"10";
"3";"D";"APÀTRIDA";"1";
"3";"D";"ARGENTINA";"43";
"3";"D";"ARMÈNIA";"5";
"3";"D";"BÈLGICA";"1";
"3";"D";"BOLÍVIA";"410";
"3";"D";"BRASIL";"34";
"3";"D";"BULGÀRIA";"30";
"3";"D";"COLÒMBIA";"55";
"3";"D";"CONGO";"2";
"3";"D";"COREA";"2";
"3";"D";"COREA DEL NORD";"1";
"3";"D";"COSTA RICA";"4";
"3";"D";"CUBA";"16";
"3";"D";"EQUADOR";"124";
"3";"D";"ESLOVÈNIA";"1";
"3";"D";"ESPANYA";"15830";
"3";"D";"FILIPINES";"3";
"3";"D";"FRANÇA";"16";
"3";"D";"GÀMBIA";"8";
"3";"D";"GEÒRGIA";"6";
"3";"D";"GHANA";"10";
"3";"D";"GRÈCIA";"1";
"3";"D";"GUATEMALA";"2";
"3";"D";"GUINEA";"7";
"3";"D";"GUINEA BISSAU";"1";
"3";"D";"GUINEA EQUATORIAL";"3";
"3";"D";"HONDURES";"64";
"3";"D";"ÍNDIA";"11";
"3";"D";"ITÀLIA";"36";
"3";"D";"KENYA";"1";
"3";"D";"LITUÀNIA";"4";
"3";"D";"MALI";"4";
"3";"D";"MARROC";"260";
"3";"D";"MÈXIC";"6";
"3";"D";"MOLDÀVIA";"8";
"3";"D";"NICARAGUA";"6";
"3";"D";"NIGÈRIA";"35";
"3";"D";"PAÏSOS BAIXOS";"2";
"3";"D";"PAKISTAN";"36";
"3";"D";"PANAMÀ";"1";
"3";"D";"PARAGUAI";"33";
"3";"D";"PERÚ";"41";
"3";"D";"POLÒNIA";"6";
"3";"D";"PORTUGAL";"7";
"3";"D";"REGNE UNIT";"2";
"3";"D";"REPÚBLICA DOMINICANA";"74";
"3";"D";"ROMANIA";"138";
"3";"D";"RÚSSIA";"32";
"3";"D";"SÀHARA OCCIDENTAL";"1";
"3";"D";"SENEGAL";"19";
"3";"D";"TOGO";"1";
"3";"D";"UCRAÏNA";"27";
"3";"D";"URUGUAI";"23";
"3";"D";"VENEÇUELA";"16";
"3";"D";"XILE";"11";
"3";"D";"XINA";"76";
"3";"H";"ALBÀNIA";"1";
"3";"H";"ALEMANYA";"6";
"3";"H";"ALGÈRIA";"12";
"3";"H";"ARGENTINA";"40";
"3";"H";"ARMÈNIA";"13";
"3";"H";"BÈLGICA";"3";
"3";"H";"BOLÍVIA";"307";
"3";"H";"BRASIL";"14";
"3";"H";"BULGÀRIA";"35";
"3";"H";"CAMERUN";"2";
"3";"H";"CANADÀ";"2";
"3";"H";"CAP VERD";"1";
"3";"H";"COLÒMBIA";"45";
"3";"H";"CONGO";"1";
"3";"H";"COREA";"1";
"3";"H";"COSTA D'IVORI";"1";
"3";"H";"CUBA";"10";
"3";"H";"DINAMARCA";"2";
"3";"H";"EGIPTE";"3";
"3";"H";"EL SALVADOR";"1";
"3";"H";"EQUADOR";"102";
"3";"H";"ESPANYA";"15115";
"3";"H";"ESTATS UNITS D'AMÈRICA";"5";
"3";"H";"ETIÒPIA";"1";
"3";"H";"FILIPINES";"1";
"3";"H";"FRANÇA";"13";
"3";"H";"GÀMBIA";"30";
"3";"H";"GEÒRGIA";"5";
"3";"H";"GHANA";"26";
"3";"H";"GUATEMALA";"1";
"3";"H";"GUINEA";"13";
"3";"H";"GUINEA BISSAU";"2";
"3";"H";"GUINEA EQUATORIAL";"5";
"3";"H";"HONDURES";"21";
"3";"H";"ÍNDIA";"46";
"3";"H";"ITÀLIA";"39";
"3";"H";"JAPÓ";"2";
"3";"H";"LETÒNIA";"1";
"3";"H";"LÍBAN";"1";
"3";"H";"MACEDÒNIA";"1";
"3";"H";"MALI";"18";
"3";"H";"MARROC";"358";
"3";"H";"MAURITÀNIA";"5";
"3";"H";"MÈXIC";"4";
"3";"H";"MOLDÀVIA";"11";
"3";"H";"NEPAL";"1";
"3";"H";"NICARAGUA";"3";
"3";"H";"NIGÈRIA";"43";
"3";"H";"PAÏSOS BAIXOS";"3";
"3";"H";"PAÏSOS EUROPA S.R.D.E.";"1";
"3";"H";"PAKISTAN";"123";
"3";"H";"PARAGUAI";"17";
"3";"H";"PERÚ";"37";
"3";"H";"POLÒNIA";"4";
"3";"H";"PORTUGAL";"8";
"3";"H";"REGNE UNIT";"4";
"3";"H";"REPÚBLICA DOMINICANA";"79";
"3";"H";"REPÚBLICA TXECA";"1";
"3";"H";"ROMANIA";"125";
"3";"H";"RÚSSIA";"15";
"3";"H";"SÀHARA OCCIDENTAL";"2";
"3";"H";"SENEGAL";"43";
"3";"H";"SIERRA LEONE";"1";
"3";"H";"SÍRIA";"1";
"3";"H";"TANZÀNIA";"1";
"3";"H";"TOGO";"2";
"3";"H";"UCRAÏNA";"25";
"3";"H";"URUGUAI";"19";
"3";"H";"VENEÇUELA";"12";
"3";"H";"XILE";"11";
"3";"H";"XINA";"95";
"4";"D";"ALEMANYA";"4";
"4";"D";"ALGÈRIA";"4";
"4";"D";"ANDORRA";"1";
"4";"D";"ARGENTINA";"40";
"4";"D";"ARMÈNIA";"2";
"4";"D";"ÀUSTRIA";"1";
"4";"D";"BIELORÚSSIA";"2";
"4";"D";"BOLÍVIA";"409";
"4";"D";"BRASIL";"36";
"4";"D";"BULGÀRIA";"22";
"4";"D";"BURKINA FASO";"4";
"4";"D";"CANADÀ";"3";
"4";"D";"COLÒMBIA";"57";
"4";"D";"CONGO";"4";
"4";"D";"COREA";"2";
"4";"D";"COSTA D'IVORI";"6";
"4";"D";"COSTA RICA";"1";
"4";"D";"CUBA";"15";
"4";"D";"DINAMARCA";"1";
"4";"D";"EGIPTE";"3";
"4";"D";"EL SALVADOR";"1";
"4";"D";"EQUADOR";"123";
"4";"D";"ESLOVÀQUIA";"1";
"4";"D";"ESLOVÈNIA";"1";
"4";"D";"ESPANYA";"17749";
"4";"D";"ESTATS UNITS D'AMÈRICA";"4";
"4";"D";"FILIPINES";"1";
"4";"D";"FRANÇA";"9";
"4";"D";"GÀMBIA";"14";
"4";"D";"GEÒRGIA";"1";
"4";"D";"GHANA";"5";
"4";"D";"GRÈCIA";"1";
"4";"D";"GUATEMALA";"1";
"4";"D";"GUINEA";"19";
"4";"D";"GUINEA EQUATORIAL";"3";
"4";"D";"HONDURES";"58";
"4";"D";"HONGRIA";"2";
"4";"D";"ÍNDIA";"7";
"4";"D";"IRLANDA";"1";
"4";"D";"ITÀLIA";"52";
"4";"D";"JAPÓ";"2";
"4";"D";"MADAGASCAR";"1";
"4";"D";"MALI";"18";
"4";"D";"MARROC";"232";
"4";"D";"MAURITÀNIA";"2";
"4";"D";"MÈXIC";"12";
"4";"D";"MOLDÀVIA";"11";
"4";"D";"MONGÒLIA";"1";
"4";"D";"NICARAGUA";"2";
"4";"D";"NIGÈRIA";"17";
"4";"D";"NORUEGA";"1";
"4";"D";"PAÏSOS BAIXOS";"1";
"4";"D";"PAKISTAN";"3";
"4";"D";"PANAMÀ";"1";
"4";"D";"PARAGUAI";"75";
"4";"D";"PERÚ";"60";
"4";"D";"POLÒNIA";"2";
"4";"D";"PORTUGAL";"11";
"4";"D";"REGNE UNIT";"6";
"4";"D";"REPÚBLICA DOMINICANA";"40";
"4";"D";"ROMANIA";"182";
"4";"D";"RÚSSIA";"30";
"4";"D";"SENEGAL";"16";
"4";"D";"SIERRA LEONE";"1";
"4";"D";"SÍRIA";"2";
"4";"D";"TAILÀNDIA";"1";
"4";"D";"TOGO";"2";
"4";"D";"TUNÍSIA";"1";
"4";"D";"UCRAÏNA";"26";
"4";"D";"URUGUAI";"23";
"4";"D";"UZBEKISTAN";"2";
"4";"D";"VENEÇUELA";"32";
"4";"D";"XILE";"15";
"4";"D";"XINA";"90";
"4";"H";"ALBÀNIA";"2";
"4";"H";"ALEMANYA";"6";
"4";"H";"ALGÈRIA";"6";
"4";"H";"ANGOLA";"1";
"4";"H";"ARGENTINA";"33";
"4";"H";"ARMÈNIA";"3";
"4";"H";"ÀUSTRIA";"1";
"4";"H";"BANGLA DESH";"1";
"4";"H";"BÈLGICA";"1";
"4";"H";"BIELORÚSSIA";"1";
"4";"H";"BOLÍVIA";"306";
"4";"H";"BRASIL";"21";
"4";"H";"BULGÀRIA";"21";
"4";"H";"BURKINA FASO";"5";
"4";"H";"CAMERUN";"1";
"4";"H";"CANADÀ";"1";
"4";"H";"COLÒMBIA";"51";
"4";"H";"CONGO";"3";
"4";"H";"COSTA D'IVORI";"5";
"4";"H";"COSTA RICA";"2";
"4";"H";"CUBA";"7";
"4";"H";"DOMINICA";"1";
"4";"H";"EGIPTE";"2";
"4";"H";"EL SALVADOR";"1";
"4";"H";"EQUADOR";"119";
"4";"H";"ESPANYA";"17009";
"4";"H";"ESTATS UNITS D'AMÈRICA";"6";
"4";"H";"FRANÇA";"11";
"4";"H";"GÀMBIA";"61";
"4";"H";"GEÒRGIA";"5";
"4";"H";"GHANA";"12";
"4";"H";"GRÈCIA";"2";
"4";"H";"GUATEMALA";"6";
"4";"H";"GUINEA";"40";
"4";"H";"GUINEA BISSAU";"1";
"4";"H";"GUINEA EQUATORIAL";"1";
"4";"H";"HONDURES";"21";
"4";"H";"HONGRIA";"2";
"4";"H";"ÍNDIA";"28";
"4";"H";"ISLÀNDIA";"1";
"4";"H";"ITÀLIA";"68";
"4";"H";"JAPÓ";"2";
"4";"H";"LÍBIA";"2";
"4";"H";"MALI";"41";
"4";"H";"MARROC";"317";
"4";"H";"MAURITÀNIA";"16";
"4";"H";"MÈXIC";"7";
"4";"H";"MOLDÀVIA";"11";
"4";"H";"NIGÈRIA";"17";
"4";"H";"PAÏSOS ÀSIA S.R.D.E.";"1";
"4";"H";"PAÏSOS BAIXOS";"3";
"4";"H";"PAKISTAN";"27";
"4";"H";"PARAGUAI";"37";
"4";"H";"PERÚ";"65";
"4";"H";"POLÒNIA";"5";
"4";"H";"PORTUGAL";"17";
"4";"H";"REGNE UNIT";"9";
"4";"H";"REPÚBLICA DOMINICANA";"33";
"4";"H";"ROMANIA";"164";
"4";"H";"RÚSSIA";"9";
"4";"H";"SENEGAL";"32";
"4";"H";"SÈRBIA";"1";
"4";"H";"SÍRIA";"2";
"4";"H";"SUÏSSA";"1";
"4";"H";"TAILÀNDIA";"1";
"4";"H";"TOGO";"4";
"4";"H";"TURQUIA";"4";
"4";"H";"UCRAÏNA";"23";
"4";"H";"URUGUAI";"25";
"4";"H";"VENEÇUELA";"16";
"4";"H";"XILE";"17";
"4";"H";"XINA";"82";
"5";"D";"ALEMANYA";"10";
"5";"D";"ALGÈRIA";"11";
"5";"D";"ANDORRA";"1";
"5";"D";"ARGENTINA";"29";
"5";"D";"AUSTRÀLIA";"1";
"5";"D";"BANGLA DESH";"3";
"5";"D";"BÈLGICA";"1";
"5";"D";"BIELORÚSSIA";"4";
"5";"D";"BOLÍVIA";"86";
"5";"D";"BRASIL";"22";
"5";"D";"BULGÀRIA";"7";
"5";"D";"BURKINA FASO";"3";
"5";"D";"CAMERUN";"1";
"5";"D";"CANADÀ";"1";
"5";"D";"COLÒMBIA";"31";
"5";"D";"COSTA D'IVORI";"10";
"5";"D";"COSTA RICA";"2";
"5";"D";"CUBA";"15";
"5";"D";"EL SALVADOR";"6";
"5";"D";"EQUADOR";"54";
"5";"D";"ESLOVÀQUIA";"1";
"5";"D";"ESPANYA";"8891";
"5";"D";"ESTATS UNITS D'AMÈRICA";"2";
"5";"D";"FILIPINES";"2";
"5";"D";"FRANÇA";"23";
"5";"D";"GÀMBIA";"2";
"5";"D";"GEÒRGIA";"1";
"5";"D";"GHANA";"2";
"5";"D";"GUINEA";"26";
"5";"D";"HONDURES";"18";
"5";"D";"ÍNDIA";"3";
"5";"D";"IRLANDA";"2";
"5";"D";"ISLÀNDIA";"1";
"5";"D";"ITÀLIA";"29";
"5";"D";"JAPÓ";"1";
"5";"D";"LÍBAN";"1";
"5";"D";"LITUÀNIA";"2";
"5";"D";"MALÀISIA";"1";
"5";"D";"MALI";"14";
"5";"D";"MARROC";"196";
"5";"D";"MÈXIC";"4";
"5";"D";"MOLDÀVIA";"6";
"5";"D";"NICARAGUA";"2";
"5";"D";"NIGÈRIA";"10";
"5";"D";"PAÏSOS BAIXOS";"2";
"5";"D";"PAKISTAN";"5";
"5";"D";"PANAMÀ";"2";
"5";"D";"PARAGUAI";"36";
"5";"D";"PERÚ";"21";
"5";"D";"POLÒNIA";"3";
"5";"D";"PORTUGAL";"2";
"5";"D";"REGNE UNIT";"4";
"5";"D";"REP. DEMOCRÀTICA DEL CONGO";"3";
"5";"D";"REPÚBLICA DOMINICANA";"27";
"5";"D";"ROMANIA";"116";
"5";"D";"RÚSSIA";"15";
"5";"D";"SÀHARA OCCIDENTAL";"2";
"5";"D";"SENEGAL";"6";
"5";"D";"SÈRBIA";"1";
"5";"D";"TUNÍSIA";"2";
"5";"D";"TURQUIA";"1";
"5";"D";"UCRAÏNA";"14";
"5";"D";"URUGUAI";"16";
"5";"D";"VENEÇUELA";"12";
"5";"D";"XILE";"11";
"5";"D";"XINA";"43";
"5";"D";"XIPRE";"1";
"5";"H";"ALEMANYA";"10";
"5";"H";"ALGÈRIA";"10";
"5";"H";"ARGENTINA";"26";
"5";"H";"ARMÈNIA";"1";
"5";"H";"ÀUSTRIA";"2";
"5";"H";"BANGLA DESH";"6";
"5";"H";"BÈLGICA";"3";
"5";"H";"BIELORÚSSIA";"3";
"5";"H";"BOLÍVIA";"65";
"5";"H";"BÒSNIA I HERCEGOVINA";"2";
"5";"H";"BRASIL";"17";
"5";"H";"BULGÀRIA";"11";
"5";"H";"BURKINA FASO";"2";
"5";"H";"CANADÀ";"1";
"5";"H";"COLÒMBIA";"36";
"5";"H";"COSTA D'IVORI";"16";
"5";"H";"COSTA RICA";"1";
"5";"H";"CROÀCIA";"1";
"5";"H";"CUBA";"4";
"5";"H";"DINAMARCA";"1";
"5";"H";"EGIPTE";"1";
"5";"H";"EL SALVADOR";"1";
"5";"H";"EQUADOR";"41";
"5";"H";"ESLOVÀQUIA";"1";
"5";"H";"ESPANYA";"8479";
"5";"H";"ESTATS UNITS D'AMÈRICA";"1";
"5";"H";"FINLÀNDIA";"2";
"5";"H";"FRANÇA";"10";
"5";"H";"GÀMBIA";"16";
"5";"H";"GEÒRGIA";"2";
"5";"H";"GHANA";"9";
"5";"H";"GRÈCIA";"1";
"5";"H";"GUINEA";"57";
"5";"H";"GUINEA EQUATORIAL";"2";
"5";"H";"HONDURES";"6";
"5";"H";"ÍNDIA";"3";
"5";"H";"IRAQ";"1";
"5";"H";"ISLÀNDIA";"1";
"5";"H";"ITÀLIA";"50";
"5";"H";"JAPÓ";"2";
"5";"H";"LITUÀNIA";"1";
"5";"H";"MALI";"33";
"5";"H";"MARROC";"253";
"5";"H";"MAURITÀNIA";"8";
"5";"H";"MÈXIC";"2";
"5";"H";"MOLDÀVIA";"4";
"5";"H";"NICARAGUA";"1";
"5";"H";"NIGÈRIA";"8";
"5";"H";"PAÏSOS ÀFRICA S.R.D.E.";"1";
"5";"H";"PAÏSOS BAIXOS";"2";
"5";"H";"PAKISTAN";"22";
"5";"H";"PARAGUAI";"16";
"5";"H";"PERÚ";"17";
"5";"H";"POLÒNIA";"1";
"5";"H";"PORTUGAL";"10";
"5";"H";"REGNE UNIT";"8";
"5";"H";"REPÚBLICA DOMINICANA";"13";
"5";"H";"REPÚBLICA TXECA";"1";
"5";"H";"ROMANIA";"93";
"5";"H";"RÚSSIA";"5";
"5";"H";"SÀHARA OCCIDENTAL";"4";
"5";"H";"SENEGAL";"20";
