Districte;Sexe;Nivell_Estudis;Total;
"5";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"7";
"5";"D";"Arquitecte, Enginyer Tècnic";"33";
"5";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"1725";
"5";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1036";
"5";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"594";
"5";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"113";
"5";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"478";
"5";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"570";
"5";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"766";
"5";"D";"No sap llegir ni escriure";"158";
"5";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"2007";
"5";"D";"Sense estudis";"2394";
"5";"D";"Títols d'estudis superiors no universitaris";"2";
"5";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"6";
"5";"H";"Arquitecte, Enginyer Tècnic";"127";
"5";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"1983";
"5";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1054";
"5";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"305";
"5";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"79";
"5";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"550";
"5";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"627";
"5";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"622";
"5";"H";"No sap llegir ni escriure";"51";
"5";"H";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"1854";
"5";"H";"Sense estudis";"2268";
"5";"H";"Títols d'estudis superiors no universitaris";"2";
"6";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"11";
"6";"D";"Arquitecte, Enginyer Tècnic";"12";
"6";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3040";
"6";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1105";
"6";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"422";
"6";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"42";
"6";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"515";
"6";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"782";
"6";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"492";
"6";"D";"No sap llegir ni escriure";"400";
"6";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"4115";
"6";"D";"Sense estudis";"3946";
"6";"D";"Títols d'estudis superiors no universitaris";"2";
"6";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"8";
"6";"H";"Arquitecte, Enginyer Tècnic";"80";
"6";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3356";
"6";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1013";
"6";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"239";
"6";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"27";
"6";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"578";
"6";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"929";
"6";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"350";
"6";"H";"No sap llegir ni escriure";"145";
"6";"H";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"4194";
"6";"H";"Sense estudis";"3559";
"6";"H";"Títols d'estudis superiors no universitaris";"3";
"7";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"2";
"7";"D";"Arquitecte, Enginyer Tècnic";"9";
"7";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"854";
"7";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"197";
"7";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"105";
"7";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"2";
"7";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"128";
"7";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"209";
"7";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"99";
"7";"D";"No sap llegir ni escriure";"292";
"7";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"1004";
"7";"D";"Sense estudis";"1427";
"7";"D";"Títols d'estudis superiors no universitaris";"1";
"7";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"1";
"7";"H";"Arquitecte, Enginyer Tècnic";"16";
"7";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"940";
"7";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"151";
"7";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"41";
"7";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"6";
"7";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"154";
"7";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"218";
"7";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"49";
"7";"H";"No sap llegir ni escriure";"117";
"7";"H";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"1304";
"7";"H";"Sense estudis";"1404";
