Districte;Sexe;Nivell_Estudis;Total;
"2";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"2157";
"2";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1380";
"2";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"813";
"2";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"186";
"2";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"494";
"2";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"661";
"2";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"1105";
"2";"D";"No sap llegir ni escriure";"209";
"2";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"2705";
"2";"D";"Sense estudis";"2805";
"2";"D";"Títols d'estudis superiors no universitaris";"7";
"2";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"8";
"2";"H";"Arquitecte, Enginyer Tècnic";"134";
"2";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"2271";
"2";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1385";
"2";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"505";
"2";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"128";
"2";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"626";
"2";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"621";
"2";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"989";
"2";"H";"No sap llegir ni escriure";"61";
"2";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"2381";
"2";"H";"Sense estudis";"2605";
"2";"H";"Títols d'estudis superiors no universitaris";"5";
"3";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"9";
"3";"D";"Arquitecte, Enginyer Tècnic";"26";
"3";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3612";
"3";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1310";
"3";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"525";
"3";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"56";
"3";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"623";
"3";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"1033";
"3";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"573";
"3";"D";"No sap llegir ni escriure";"753";
"3";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4321";
"3";"D";"Sense estudis";"4816";
"3";"D";"Títols d'estudis superiors no universitaris";"4";
"3";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"10";
"3";"H";"Arquitecte, Enginyer Tècnic";"88";
"3";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4031";
"3";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1190";
"3";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"239";
"3";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"43";
"3";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"610";
"3";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"1077";
"3";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"429";
"3";"H";"No sap llegir ni escriure";"203";
"3";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4673";
"3";"H";"Sense estudis";"4486";
"3";"H";"Títols d'estudis superiors no universitaris";"2";
"4";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"11";
"4";"D";"Arquitecte, Enginyer Tècnic";"46";
"4";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3861";
"4";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1895";
"4";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"1006";
"4";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"152";
"4";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"878";
"4";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"1183";
"4";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"1152";
"4";"D";"No sap llegir ni escriure";"378";
"4";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4095";
"4";"D";"Sense estudis";"4965";
"4";"D";"Títols d'estudis superiors no universitaris";"5";
"4";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"5";
"4";"H";"Arquitecte, Enginyer Tècnic";"206";
"4";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4359";
"4";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1643";
"4";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"430";
"4";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"124";
"4";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"1013";
"4";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"1348";
"4";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"965";
"4";"H";"No sap llegir ni escriure";"117";
"4";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"3993";
"4";"H";"Sense estudis";"4711";
"4";"H";"Títols d'estudis superiors no universitaris";"4";
"5";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"8";
"5";"D";"Arquitecte, Enginyer Tècnic";"33";
"5";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"1768";
"5";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1032";
"5";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"601";
"5";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"126";
"5";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"477";
"5";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"589";
"5";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"801";
"5";"D";"No sap llegir ni escriure";"143";
"5";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"2035";
"5";"D";"Sense estudis";"2343";
"5";"D";"Títols d'estudis superiors no universitaris";"2";
"5";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"8";
"5";"H";"Arquitecte, Enginyer Tècnic";"130";
"5";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"2029";
"5";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1051";
"5";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"302";
"5";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"87";
"5";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"559";
"5";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"635";
"5";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"635";
"5";"H";"No sap llegir ni escriure";"46";
"5";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"1826";
"5";"H";"Sense estudis";"2280";
"5";"H";"Títols d'estudis superiors no universitaris";"2";
"6";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"12";
"6";"D";"Arquitecte, Enginyer Tècnic";"13";
"6";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3077";
"6";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1100";
"6";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"405";
"6";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"49";
"6";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"529";
"6";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"778";
"6";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"519";
"6";"D";"No sap llegir ni escriure";"381";
"6";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4098";
"6";"D";"Sense estudis";"3839";
"6";"D";"Títols d'estudis superiors no universitaris";"3";
"6";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"8";
"6";"H";"Arquitecte, Enginyer Tècnic";"83";
"6";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"3392";
"6";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"1010";
"6";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"227";
"6";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"37";
"6";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"570";
"6";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"943";
"6";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"358";
"6";"H";"No sap llegir ni escriure";"129";
"6";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"4120";
"6";"H";"Sense estudis";"3486";
"6";"H";"Títols d'estudis superiors no universitaris";"3";
"7";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"4";
"7";"D";"Arquitecte, Enginyer Tècnic";"8";
"7";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"836";
"7";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"202";
"7";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"99";
"7";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"5";
"7";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"150";
"7";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"209";
"7";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"114";
"7";"D";"No sap llegir ni escriure";"279";
"7";"D";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"1008";
"7";"D";"Sense estudis";"1397";
"7";"D";"Títols d'estudis superiors no universitaris";"1";
"7";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"1";
"7";"H";"Arquitecte, Enginyer Tècnic";"15";
"7";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"958";
"7";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"157";
"7";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"39";
"7";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"7";
"7";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"156";
"7";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"240";
"7";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"53";
"7";"H";"No sap llegir ni escriure";"110";
"7";"H";"Primària incompleta. 5 cursos d'EGB, certificat escolaritat o equivalents.";"1298";
"7";"H";"Sense estudis";"1360";
