PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
320;3330A;22101;320/3330A/22101;Aigua;10.372,57
320;3330A;22102;320/3330A/22102;Gas   ;66.216,62
320;3330A;22199;320/3330A/22199;Altres subministraments;240,00
320;3330A;22699;320/3330A/22699;Altres despeses diverses;240,00
320;3330A;2270001;320/3330A/2270001;Contractes de neteja;146.183,04
320;3330A;22799;320/3330A/22799;Altres treballs realitzats per altres empreses i prof.;120,00
320;3330A;41000;320/3330A/41000;A Organismes Autònoms de l'Entitat Local;107.253,74
320;3330A;62200;320/3330A/62200;Inversió nova en edifici;31.249,11
320;3340A;12000;320/3340A/12000;Salaris del Grup A1;14.824,22
320;3340A;12001;320/3340A/12001;Salaris del Grup A2;26.071,20
320;3340A;12003;320/3340A/12003;Salaris del Grup C1;89.854,38
320;3340A;12004;320/3340A/12004;Salaris del Grup C2;25.387,38
320;3340A;12005;320/3340A/12005;Salaris del Grup E;46.532,64
320;3340A;12006;320/3340A/12006;Triennis;40.398,59
320;3340A;12100;320/3340A/12100;Complement de destí;104.059,90
320;3340A;12101;320/3340A/12101;Complement  específic;199.139,36
320;3340A;12103;320/3340A/12103;Altres complements;93.727,31
320;3340A;13100;320/3340A/13100;Laboral temporal;20.517,88
320;3340A;13102;320/3340A/13102;Altres remuneracions personal laboral temporal;40.422,54
320;3340A;15000;320/3340A/15000;Productivitat;1.741,88
320;3340A;15200;320/3340A/15200;Altres incentius;23.000,00
320;3340A;16000;320/3340A/16000;Seguretat social;191.069,31
320;3340A;20502;320/3340A/20502;Lloguers de mobiliari i estris Departaments;20,00
320;3340A;20800;320/3340A/20800;Arrendaments d'altre immobilitzat material;3.080,00
320;3340A;22199;320/3340A/22199;Altres subministraments;2.100,00
320;3340A;22400;320/3340A/22400;Primes d’assegurances;500,00
320;3340A;22602;320/3340A/22602;Publicitat;4.200,00
320;3340A;22609;320/3340A/22609;Activitats Culturals;612.865,00
320;3340A;22699;320/3340A/22699;Altres despeses diverses;12.585,00
320;3340A;22706;320/3340A/22706;Estudis, plans i projectes;4.000,00
320;3340A;22799;320/3340A/22799;Altres treballs realitzats per altres empreses i prof.;5.895,00
320;3340A;47900;320/3340A/47900;Transferències corrents a empreses privades;10,00
320;3340A;48100;320/3340A/48100;Premis, beques i pensions d’estudi i investigació;10,00
320;3340A;48200;320/3340A/48200;Transf. corrents institucions sense ànim de lucre;99.865,00
320;3340B;12003;320/3340B/12003;Salaris del Grup C1;29.951,46
320;3340B;12006;320/3340B/12006;Triennis;9.779,26
320;3340B;12100;320/3340B/12100;Complement de destí;17.700,06
320;3340B;12101;320/3340B/12101;Complement  específic;28.784,84
320;3340B;12103;320/3340B/12103;Altres complements;9.777,09
320;3340B;13000;320/3340B/13000;Retribucions bàsiques;13.632,62
320;3340B;13002;320/3340B/13002;Altres remuneracions;32.748,10
320;3340B;15200;320/3340B/15200;Altres incentius;4.000,00
320;3340B;16000;320/3340B/16000;Seguretat social;38.373,58
320;3340B;20800;320/3340B/20800;Arrendaments d'altre immobilitzat material;900,00
320;3340B;22199;320/3340B/22199;Altres subministraments;1.900,00
320;3340B;22400;320/3340B/22400;Primes d’assegurances;500,00
320;3340B;22606;320/3340B/22606;Reunions, conferències i cursos;1.300,00
320;3340B;22609;320/3340B/22609;Activitats culturals;15.570,00
320;3340B;22699;320/3340B/22699;Altres despeses diverses;2.330,00
320;3340B;2270001;320/3340B/2270001;Contractes de neteja;24.881,34
320;3340B;22799;320/3340B/22799;Altres treballs realitzats per altres empreses i prof.;470,00
320;3340B;48100;320/3340B/48100;Premis, beques i pensions d’estudi i investigació;10,00
320;3340B;48200;320/3340B/48200;Transf. corrents institucions sense ànim de lucre;5.860,00
320;3360A;22100;320/3360A/22100;Energia elèctrica;38.711,13
320;3360A;22101;320/3360A/22101;Aigua;5.678,67
320;3360A;22102;320/3360A/22102;Gas   ;14.756,52
320;3360A;22699;320/3360A/22699;Altres despeses diverses;50,00
320;3360A;2270001;320/3360A/2270001;Contractes de neteja;11.230,53
320;3360A;22799;320/3360A/22799;Altres treballs realitzats per altres empreses i prof.;50,00
320;3360A;48100;320/3360A/48100;Premis, beques i pensions d’estudi i investigació;4.000,00
320;3360A;48200;320/3360A/48200;Transf. corrents institucions sense ànim de lucre;50,00
320;3360B;21200;320/3360B/21200;Manteniment d’edificis i altres construccions;6.891,18
320;3360B;21300;320/3360B/21300;Manteniment de maquinària, instal·lacions i utillatge;9.924,77
320;3360B;41000;320/3360B/41000;A Organismes Autònoms de l'Entitat Local;518.138,54
320;3360B;62300;320/3360B/62300;Inversió nova en maquinària, instal. i utillatge;15.000,00
320;3360B;63200;320/3360B/63200;Inversió de reposició en edifici;100.000,00
320;3380A;12003;320/3380A/12003;Salaris del Grup C1;29.951,46
320;3380A;12004;320/3380A/12004;Salaris del Grup C2;8.462,46
320;3380A;12006;320/3380A/12006;Triennis;7.327,20
320;3380A;12100;320/3380A/12100;Complement de destí;21.695,38
320;3380A;12101;320/3380A/12101;Complement  específic;36.914,36
320;3380A;12103;320/3380A/12103;Altres complements;16.457,72
320;3380A;15200;320/3380A/15200;Altres incentius;4.000,00
320;3380A;16000;320/3380A/16000;Seguretat social;31.677,09
320;3380A;20500;320/3380A/20500;Lloguer de mobiliari i estris;60.000,00
320;3380A;20800;320/3380A/20800;Arrendaments d'altre immobilitzat material;28.655,00
320;3380A;22199;320/3380A/22199;Altres subministraments;11.680,00
320;3380A;22400;320/3380A/22400;Primes d’assegurances;1.000,00
320;3380A;22609;320/3380A/22609;Altres despeses;321.335,00
320;3380A;22699;320/3380A/22699;Altres despeses diverses;11.200,00
320;3380A;22706;320/3380A/22706;Estudis, plans i projectes;4.400,00
320;3380A;22799;320/3380A/22799;Altres treballs realitzats per altres empreses i prof.;5.000,00
320;3380A;48100;320/3380A/48100;Premis, beques i pensions d’estudi i investigació;20,00
320;3380A;48200;320/3380A/48200;Transf. corrents institucions sense ànim de lucre;107.900,00
320;3380A;62302;320/3380A/62302;Inversió nova en maquinària, instal. i utillatge;15.000,00
330;2310A;12000;330/2310A/12000;Salaris del Grup A1;74.121,10
330;2310A;12001;330/2310A/12001;Salaris del Grup A2;156.290,62
330;2310A;12003;330/2310A/12003;Salaris del Grup C1;39.935,28
330;2310A;12004;330/2310A/12004;Salaris del Grup C2;26.797,79
330;2310A;12005;330/2310A/12005;Salaris del Grup E;7.755,44
330;2310A;12006;330/2310A/12006;Triennis;74.379,56
330;2310A;12100;330/2310A/12100;Complement de destí;175.976,28
330;2310A;12101;330/2310A/12101;Complement  específic;334.406,28
330;2310A;12103;330/2310A/12103;Altres complements;54.774,78
330;2310A;15000;330/2310A/15000;Productivitat;869,82
330;2310A;15200;330/2310A/15200;Altres incentius;23.000,00
330;2310A;16000;330/2310A/16000;Seguretat social;244.564,37
330;2310A;21200;330/2310A/21200;Manteniment d’edificis i altres construccions;1.505,46
330;2310A;21300;330/2310A/21300;Manteniment de maquinària, instal·lacions i utillatge;2.468,19
330;2310A;22001;330/2310A/22001;Premsa, revistes, llibres i altres publicacions;1.084,41
330;2310A;22201;330/2310A/22201;Comunicacions postals;3.500,00
330;2310A;22699;330/2310A/22699;Altres despeses diverses;8.000,00
330;2310A;2270001;330/2310A/2270001;Contractes de neteja;25.997,68
330;2310A;62300;330/2310A/62300;Inversió nova en maquinària, instal. i utillatge;20.000,00
330;2310A;63200;330/2310A/63200;Inversió de reposició en edifici;70.000,00
330;2311A;12001;330/2311A/12001;Salaris del Grup A2;405.621,61
330;2311A;12004;330/2311A/12004;Salaris del Grup C2;169.249,20
330;2311A;12005;330/2311A/12005;Salaris del Grup E;7.755,44
330;2311A;12006;330/2311A/12006;Triennis;72.077,32
330;2311A;12100;330/2311A/12100;Complement de destí;268.211,75
330;2311A;12101;330/2311A/12101;Complement  específic;471.520,64
330;2311A;12103;330/2311A/12103;Altres complements;35.446,98
330;2311A;13100;330/2311A/13100;Laboral temporal;13.035,60
330;2311A;13102;330/2311A/13102;Altres remuneracions personal laboral temporal;15.170,68
330;2311A;15200;330/2311A/15200;Altres incentius;53.800,00
330;2311A;16000;330/2311A/16000;Seguretat social;446.445,61
330;2311A;20200;330/2311A/20200;Lloguers d’edificis i altres construccions;1.452,00
330;2311A;21302;330/2311A/21302;Manteniment d'instal·lacions i maquinària;14.000,00
330;2311A;22104;330/2311A/22104;Vestuari;500,00
330;2311A;22604;330/2311A/22604;Assessorament jurídic;17.000,00
330;2311A;22799;330/2311A/22799;Altres treballs realitzats per altres empreses i prof.;610.136,64
330;2311A;48000;330/2311A/48000;A famílies i institucions sense ànim de lucre;886.905,89
330;2311A;48002;330/2311A/48002;Transferències families per habitatge;75.000,00
330;2311A;48200;330/2311A/48200;Transf. corrents institucions sense ànim de lucre;162.067,00
330;2311B;22699;330/2311B/22699;Altres despeses diverses;5.500,00
330;2311B;62300;330/2311B/62300;Inversió nova en maquinària, instal. i utillatge;1.000,00
330;2311B;62500;330/2311B/62500;Mobiliari;2.500,00
330;2311B;63200;330/2311B/63200;Inversió de reposició en edifici;16.500,00
330;2312A;12001;330/2312A/12001;Salaris del Grup A2;273.561,40
330;2312A;12006;330/2312A/12006;Triennis;30.181,49
330;2312A;12100;330/2312A/12100;Complement de destí;118.420,29
330;2312A;12101;330/2312A/12101;Complement  específic;201.217,44
330;2312A;12103;330/2312A/12103;Altres complements;16.668,59
330;2312A;13000;330/2312A/13000;Retribucions bàsiques;13.735,32
330;2312A;13002;330/2312A/13002;Altres remuneracions;17.836,66
330;2312A;15000;330/2312A/15000;Productivitat;3.597,86
330;2312A;15200;330/2312A/15200;Altres incentius;21.985,70
330;2312A;16000;330/2312A/16000;Seguretat social;210.392,15
330;2312A;22799;330/2312A/22799;Altres treballs realitzats per altres empreses i prof.;328.000,00
330;2312A;48200;330/2312A/48200;Transf. corrents institucions sense ànim de lucre;2.167.573,00
330;2312B;12000;330/2312B/12000;Salaris del Grup A1;59.296,88
330;2312B;12001;330/2312B/12001;Salaris del Grup A2;52.142,40
330;2312B;12004;330/2312B/12004;Salaris del Grup C2;8.462,46
330;2312B;12006;330/2312B/12006;Triennis;13.518,37
330;2312B;12100;330/2312B/12100;Complement de destí;56.313,88
330;2312B;12101;330/2312B/12101;Complement  específic;91.468,72
330;2312B;12103;330/2312B/12103;Altres complements;9.279,50
330;2312B;15200;330/2312B/15200;Altres incentius;8.000,00
330;2312B;16000;330/2312B/16000;Seguretat social;88.058,80
330;2314A;12001;330/2314A/12001;Salaris del Grup A2;13.035,60
330;2314A;12004;330/2314A/12004;Salaris del Grup C2;50.774,76
330;2314A;12006;330/2314A/12006;Triennis;13.040,93
330;2314A;12100;330/2314A/12100;Complement de destí;33.362,84
330;2314A;12101;330/2314A/12101;Complement  específic;58.365,44
330;2314A;12103;330/2314A/12103;Altres complements;40,08
330;2314A;15200;330/2314A/15200;Altres incentius;7.000,00
330;2314A;16000;330/2314A/16000;Seguretat social;49.053,64
330;2314A;22104;330/2314A/22104;Vestuari;1.000,00
330;2314A;22699;330/2314A/22699;Altres despeses diverses;3.000,00
330;2314A;22799;330/2314A/22799;Altres treballs realitzats per altres empreses i prof.;3.905.878,20
330;2315A;12001;330/2315A/12001;Salaris del Grup A2;13.035,60
330;2315A;12006;330/2315A/12006;Triennis;1.417,98
330;2315A;12100;330/2315A/12100;Complement de destí;5.582,36
330;2315A;12101;330/2315A/12101;Complement  específic;9.588,32
330;2315A;12103;330/2315A/12103;Altres complements;2.298,52
330;2315A;15200;330/2315A/15200;Altres incentius;1.000,00
330;2315A;16000;330/2315A/16000;Seguretat social;10.352,29
330;2315A;22100;330/2315A/22100;Energia elèctrica;3.922,26
330;2315A;22101;330/2315A/22101;Aigua;1.193,44
330;2315A;22699;330/2315A/22699;Altres despeses diverses;73.800,00
330;2315A;22799;330/2315A/22799;Altres treballs realitzats per altres empreses i prof.;827.654,00
350;1640A;47900;350/1640A/47900;Incentiu incineracions;30.000,00
350;3110A;12000;350/3110A/12000;Salaris del Grup A1;44.472,66
350;3110A;12001;350/3110A/12001;Salaris del Grup A2;6.517,80
350;3110A;12003;350/3110A/12003;Salaris del Grup C1;19.967,64
350;3110A;12004;350/3110A/12004;Salaris del Grup C2;16.924,92
350;3110A;12006;350/3110A/12006;Triennis;19.697,34
350;3110A;12100;350/3110A/12100;Complement de destí;49.169,26
350;3110A;12101;350/3110A/12101;Complement  específic;92.379,42
350;3110A;12103;350/3110A/12103;Altres complements;14.212,04
350;3110A;15000;350/3110A/15000;Productivitat;4.453,68
350;3110A;15200;350/3110A/15200;Altres incentius;7.000,00
350;3110A;16000;350/3110A/16000;Seguretat social;69.148,27
350;3110A;20800;350/3110A/20800;Lloguer desfibriladors;15.000,00
350;3110A;21200;350/3110A/21200;Manteniment d’edificis i altres construccions;1.479,17
350;3110A;21300;350/3110A/21300;Manteniment de maquinària, instal·lacions i utillatge;2.130,33
350;3110A;22001;350/3110A/22001;Premsa, revistes, llibres i altres publicacions;272,01
350;3110A;22100;350/3110A/22100;Energia elèctrica;8.884,30
350;3110A;22101;350/3110A/22101;Aigua;2.855,47
350;3110A;22102;350/3110A/22102;Gas   ;6.800,00
350;3110A;22201;350/3110A/22201;Comunicacions postals;1.500,00
350;3110A;22699;350/3110A/22699;Altres despeses diverses;16.017,10
350;3110A;2270001;350/3110A/2270001;Contractes de neteja;38.380,50
350;3110A;22799;350/3110A/22799;Treballs realitzats per altres empreses;8.600,00
350;3110A;48300;350/3110A/48300;Subvencions i aportacions institucionals;675,16
350;3110A;48900;350/3110A/48900;Altres transferències;39.000,00
350;3110A;62302;350/3110A/62302;Inversió nova en maquinària, instal. i utillatge;17.986,91
350;3111A;12000;350/3111A/12000;Salaris del Grup A1;44.472,66
350;3111A;12001;350/3111A/12001;Salaris del Grup A2;13.035,60
350;3111A;12004;350/3111A/12004;Salaris del Grup C2;33.849,84
350;3111A;12006;350/3111A/12006;Triennis;18.667,55
350;3111A;12100;350/3111A/12100;Complement de destí;46.564,98
350;3111A;12101;350/3111A/12101;Complement  específic;75.845,84
350;3111A;12103;350/3111A/12103;Altres complements;47,40
350;3111A;15200;350/3111A/15200;Altres incentius;8.000,00
350;3111A;16000;350/3111A/16000;Seguretat social;65.743,58
350;3111A;22100;350/3111A/22100;Energia elèctrica;23.482,45
350;3111A;22699;350/3111A/22699;Altres despeses diverses;20.000,00
350;3111A;22799;350/3111A/22799;Treballs realitzats per altres empreses;25.500,00
350;3111B;12003;350/3111B/12003;Salaris del Grup C1;9.983,82
350;3111B;12004;350/3111B/12004;Salaris del Grup C2;16.924,92
350;3111B;12006;350/3111B/12006;Triennis;6.686,48
350;3111B;12100;350/3111B/12100;Complement de destí;14.208,18
350;3111B;12101;350/3111B/12101;Complement  específic;24.718,68
350;3111B;12103;350/3111B/12103;Altres complements;20,88
350;3111B;13000;350/3111B/13000;Retribucions bàsiques;39.410,14
350;3111B;13002;350/3111B/13002;Altres remuneracions;40.259,72
350;3111B;13100;350/3111B/13100;Laboral temporal;8.136,52
350;3111B;13102;350/3111B/13102;Altres remuneracions personal laboral temporal;11.644,62
350;3111B;15000;350/3111B/15000;Productivitat;2.312,80
350;3111B;15200;350/3111B/15200;Altres incentius;6.000,00
350;3111B;16000;350/3111B/16000;Seguretat social;52.956,80
350;3111B;21302;350/3111B/21302;Manteniment d'instal·lacions i maquinària Departaments;12.000,00
350;3111B;22100;350/3111B/22100;Energia elèctrica;10,00
350;3111B;22101;350/3111B/22101;Aigua;10,00
350;3111B;22102;350/3111B/22102;Gas   ;10,00
350;3111B;22104;350/3111B/22104;Vestuari;500,00
350;3111B;22199;350/3111B/22199;Altres subministraments;1.500,00
350;3111B;22400;350/3111B/22400;Primes d’assegurances;740,00
350;3111B;22699;350/3111B/22699;Altres despeses diverses;33.260,00
350;3111B;22799;350/3111B/22799;Altres treballs realitzats per altres empreses i prof.;7.000,00
350;3111B;62302;350/3111B/62302;Inversió nova en maquinària, instal. i utillatge;8.792,18
350;3111C;22699;350/3111C/22699;Altres despeses diverses;31.000,00
350;3111C;22799;350/3111C/22799;Altres treballs realitzats per altres empreses i prof.;84.000,00
350;3112A;12000;350/3112A/12000;Salaris del Grup A1;51.884,77
350;3112A;12001;350/3112A/12001;Salaris del Grup A2;13.035,60
350;3112A;12003;350/3112A/12003;Salaris del Grup C1;8.557,15
350;3112A;12004;350/3112A/12004;Salaris del Grup C2;16.924,92
350;3112A;12006;350/3112A/12006;Triennis;18.195,45
350;3112A;12100;350/3112A/12100;Complement de destí;46.183,48
350;3112A;12101;350/3112A/12101;Complement  específic;80.831,94
350;3112A;12103;350/3112A/12103;Altres complements;4.371,48
350;3112A;13000;350/3112A/13000;Retribucions bàsiques;20.024,96
350;3112A;13002;350/3112A/13002;Altres remuneracions;18.983,96
350;3112A;15200;350/3112A/15200;Altres incentius;7.857,10
350;3112A;16000;350/3112A/16000;Seguretat social;79.597,28
350;3112A;22699;350/3112A/22699;Altres despeses diverses;28.000,00
400;1500A;12000;400/1500A/12000;Salaris del Grup A1;29.648,44
400;1500A;12001;400/1500A/12001;Salaris del Grup A2;13.035,60
400;1500A;12003;400/1500A/12003;Salaris del Grup C1;19.967,64
400;1500A;12004;400/1500A/12004;Salaris del Grup C2;16.924,92
400;1500A;12006;400/1500A/12006;Triennis;12.089,42
400;1500A;12100;400/1500A/12100;Complement de destí;44.552,20
400;1500A;12101;400/1500A/12101;Complement  específic;90.105,12
400;1500A;12103;400/1500A/12103;Altres complements;19.322,76
400;1500A;15000;400/1500A/15000;Productivitat;2.009,14
400;1500A;15200;400/1500A/15200;Altres incentius;7.000,00
400;1500A;16000;400/1500A/16000;Seguretat social;59.410,49
400;1500A;22000;400/1500A/22000;Material d'oficina no inventariable;500,00
400;1500A;22001;400/1500A/22001;Premsa, revistes, llibres i altres publicacions;544,02
400;1500A;22100;400/1500A/22100;Energia elèctrica;3.303,82
400;1500A;22201;400/1500A/22201;Comunicacions postals;5.404,00
400;1500A;22601;400/1500A/22601;Atencions protocol·làries i representatives;1.000,00
400;1500A;2260200;400/1500A/2260200;Difusió d'activitats;4.000,00
400;1500A;2260202;400/1500A/2260202;Publicacions;1.500,00
400;1500A;22699;400/1500A/22699;Altres despeses diverses;1.000,00
400;1500A;2270001;400/1500A/2270001;Contractes de neteja;77.509,01
400;1500A;22706;400/1500A/22706;Estudis i treballs tècnics;16.611,00
400;1500A;22799;400/1500A/22799;Altres treballs realitzats per altres empreses;500,00
400;1500A;23001;400/1500A/23001;Dietes membres corporació;751,00
400;1500A;23010;400/1500A/23010;Dietes del personal directiu;500,00
400;1500A;23020;400/1500A/23020;Dietes personal no directiu;3.000,00
400;1500A;23100;400/1500A/23100;Locomoció dels membres dels òrgans de govern;751,50
400;1500A;23110;400/1500A/23110;Del personal directiu;500,00
400;1500A;23120;400/1500A/23120;Del personal no directiu;3.000,00
400;9200E;11000;400/9200E/11000;Retribucions bàsiques;45.253,60
400;9200E;16000;400/9200E/16000;Seguretat social;13.504,54
411;1510A;12000;411/1510A/12000;Salaris del Grup A1;14.824,22
411;1510A;12001;411/1510A/12001;Salaris del Grup A2;13.035,60
411;1510A;12004;411/1510A/12004;Salaris del Grup C2;6.769,97
411;1510A;12006;411/1510A/12006;Triennis;8.684,08
411;1510A;12100;411/1510A/12100;Complement de destí;21.319,48
411;1510A;12101;411/1510A/12101;Complement  específic;39.634,70
411;1510A;12103;411/1510A/12103;Altres complements;8.241,94
411;1510A;15200;411/1510A/15200;Altres incentius;2.800,00
411;1510A;16000;411/1510A/16000;Seguretat social;25.719,52
411;1510A;22100;411/1510A/22100;Energia elèctrica;10,00
411;1510A;22102;411/1510A/22102;Gas   ;1.499,88
411;1510A;22706;411/1510A/22706;Estudis per a la tramitació de figures de planejament;75.000,00
411;1510A;60000;411/1510A/60000;Compra de sòl i edificis;331.852,31
411;1510A;60900;411/1510A/60900;Inversió nova en infraestructura;30.000,00
411;1510A;63200;411/1510A/63200;Inversió de reposició en edifici;60.000,00
411;1510B;12000;411/1510B/12000;Salaris del Grup A1;74.121,10
411;1510B;12003;411/1510B/12003;Salaris del Grup C1;19.967,64
411;1510B;12004;411/1510B/12004;Salaris del Grup C2;8.462,46
411;1510B;12006;411/1510B/12006;Triennis;20.793,81
411;1510B;12100;411/1510B/12100;Complement de destí;54.624,64
411;1510B;12101;411/1510B/12101;Complement  específic;90.271,86
411;1510B;12103;411/1510B/12103;Altres complements;2.536,00
411;1510B;15000;411/1510B/15000;Productivitat;7.966,68
411;1510B;15200;411/1510B/15200;Altres incentius;7.000,00
411;1510B;16000;411/1510B/16000;Seguretat social;77.708,89
411;1510C;12001;411/1510C/12001;Salaris del Grup A2;11.622,84
411;1510C;12004;411/1510C/12004;Salaris del Grup C2;8.462,46
411;1510C;12006;411/1510C/12006;Triennis;5.147,86
411;1510C;12100;411/1510C/12100;Complement de destí;10.212,44
411;1510C;12101;411/1510C/12101;Complement  específic;17.717,84
411;1510C;12103;411/1510C/12103;Altres complements;6,96
411;1510C;15200;411/1510C/15200;Altres incentius;1.000,00
411;1510C;16000;411/1510C/16000;Seguretat social;14.003,69
411;1510C;22100;411/1510C/22100;Energia elèctrica;24.879,13
411;1510C;22101;411/1510C/22101;Aigua;2.325,61
411;1510C;22102;411/1510C/22102;Gas   ;945,35
411;1510C;22604;411/1510C/22604;Despeses registrals figures de planejament i gestió;10.000,00
411;1510D;12000;411/1510D/12000;Salaris del Grup A1;29.648,44
411;1510D;12003;411/1510D/12003;Salaris del Grup C1;19.967,64
411;1510D;12004;411/1510D/12004;Salaris del Grup C2;16.924,92
411;1510D;12006;411/1510D/12006;Triennis;19.134,04
411;1510D;12100;411/1510D/12100;Complement de destí;39.286,94
411;1510D;12101;411/1510D/12101;Complement  específic;64.661,94
411;1510D;12103;411/1510D/12103;Altres complements;24.223,04
411;1510D;15000;411/1510D/15000;Productivitat;2.068,64
411;1510D;15200;411/1510D/15200;Altres incentius;6.000,00
411;1510D;16000;411/1510D/16000;Seguretat social;48.422,60
411;1510D;20200;411/1510D/20200;Lloguers d’edificis i altres construccions;37.064,00
411;1510D;22400;411/1510D/22400;Primes d’assegurances;74.622,51
411;1510D;22604;411/1510D/22604;Despeses registrals;14.564,00
411;1510D;22630;411/1510D/22630;Quotes complexes Vimusa;95.000,00
411;1510D;22699;411/1510D/22699;Altres despeses diverses;5.000,00
411;1510D;22699;411/1510D/22699;Quotes comunitats propietaris;65.000,00
412;1512A;12000;412/1512A/12000;Salaris del Grup A1;74.121,10
412;1512A;12001;412/1512A/12001;Salaris del Grup A2;85.879,36
412;1512A;12003;412/1512A/12003;Salaris del Grup C1;19.967,64
412;1512A;12004;412/1512A/12004;Salaris del Grup C2;42.312,30
412;1512A;12006;412/1512A/12006;Triennis;32.867,87
412;1512A;12100;412/1512A/12100;Complement de destí;112.864,78
412;1512A;12101;412/1512A/12101;Complement  específic;207.113,20
412;1512A;12103;412/1512A/12103;Altres complements;10.429,24
412;1512A;15000;412/1512A/15000;Productivitat;2.995,16
412;1512A;15200;412/1512A/15200;Altres incentius;16.600,00
412;1512A;16000;412/1512A/16000;Seguretat social;162.576,70
412;1512A;22199;412/1512A/22199;Plaques per llicències d'obres;1.000,00
412;1512A;22604;412/1512A/22604;Despeses registrals;1.000,00
412;1512A;22699;412/1512A/22699;Execucions subsidiàries;20.000,00
412;1512A;22799;412/1512A/22799;Altres treballs realitzats per altres empreses;1.000,00
412;1512B;12003;412/1512B/12003;Salaris del Grup C1;29.951,46
412;1512B;12004;412/1512B/12004;Salaris del Grup C2;32.157,35
412;1512B;12006;412/1512B/12006;Triennis;12.243,76
412;1512B;12100;412/1512B/12100;Complement de destí;31.866,66
412;1512B;12101;412/1512B/12101;Complement  específic;58.437,96
412;1512B;12103;412/1512B/12103;Altres complements;21,88
412;1512B;15000;412/1512B/15000;Productivitat;2.252,90
412;1512B;15200;412/1512B/15200;Altres incentius;6.800,00
412;1512B;16000;412/1512B/16000;Seguretat social;47.224,58
412;3360B;22706;412/3360B/22706;Estudi Sant Pau de Riu Sec;1.000,00
413;1350A;22706;413/1350A/22706;Redacció memòries seguretat activitats al carrer;25.000,00
413;9331A;12000;413/9331A/12000;Salaris del Grup A1;44.472,66
413;9331A;12004;413/9331A/12004;Salaris del Grup C2;15.232,43
413;9331A;12006;413/9331A/12006;Triennis;16.020,24
413;9331A;12100;413/9331A/12100;Complement de destí;35.302,40
413;9331A;12101;413/9331A/12101;Complement  específic;69.040,02
413;9331A;12103;413/9331A/12103;Altres complements;8.105,74
413;9331A;15200;413/9331A/15200;Altres incentius;4.800,00
413;9331A;16000;413/9331A/16000;Seguretat social;43.994,04
413;9331A;22501;413/9331A/22501;Taxes tramitació certificacions energètiques;3.000,00
413;9331B;12000;413/9331B/12000;Salaris del Grup A1;66.708,99
413;9331B;12001;413/9331B/12001;Salaris del Grup A2;65.178,00
413;9331B;12003;413/9331B/12003;Salaris del Grup C1;13.363,66
413;9331B;12004;413/9331B/12004;Salaris del Grup C2;8.462,46
413;9331B;12006;413/9331B/12006;Triennis;28.535,16
413;9331B;12100;413/9331B/12100;Complement de destí;86.160,20
413;9331B;12101;413/9331B/12101;Complement  específic;161.824,04
413;9331B;12103;413/9331B/12103;Altres complements;5.060,62
413;9331B;15000;413/9331B/15000;Productivitat;2.808,16
413;9331B;15200;413/9331B/15200;Altres incentius;11.000,00
413;9331B;16000;413/9331B/16000;Seguretat social;117.806,91
413;9331B;21202;413/9331B/21202;Reparació i manteniment d'edificis Departaments;10.000,00
413;9331B;22100;413/9331B/22100;Energia elèctrica;8.315,67
413;9331B;22699;413/9331B/22699;Altres despeses diverses;2.000,00
413;9331B;22706;413/9331B/22706;Estudis i treballs tècnics;10.000,00
413;9331B;62200;413/9331B/62200;Inversió nova en edifici;205.000,00
413;9331B;62300;413/9331B/62300;Inversió nova en maquinària, instal. i utillatge;535.000,00
413;9331B;63200;413/9331B/63200;Inversió de reposició en edifici;2.688,67
414;1500C;22706;414/1500C/22706;Estudis i encàrrecs tècnics;1.000,00
414;1503A;12000;414/1503A/12000;Salaris del Grup A1;29.648,44
414;1503A;12003;414/1503A/12003;Salaris del Grup C1;9.983,82
414;1503A;12006;414/1503A/12006;Triennis;13.742,26
414;1503A;12100;414/1503A/12100;Complement de destí;27.971,58
414;1503A;12101;414/1503A/12101;Complement  específic;41.963,74
414;1503A;12103;414/1503A/12103;Altres complements;7.971,66
414;1503A;15000;414/1503A/15000;Productivitat;3.676,68
414;1503A;15200;414/1503A/15200;Altres incentius;3.000,00
414;1503A;16000;414/1503A/16000;Seguretat social;29.720,00
414;1503A;22699;414/1503A/22699;Altres despeses associades;3.000,00
414;1503A;22706;414/1503A/22706;Estudis i encàrrecs tècnics;16.263,85
414;1503A;22799;414/1503A/22799;Altres despeses associades;3.000,00
420;1520A;12000;420/1520A/12000;Salaris del Grup A1;29.648,44
420;1520A;12004;420/1520A/12004;Salaris del Grup C2;15.715,64
420;1520A;12006;420/1520A/12006;Triennis;13.354,20
420;1520A;12100;420/1520A/12100;Complement de destí;27.577,90
420;1520A;12101;420/1520A/12101;Complement  específic;49.886,62
420;1520A;12103;420/1520A/12103;Altres complements;19.654,72
420;1520A;15200;420/1520A/15200;Altres incentius;3.857,10
420;1520A;16000;420/1520A/16000;Seguretat social;33.158,73
420;1520A;22699;420/1520A/22699;Despeses diverses del servei;4.487,00
420;1521A;44900;420/1521A/44900;Contracte programa Vimusa-OLH i gestió parc habitatges municipals;1.306.610,12
420;1522A;44900;420/1522A/44900;Contracte Programa Vimusa (rehabilitació);171.418,00
420;1522A;62300;420/1522A/62300;Inversió nova en maquinària, instal. i utillatge;25.000,00
