PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
160;1300A;2270001;160/1300A/2270001;Contractes de neteja;67.026,06
160;1300A;22799;160/1300A/22799;Gestió integral del servei auxiliar de grua municipal;73.480,46
160;1320A;12000;160/1320A/12000;Salaris del Grup A1;7.412,11
160;1320A;12001;160/1320A/12001;Salaris del Grup A2;16.294,50
160;1320A;12003;160/1320A/12003;Salaris del Grup C1;2.181.963,91
160;1320A;12004;160/1320A/12004;Salaris del Grup C2;32.435,80
160;1320A;12006;160/1320A/12006;Triennis;403.921,92
160;1320A;12100;160/1320A/12100;Complement de destí;1.081.885,68
160;1320A;12101;160/1320A/12101;Complement  específic;4.007.659,86
160;1320A;12103;160/1320A/12103;Altres complements;773.540,30
160;1320A;15000;160/1320A/15000;Productivitat;279.619,34
160;1320A;15200;160/1320A/15200;Altres incentius;216.800,00
160;1320A;16000;160/1320A/16000;Seguretat social;2.431.303,29
160;1320A;21302;160/1320A/21302;Manteniment d'instal·lacions i maquinària Policia;15.305,00
160;1320A;22113;160/1320A/22113;Alimentació i depseses Unitat Canina;5.000,00
160;1320A;22607;160/1320A/22607;Proves psicotècniques personal nou ingrés;4.000,00
160;1320A;22640;160/1320A/22640;Despeses dipòsits detinguts;3.000,00
160;1320A;22699;160/1320A/22699;Educació Viària;2.000,00
160;1320A;22799;160/1320A/22799;Proves psicotècniques i  altres treballs;9.000,00
160;1320A;62200;160/1320A/62200;Inversió nova en edifici;26.000,00
160;1320A;62302;160/1320A/62302;Inversió nova en maquinària, instal. i utillatge;9.000,00
160;1320A;62402;160/1320A/62402;Elements de transport;90.820,00
160;1320A;62902;160/1320A/62902;Altres inversions noves;87.000,00
160;1320A;63200;160/1320A/63200;Inversió de reposició en edifici;5.073,53
160;1721A;21302;160/1721A/21302;Manteniment d'instal·lacions i maquinària Departaments;2.000,00
170;9311A;12000;170/9311A/12000;Salaris del Grup A1;18.530,28
170;9311A;12003;170/9311A/12003;Salaris del Grup C1;9.983,82
170;9311A;12006;170/9311A/12006;Triennis;6.508,44
170;9311A;12100;170/9311A/12100;Complement de destí;22.092,11
170;9311A;12101;170/9311A/12101;Complement  específic;61.431,69
170;9311A;12103;170/9311A/12103;Altres complements;13.862,56
170;9311A;15000;170/9311A/15000;Productivitat;6.538,98
170;9311A;15200;170/9311A/15200;Altres incentius;2.000,00
170;9311A;16000;170/9311A/16000;Seguretat social;22.087,04
