parada_punt_id;parada_punt_desc;parada_punt_desc_curta;coord_x;coord_y;latitud;longitud;
"56";"La Roureda";"La Roureda";"423867";"4602577";"41,5694";"2,08572";
"57";"Mercè Rodoreda";"Mercè Rodoreda";"423647";"4602792";"41,5713";"2,08306";
"58";"Ricard Marlet";"Ricard Marlet";"423530";"4602961";"41,5728";"2,08163";
"59";"Francesc Trabal";"Francesc Trabal";"423784";"4603091";"41,574";"2,08466";
"64";"Les Palmeres";"Les Palmeres";"423540";"4603060";"41,5737";"2,08174";
"65";"Lles";"Lles";"423488";"4602896";"41,5722";"2,08114";
"66";"Àger";"Àger";"423624";"4602760";"41,571";"2,08279";
"67";"La Roureda";"La Roureda";"423747";"4602645";"41,57";"2,08427";
"68";"La Concòrdia";"La Concòrdia";"424522";"4601588";"41,5606";"2,0937";
"69";"Francesc Layret";"Francesc Layret";"425104";"4601424";"41,5591";"2,1007";
"71";"Verge de la Paloma";"Verge de la Paloma";"426633";"4597755";"41,5262";"2,11947";
"72";"Nova Creu";"Nova Creu";"426709";"4597584";"41,5247";"2,1204";
"73";"Antoni Maura";"Antoni Maura";"426504";"4597469";"41,5236";"2,11796";
"74";"Pau Vila";"Pau Vila";"426327";"4597395";"41,523";"2,11585";
"77";"La Creu de Barberà";"La Creu de Barberà";"426139";"4597449";"41,5234";"2,11359";
"78";"Reis Catòlics";"Reis Catòlics";"426241";"4597501";"41,5239";"2,11481";
"79";"Eduard Brossa";"Eduard Brossa";"426403";"4597571";"41,5245";"2,11674";
"80";"Magí Colet";"Magí Colet";"426680";"4597689";"41,5256";"2,12004";
"81";"Verge de la Paloma";"Verge de la Paloma";"426624";"4597823";"41,5268";"2,11936";
"82";"La Creu de Barberà";"La Creu de Barberà";"426475";"4598136";"41,5296";"2,11754";
"83";"Barcelona";"Barcelona";"426362";"4598433";"41,5323";"2,11615";
"84";"Francesc Layret";"Francesc Layret";"425117";"4601452";"41,5594";"2,10085";
"85";"Pl. Concòrdia";"Pl. Concòrdia";"424874";"4601421";"41,5591";"2,09794";
"86";"La Concòrdia";"La Concòrdia";"424559";"4601603";"41,5607";"2,09414";
"87";"La Bonaigua";"La Bonaigua";"424182";"4602646";"41,57";"2,08949";
"89";"Balcans";"Balcans";"424281";"4603076";"41,5739";"2,09062";
"90";"Caucas";"Caucas";"424078";"4603144";"41,5745";"2,08818";
"91";"La Plana del Pintor";"La Plana del Pintor";"423959";"4603102";"41,5741";"2,08676";
"96";"Almogàvers";"Almogàvers";"426661";"4598163";"41,5299";"2,11977";
"97";"Francesc Casañas";"Francesc Casañas";"426831";"4598032";"41,5287";"2,12182";
"209";"Catalunya";"Catalunya";"424945";"4600424";"41,5501";"2,09892";
"317";"Zona Industrial";"Zona Industrial";"425184";"4598044";"41,5287";"2,10207";
"98";"Can Viloca";"Can Viloca";"426934";"4597878";"41,5274";"2,12306";
"99";"La Romànica";"La Romànica";"427062";"4597877";"41,5274";"2,1246";
"104";"Ramon Berenguer";"Ramon Berenguer";"426995";"4597783";"41,5265";"2,12381";
"106";"Saboneria";"Saboneria";"426677";"4598059";"41,529";"2,11997";
"107";"Almogàvers";"Almogàvers";"426565";"4598143";"41,5297";"2,11862";
"113";"Sarasate";"Sarasate";"423374";"4600491";"41,5506";"2,08008";
"115";"Marcel·lí Massana";"Marcel·lí Massana";"423089";"4601154";"41,5565";"2,07657";
"116";"La Pau";"La Pau";"422695";"4601122";"41,5562";"2,07185";
"117";"Mancomunitat";"Mancomunitat";"422383";"4600807";"41,5533";"2,06815";
"118";"Nou";"Nou";"423184";"4600450";"41,5502";"2,0778";
"119";"Albéniz";"Albéniz";"423403";"4600372";"41,5495";"2,08044";
"120";"Turina";"Turina";"423616";"4600290";"41,5488";"2,083";
"121";"Can Gambús";"Can Gambús";"423794";"4600147";"41,5475";"2,08516";
"122";"Els Merinals";"Els Merinals";"423922";"4599881";"41,5451";"2,08672";
"123";"La Palma";"La Palma";"424089";"4599684";"41,5434";"2,08875";
"124";"Argentina";"Argentina";"424237";"4599745";"41,5439";"2,09052";
"126";"Can Feu";"Can Feu";"424505";"4599700";"41,5435";"2,09374";
"127";"Pintor Borrassà";"Pintor Borrassà";"424646";"4599447";"41,5413";"2,09546";
"128";"Estació FGC";"Estació FGC";"424890";"4599538";"41,5421";"2,09837";
"129";"Ibèria";"Ibèria";"425014";"4599718";"41,5438";"2,09984";
"130";"Vallès";"Vallès";"425223";"4599921";"41,5456";"2,10232";
"131";"Mercat Central";"Mercat Central";"425410";"4600125";"41,5475";"2,10453";
"132";"Les Valls";"Les Valls";"425677";"4600263";"41,5487";"2,10772";
"134";"Alfons XIII";"Alfons XIII";"426017";"4599964";"41,5461";"2,11183";
"135";"Antoni Llonch";"Antoni Llonch";"426367";"4599967";"41,5461";"2,11602";
"136";"Universitat";"Universitat";"426756";"4599841";"41,545";"2,1207";
"137";"La Bassa";"La Bassa";"426971";"4599569";"41,5426";"2,12331";
"138";"Ripoll";"Ripoll";"426980";"4600103";"41,5474";"2,12336";
"139";"Segre";"Segre";"426796";"4600367";"41,5498";"2,12112";
"140";"Francolí";"Francolí";"426936";"4600365";"41,5498";"2,1228";
"141";"Cardener";"Cardener";"427053";"4600225";"41,5485";"2,12422";
"142";"Ebre";"Ebre";"427390";"4599991";"41,5464";"2,12829";
"143";"Can Llobateres";"Can Llobateres";"427504";"4599509";"41,5421";"2,12971";
"145";"Polígon Can Roqueta";"Polígon Can Roqueta";"427649";"4598989";"41,5374";"2,13151";
"147";"Louis Braille";"Louis Braille";"423134";"4601792";"41,5623";"2,07703";
"148";"Walter Benjamin";"Walter Benjamin";"423110";"4601681";"41,5613";"2,07676";
"149";"Puig Antic";"Puig Antic";"422858";"4601097";"41,556";"2,07381";
"150";"Can Roqueta";"Can Roqueta";"427655";"4599267";"41,5399";"2,13155";
"151";"Can Bordoll";"Can Bordoll";"427536";"4599534";"41,5423";"2,13009";
"152";"Ebre";"Ebre";"427417";"4600054";"41,547";"2,1286";
"153";"Sau";"Sau";"427382";"4600379";"41,5499";"2,12814";
"154";"Torre-romeu";"Torre-romeu";"427322";"4600515";"41,5511";"2,12741";
"155";"Arraona";"Arraona";"427215";"4600908";"41,5547";"2,12608";
"156";"Cementiri";"Cementiri";"427189";"4601242";"41,5577";"2,12572";
"157";"Begoña";"Begoña";"427411";"4601505";"41,5601";"2,12835";
"158";"El Poblenou";"El Poblenou";"427397";"4601627";"41,5612";"2,12817";
"163";"Almudena";"Almudena";"427601";"4601543";"41,5604";"2,13063";
"164";"Begoña";"Begoña";"427419";"4601455";"41,5596";"2,12846";
"165";"Cementiri";"Cementiri";"427157";"4601229";"41,5576";"2,12534";
"166";"Arraona";"Arraona";"427176";"4600905";"41,5546";"2,12561";
"167";"Torre-romeu";"Torre-romeu";"427248";"4600494";"41,551";"2,12652";
"168";"Sau";"Sau";"427309";"4600383";"41,55";"2,12727";
"169";"Ebre";"Ebre";"427344";"4600052";"41,547";"2,12773";
"170";"Cardener";"Cardener";"427034";"4600159";"41,5479";"2,124";
"171";"Karl Marx";"Karl Marx";"426927";"4600306";"41,5492";"2,1227";
"172";"Segre";"Segre";"426800";"4600299";"41,5492";"2,12118";
"173";"Ripoll";"Ripoll";"426951";"4600088";"41,5473";"2,12301";
"174";"La Bassa";"La Bassa";"426932";"4599589";"41,5428";"2,12284";
"175";"Universitat";"Universitat";"426704";"4599940";"41,5459";"2,12007";
"176";"Antoni Llonch";"Antoni Llonch";"426354";"4599999";"41,5464";"2,11587";
"177";"Tres Creus";"Tres Creus";"426008";"4600004";"41,5464";"2,11172";
"178";"Sant Joan";"Sant Joan";"425837";"4600210";"41,5483";"2,10964";
"179";"Les Valls";"Les Valls";"425685";"4600311";"41,5492";"2,10781";
"180";"Mercat Central";"Mercat Central";"425536";"4600210";"41,5482";"2,10603";
"181";"Calderón";"Calderón";"425014";"4600017";"41,5464";"2,0998";
"182";"Ibèria";"Ibèria";"424979";"4599723";"41,5438";"2,09942";
"183";"Estació FGC";"Estació FGC";"424925";"4599596";"41,5426";"2,09878";
"184";"Damià Forment";"Damià Forment";"424577";"4599338";"41,5403";"2,09464";
"187";"Argentina";"Argentina";"424234";"4599766";"41,5441";"2,09048";
"188";"La Palma";"La Palma";"424106";"4599702";"41,5435";"2,08895";
"189";"Els Merinals";"Els Merinals";"424002";"4599843";"41,5448";"2,08769";
"190";"Can Gambús";"Can Gambús";"423826";"4600150";"41,5475";"2,08554";
"191";"Turina";"Turina";"423649";"4600316";"41,549";"2,0834";
"192";"Albéniz";"Albéniz";"423457";"4600391";"41,5497";"2,08108";
"193";"Nou";"Nou";"423148";"4600496";"41,5506";"2,07737";
"194";"Mancomunitat";"Mancomunitat";"422417";"4600798";"41,5532";"2,06856";
"195";"La Pau";"La Pau";"422721";"4601113";"41,5561";"2,07217";
"200";"Can Rull";"Can Rull";"423857";"4600237";"41,5483";"2,0859";
"201";"Larra";"Larra";"423830";"4600486";"41,5506";"2,08554";
"202";"Josep Masllovet";"Josep Masllovet";"423606";"4600655";"41,5521";"2,08284";
"203";"Benjamín García";"Benjamín García";"423857";"4600876";"41,5541";"2,08582";
"204";"Sant Isidor";"Sant Isidor";"424032";"4600953";"41,5548";"2,08791";
"205";"Galileu";"Galileu";"424212";"4601004";"41,5553";"2,09006";
"206";"Olímpia";"Olímpia";"424338";"4600796";"41,5534";"2,0916";
"207";"Paraires";"Paraires";"424555";"4600922";"41,5546";"2,09418";
"208";"Embarcador";"Embarcador";"424852";"4600553";"41,5513";"2,09779";
"641";"Can Llong";"Can Llong";"423536";"4601866";"41,563";"2,08184";
"642";"Praga";"Praga";"423684";"4602168";"41,5657";"2,08358";
"643";"Roureda";"Roureda";"423834";"4602556";"41,5692";"2,08533";
"644";"Praga";"Praga";"423667";"4602187";"41,5659";"2,08337";
"645";"Castellarnau";"Castellarnau";"422775";"4601199";"41,5569";"2,0728";
"646";"Puig Antich";"Puig Antich";"422830";"4601077";"41,5558";"2,07348";
"647";"Milena Jesenskà";"Milena Jesenskà";"423115";"4601138";"41,5564";"2,07689";
"648";"Walter Benjamin";"Walter Benjamin";"423129";"4601620";"41,5607";"2,07699";
"649";"Louis Braille";"Louis Braille";"423236";"4601900";"41,5632";"2,07824";
"650";"Can Llong";"Can Llong";"423489";"4601870";"41,563";"2,08128";
"651";"Estrasburg";"Estrasburg";"424007";"4601777";"41,5622";"2,0875";
"652";"Estrasburg";"Estrasburg";"424003";"4601793";"41,5623";"2,08745";
"653";"Castellarnau";"Castellarnau";"422794";"4601221";"41,5571";"2,07303";
"654";"Font i Sagué";"Font i Sagué";"424378";"4601735";"41,5619";"2,09196";
"657";"Leonardo da Vinci";"Leonardo da Vinci";"425854";"4597491";"41,5238";"2,11017";
"658";"Parc Central";"Parc Central";"426073";"4597400";"41,523";"2,1128";
"660";"Puig i Cadafalch";"Puig i Cadafalch";"425406";"4598723";"41,5348";"2,10466";
"661";"Gegants de Gràcia";"Gegants de Gràcia";"425534";"4598961";"41,537";"2,10616";
"662";"Jocs Florals";"Jocs Florals";"425518";"4599003";"41,5374";"2,10597";
"663";"Maria Aguiló";"Maria Aguiló";"425392";"4598800";"41,5355";"2,10448";
"664";"Luther King";"Luther King";"423084";"4601484";"41,5595";"2,07647";
"667";"Maria Montessori";"Maria Montessori";"423137";"4601185";"41,5568";"2,07715";
"668";"Maria Montessori";"Maria Montessori";"423125";"4601188";"41,5568";"2,077";
"670";"John Lenon";"John Lenon";"422899";"4601369";"41,5584";"2,07427";
"671";"Eivïssa";"Eivïssa";"424057";"4600112";"41,5472";"2,08831";
"672";"Trenet del parc";"Trenet del parc";"424124";"4600736";"41,5528";"2,08904";
"673";"Can Llobateres-1";"Can Llobateres-1";"427548";"4599273";"41,54";"2,13027";
"674";"Llum de la Selva";"Llum de la Selva";"425436";"4601643";"41,5611";"2,10466";
"675";"Sabadell-Aeroport";"Sabadell-Aeroport";"425225";"4596954";"41,5189";"2,1027";
"676";"Sabadell-Aeroport";"Sabadell-Aeroport";"425246";"4596980";"41,5191";"2,10295";
"677";"Sabadell - Sant Pau de Riu-sec";"Sabadell - Sant Pau de Riu-sec";"425660";"4596259";"41,5127";"2,108";
"678";"Sabadell - Sant Pau de  Riu-sec";"Sabadell - Sant Pau de  Riu-sec";"425673";"4596082";"41,5111";"2,10817";
"679";"Sabadell-Badia";"Sabadell-Badia";"426014";"4596366";"41,5137";"2,11222";
"680";"Sabadell - Pla de Fonollar";"Sabadell - Pla de Fonollar";"425883";"4596209";"41,5122";"2,11067";
"681";"Sabadell - Pla de Fonollar";"Sabadell - Pla de Fonollar";"425891";"4596200";"41,5122";"2,11077";
"682";"Espanya";"Espanya";"424783";"4601816";"41,5626";"2,0968";
"683";"Agnès Armengol";"Agnès Armengol";"427641";"4599231";"41,5396";"2,13139";
"700";"Antoni Llonch";"Antoni Llonch";"426328";"4600035";"41,5467";"2,11555";
"702";"Barcelona Moda Centre";"Barcelona Moda Centre";"424101";"4598839";"41,5358";"2,089";
"703";"Lluís Companys";"Lluís Companys";"423778";"4598507";"41,5327";"2,08516";
"705";"Can Torres";"Can Torres";"424478";"4598752";"41,535";"2,09353";
"706";"Poble Sec";"Poble Sec";"424140";"4597970";"41,5279";"2,08957";
"707";"Rosales";"Rosales";"423957";"4597811";"41,5265";"2,08739";
"708";"Estació Sant Quirze (FGC)";"Estació Sant Quirze (FGC)";"423953";"4598272";"41,5306";"2,08729";
"709";"Alfons XIII";"Alfons XIII";"423785";"4598288";"41,5308";"2,08527";
"710";"Antoni Gaudí";"Antoni Gaudí";"423396";"4598349";"41,5313";"2,0806";
"711";"Pladellorens";"Pladellorens";"423250";"4598546";"41,533";"2,07883";
"712";"Vila Puig";"Vila Puig";"423161";"4598744";"41,5348";"2,07773";
"713";"C.A.P.";"C.A.P.";"423000";"4598927";"41,5364";"2,07579";
"714";"Ribera";"Ribera";"422802";"4598957";"41,5367";"2,07342";
"715";"Garraf";"Garraf";"422817";"4599175";"41,5387";"2,07357";
"716";"Segrià";"Segrià";"422606";"4599405";"41,5407";"2,07101";
"717";"Bages";"Bages";"422450";"4599520";"41,5417";"2,06912";
"718";"Caus";"Caus";"422172";"4599326";"41,54";"2,06582";
"719";"Can Pallars";"Can Pallars";"422246";"4599154";"41,5384";"2,06673";
"720";"Assís";"Assís";"422668";"4598779";"41,5351";"2,07182";
"721";"Sant Quirze Jardí";"Sant Quirze Jardí";"422756";"4598701";"41,5344";"2,07289";
"722";"Joaquín Rodrigo";"Joaquín Rodrigo";"422790";"4598472";"41,5323";"2,07332";
"727";"Brentaya";"Brentaya";"422473";"4598007";"41,5281";"2,06958";
"728";"Guilleries";"Guilleries";"422366";"4597818";"41,5264";"2,06833";
"729";"Sant Quirze Parc";"Sant Quirze Parc";"422387";"4597687";"41,5252";"2,06859";
"730";"Bruc";"Bruc";"422698";"4597861";"41,5268";"2,0723";
"731";"Bosc";"Bosc";"422957";"4598058";"41,5286";"2,07538";
"732";"Llaurador";"Llaurador";"423356";"4598333";"41,5311";"2,08012";
"733";"Bages";"Bages";"422935";"4598836";"41,5356";"2,07503";
"734";"Ribera";"Ribera";"422897";"4599009";"41,5372";"2,07455";
"735";"C.A.P.";"C.A.P.";"423056";"4598866";"41,5359";"2,07647";
"736";"Olivera";"Olivera";"423213";"4598765";"41,535";"2,07837";
"737";"Sabadell";"Sabadell";"423372";"4598673";"41,5342";"2,08027";
"738";"Montseny";"Montseny";"423540";"4598663";"41,5341";"2,08229";
"739";"Sant Jaume";"Sant Jaume";"423712";"4598456";"41,5323";"2,08438";
"740";"Alfons XIII";"Alfons XIII";"423830";"4598334";"41,5312";"2,08581";
"741";"Lluís Companys";"Lluís Companys";"423796";"4598531";"41,5329";"2,08537";
"742";"Camí del Mas";"Camí del Mas";"423742";"4598822";"41,5356";"2,0847";
"743";"Estació Sant Quirze (FGC)";"Estació Sant Quirze (FGC)";"423927";"4598133";"41,5294";"2,08699";
"744";"Rosales";"Rosales";"423939";"4597812";"41,5265";"2,08718";
"745";"Poble Sec";"Poble Sec";"424177";"4597960";"41,5278";"2,09001";
"640";"Francesc Izard";"Francesc Izard";"426021";"4600944";"41,5549";"2,11176";
"105";"Castelao";"Castelao";"426781";"4597895";"41,5275";"2,12123";
"210";"Sastre";"Sastre";"425224";"4600506";"41,5509";"2,10225";
"211";"Luther king";"Luther king";"423118";"4601376";"41,5585";"2,07689";
"212";"Antoni Llonch";"Antoni Llonch";"426334";"4599963";"41,5461";"2,11563";
"213";"Gran Via";"Gran Via";"426426";"4599638";"41,5432";"2,11677";
"214";"Palau d´Esports";"Palau d´Esports";"426444";"4599333";"41,5404";"2,11703";
"215";"Bellesguard";"Bellesguard";"426578";"4598942";"41,5369";"2,11868";
"216";"Sol i Padrís";"Sol i Padrís";"426632";"4598772";"41,5354";"2,11935";
"217";"Rubió i Ors";"Rubió i Ors";"426647";"4598474";"41,5327";"2,11956";
"218";"Les Termes";"Les Termes";"426506";"4598085";"41,5292";"2,11792";
"224";"Santa Maria";"Santa Maria";"426831";"4598361";"41,5317";"2,12178";
"225";"Sol i Padrís";"Sol i Padrís";"426660";"4598822";"41,5358";"2,11968";
"226";"Bellesguard";"Bellesguard";"426591";"4598999";"41,5374";"2,11883";
"227";"Sant Oleguer";"Sant Oleguer";"426637";"4599249";"41,5397";"2,11935";
"228";"Balmes";"Balmes";"426508";"4599661";"41,5434";"2,11775";
"230";"Sastre";"Sastre";"425241";"4600538";"41,5512";"2,10245";
"231";"Embarcador";"Embarcador";"424885";"4600501";"41,5508";"2,09819";
"232";"Paraires";"Paraires";"424589";"4600983";"41,5551";"2,09458";
"233";"Olímpia";"Olímpia";"424260";"4600817";"41,5536";"2,09066";
"234";"Galileu";"Galileu";"424203";"4601033";"41,5555";"2,08995";
"235";"Sant Isidor";"Sant Isidor";"423994";"4600968";"41,5549";"2,08745";
"236";"Benjamín García";"Benjamín García";"423808";"4600885";"41,5542";"2,08523";
"237";"Josep Masllovet";"Josep Masllovet";"423594";"4600687";"41,5523";"2,08269";
"238";"Bécquer";"Bécquer";"423793";"4600488";"41,5506";"2,0851";
"243";"Font i Sagué";"Font i Sagué";"424298";"4601753";"41,562";"2,091";
"244";"Adriana";"Adriana";"424146";"4601572";"41,5604";"2,0892";
"245";"Plini el Vell";"Plini el Vell";"423841";"4601342";"41,5583";"2,08557";
"246";"Juvenal";"Juvenal";"423715";"4601115";"41,5562";"2,08409";
"247";"Les Oliveres";"Les Oliveres";"423935";"4600171";"41,5477";"2,08684";
"248";"Serra d'en Camaró";"Serra d'en Camaró";"424162";"4600092";"41,547";"2,08957";
"249";"Amèrica";"Amèrica";"424494";"4599968";"41,546";"2,09357";
"250";"Dr. Almera";"Dr. Almera";"424922";"4599809";"41,5446";"2,09872";
"251";"Alcalde Marcet";"Alcalde Marcet";"425693";"4600663";"41,5523";"2,10786";
"252";"Vilarrúbias";"Vilarrúbias";"425977";"4600763";"41,5533";"2,11125";
"253";"Parc Taulí";"Parc Taulí";"425845";"4601138";"41,5566";"2,10962";
"254";"Agnès Armengol";"Agnès Armengol";"425585";"4601396";"41,5589";"2,10647";
"255";"Navas";"Navas";"425286";"4601608";"41,5608";"2,10286";
"256";"Prats de Lluçanès";"Prats de Lluçanès";"425097";"4601697";"41,5616";"2,10058";
"257";"Espanya";"Espanya";"424841";"4601768";"41,5622";"2,0975";
"259";"Pavelló Nord";"Pavelló Nord";"424692";"4602310";"41,5671";"2,09565";
"260";"La Selva";"La Selva";"424542";"4602410";"41,568";"2,09384";
"263";"Hortènsies";"Hortènsies";"424834";"4602357";"41,5675";"2,09735";
"264";"Terrassa";"Terrassa";"424654";"4599910";"41,5455";"2,0955";
"267";"La Llanera";"La Llanera";"424429";"4602442";"41,5682";"2,09248";
"268";"La Selva";"La Selva";"424523";"4602379";"41,5677";"2,09361";
"269";"València";"València";"424769";"4602193";"41,566";"2,09659";
"270";"Torreguitart";"Torreguitart";"425041";"4602134";"41,5655";"2,09986";
"271";"Can Puiggener";"Can Puiggener";"425433";"4602130";"41,5655";"2,10456";
"272";"Puig de la Creu";"Puig de la Creu";"425423";"4602010";"41,5644";"2,10445";
"273";"Torrent del Capellà";"Torrent del Capellà";"424996";"4602277";"41,5668";"2,0993";
"274";"Torreguitart";"Torreguitart";"424881";"4602034";"41,5646";"2,09795";
"275";"Prats de Lluçanès";"Prats de Lluçanès";"425063";"4601651";"41,5612";"2,10018";
"276";"Mercat Creu Alta";"Mercat Creu Alta";"425173";"4601611";"41,5608";"2,10151";
"277";"Agnès Armengol";"Agnès Armengol";"425639";"4601256";"41,5577";"2,10714";
"278";"Parc Taulí";"Parc Taulí";"425851";"4601079";"41,5561";"2,1097";
"279";"Vilarrúbias";"Vilarrúbias";"425932";"4600784";"41,5534";"2,11071";
"280";"Hostafrancs";"Hostafrancs";"424668";"4599943";"41,5457";"2,09566";
"281";"Terrassa";"Terrassa";"424554";"4599978";"41,5461";"2,09429";
"282";"Serra d'en Camaró";"Serra d'en Camaró";"424165";"4600129";"41,5474";"2,08961";
"283";"Les Oliveres";"Les Oliveres";"423904";"4600222";"41,5482";"2,08647";
"284";"Juli Garreta";"Juli Garreta";"423497";"4600562";"41,5512";"2,08154";
"285";"Via Alexandra";"Via Alexandra";"424025";"4601021";"41,5554";"2,08781";
"286";"Plini el Vell";"Plini el Vell";"423903";"4601352";"41,5584";"2,08631";
"287";"Adriana";"Adriana";"424094";"4601418";"41,559";"2,08859";
"288";"Font i Sagué";"Font i Sagué";"424332";"4601741";"41,5619";"2,0914";
"300";"La Roureda";"La Roureda";"423789";"4602563";"41,5693";"2,08479";
"301";"Valentí Almirall";"Valentí Almirall";"424914";"4600219";"41,5483";"2,09857";
"302";"Ponent";"Ponent";"424953";"4600048";"41,5467";"2,09906";
"303";"Comte Jofre";"Comte Jofre";"425133";"4599730";"41,5439";"2,10126";
"304";"Bombers";"Bombers";"425381";"4599507";"41,5419";"2,10426";
"305";"Vapor Llonch";"Vapor Llonch";"425587";"4599207";"41,5392";"2,10677";
"306";"Lepant";"Lepant";"425777";"4598970";"41,5371";"2,10907";
"307";"Buxeda";"Buxeda";"425978";"4598675";"41,5345";"2,11152";
"308";"Sant Fèlix";"Sant Fèlix";"426146";"4598438";"41,5323";"2,11356";
"309";"Girona";"Girona";"425986";"4598237";"41,5305";"2,11167";
"310";"Comerç";"Comerç";"425669";"4598124";"41,5295";"2,10787";
"311";"Joanot Martorell";"Joanot Martorell";"425553";"4598406";"41,532";"2,10646";
"312";"Joaquim Blume";"Joaquim Blume";"425070";"4598539";"41,5331";"2,10065";
"313";"Bernat Metge";"Bernat Metge";"425069";"4598287";"41,5309";"2,10066";
"316";"Zona Industrial";"Zona Industrial";"425161";"4597990";"41,5282";"2,1018";
"747";"Av. Vallès";"Av. Vallès";"422812";"4598203";"41,5299";"2,07362";
"748";"Prat";"Prat";"422683";"4598106";"41,529";"2,07209";
"320";"Bernat Metge";"Bernat Metge";"425078";"4598349";"41,5314";"2,10076";
"322";"Joaquim Blume";"Joaquim Blume";"425106";"4598502";"41,5328";"2,10109";
"323";"Joanot Martorell";"Joanot Martorell";"425514";"4598410";"41,532";"2,10599";
"324";"Comerç";"Comerç";"425676";"4598094";"41,5292";"2,10796";
"325";"Girona";"Girona";"426002";"4598203";"41,5302";"2,11187";
"326";"Buxeda";"Buxeda";"426001";"4598696";"41,5346";"2,11179";
"327";"Lepant";"Lepant";"425851";"4598904";"41,5365";"2,10997";
