linia_id;expedicio_id;periode_id;trajecte_id;direccio_id;sortida_hora;sortida_parada_punt_id;arribada_parada_punt_id;dia_atribut_id;
"1792";"456133";"1";"1";"1";"49860";"1";"657";"1";
"1792";"456134";"1";"1";"1";"60720";"1";"657";"1";
"1792";"456135";"1";"1";"1";"19500";"1";"657";"1";
"1792";"456136";"1";"1";"1";"23760";"1";"657";"1";
"1792";"456137";"1";"1";"1";"28380";"1";"657";"1";
"1792";"456138";"1";"1";"1";"33540";"1";"657";"1";
"1792";"456139";"1";"1";"1";"55860";"1";"657";"1";
"1792";"456140";"1";"1";"1";"66840";"1";"657";"1";
"1792";"456141";"1";"1";"1";"72180";"1";"657";"1";
"1792";"456142";"1";"1";"1";"39960";"1";"657";"1";
"1792";"456143";"1";"1";"1";"45360";"1";"657";"1";
"1792";"456144";"1";"1";"1";"50760";"1";"657";"1";
"1792";"456145";"1";"1";"1";"61680";"1";"657";"1";
"1792";"456146";"1";"1";"1";"29280";"1";"657";"1";
"1792";"456147";"1";"1";"1";"34620";"1";"657";"1";
"1792";"456148";"1";"1";"1";"78000";"1";"657";"1";
"1792";"456149";"1";"1";"1";"56940";"1";"657";"1";
"1792";"456150";"1";"1";"1";"67920";"1";"657";"1";
"1792";"456151";"1";"1";"1";"73260";"1";"657";"1";
"1792";"456152";"1";"1";"1";"40860";"1";"657";"1";
"1792";"456153";"1";"1";"1";"46260";"1";"657";"1";
"1792";"456154";"1";"1";"1";"51660";"1";"657";"1";
"1792";"456155";"1";"1";"1";"62640";"1";"657";"1";
"1792";"456156";"1";"1";"1";"17700";"1";"657";"1";
"1792";"456157";"1";"1";"1";"21300";"1";"657";"1";
"1792";"456158";"1";"1";"1";"24900";"1";"657";"1";
"1792";"456159";"1";"1";"1";"29940";"1";"657";"1";
"1792";"456160";"1";"1";"1";"35700";"1";"657";"1";
"1792";"456161";"1";"1";"1";"63660";"1";"657";"1";
"1792";"456162";"1";"1";"1";"25620";"1";"657";"1";
"1792";"456163";"1";"1";"1";"30600";"1";"657";"1";
"1792";"456164";"1";"1";"1";"41760";"1";"657";"1";
"1792";"456165";"1";"1";"1";"47160";"1";"657";"1";
"1792";"456167";"1";"1";"1";"57900";"1";"657";"1";
"1792";"456168";"1";"1";"1";"69000";"1";"657";"1";
"1792";"456169";"1";"1";"1";"74340";"1";"657";"1";
"1792";"456170";"1";"1";"1";"79200";"1";"657";"1";
"1792";"456171";"1";"1";"1";"83700";"1";"657";"1";
"1792";"456172";"1";"1";"1";"36780";"1";"657";"1";
"1792";"456173";"1";"1";"1";"42660";"1";"657";"1";
"1792";"456174";"1";"1";"1";"48060";"1";"657";"1";
"1792";"456175";"1";"1";"1";"58800";"1";"657";"1";
"1792";"456176";"1";"1";"1";"22620";"1";"657";"1";
"1792";"456177";"1";"1";"1";"26640";"1";"657";"1";
"1792";"456178";"1";"1";"1";"31500";"1";"657";"1";
"1792";"456179";"1";"1";"1";"53700";"1";"657";"1";
"1792";"456180";"1";"1";"1";"64740";"1";"657";"1";
"1792";"456181";"1";"1";"1";"70080";"1";"657";"1";
"1792";"456182";"1";"1";"1";"75420";"1";"657";"1";
"1792";"456183";"1";"2";"2";"40560";"657";"1";"1";
"1792";"456184";"1";"2";"2";"30000";"657";"1";"1";
"1792";"456185";"1";"2";"2";"35400";"657";"1";"1";
"1792";"456186";"1";"2";"2";"46260";"657";"1";"1";
"1792";"456187";"1";"2";"2";"51660";"657";"1";"1";
"1792";"456188";"1";"2";"2";"62460";"657";"1";"1";
"1792";"456189";"1";"2";"2";"57480";"657";"1";"1";
"1792";"456190";"1";"2";"2";"68400";"657";"1";"1";
"1792";"456191";"1";"2";"2";"73800";"657";"1";"1";
"1792";"456192";"1";"2";"2";"79200";"657";"1";"1";
"1792";"456193";"1";"2";"2";"41640";"657";"1";"1";
"1792";"456194";"1";"2";"2";"47160";"657";"1";"1";
"1792";"456195";"1";"2";"2";"52560";"657";"1";"1";
"1792";"456196";"1";"2";"2";"63420";"657";"1";"1";
"1792";"456197";"1";"2";"2";"25860";"657";"1";"1";
"1792";"456198";"1";"2";"2";"30900";"657";"1";"1";
"1792";"456199";"1";"2";"2";"36300";"657";"1";"1";
"1792";"456200";"1";"2";"2";"58560";"657";"1";"1";
"1792";"456201";"1";"2";"2";"69480";"657";"1";"1";
"1792";"456202";"1";"2";"2";"74880";"657";"1";"1";
"1792";"456203";"1";"2";"2";"42660";"657";"1";"1";
"1792";"456204";"1";"2";"2";"48060";"657";"1";"1";
"1792";"456205";"1";"2";"2";"53460";"657";"1";"1";
"1792";"456206";"1";"2";"2";"64380";"657";"1";"1";
"1792";"456207";"1";"2";"2";"26520";"657";"1";"1";
"1792";"456208";"1";"2";"2";"31800";"657";"1";"1";
"1792";"456209";"1";"2";"2";"37380";"657";"1";"1";
