Districte;Sexe;Nacionalitat;Total;
"1";"H";"PANAMÀ";"4";
"1";"H";"PARAGUAI";"59";
"1";"H";"PERÚ";"28";
"1";"H";"POLÒNIA";"11";
"1";"H";"PORTUGAL";"20";
"1";"H";"REGNE UNIT";"37";
"1";"H";"REP. DEMOCRÀTICA DEL CONGO";"1";
"1";"H";"REPÚBLICA DE SUD-ÀFRICA";"2";
"1";"H";"REPÚBLICA DOMINICANA";"34";
"1";"H";"ROMANIA";"152";
"1";"H";"RÚSSIA";"21";
"1";"H";"SENEGAL";"32";
"1";"H";"SUÈCIA";"3";
"1";"H";"SUÏSSA";"5";
"1";"H";"TAILÀNDIA";"1";
"1";"H";"TAIWAN";"1";
"1";"H";"TURQUIA";"1";
"1";"H";"UCRAÏNA";"17";
"1";"H";"URUGUAI";"32";
"1";"H";"VENEÇUELA";"24";
"1";"H";"XILE";"18";
"1";"H";"XINA";"133";
"2";"D";"AFGANISTAN";"1";
"2";"D";"ALEMANYA";"7";
"2";"D";"ALGÈRIA";"2";
"2";"D";"ARGENTINA";"23";
"2";"D";"ARMÈNIA";"5";
"2";"D";"BANGLA DESH";"1";
"2";"D";"BÈLGICA";"3";
"2";"D";"BIELORÚSSIA";"2";
"2";"D";"BOLÍVIA";"214";
"2";"D";"BRASIL";"42";
"2";"D";"BULGÀRIA";"5";
"2";"D";"BURKINA FASO";"4";
"2";"D";"CANADÀ";"1";
"2";"D";"COLÒMBIA";"38";
"2";"D";"COSTA D'IVORI";"4";
"2";"D";"COSTA RICA";"3";
"2";"D";"CUBA";"19";
"2";"D";"DINAMARCA";"1";
"2";"D";"EL SALVADOR";"1";
"2";"D";"EQUADOR";"74";
"2";"D";"ESLOVÀQUIA";"1";
"2";"D";"ESPANYA";"11036";
"2";"D";"ESTATS UNITS D'AMÈRICA";"10";
"2";"D";"FILIPINES";"1";
"2";"D";"FINLÀNDIA";"1";
"2";"D";"FRANÇA";"28";
"2";"D";"GÀMBIA";"9";
"2";"D";"GEÒRGIA";"5";
"2";"D";"GHANA";"6";
"2";"D";"GUINEA";"18";
"2";"D";"GUINEA BISSAU";"2";
"2";"D";"HONDURES";"33";
"2";"D";"HONGRIA";"1";
"2";"D";"ÍNDIA";"7";
"2";"D";"IRLANDA";"2";
"2";"D";"ITÀLIA";"22";
"2";"D";"JAPÓ";"4";
"2";"D";"KENYA";"1";
"2";"D";"LITUÀNIA";"1";
"2";"D";"MALÀISIA";"1";
"2";"D";"MALI";"12";
"2";"D";"MARROC";"417";
"2";"D";"MAURITÀNIA";"7";
"2";"D";"MÈXIC";"15";
"2";"D";"MOLDÀVIA";"12";
"2";"D";"NEPAL";"1";
"2";"D";"NICARAGUA";"5";
"2";"D";"NIGÈRIA";"3";
"2";"D";"PAÏSOS BAIXOS";"2";
"2";"D";"PAKISTAN";"41";
"2";"D";"PARAGUAI";"55";
"2";"D";"PERÚ";"24";
"2";"D";"POLÒNIA";"6";
"2";"D";"PORTUGAL";"16";
"2";"D";"REGNE UNIT";"6";
"2";"D";"REPÚBLICA DOMINICANA";"25";
"2";"D";"ROMANIA";"59";
"2";"D";"RÚSSIA";"24";
"2";"D";"SENEGAL";"28";
"2";"D";"SÍRIA";"2";
"2";"D";"TAILÀNDIA";"2";
"2";"D";"TAIWAN";"2";
"2";"D";"TUNÍSIA";"1";
"2";"D";"TURQUIA";"2";
"2";"D";"UCRAÏNA";"31";
"2";"D";"URUGUAI";"17";
"2";"D";"VENEÇUELA";"14";
"2";"D";"XILE";"8";
"2";"D";"XINA";"85";
"2";"H";"AFGANISTAN";"8";
"2";"H";"ALEMANYA";"7";
"2";"H";"ALGÈRIA";"2";
"2";"H";"ANDORRA";"3";
"2";"H";"ARGENTINA";"23";
"2";"H";"ARMÈNIA";"7";
"2";"H";"ÀUSTRIA";"3";
"2";"H";"BANGLA DESH";"4";
"2";"H";"BÈLGICA";"4";
"2";"H";"BIELORÚSSIA";"3";
"2";"H";"BOLÍVIA";"148";
"2";"H";"BRASIL";"16";
"2";"H";"BULGÀRIA";"5";
"2";"H";"BURKINA FASO";"2";
"2";"H";"CAMERUN";"2";
"2";"H";"CANADÀ";"2";
"2";"H";"COLÒMBIA";"25";
"2";"H";"CONGO";"2";
"2";"H";"COSTA D'IVORI";"7";
"2";"H";"COSTA RICA";"3";
"2";"H";"CUBA";"11";
"2";"H";"DINAMARCA";"1";
"2";"H";"EGIPTE";"4";
"2";"H";"EL SALVADOR";"1";
"2";"H";"EQUADOR";"83";
"2";"H";"ESPANYA";"10148";
"2";"H";"ESTATS UNITS D'AMÈRICA";"3";
"2";"H";"FINLÀNDIA";"2";
"2";"H";"FRANÇA";"8";
"2";"H";"GÀMBIA";"23";
"2";"H";"GEÒRGIA";"8";
"2";"H";"GHANA";"7";
"2";"H";"GRÈCIA";"1";
"2";"H";"GUATEMALA";"2";
"2";"H";"GUINEA";"41";
"2";"H";"GUINEA BISSAU";"4";
"2";"H";"GUINEA EQUATORIAL";"1";
"2";"H";"HAITÍ";"1";
"2";"H";"HONDURES";"18";
"2";"H";"HONGRIA";"1";
"2";"H";"ÍNDIA";"10";
"2";"H";"IRAQ";"1";
"2";"H";"IRLANDA";"1";
"2";"H";"ITÀLIA";"31";
"2";"H";"JAPÓ";"2";
"2";"H";"LÍBIA";"1";
"2";"H";"MACEDÒNIA";"1";
"2";"H";"MALI";"27";
"2";"H";"MARROC";"501";
"2";"H";"MAURITÀNIA";"16";
"2";"H";"MÈXIC";"7";
"2";"H";"MOLDÀVIA";"4";
"2";"H";"NEPAL";"1";
"2";"H";"NICARAGUA";"2";
"2";"H";"NIGÈRIA";"4";
"2";"H";"PAÏSOS ÀFRICA S.R.D.E.";"1";
"2";"H";"PAÏSOS ÀSIA S.R.D.E.";"1";
"2";"H";"PAÏSOS BAIXOS";"6";
"2";"H";"PAKISTAN";"72";
"2";"H";"PANAMÀ";"2";
"2";"H";"PARAGUAI";"16";
"2";"H";"PERÚ";"26";
"2";"H";"POLÒNIA";"6";
"2";"H";"PORTUGAL";"11";
"2";"H";"REGNE UNIT";"16";
"2";"H";"REPÚBLICA DOMINICANA";"28";
"2";"H";"ROMANIA";"53";
"2";"H";"RÚSSIA";"12";
"2";"H";"SÀHARA OCCIDENTAL";"1";
"2";"H";"SENEGAL";"55";
"2";"H";"SÈRBIA";"2";
"2";"H";"SÍRIA";"3";
"2";"H";"SUÏSSA";"3";
"2";"H";"TAILÀNDIA";"1";
"2";"H";"TOGO";"1";
"2";"H";"TURQUIA";"2";
"2";"H";"UCRAÏNA";"17";
"2";"H";"URUGUAI";"18";
"2";"H";"VENEÇUELA";"11";
"2";"H";"XILE";"10";
"2";"H";"XINA";"92";
"3";"D";"ALEMANYA";"7";
"3";"D";"ALGÈRIA";"14";
"3";"D";"ARGENTINA";"29";
"3";"D";"ARMÈNIA";"5";
"3";"D";"BÈLGICA";"1";
"3";"D";"BOLÍVIA";"363";
"3";"D";"BRASIL";"37";
"3";"D";"BULGÀRIA";"35";
"3";"D";"COLÒMBIA";"37";
"3";"D";"CONGO";"2";
"3";"D";"COREA";"2";
"3";"D";"COREA DEL NORD";"1";
"3";"D";"CUBA";"20";
"3";"D";"DINAMARCA";"1";
"3";"D";"EL SALVADOR";"5";
"3";"D";"EQUADOR";"82";
"3";"D";"ESLOVÈNIA";"1";
"3";"D";"ESPANYA";"15980";
"3";"D";"FILIPINES";"3";
"3";"D";"FRANÇA";"15";
"3";"D";"GÀMBIA";"11";
"3";"D";"GEÒRGIA";"5";
"3";"D";"GHANA";"9";
"3";"D";"GUATEMALA";"2";
"3";"D";"GUINEA";"6";
"3";"D";"GUINEA BISSAU";"1";
"3";"D";"GUINEA EQUATORIAL";"3";
"3";"D";"HONDURES";"64";
"3";"D";"ÍNDIA";"9";
"3";"D";"IRLANDA";"1";
"3";"D";"ITÀLIA";"31";
"3";"D";"LITUÀNIA";"5";
"3";"D";"MALI";"7";
"3";"D";"MARROC";"297";
"3";"D";"MÈXIC";"4";
"3";"D";"MOLDÀVIA";"7";
"3";"D";"NICARAGUA";"6";
"3";"D";"NIGÈRIA";"24";
"3";"D";"PAKISTAN";"32";
"3";"D";"PANAMÀ";"1";
"3";"D";"PARAGUAI";"35";
"3";"D";"PERÚ";"43";
"3";"D";"POLÒNIA";"6";
"3";"D";"PORTUGAL";"6";
"3";"D";"REGNE UNIT";"2";
"3";"D";"REPÚBLICA DOMINICANA";"57";
"3";"D";"REPÚBLICA TXECA";"1";
"3";"D";"ROMANIA";"134";
"3";"D";"RÚSSIA";"34";
"3";"D";"SÀHARA OCCIDENTAL";"1";
"3";"D";"SENEGAL";"18";
"3";"D";"SÍRIA";"2";
"3";"D";"SUÏSSA";"1";
"3";"D";"TAILÀNDIA";"1";
"3";"D";"UCRAÏNA";"27";
"3";"D";"URUGUAI";"17";
"3";"D";"VENEÇUELA";"21";
"3";"D";"XILE";"9";
"3";"D";"XINA";"81";
"3";"H";"ALEMANYA";"4";
"3";"H";"ALGÈRIA";"13";
"3";"H";"ARGENTINA";"27";
"3";"H";"ARMÈNIA";"6";
"3";"H";"BÈLGICA";"1";
"3";"H";"BOLÍVIA";"279";
"3";"H";"BRASIL";"13";
"3";"H";"BULGÀRIA";"32";
"3";"H";"CAMERUN";"2";
"3";"H";"CANADÀ";"1";
"3";"H";"COLÒMBIA";"30";
"3";"H";"COSTA D'IVORI";"1";
"3";"H";"CUBA";"14";
"3";"H";"DINAMARCA";"2";
"3";"H";"EGIPTE";"3";
"3";"H";"EL SALVADOR";"1";
"3";"H";"EQUADOR";"81";
"3";"H";"ESPANYA";"15310";
"3";"H";"ESTATS UNITS D'AMÈRICA";"4";
"3";"H";"FILIPINES";"1";
"3";"H";"FRANÇA";"10";
"3";"H";"GÀMBIA";"32";
"3";"H";"GEÒRGIA";"8";
"3";"H";"GHANA";"22";
"3";"H";"GUATEMALA";"1";
"3";"H";"GUINEA";"9";
"3";"H";"GUINEA BISSAU";"2";
"3";"H";"GUINEA EQUATORIAL";"5";
"3";"H";"HONDURES";"22";
"3";"H";"ÍNDIA";"45";
"3";"H";"IRAN";"1";
"3";"H";"ITÀLIA";"37";
"3";"H";"JAPÓ";"2";
"3";"H";"LÍBAN";"1";
"3";"H";"MALI";"19";
"3";"H";"MARROC";"365";
"3";"H";"MAURITÀNIA";"4";
"3";"H";"MÈXIC";"4";
"3";"H";"MOLDÀVIA";"10";
"3";"H";"NEPAL";"1";
"3";"H";"NICARAGUA";"5";
"3";"H";"NIGÈRIA";"30";
"3";"H";"PAÏSOS BAIXOS";"3";
"3";"H";"PAKISTAN";"131";
"3";"H";"PARAGUAI";"20";
"3";"H";"PERÚ";"39";
"3";"H";"POLÒNIA";"3";
"3";"H";"PORTUGAL";"7";
"3";"H";"REGNE UNIT";"2";
"3";"H";"REPÚBLICA DOMINICANA";"69";
"3";"H";"ROMANIA";"134";
"3";"H";"RÚSSIA";"10";
"3";"H";"SÀHARA OCCIDENTAL";"1";
"3";"H";"SENEGAL";"42";
"3";"H";"SIERRA LEONE";"1";
"3";"H";"SÍRIA";"3";
"3";"H";"UCRAÏNA";"26";
"3";"H";"URUGUAI";"15";
"3";"H";"VENEÇUELA";"15";
"3";"H";"XILE";"8";
"3";"H";"XINA";"92";
"4";"D";"ALEMANYA";"6";
"4";"D";"ALGÈRIA";"8";
"4";"D";"ARGENTINA";"37";
"4";"D";"ARMÈNIA";"3";
"4";"D";"ÀUSTRIA";"1";
"4";"D";"BAHAMES";"2";
"4";"D";"BIELORÚSSIA";"2";
"4";"D";"BOLÍVIA";"331";
"4";"D";"BRASIL";"33";
"4";"D";"BULGÀRIA";"24";
"4";"D";"BURKINA FASO";"4";
"4";"D";"CANADÀ";"3";
"4";"D";"COLÒMBIA";"49";
"4";"D";"CONGO";"4";
"4";"D";"COREA";"2";
"4";"D";"COSTA D'IVORI";"6";
"4";"D";"COSTA RICA";"1";
"4";"D";"CUBA";"13";
"4";"D";"DINAMARCA";"1";
"4";"D";"EL SALVADOR";"1";
"4";"D";"EQUADOR";"86";
"4";"D";"ESLOVÀQUIA";"1";
"4";"D";"ESPANYA";"17914";
"4";"D";"ESTATS UNITS D'AMÈRICA";"6";
"4";"D";"FILIPINES";"1";
"4";"D";"FRANÇA";"12";
"4";"D";"GÀMBIA";"8";
"4";"D";"GEÒRGIA";"1";
"4";"D";"GHANA";"5";
"4";"D";"GRÈCIA";"1";
"4";"D";"GUATEMALA";"1";
"4";"D";"GUINEA";"18";
"4";"D";"GUINEA EQUATORIAL";"2";
"4";"D";"HONDURES";"61";
"4";"D";"HONGRIA";"2";
"4";"D";"ÍNDIA";"7";
"4";"D";"IRAN";"1";
"4";"D";"IRAQ";"1";
"4";"D";"IRLANDA";"2";
"4";"D";"ITÀLIA";"48";
"4";"D";"JAPÓ";"1";
"4";"D";"JORDÀNIA";"1";
"4";"D";"MADAGASCAR";"1";
"4";"D";"MALI";"19";
"4";"D";"MARROC";"239";
"4";"D";"MÈXIC";"12";
"4";"D";"MOLDÀVIA";"8";
"4";"D";"MONGÒLIA";"1";
"4";"D";"NICARAGUA";"6";
"4";"D";"NIGÈRIA";"12";
"4";"D";"NORUEGA";"1";
"4";"D";"PAÏSOS BAIXOS";"1";
"4";"D";"PAKISTAN";"11";
"4";"D";"PANAMÀ";"1";
"4";"D";"PARAGUAI";"75";
"4";"D";"PERÚ";"45";
"4";"D";"POLÒNIA";"7";
"4";"D";"PORTUGAL";"8";
"4";"D";"REGNE UNIT";"6";
"4";"D";"REPÚBLICA DOMINICANA";"32";
"4";"D";"ROMANIA";"190";
"4";"D";"RÚSSIA";"32";
"4";"D";"SENEGAL";"14";
"4";"D";"SIERRA LEONE";"1";
"4";"D";"TAILÀNDIA";"1";
"4";"D";"TOGO";"2";
"4";"D";"TUNÍSIA";"1";
"4";"D";"UCRAÏNA";"26";
"4";"D";"URUGUAI";"21";
"4";"D";"UZBEKISTAN";"2";
"4";"D";"VENEÇUELA";"28";
"4";"D";"XILE";"16";
"4";"D";"XINA";"97";
"4";"H";"ALBÀNIA";"2";
"4";"H";"ALEMANYA";"6";
"4";"H";"ALGÈRIA";"9";
"4";"H";"ANGOLA";"1";
"4";"H";"ARGENTINA";"36";
"4";"H";"ARMÈNIA";"3";
"4";"H";"ÀUSTRIA";"1";
"4";"H";"BAHAMES";"1";
"4";"H";"BANGLA DESH";"1";
"4";"H";"BÈLGICA";"1";
"4";"H";"BIELORÚSSIA";"1";
"4";"H";"BOLÍVIA";"259";
"4";"H";"BRASIL";"20";
"4";"H";"BULGÀRIA";"19";
"4";"H";"BURKINA FASO";"2";
"4";"H";"CAMERUN";"1";
"4";"H";"CANADÀ";"1";
"4";"H";"COLÒMBIA";"42";
"4";"H";"CONGO";"3";
"4";"H";"COSTA D'IVORI";"3";
"4";"H";"COSTA RICA";"1";
"4";"H";"CUBA";"7";
"4";"H";"EL SALVADOR";"1";
"4";"H";"EQUADOR";"105";
"4";"H";"ESPANYA";"17161";
"4";"H";"ESTATS UNITS D'AMÈRICA";"6";
"4";"H";"FRANÇA";"13";
"4";"H";"GÀMBIA";"61";
"4";"H";"GEÒRGIA";"6";
"4";"H";"GHANA";"6";
"4";"H";"GRÈCIA";"2";
"4";"H";"GUATEMALA";"4";
"4";"H";"GUINEA";"36";
"4";"H";"GUINEA BISSAU";"1";
"4";"H";"GUINEA EQUATORIAL";"1";
"4";"H";"HONDURES";"24";
"4";"H";"HONGRIA";"1";
"4";"H";"ÍNDIA";"24";
"4";"H";"IRAQ";"1";
"4";"H";"IRLANDA";"1";
"4";"H";"ISLÀNDIA";"1";
"4";"H";"ITÀLIA";"64";
"4";"H";"JAPÓ";"3";
"4";"H";"LÍBIA";"2";
"4";"H";"LITUÀNIA";"2";
"4";"H";"MALI";"42";
"4";"H";"MARROC";"330";
"4";"H";"MAURITÀNIA";"11";
"4";"H";"MÈXIC";"8";
"4";"H";"MOLDÀVIA";"9";
"4";"H";"NIGÈRIA";"14";
"4";"H";"PAÏSOS ÀSIA S.R.D.E.";"1";
"4";"H";"PAÏSOS BAIXOS";"3";
"4";"H";"PAKISTAN";"14";
"4";"H";"PARAGUAI";"28";
"4";"H";"PERÚ";"46";
"4";"H";"POLÒNIA";"7";
"4";"H";"PORTUGAL";"10";
"4";"H";"REGNE UNIT";"9";
"4";"H";"REPÚBLICA DOMINICANA";"27";
"4";"H";"ROMANIA";"190";
"4";"H";"RÚSSIA";"12";
"4";"H";"SENEGAL";"32";
"4";"H";"SUÏSSA";"1";
"4";"H";"TAILÀNDIA";"1";
"4";"H";"TOGO";"5";
"4";"H";"TURQUIA";"2";
"4";"H";"UCRAÏNA";"21";
"4";"H";"URUGUAI";"22";
"4";"H";"VENEÇUELA";"14";
"4";"H";"XILE";"16";
"4";"H";"XINA";"97";
"5";"D";"ALEMANYA";"8";
"5";"D";"ALGÈRIA";"10";
"5";"D";"ANDORRA";"1";
"5";"D";"ARGENTINA";"19";
"5";"D";"AUSTRÀLIA";"1";
"5";"D";"ÀUSTRIA";"1";
"5";"D";"BANGLA DESH";"1";
"5";"D";"BÈLGICA";"2";
"5";"D";"BIELORÚSSIA";"5";
"5";"D";"BOLÍVIA";"74";
"5";"D";"BRASIL";"26";
"5";"D";"BULGÀRIA";"5";
"5";"D";"BURKINA FASO";"3";
"5";"D";"CAMERUN";"1";
"5";"D";"CANADÀ";"1";
"5";"D";"COLÒMBIA";"30";
"5";"D";"COSTA D'IVORI";"8";
"5";"D";"COSTA RICA";"3";
"5";"D";"CUBA";"14";
"5";"D";"EL SALVADOR";"5";
"5";"D";"EQUADOR";"36";
"5";"D";"ESLOVÀQUIA";"1";
"5";"D";"ESPANYA";"8972";
"5";"D";"ESTATS UNITS D'AMÈRICA";"2";
"5";"D";"FILIPINES";"2";
"5";"D";"FRANÇA";"12";
"5";"D";"GÀMBIA";"4";
"5";"D";"GHANA";"1";
"5";"D";"GUINEA";"23";
"5";"D";"HONDURES";"23";
"5";"D";"ÍNDIA";"3";
"5";"D";"INDONÈSIA";"1";
"5";"D";"IRAQ";"2";
"5";"D";"IRLANDA";"1";
"5";"D";"ISLÀNDIA";"1";
"5";"D";"ITÀLIA";"28";
"5";"D";"JAPÓ";"2";
"5";"D";"KENYA";"1";
"5";"D";"LÍBAN";"1";
"5";"D";"LITUÀNIA";"1";
"5";"D";"MALI";"12";
"5";"D";"MARROC";"208";
"5";"D";"MÈXIC";"4";
"5";"D";"MOLDÀVIA";"6";
"5";"D";"NICARAGUA";"3";
"5";"D";"NIGÈRIA";"20";
"5";"D";"PAÏSOS BAIXOS";"7";
"5";"D";"PAKISTAN";"12";
"5";"D";"PANAMÀ";"2";
"5";"D";"PARAGUAI";"33";
"5";"D";"PERÚ";"18";
"5";"D";"POLÒNIA";"4";
"5";"D";"PORTUGAL";"5";
"5";"D";"REGNE UNIT";"4";
"5";"D";"REP. DEMOCRÀTICA DEL CONGO";"1";
"5";"D";"REPÚBLICA DOMINICANA";"28";
"5";"D";"ROMANIA";"120";
"5";"D";"RÚSSIA";"17";
"5";"D";"SÀHARA OCCIDENTAL";"2";
"5";"D";"SENEGAL";"7";
"5";"D";"SÈRBIA";"1";
"5";"D";"SUÈCIA";"1";
"5";"D";"TUNÍSIA";"2";
"5";"D";"UCRAÏNA";"17";
"5";"D";"URUGUAI";"13";
"5";"D";"VENEÇUELA";"19";
"5";"D";"XILE";"6";
"5";"D";"XINA";"51";
"5";"H";"ALBÀNIA";"1";
"5";"H";"ALEMANYA";"6";
"5";"H";"ALGÈRIA";"6";
"5";"H";"ARGENTINA";"13";
"5";"H";"ARMÈNIA";"1";
"5";"H";"ÀUSTRIA";"1";
"5";"H";"BANGLA DESH";"9";
"5";"H";"BÈLGICA";"3";
"5";"H";"BIELORÚSSIA";"3";
"5";"H";"BOLÍVIA";"54";
"5";"H";"BÒSNIA I HERCEGOVINA";"2";
"5";"H";"BRASIL";"13";
"5";"H";"BULGÀRIA";"13";
"5";"H";"BURKINA FASO";"1";
"5";"H";"CANADÀ";"1";
"5";"H";"COLÒMBIA";"34";
"5";"H";"COSTA D'IVORI";"13";
"5";"H";"CROÀCIA";"1";
"5";"H";"CUBA";"4";
"5";"H";"DINAMARCA";"1";
"5";"H";"EGIPTE";"1";
"5";"H";"EL SALVADOR";"3";
"5";"H";"EQUADOR";"39";
"5";"H";"ESPANYA";"8603";
"5";"H";"ESTATS UNITS D'AMÈRICA";"1";
"5";"H";"FINLÀNDIA";"1";
"5";"H";"FRANÇA";"7";
"5";"H";"GÀMBIA";"17";
"5";"H";"GEÒRGIA";"2";
"5";"H";"GHANA";"6";
"5";"H";"GRÈCIA";"1";
"5";"H";"GUINEA";"51";
"5";"H";"HONDURES";"9";
"5";"H";"ÍNDIA";"3";
"5";"H";"IRAQ";"1";
"5";"H";"ISLÀNDIA";"1";
"5";"H";"ITÀLIA";"45";
"5";"H";"JAPÓ";"5";
"5";"H";"LITUÀNIA";"1";
"5";"H";"MALI";"29";
"5";"H";"MARROC";"241";
"5";"H";"MAURITÀNIA";"6";
"5";"H";"MÈXIC";"1";
"5";"H";"MOLDÀVIA";"4";
"5";"H";"NEPAL";"2";
"5";"H";"NICARAGUA";"2";
"5";"H";"NIGÈRIA";"19";
"5";"H";"PAÏSOS BAIXOS";"4";
"5";"H";"PAKISTAN";"21";
"5";"H";"PARAGUAI";"13";
"5";"H";"PERÚ";"11";
"5";"H";"POLÒNIA";"1";
"5";"H";"PORTUGAL";"8";
"5";"H";"REGNE UNIT";"6";
"5";"H";"REPÚBLICA DOMINICANA";"15";
"5";"H";"REPÚBLICA TXECA";"1";
"5";"H";"ROMANIA";"94";
"5";"H";"RÚSSIA";"8";
"5";"H";"SÀHARA OCCIDENTAL";"2";
"5";"H";"SENEGAL";"22";
"5";"H";"SUÈCIA";"3";
"5";"H";"TUNÍSIA";"2";
"5";"H";"TURQUIA";"1";
"5";"H";"UCRAÏNA";"13";
"5";"H";"URUGUAI";"10";
"5";"H";"VENEÇUELA";"9";
"5";"H";"XILE";"6";
"5";"H";"XINA";"59";
"6";"D";"ALEMANYA";"5";
"6";"D";"ALGÈRIA";"14";
"6";"D";"ARGENTINA";"34";
"6";"D";"ARMÈNIA";"9";
