PRESSUPOST 2016 - INGRÉS;;;;


Orgànic ;Econòmic;Aplicació 2016;Descripció aplicació;Import inicial
550;32904;550/32904;Utilització equipaments;16.500,00
201;38904;201/38904;INE rectificació cens electoral i padró;2.200,00
440;39190;440/39190;Altres multes i sancions;10,00
440;36099;440/36099;Altres vendes;37.000,00
440;33906;440/33906;Ingressos horts municipals;2.440,00
170;38999;170/38999;Altres reintegraments d'operacions corrents;1.000,00
201;38906;201/38906;Reintegrament despeses electorals Generalitat;5,00
350;34905;350/34905;Preus Laboratori municipal;35.000,00
320;39999;320/39999;Altres ingressos;124.000,00
434;39911;434/39911;Serveis especials de neteja i residus;135.000,00
433;33901;433/33901;Parades encants (manteniment);41.000,00
433;33907;433/33907;Ocupació via pública;241.000,00
433;33908;433/33908;Quioscs;13.900,00
433;39190;433/39190;Altres multes i sancions;90.700,00
411;33905;411/33905;Utilització solars públics;36.200,00
412;39100;412/39100;Multes urbanístiques;30.000,00
412;32100;412/32100;Llicències urbanístiques;300.000,00
500;34101;500/34101;Tallers formació gent gran;31.500,00
510;33900;510/33900;Parades encants;390.000,00
434;30301;434/30301;Taxa deixalleria;40,00
434;36003;434/36003;Venda de subproductes recollida selectiva;1.229.000,00
433;33500;433/33500;Taules i cadires;441.000,00
434;38909;434/38909;Reintegres cànons residus;187.994,06
433;33909;433/33909;Festes al carrer (firaires);53.800,00
207;33100;207/33100;Taxa per entrada de vehicles;1.873.995,00
204;33300;204/33300;Taxes per utilització privativa domini públic empreses telec;77.900,00
510;33902;510/33902;Parades mercats;1.010.000,00
202;39211;202/39211;Recàrrec de constrenyiment;1.500.000,00
202;39300;202/39300;Interessos de demora;600.000,00
202;39906;202/39906;Premi de cobrança Diputació IAE;25.000,00
510;39190;510/39190;Altres multes i sancions;2.000,00
510;38907;510/38907;Reintegrament altres entitats locals;2.100,00
510;33911;510/33911;Traspassos autoritzacions encants;1.000,00
510;33910;510/33910;Traspassos concessions mercats;10.000,00
510;33903;510/33903;Inspecció terres de conreu;10,00
434;36004;434/36004;Vendes d'equips;300.000,00
412;39908;412/39908;Ingressos per execucions subsidiàries;10,00
330;34500;330/34500;Transport adaptat;55.614,00
330;34102;330/34102;Servei d'atenció domiciliària;853.346,16
433;33000;433/33000;Parquímetres;2.300.000,00
420;39908;420/39908;Ingressos per execucions subsidiàries;10,00
420;32907;420/32907;Taxa verif. ús anòmal habitatge en cas d'habitatge buit;10,00
510;39999;510/39999;Altres ingressos;5.000,00
430;39908;430/39908;Ingressos per execucions subsidiàries;10,00
434;30300;434/30300;Servei de tractament de residus;6.368.500,00
207;39120;207/39120;Multes per infraccions de l'ordenança de circulació;1.447.910,00
433;32903;433/32903;Llicències autotaxis;1.000,00
207;33912;207/33912;Caixers entitats bancàries;16.635,00
431;39907;431/39907;Altres ingressos circuit ferroviari;3.000,00
432;38999;432/38999;Altres reintegraments d'operacions corrents;43.100,00
432;36005;432/36005;Vendes d'energia;25.000,00
432;34907;432/34907;Ingressos per execució d'obres per compte de particulars;10,00
209;32902;209/32902;Llicència obertura establiments;340.000,00
432;39905;432/39905;Telèfons públics edificis municipals;10,00
320;45060;320/45060;Altres tranf.per convenis amb la Comunitat Autònoma;180.000,00
320;47000;320/47000;Aportacions i convenis empreses privades;58.000,00
520;42090;520/42090;Altres transferències corrents de l'Adm. General de l'Estat;30.500,00
560;46500;560/46500;De comarques;10.000,00
411;46100;411/46100;Transferències corrents de la Diputació;12.420,00
560;47000;560/47000;Aportacions i convenis empreses privades;18.770,00
320;46100;320/46100;Transferències corrents de la Diputació;79.500,00
520;48000;520/48000;Transferències corrents de famílies i institucions sense ànin de lucre;10,00
520;47000;520/47000;Aportacions i convenis empreses privades;14.600,00
560;45060;560/45060;Altres tranf.per convenis amb la Comunitat Autònoma;235.024,58
520;46100;520/46100;Transferències corrents de la Diputació;12.900,00
310;46500;310/46500;De comarques;6.000,00
420;45060;420/45060;Altres tranf.per convenis amb la Comunitat Autònoma;201.840,00
212;49700;212/49700;Altres transferències de la Unió Europea;88.040,91
500;47000;500/47000;Aportacions i convenis empreses privades;4.000,00
310;45030;310/45030;Transf.corrents per convenis educació;700.307,00
310;45031;310/45031;Transferències corrents convenis d'educació;826.558,00
320;48000;320/48000;Transferències corrents de famílies i institucions sense ànin de lucre;18.000,00
540;46100;540/46100;Transferències corrents de la Diputació;818.000,00
310;46100;310/46100;Transferències corrents de la Diputació;595.360,00
420;46100;420/46100;Transferències corrents de la Diputació;5.000,00
350;46100;350/46100;Transferències corrents de la Diputació;115.717,63
330;45002;330/45002;Transf.corrents per convenis Serv.Socials i Igualtat;4.762.044,88
330;46100;330/46100;Transferències corrents de la Diputació;503.269,98
204;45000;204/45000;Participació en els tributs de la Generalitat;404.493,41
204;42010;204/42010;Fons complementari de finançament;40.232.730,00
204;42000;204/42000;Participació en els tributs de l’estat;10,00
330;46500;330/46500;De comarques;1.761.742,00
330;47000;330/47000;Aportacions i convenis empreses privades;60.000,00
560;46100;560/46100;Transferències corrents de la Diputació;99.868,68
431;47000;431/47000;Aportacions i convenis empreses privades;3.000,00
510;46100;510/46100;Transferències corrents de la Diputació;91.500,00
432;45060;432/45060;Altres tranf.per convenis amb la Comunitat Autònoma;66.530,28
540;45050;540/45050;Transferències corrents convenis ocupació;3.666.000,00
433;42090;433/42090;Altres transferències corrents de l'Adm. General de l'Estat;720.000,00
540;45060;540/45060;Altres tranf.per convenis amb la Comunitat Autònoma;194.000,00
201;45090;201/45090;Altres transferències corrents de l'Adm General Com. Autònom;5,00
440;45302;440/45302;Transf. corr. de l'Agència Catalana de l'Aigua (Ripoll);1.538.744,83
440;45303;440/45303;Transf. corr. de l'Agència Catalana de l'Aigua (Riu Sec);3.727.969,38
440;45304;440/45304;Altres transf. corr. de l'Agència Catalana de l'Aigua;180.179,07
320;41100;320/41100;Transferències corrents d'Organismes autònoms;10,00
201;42090;201/42090;Altres transferències corrents de l'Adm. General de l'Estat;5,00
550;46100;550/46100;Transferències corrents de la Diputació;78.000,00
510;42090;510/42090;Altres transferències corrents de l'Adm. General de l'Estat;10.000,00
510;45000;510/45000;Participació en els tributs de la Generalitat;30.000,00
433;46500;433/46500;De comarques;50.000,00
433;45060;433/45060;Altres tranf.per convenis amb la Comunitat Autònoma;1.300.000,00
350;45060;350/45060;Altres tranf.per convenis amb la Comunitat Autònoma;51.460,37
440;46100;440/46100;Transferències corrents de la Diputació;1.500,00
320;55000;320/55000;Concessions administratives amb contraprestació periòdica;4.000,00
510;54900;510/54900;Altres rendes de béns immobles;20.000,00
204;55000;204/55000;Concessions administratives amb contraprestació periòdica;5.450,00
411;59900;411/59900;Altres ingressos patrimonials;10,00
411;55200;411/55200;Dret de superfície amb contraprestació periòdica;60.000,00
411;55000;411/55000;Concessions administratives amb contraprestació periòdica;55.000,00
411;54100;411/54100;Lloguers finques urbanes;110.000,00
202;52000;202/52000;Interessos de dipòsits;20.000,00
202;51800;202/51800;A famílies i institucions sense finalitat de lucre;300,00
202;51400;202/51400;De soc. merc., ent. públ. emp. i altres org. públics;17.000,00
433;55000;433/55000;Concessions administratives amb contraprestació periòdica;300.000,00
431;55000;431/55000;Concessions administratives amb contraprestació periòdica;140.000,00
204;59900;204/59900;Altres ingressos patrimonials;1.000,00
560;55000;560/55000;Concessions administratives amb contraprestació periòdica;800,00
204;53700;204/53700;Dividends participació en empreses;62.550,00
550;55000;550/55000;Concessions administratives amb contraprestació periòdica;1.500,00
350;55000;350/55000;Concessions administratives amb contraprestació periòdica;693.000,00
310;55000;310/55000;Concessions administratives amb contraprestació periòdica;10.455,00
520;55000;520/55000;Concessions administratives amb contraprestació periòdica;61.500,00
414;79700;414/79700;Altres transferències de la Unió Europea;1.250.000,00
310;72000;310/72000;Transferències de capital de l'Administració de l'Estat;4.014,00
520;76100;520/76100;Transferències de capital de la Diputació;1.410.000,00
440;77000;440/77000;Transferències de capital d’empreses privades;316.000,00
420;76100;420/76100;Transferències de capital de la Diputació;24.000,00
433;76100;433/76100;Transferències de capital de la Diputació;8.000,00
550;76100;550/76100;Transferències de capital de la Diputació;50.000,00
350;76100;350/76100;Transferències de capital de la Diputació;5.000,00
209;76100;209/76100;Transferències de capital de la Diputació;6.570,00
211;79700;211/79700;Altres transferències de la Unió Europea;60.000,00
202;82020;202/82020;Reintegre préstecs i bestretes sect.púb. local a c/t;10,00
202;82120;202/82120;Reintegres préstecs i bestretes sect.púb.local a ll/t;10,00
205;83000;205/83000;Reintegre préstecs fora sector públic c/t;10,00
205;83100;205/83100;Reintegre préstecs fora sector públic a ll/t;10,00
204;91300;204/91300;Préstecs d'empreses financeres a llarg termini;8.000.000,00
;;;;182.298.100,00
