"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23110,"Gastos locomoción personal directivo",25000.00,25000.00,19596.25,19596.25,7596.26,7596.26
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23120,"Gastos locomoción pers. no directivo",53320.00,53320.00,69059.23,69059.23,28144.88,18584.71
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",48004,"Convenio SIAB-ANCCE",100000.00,100000.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",48000,"Subvenciones actividades turísticas",73500.00,73500.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",48003,"Colaboraciones Asociación de Hostelería de Sevilla",6500.00,6500.00,6500.00,6500.00,6500.00,6500.00
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",48010,"Cuotas de Asociaciones y Redes de Ciudades",53167.36,53167.36,41196.36,41196.36,41196.36,33881.36
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",22601,"Atenciones protocolarias y representativas.",52205.55,52205.55,58377.60,58377.60,58377.60,58377.60
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23100,"Gastos locomoción órganos de dirección",6000.00,6000.00,6933.77,6933.77,1550.55,933.77
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",22201,"Servicio de mensajería/ paquetería",0.00,0.00,0.00,0.00,0.00,0.00
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",23000,"Dietas órganos de dirección",6000.00,6000.00,7670.82,7670.82,1670.82,1670.82
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",13000,"Retribuciones básicas personal laboral fijo",203577.51,203577.51,106691.89,106691.89,106691.89,106691.89
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",13002,"Otras remuneraciones personal laboral fijo",68067.10,68067.10,30003.55,30003.55,30003.55,30003.55
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",13100,"Retribuciones básicas personal laboral temporal",358260.39,358260.39,141359.21,141359.21,141359.21,141359.21
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",13102,"Otras remuneraciones personal laboral temporal",14000.00,14000.00,9100.19,9100.19,9100.19,9100.19
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",16000,"Seguridad Social",196886.41,196886.41,73788.28,73788.28,73788.28,73788.28
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",16008,"Asistencia médico-farmacéutica",6720.00,6720.00,6690.72,6690.72,2973.12,2973.12
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",16204,"Acción social",16182.72,16182.72,6589.29,6589.29,6589.29,6589.29
"","","","",3300,"Consorcio Turismo de Sevilla",432,"Información y promoción turística",16205,"Seguros",4033.45,4033.45,2051.81,2051.81,2051.81,2051.81
"","","","",,"",,"",,"",,,,,,
"","","","",,"",,"",,"",,,,,,
"","","","",,"",,"",,"",,,,,,
"","","","",,"",,"",,"",,,,,,
