"METEO","TIMESTAMP","TEMPERATURA","HUMEDAD(%)","LLUVIA(MM)","VELOCIDAD DEL VIENTO(KM/H)","DIRECCION DEL VIENTO"
"TM1",01/01/2017 18:09,"11,52","63,6",0,"0,48",10
"TM1",01/01/2017 18:19,"11,26","64,12",0,"0,96",10
"TM1",01/01/2017 18:29,"11,06","64,06",0,"4,8",10
"TM1",01/01/2017 18:39,"10,81","64,85",0,"6,24",10
"TM1",01/01/2017 18:49,"10,59","65,4",0,"5,28",9
"TM1",01/01/2017 18:59,"10,48","65,67",0,"4,8",0
"TM1",01/01/2017 19:09,"10,33","66,06",0,"0,96",7
"TM1",01/01/2017 19:19,"10,2","66,12",0,"5,76",9
"TM1",01/01/2017 19:29,"10,05","66,75",0,"7,68",9
"TM1",01/01/2017 19:39,"9,88","66,69",0,"2,4",10
"TM1",01/01/2017 19:49,"9,81","65,85",0,"9,6",8
"TM1",01/01/2017 19:59,"9,7","65,67",0,"3,84",10
"TM1",01/01/2017 20:09,"9,52","66,6",0,0,12
"TM1",01/01/2017 20:19,"9,01","70,17",0,0,12
"TM1",01/01/2017 20:29,"8,44","72,33",0,0,10
"TM1",01/01/2017 20:39,"8,24","72,75",0,"2,88",7
"TM1",01/01/2017 20:49,"8,14","72,57",0,"5,28",8
"TM1",01/01/2017 20:59,"7,88","74,16",0,"0,96",10
"TM1",01/01/2017 21:09,"7,66","74,92",0,"0,48",10
"TM1",01/01/2017 21:19,"7,5","75,91",0,"3,36",8
"TM1",01/01/2017 21:29,"7,37","76,7",0,"1,44",8
"TM1",01/01/2017 21:39,"7,26","77,45",0,"5,28",7
"TM1",01/01/2017 21:49,"7,16","78,12",0,"3,36",8
"TM1",01/01/2017 21:59,"7,11","78,64",0,"4,8",8
"TM1",01/01/2017 22:09,"7,1","78,93",0,"1,44",9
"TM1",01/01/2017 22:19,"7,04","79,19",0,"2,4",5
"TM1",01/01/2017 22:29,"6,98","79,24",0,"4,8",6
"TM1",01/01/2017 22:39,"6,96","79,13",0,"3,84",8
"TM1",01/01/2017 22:49,"6,91","78,81",0,"4,8",8
"TM1",01/01/2017 22:59,"6,95","78,26",0,"3,36",9
"TM1",01/01/2017 23:09,"7,01","77,1",0,"7,68",9
"TM1",01/01/2017 23:19,7,"76,44",0,"7,68",8
"TM1",01/01/2017 23:29,"6,96","75,33",0,"3,36",9
"TM1",01/01/2017 23:39,"6,8","75,42",0,"3,84",8
"TM1",01/01/2017 23:49,"6,6","75,42",0,"8,16",10
"TM1",01/01/2017 23:59,"6,36","75,36",0,"4,32",7
"TM1",02/01/2017 0:09,"6,13","74,89",0,"8,64",9
"TM1",02/01/2017 0:19,"5,92","74,66",0,"3,36",8
"TM1",02/01/2017 0:29,"5,76","74,54",0,"3,84",9
"TM1",02/01/2017 0:39,"5,54","75,77",0,"5,76",8
"TM1",02/01/2017 0:49,"5,23","76,64",0,"1,92",8
"TM1",02/01/2017 0:59,"5,02","77,05",0,"8,16",9
"TM1",02/01/2017 1:09,"4,93","76,7",0,"1,44",8
"TM1",02/01/2017 1:19,"4,9","76,73",0,"6,24",10
"TM1",02/01/2017 1:29,"4,88","76,09",0,"8,64",9
"TM1",02/01/2017 1:39,"4,8","76,23",0,"8,64",9
"TM1",02/01/2017 1:49,"4,74","76,15",0,"8,16",9
"TM1",02/01/2017 1:59,"4,68","76,41",0,"6,24",7
"TM1",02/01/2017 2:09,"4,68","76,32",0,"2,4",8
"TM1",02/01/2017 2:19,"4,55","77,45",0,"3,36",8
"TM1",02/01/2017 2:29,"4,44","78,46",0,"6,24",9
"TM1",02/01/2017 2:39,"4,27","79,7",0,"3,84",9
"TM1",02/01/2017 2:49,"4,06","81,08",0,"4,8",8
"TM1",02/01/2017 2:59,"3,93","81,85",0,"3,36",11
"TM1",02/01/2017 3:09,"3,78","82,42",0,"3,84",8
"TM1",02/01/2017 3:19,"3,72","82,67",0,"1,44",8
"TM1",02/01/2017 3:29,"3,7","82,25",0,"0,48",12
"TM1",02/01/2017 3:39,"3,68","82,19",0,"2,88",8
"TM1",02/01/2017 3:49,"3,66","82,13",0,"2,4",8
"TM1",02/01/2017 3:59,"3,66","82,5",0,"5,76",9
"TM1",02/01/2017 4:09,"3,7","82,27",0,"1,92",8
"TM1",02/01/2017 4:19,"3,72","82,05",0,"6,72",11
"TM1",02/01/2017 4:29,"3,71","82,05",0,"0,96",10
"TM1",02/01/2017 4:39,"3,72","81,88",0,"2,88",10
"TM1",02/01/2017 4:49,"3,67","82,05",0,"3,84",8
"TM1",02/01/2017 4:59,"3,57","82,33",0,"6,24",8
"TM1",02/01/2017 5:09,"3,51","82,67",0,"5,28",9
"TM1",02/01/2017 5:19,"3,53","82,56",0,"2,88",12
"TM1",02/01/2017 5:29,"3,56","82,36",0,"2,4",12
"TM1",02/01/2017 5:39,"3,54","82,3",0,"6,24",8
"TM1",02/01/2017 5:49,"3,49","82,56",0,"3,36",10
"TM1",02/01/2017 5:59,"3,39","82,98",0,"2,4",8
"TM1",02/01/2017 6:09,"3,34","83,18",0,"2,88",10
"TM1",02/01/2017 6:19,"3,36","82,96",0,"1,92",10
"TM1",02/01/2017 6:29,"3,38","82,67",0,"2,88",6
"TM1",02/01/2017 6:39,"3,36","82,39",0,"1,44",10
"TM1",02/01/2017 6:49,"3,32","82,67",0,"2,88",10
"TM1",02/01/2017 6:59,"3,29","82,93",0,"1,44",8
"TM1",02/01/2017 7:09,"3,24","83,18",0,"2,4",8
"TM1",02/01/2017 7:19,"3,2","83,52",0,"1,92",8
"TM1",02/01/2017 7:29,"3,26","83,47",0,"1,92",10
"TM1",02/01/2017 7:39,"3,2","83,58",0,"2,88",10
"TM1",02/01/2017 7:49,"3,09","84,09",0,"2,4",9
"TM1",02/01/2017 7:59,"2,92","84,93",0,"1,92",10
"TM1",02/01/2017 8:09,"2,82","85,72",0,"4,8",11
"TM1",02/01/2017 8:19,"2,78","85,83",0,"0,96",8
"TM1",02/01/2017 8:29,"2,84","85,61",0,"2,4",8
"TM1",02/01/2017 8:39,"2,93","85,36",0,"1,44",10
"TM1",02/01/2017 8:49,"3,02","84,96",0,"2,4",8
"TM1",02/01/2017 8:59,"3,14","84,57",0,"1,92",10
"TM1",02/01/2017 9:09,"3,4","83,41",0,"2,4",10
"TM1",02/01/2017 9:19,"3,46","83,38",0,0,10
"TM1",02/01/2017 9:29,"3,72","82,62",0,"2,88",10
"TM1",02/01/2017 9:39,"3,98","81,16",0,"3,36",9
"TM1",02/01/2017 9:49,"4,4","79,65",0,"1,44",10
"TM1",02/01/2017 9:59,"5,01","77,42",0,"3,36",5
"TM1",02/01/2017 10:09,"5,69","75,33",0,0,10
"TM1",02/01/2017 10:19,"6,24","73,28",0,"0,96",12
"TM1",02/01/2017 10:29,"6,68","73,01",0,"0,96",10
"TM1",02/01/2017 10:39,"7,42","71,09",0,0,10
"TM1",02/01/2017 10:49,"8,24","68,68",0,0,7
"TM1",02/01/2017 10:59,"8,78","66,12",0,0,10
"TM1",02/01/2017 11:09,"9,13","64,88",0,"4,32",8
"TM1",02/01/2017 11:19,"9,38","64,46",0,0,10
"TM1",02/01/2017 11:29,"9,88","63,02",0,0,10
"TM1",02/01/2017 11:39,"10,08","61,71",0,0,10
"TM1",02/01/2017 11:49,"10,3","60,63",0,0,10
"TM1",02/01/2017 11:59,"10,36","61,77",0,0,10
"TM1",02/01/2017 12:09,"10,6","60,97",0,0,8
"TM1",02/01/2017 12:19,"10,6","61,77",0,0,10
"TM1",02/01/2017 12:29,"10,87","60,6",0,"0,48",8
"TM1",02/01/2017 12:39,"11,23","58,78",0,0,10
"TM1",02/01/2017 12:49,"11,42","58,22",0,0,12
"TM1",02/01/2017 12:59,"11,33","58,1",0,0,10
"TM1",02/01/2017 13:09,"11,46","59,28",0,0,12
"TM1",02/01/2017 13:19,"11,86","56,51",0,0,10
"TM1",02/01/2017 13:29,"11,94","55,61",0,0,10
"TM1",02/01/2017 13:39,"11,85","57,6",0,0,10
"TM1",02/01/2017 13:49,"11,75","58,22",0,"0,48",10
"TM1",02/01/2017 13:59,"11,92","57,98",0,"1,44",10
"TM1",02/01/2017 14:09,"12,02","60,17",0,0,10
"TM1",02/01/2017 14:19,"11,61","57,7",0,0,12
"TM1",02/01/2017 14:29,"11,6","58,38",0,"4,32",10
"TM1",02/01/2017 14:39,"12,24","61,31",0,0,10
"TM1",02/01/2017 14:49,"12,4","57,26",0,"0,48",12
"TM1",02/01/2017 14:59,"12,54","58,38",0,"0,48",12
"TM1",02/01/2017 15:09,"12,62","59,22",0,"0,48",10
"TM1",02/01/2017 15:19,"12,65","59,15",0,"1,92",12
"TM1",02/01/2017 15:29,"12,85","59,09",0,"3,36",14
"TM1",02/01/2017 15:39,"13,07","58,41",0,"4,8",12
"TM1",02/01/2017 15:49,"12,94","59,62",0,"1,44",12
"TM1",02/01/2017 15:59,"12,93","60,3",0,"2,4",12
"TM1",02/01/2017 16:09,"12,82","59,93",0,"5,28",13
"TM1",02/01/2017 16:19,"12,92","61,1",0,"3,84",13
"TM1",02/01/2017 16:29,"12,79","61,4",0,"4,8",12
"TM1",02/01/2017 16:39,"12,82","63,02",0,"0,48",12
"TM1",02/01/2017 16:49,"12,68","64,18",0,"1,92",12
"TM1",02/01/2017 16:59,"12,44","65,37",0,"0,48",12
"TM1",02/01/2017 17:09,"12,12","67,27",0,"5,28",14
"TM1",02/01/2017 17:19,"11,82","69,51",0,"5,76",14
"TM1",02/01/2017 17:29,"11,45","72,1",0,"6,24",13
"TM1",02/01/2017 17:39,"11,16","73,83",0,"1,44",12
"TM1",02/01/2017 17:49,"10,96","73,04",0,"8,16",13
"TM1",02/01/2017 17:59,"10,78","72,36",0,"4,32",14
"TM1",02/01/2017 18:09,"10,54","73,66",0,"3,36",13
"TM1",02/01/2017 18:19,"10,22","75,85",0,"5,28",12
"TM1",02/01/2017 18:29,"9,94","77,97",0,"7,2",12
"TM1",02/01/2017 18:39,"9,86",78,0,"1,92",12
"TM1",02/01/2017 18:49,"9,91","76,67",0,"2,88",12
"TM1",02/01/2017 18:59,"9,76","77,45",0,"5,28",13
"TM1",02/01/2017 19:09,"9,3","80,68",0,"6,24",14
"TM1",02/01/2017 19:19,"9,2","80,68",0,"6,72",13
"TM1",02/01/2017 19:29,"9,24","79,93",0,0,14
"TM1",02/01/2017 19:39,"9,22","81,36",0,0,12
"TM1",02/01/2017 19:49,"9,39","81,31",0,"0,48",14
"TM1",02/01/2017 19:59,"9,53","80,28",0,"7,68",12
"TM1",02/01/2017 20:09,"9,54","79,47",0,0,12
"TM1",02/01/2017 20:19,"9,44","78,49",0,"0,48",10
"TM1",02/01/2017 20:29,"9,28","78,29",0,0,10
"TM1",02/01/2017 20:39,"8,94","79,9",0,"0,48",1
"TM1",02/01/2017 20:49,"8,68","81,76",0,0,12
"TM1",02/01/2017 20:59,"8,46","82,9",0,0,10
"TM1",02/01/2017 21:09,"8,26","84,82",0,"0,48",12
"TM1",02/01/2017 21:19,"8,14","85,02",0,0,10
"TM1",02/01/2017 21:29,"8,04","85,47",0,"0,48",10
"TM1",02/01/2017 21:39,"7,99","85,61",0,"2,4",10
"TM1",02/01/2017 21:49,"7,98","85,55",0,"0,96",7
"TM1",02/01/2017 21:59,"7,9","85,33",0,0,15
"TM1",02/01/2017 22:09,"7,9","85,02",0,0,10
"TM1",02/01/2017 22:19,"7,81","85,05",0,0,10
"TM1",02/01/2017 22:29,"7,74","85,16",0,"1,44",10
"TM1",02/01/2017 22:39,"7,72","84,68",0,"0,48",12
"TM1",02/01/2017 22:49,"7,76","84,51",0,"0,96",10
"TM1",02/01/2017 22:59,"7,82","84,37",0,"1,44",10
"TM1",02/01/2017 23:09,"7,84","83,81",0,"2,4",10
"TM1",02/01/2017 23:19,"7,88","83,41",0,"0,48",12
"TM1",02/01/2017 23:29,"7,87","82,5",0,"1,92",8
"TM1",02/01/2017 23:39,"7,97","82,22",0,0,10
"TM1",02/01/2017 23:49,"7,98","81,71",0,"1,44",10
"TM1",02/01/2017 23:59,"8,11","81,73",0,"0,96",12
"TM1",03/01/2017 0:09,"8,24","80,45",0,0,10
"TM1",03/01/2017 0:19,"8,14","79,7",0,"0,96",12
"TM1",03/01/2017 0:29,"8,1","79,53",0,"1,92",11
"TM1",03/01/2017 0:39,"8,04","79,85",0,"2,4",8
"TM1",03/01/2017 0:49,"8,02","79,47",0,"3,36",8
"TM1",03/01/2017 0:59,"7,95","79,62",0,"2,4",10
"TM1",03/01/2017 1:09,"7,84","80,28",0,0,12
"TM1",03/01/2017 1:19,"7,82","80,71",0,"1,44",10
"TM1",03/01/2017 1:29,"7,79","81,48",0,"0,96",14
"TM1",03/01/2017 1:39,"7,91","80,19",0,0,7
"TM1",03/01/2017 1:49,"8,08","79,47",0,"0,48",10
"TM1",03/01/2017 1:59,"8,12","79,53",0,"3,84",10
"TM1",03/01/2017 2:09,"8,13","79,47",0,"1,92",8
"TM1",03/01/2017 2:19,"8,12","79,62",0,"1,92",4
"TM1",03/01/2017 2:29,"8,13","79,73",0,"1,92",10
"TM1",03/01/2017 2:39,"7,92","80,1",0,0,10
"TM1",03/01/2017 2:49,"7,24","83,16",0,0,9
"TM1",03/01/2017 2:59,"6,97","84,2",0,0,12
"TM1",03/01/2017 3:09,"6,84","84,29",0,0,12
"TM1",03/01/2017 3:19,"6,7","84,26",0,0,10
"TM1",03/01/2017 3:29,"6,97","83,21",0,"4,32",8
"TM1",03/01/2017 3:39,"7,66","79,3",0,"5,28",6
"TM1",03/01/2017 3:49,"7,95","77,05",0,"3,84",4
"TM1",03/01/2017 3:59,"7,98","76,35",0,"2,88",10
"TM1",03/01/2017 4:09,"7,9","76,2",0,"2,4",8
"TM1",03/01/2017 4:19,"7,73","77,1",0,0,10
"TM1",03/01/2017 4:29,"7,5","77,77",0,0,10
"TM1",03/01/2017 4:39,"7,46","76,76",0,"0,48",12
"TM1",03/01/2017 4:49,"7,24","78,06",0,"0,96",10
"TM1",03/01/2017 4:59,"7,06","78,55",0,0,10
"TM1",03/01/2017 5:09,"7,07","78,44",0,"1,92",8
"TM1",03/01/2017 5:19,"7,29","75,62",0,"1,44",10
"TM1",03/01/2017 5:29,"7,36","74,77",0,"2,4",9
"TM1",03/01/2017 5:39,"7,32","74,57",0,"0,48",6
"TM1",03/01/2017 5:49,"7,22","74,1",0,"0,96",8
"TM1",03/01/2017 5:59,"7,19","73,72",0,"1,44",10
"TM1",03/01/2017 6:09,"7,09","74,19",0,"0,96",8
"TM1",03/01/2017 6:19,"7,08","74,3",0,"3,36",7
"TM1",03/01/2017 6:29,"7,31","73,72",0,"1,44",7
"TM1",03/01/2017 6:39,"7,44","74,16",0,"3,36",8
"TM1",03/01/2017 6:49,"7,45","74,48",0,"1,92",10
"TM1",03/01/2017 6:59,"7,5","74,16",0,"1,44",8
"TM1",03/01/2017 7:09,"7,6","73,69",0,"3,36",9
"TM1",03/01/2017 7:19,"7,55","72,95",0,"3,84",10
"TM1",03/01/2017 7:29,"7,58","71,09",0,"3,36",8
"TM1",03/01/2017 7:39,"7,64","70,73",0,"3,36",8
"TM1",03/01/2017 7:49,"7,71","70,7",0,"4,32",8
"TM1",03/01/2017 7:59,"7,61","70,91",0,"2,4",9
"TM1",03/01/2017 8:09,"7,63","69,69",0,"1,92",9
"TM1",03/01/2017 8:19,"7,65","69,21",0,"4,8",8
"TM1",03/01/2017 8:29,"7,64","69,06",0,"3,36",7
"TM1",03/01/2017 8:39,"7,64","68,62",0,"11,04",7
"TM1",03/01/2017 8:49,"7,73","67,66",0,"3,84",9
"TM1",03/01/2017 8:59,"7,77","67,36",0,"2,4",11
"TM1",03/01/2017 9:09,"8,09","66,18",0,"5,28",7
"TM1",03/01/2017 9:19,"8,55","63,88",0,"1,44",9
"TM1",03/01/2017 9:29,"8,7","63,79",0,"2,4",8
"TM1",03/01/2017 9:39,"8,83","63,21",0,"2,88",10
"TM1",03/01/2017 9:49,"9,13","63,02",0,"1,44",8
"TM1",03/01/2017 9:59,"9,35","61,8",0,"2,88",8
"TM1",03/01/2017 10:09,"9,48","62,57",0,0,10
"TM1",03/01/2017 10:19,"9,82","61,37",0,"0,96",10
"TM1",03/01/2017 10:29,"9,64","62,72",0,0,10
"TM1",03/01/2017 10:39,"9,62","64,88",0,0,10
"TM1",03/01/2017 10:49,"9,84","63,27",0,0,10
"TM1",03/01/2017 10:59,"10,02","62,96",0,0,10
"TM1",03/01/2017 11:09,"10,16","63,76",0,0,10
"TM1",03/01/2017 11:19,"10,33","62,99",0,0,10
"TM1",03/01/2017 11:29,"10,78","61,86",0,0,10
"TM1",03/01/2017 11:39,"12,13","58,35",0,"0,48",12
"TM1",03/01/2017 11:49,"12,94","53,94",0,0,8
"TM1",03/01/2017 11:59,"13,62","54,86",0,0,10
"TM1",03/01/2017 12:09,"14,22","54,64",0,0,10
"TM1",03/01/2017 12:19,"14,56","54,16",0,0,10
"TM1",03/01/2017 12:29,"14,8","54,35",0,0,14
"TM1",03/01/2017 12:39,"15,12","51,39",0,0,14
"TM1",03/01/2017 12:49,"15,38","49,86",0,0,10
"TM1",03/01/2017 12:59,"15,64","46,27",0,"0,48",10
"TM1",03/01/2017 13:09,"15,94","47,33",0,0,10
"TM1",03/01/2017 13:19,"16,33","46,95",0,"1,92",9
"TM1",03/01/2017 13:29,"16,88","43,84",0,0,10
"TM1",03/01/2017 13:39,"16,88","46,08",0,0,14
"TM1",03/01/2017 13:49,"17,37","43,39",0,"2,88",8
"TM1",03/01/2017 13:59,"17,44","42,61",0,"7,68",10
"TM1",03/01/2017 14:09,"17,49","41,4",0,"0,48",14
"TM1",03/01/2017 14:19,"17,82","41,14",0,"2,4",8
"TM1",03/01/2017 14:29,"18,31","42,12",0,"1,92",7
"TM1",03/01/2017 14:39,"18,49","41,11",0,"0,96",6
"TM1",03/01/2017 14:49,"18,44","40,29",0,"1,92",7
"TM1",03/01/2017 14:59,"19,16","40,61",0,"1,44",11
"TM1",03/01/2017 15:09,"19,2","41,86",0,"0,48",0
"TM1",03/01/2017 15:19,"19,1","42,71",0,0,11
"TM1",03/01/2017 15:29,"19,14","41,66",0,"2,4",8
"TM1",03/01/2017 15:39,"19,13","42,51",0,0,14
"TM1",03/01/2017 15:49,"18,78","41,86",0,"0,48",12
"TM1",03/01/2017 15:59,"18,43","43,52",0,"0,48",10
"TM1",03/01/2017 16:09,"17,87","46,21",0,0,10
"TM1",03/01/2017 16:19,"17,24","47,62",0,0,14
"TM1",03/01/2017 16:29,"16,79","49,22",0,0,14
"TM1",03/01/2017 16:39,"16,05","53,6",0,0,12
"TM1",03/01/2017 16:49,"15,34","57,42",0,"3,84",14
"TM1",03/01/2017 16:59,"14,7","60,36",0,"0,48",14
"TM1",03/01/2017 17:09,"14,3","60,08",0,"4,32",14
"TM1",03/01/2017 17:19,"14,22","61,37",0,"3,36",14
"TM1",03/01/2017 17:29,"13,06","68,74",0,"3,84",13
"TM1",03/01/2017 17:39,"12,65","71,33",0,"5,76",14
"TM1",03/01/2017 17:49,"12,36","73,13",0,"2,88",14
"TM1",03/01/2017 17:59,12,"76,84",0,"7,68",14
"TM1",03/01/2017 18:09,"11,86","78,98",0,"1,44",12
"TM1",03/01/2017 18:19,"11,78","79,7",0,"2,88",0
"TM1",03/01/2017 18:29,"11,64","81,96",0,"1,44",14
"TM1",03/01/2017 18:39,"11,62","80,79",0,0,14
"TM1",03/01/2017 18:49,"11,47","84,43",0,0,8
"TM1",03/01/2017 18:59,"11,48","84,68",0,0,10
"TM1",03/01/2017 19:09,"11,42","83,72",0,0,10
"TM1",03/01/2017 19:19,"11,42","83,72",0,0,10
"TM1",03/01/2017 19:29,"11,07","84,77",0,0,10
"TM1",03/01/2017 19:39,"10,92","87,48",0,"1,44",10
"TM1",03/01/2017 19:49,"10,86","87,57",0,0,10
"TM1",03/01/2017 19:59,"10,78","88,95",0,0,10
"TM1",03/01/2017 20:09,"10,74",90,0,"0,96",10
"TM1",03/01/2017 20:19,"10,72","90,5",0,"0,48",10
"TM1",03/01/2017 20:29,"10,73","90,88",0,0,14
"TM1",03/01/2017 20:39,"10,66","91,32",0,0,14
"TM1",03/01/2017 20:49,"10,48","91,29",0,0,14
"TM1",03/01/2017 20:59,"9,93","90,75",0,"1,92",8
"TM1",03/01/2017 21:09,"9,72","91,43",0,0,10
