"Año","Cod_Municipio","Nom_Municipio","Desc_Concepto","Orden","Fecha_Alta_OT","Desc_OT","Direccion_OT","Provincia","Descripcion_Tarifa_Sub_1","Unidad_Medida_Sub_1","Descripcion_Tarifa_Sub_2","Ref_Catastral_Fin"
2017,46244,"TORRENT","VADOS","1076",17/04/1989,"CL FRANCISCO TARREGA 2 00 IZ","CL FRANCISCO TARREGA 2  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1079",17/04/1989,"CL D'EL GARBI 28 00","CL GARBI DEL 28  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1081",26/04/1989,"CL VIRGEN DE LA PAZ 27 00 IZ","CL VIRGEN DE LA PAZ 27  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1082",21/04/1989,"CL NICOLAS ANDREU 27 00 IZ","CL NICOLAS ANDREU 27  00 IZ","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1084",24/04/1989,"CL SANTA LUCIA 74 00","CL SANTA LUCIA 74  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1085",27/04/1989,"CL SAN URBANO 4 00","CL SAN URBANO 4  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1088",16/02/1990,"CL ANDORRA 2 00","CL ANDORRA 2  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1089",21/04/1989,"CL PINTOR RIBERA 20 00 AC","CL PINTOR RIBERA 20  00 AC","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","109",21/04/1989,"AV PAIS VALENCIA 82 00 IZ","AV PAIS VALENCIA 82  00 IZ","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1091",11/03/1990,"CL FRAY LUIS AMIGO 30 00","CL FRAY LUIS AMIGO 30  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1095",17/04/1989,"CL DOCTOR FRANCISCO ROSELLO 17 00","CL DOCTOR FRANCISCO ROSELLO 17  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1097",01/03/1990,"CL TOLEDO 37 00","CL TOLEDO 37  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1098",28/02/1990,"CL FRAY LUIS AMIGO 19 42","CL FRAY LUIS AMIGO 19  42","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1099",28/02/1990,"CL FRAY LUIS AMIGO 19 00","CL FRAY LUIS AMIGO 19  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","110",25/04/1989,"CL TIRANT LO BLANC 58 00","CL TIRANT LO BLANC 58  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1101",28/02/1990,"CL MAESTRO MANUEL M SOLANO 3 00","CL MAESTRO MANUEL M SOLANO 3  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1102",28/02/1990,"CL VIRG DE LOS DESAMPARADOS 13 00","CL VIRGEN DE LOS DESAMPARADOS 13  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1103",01/03/1990,"CL MARIA AUXILIADORA 21 00","CL MARIA AUXILIADORA 21  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1104",14/02/1990,"CL MIGUEL SERVET 3 00 L","CL MIGUEL SERVET 3  00 L","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1105",28/02/1990,"CL SEDAVI 42 00","CL SEDAVI 42  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1107",03/03/1990,"CL MARIA AUXILIADORA 12 00","CL MARIA AUXILIADORA 12  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1109",02/04/1990,"CL VIRGEN DEL OLIVAR 24 00","CL VIRGEN DEL OLIVAR 24  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1112",10/04/1990,"AV PAIS VALENCIA 125 00","AV PAIS VALENCIA 125  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1113",04/04/1990,"CL GERMANIES 1 00","CL GERMANIES 1  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1116",04/04/1990,"CL LUGAR NUEVO DE LA CORONA 10 42","CL LUGAR NUEVO DE LA CORONA 10  42","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1118",17/04/1989,"CL GRANERERS 4 03 DC","CL GRANERERS 4  03 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1119",26/04/1990,"CL DOMINICAL 2 00","CL DOMINICAL 2  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","112",24/04/1989,"CL SAN JUAN DE RIBERA 41 00 IZ","CL SAN JUAN DE RIBERA 41  00 IZ","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1120",05/12/1989,"CL PADRE MENDEZ 103 00","CL PADRE MENDEZ 103  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PUBLICO (BLOQUES CATEGORIA B)",
2017,46244,"TORRENT","VADOS","1122",28/03/1990,"A-Individual","CL SAN PEDRO ALCANTARA 9  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1123",31/05/1990,"CL MUSICO ANDREU PIQUERES 5 00","CL MUSICO ANDRES PIQUERES 5  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PUBLICO (BLOQUES CATEGORIA B)",
2017,46244,"TORRENT","VADOS","1125",07/05/1990,"CL 25 DE ABRIL 28 00 D","CL 25 DE ABRIL 28  00 D","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1126",24/04/1989,"CL SAN PEDRO ALCANTARA 50 00","CL SAN PEDRO ALCANTARA 50  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1127",07/06/1990,"CL CONSTITUCION 33 00","CL CONSTITUCION 33  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1130",02/07/1990,"CL PINTOR RENAU 8 00","CL PINTOR RENAU 8  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1133",10/07/1990,"CL ZARAGOZA 28 00","CL ZARAGOZA 28  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1134",17/05/1990,"CL SANTA TERESA 1 00","CL SANTA TERESA 1  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1135",11/09/1990,"CL D'EL GARBI 9 00","CL GARBI DEL 9  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1137",09/07/1990,"CL FRANCISCO TARREGA 3 42","CL FRANCISCO TARREGA 3  42","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1139",11/09/1990,"CL MARIA AUXILIADORA 26 00","CL MARIA AUXILIADORA 26  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1140",02/07/1990,"CL L'HORTA 32 42","CL L´HORTA 32  42","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PUBLICO (BLOQUES CATEGORIA B)",
2017,46244,"TORRENT","VADOS","1141",01/10/1990,"CL PADRE MENDEZ 44 00","CL PADRE MENDEZ 44  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1143",25/04/1989,"CL TIRANT LO BLANC 8 00","CL TIRANT LO BLANC 8  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1145",11/09/1990,"CL 6 DE DESSEMBRE 1 00","CL 6 DE DESSEMBRE 1  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1146",11/10/1990,"AV PAIS VALENCIA 119 00","AV PAIS VALENCIA 119  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","115",14/04/1989,"CL CAMPOAMOR 27 00","CL CAMPOAMOR 27  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1150",11/10/1990,"CL VICENTE BLASCO IBAEZ 22 00","CL VICENTE BLASCO IBAÑEZ 22  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1151",05/10/1990,"CL LOPE DE RUEDA 9 00","CL LOPE DE RUEDA 9  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1152",05/10/1990,"CL CALVARIO 21 00","CL CALVARIO 21  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1153",24/04/1989,"CL FRAY LUIS AMIGO 36 00","CL FRAY LUIS AMIGO 36  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1154",11/10/1990,"CL D'EL GARBI 19 00","CL GARBI DEL 19  00","VALENCIA","CATEGORIA E MINUSVALIDO","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1156",05/11/1990,"PZ SAN PASCUAL 24 00","PZ SAN PASCUAL 24  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1157",13/02/1992,"CL SEDAVI 19 00","CL SEDAVI 19  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1158",05/11/1990,"CL SAN CAYETANO 44 00","CL SAN CAYETANO 44  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1163",31/12/1998,"CL MORALETS 7 00","CL MORALETS 7  00","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL","COLECTIVO PRIVADO Y D1 INDUSTRIAL (BLOQUES)",
2017,46244,"TORRENT","VADOS","1165",17/04/1989,"CL SALVADOR EL 60 01 DC","CL SALVADOR EL 60  01 DC","VALENCIA","CATEGORIA A, B Y C","METRO LINEAL",,
2017,46244,"TORRENT","VADOS","1166",14/02/1990,"CL MARIA AUXILIADORA 25 00","CL MARIA AUXILIADORA 25  00","VALENCIA","CATEGORÍA D1 Y D2 INDUSTRIAL","METRO LINEAL",,
