"X","Y","ESPECIE"
"-0.487941106556264","39.413912054563212","Ligustrum variegata"
"-0.488007231225987","39.413940059901222","Ligustrum variegata"
"-0.487887346839619","39.413895487547087","Catalpa bignonioides"
"-0.488279681398296","39.414377298110445","Melia azederach"
"-0.48838470178466","39.414221278442561","Melia azederach"
"-0.487163453496459","39.414237592020598","Morus s.p."
"-0.487150993837173","39.414151196503695","Morus s.p."
"-0.488268621484143","39.414539762068465","Pinus halepensi"
"-0.488283788169464","39.414515224836357","Pinus halepensi"
"-0.489345923410161","39.414566905141164","Melia azederach"
"-0.48819934195396","39.414023850285709","Evonymus japonicus"
"-0.489071327085633","39.414376920647861","Melia azederach"
"-0.489147558734574","39.414408116602822","Melia azederach"
"-0.489493612699111","39.414551986245904","Ligustrum sp."
"-0.489442566810191","39.414530974033262","Ligustrum sp."
"-0.489398500060048","39.414512905305592","Laurus nobelis"
"-0.489334978872207","39.414486758777301","Melia azederach"
"-0.489278421096744","39.414538420354582","Melia azederach"
"-0.489304773897071","39.414551692171891","Melia azederach"
"-0.487714013348243","39.413825706027616","Catalpa bignonioides"
"-0.486476617570519","39.413124725821589","Sin Clasificar"
"-0.490964414274059","39.41645382963609","Citrus aurantium"
"-0.487292975399195","39.415675798198258","Ligustrum sp."
"-0.487383107285299","39.415717746193828","Ligustrum sp."
"-0.489675251466958","39.418432579355461","Pinus pinea"
"-0.489624719196311","39.418403650359849","Pinus pinea"
"-0.489325405122861","39.418458538275885","Pinus halepensi"
"-0.489278303750899","39.418806440268852","Sin Clasificar"
"-0.489262632279308","39.418845020773055","Sin Clasificar"
"-0.489245387643812","39.418882125857643","Sin Clasificar"
"-0.489227910867506","39.418919225925862","Sin Clasificar"
"-0.489211626996313","39.418955450852302","Sin Clasificar"
"-0.489741452637896","39.418034639067557","Pinus halepensi"
"-0.489559631284671","39.418291614171864","Pinus halepensi"
"-0.489561736523068","39.418210308210142","Pinus halepensi"
"-0.489669918635236","39.418150752248593","Pinus halepensi"
"-0.489339150029264","39.418402438663193","Pinus halepensi"
"-0.489247261455249","39.418797571668698","Pinus halepensi"
"-0.489228782167865","39.418833478915104","Pinus halepensi"
"-0.489210950197933","39.418877237981569","Pinus halepensi"
"-0.489135678192846","39.418802999668301","Pinus halepensi"
"-0.489138540493203","39.418771800202393","Pinus halepensi"
"-0.489138474740913","39.418786573567793","Pinus halepensi"
"-0.489137745905929","39.41875187311711","Pinus halepensi"
"-0.489133182724844","39.418730152927367","Pinus halepensi"
"-0.489123122693712","39.418709485191904","Pinus halepensi"
"-0.489087243859692","39.418709160747696","Sin Clasificar"
"-0.489107214966012","39.418683465930862","Pinus halepensi"
"-0.489087466154042","39.418673850207703","Sin Clasificar"
"-0.489072632200473","39.418682628933183","Sin Clasificar"
"-0.489058684430295","39.418695841214088","Sin Clasificar"
"-0.488559529309659","39.418978843382455","Citrus aurantium"
"-0.488594462833061","39.418953742149569","Citrus aurantium"
"-0.48848662844137","39.419029430726965","Citrus aurantium"
"-0.488523293231694","39.419004637187037","Citrus aurantium"
"-0.487883177407296","39.416983688837725","Pinus halepensi"
"-0.489933634993378","39.414805721656762","Pinus halepensi"
"-0.489970751069325","39.414742378746894","Pinus halepensi"
"-0.490073710131803","39.414792619624038","Melia azederach"
"-0.490097418277634","39.414873131561528","Pinus halepensi"
"-0.490208330902025","39.414918589064158","Melia azederach"
"-0.490303089946417","39.414957841896623","Melia azederach"
"-0.490570213114675","39.414990454779883","Melia azederach"
"-0.490605981269144","39.415081226939996","Pinus halepensi"
"-0.490686943583485","39.415113334815082","Pinus halepensi"
"-0.49074791589961","39.415139335510233","Pinus halepensi"
"-0.49083965813976","39.415178522798321","Pinus halepensi"
"-0.490753406870345","39.415070444910171","Pinus halepensi"
"-0.488239571756068","39.414582197583989","Pinus halepensi"
"-0.488302863852739","39.414708520056493","Pinus halepensi"
"-0.488523299741701","39.414802471412692","Pinus halepensi"
"-0.489858955205617","39.414702127183638","Melia azederach"
"-0.48974858119429","39.414661095401719","Melia azederach"
"-0.489733515206286","39.414724914337469","Melia azederach"
"-0.489678626417141","39.414704179613679","Melia azederach"
"-0.489624553515865","39.414680129143363","Melia azederach"
"-0.489561354404321","39.414654710413217","Melia azederach"
"-0.489521065626323","39.414638164752461","Melia azederach"
"-0.489477688648847","39.414620291129161","Melia azederach"
"-0.48938303368121","39.414581400238944","Melia azederach"
"-0.489410618133408","39.41459271664484","Melia azederach"
"-0.489438086541128","39.414604030538378","Melia azederach"
"-0.489703190337219","39.414715520821574","Pinus halepensi"
"-0.490488680340311","39.417146535565614","Citrus aurantium"
"-0.490446144131081","39.417208770621642","Citrus aurantium"
"-0.490420647517712","39.417246058135099","Citrus aurantium"
"-0.490393841937428","39.417284218288714","Citrus aurantium"
"-0.490369186744174","39.417320713141287","Citrus aurantium"
"-0.490342684061101","39.417360141083229","Citrus aurantium"
"-0.490150753494226","39.417617349404644","Citrus aurantium"
"-0.490511923121171","39.417113793986466","Citrus aurantium"
"-0.490536036419016","39.417079449568853","Citrus aurantium"
"-0.490554049673936","39.417053261775635","Citrus aurantium"
"-0.490574748600777","39.417023438250659","Citrus aurantium"
"-0.490605393984646","39.416978604166822","Citrus aurantium"
"-0.490631606119615","39.416940791512069","Citrus aurantium"
