"NUM-REG","registro-entrada","CODPOS","MUNICIPIO","SECTOR","CAUSA","FECHA","AÑO","contestacion- CONSUMIDOR","MEDIACION-EMPRESA","ESTADO","INHIBICIÓN A"
"244","2014013695","46900","TORRENT","BANCA","PRESTACIÓN DE SERVICIOS","16/05/2014","/2014","","23/05/2014","",""
"245","2014013731","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","16/05/2014","/2014","25/06/2014","23/05/2014","CONTESTACIÓN OPERADORA NO ADHERIDA J.A.C.",""
"246","2014013753","46900","TORRENT","GRANDES SUPERFICIES","OTROS","16/05/2014","/2014","","","INHIBICIÓN","ALDAIA"
"247","2014013811","46900","TORRENT","GRANDES SUPERFICIES","OTROS","16/05/2014","/2014","","","INHIBICIÓN","ALDAIA"
"248","2014013817","46900","TORRENT","GRANDES SUPERFICIES","OTROS","17/05/2014","/2014","","23/05/2014","",""
"249","2014013851","46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS","19/05/2014","/2014","13/06/2014","26/05/2014","",""
"250","2014013856","46900","TORRENT","OTROS","PRECIOS","19/05/2014","/2014","","26/05/2014","",""
"251","2014013894","46900","TORRENT","PEQUEÑO COMERCIO","OTROS","19/05/2014","/2014","","26/05/2014","",""
"252","2014013909","46900","TORRENT","BANCA","OTROS","19/05/2014","/2014","","26/05/2014","",""
"253","2014014020","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","20/05/2014","/2014","20/06/2014","26/05/2014","",""
"254","2014014064","46900","TORRENT","OTROS","OTROS","20/05/2014","/2014","","26/05/2014","",""
"255","2014014070","46900","TORRENT","TELEFONÍA E INTERNET","PRESTACIÓN DE SERVICIOS","20/05/2014","/2014","","26/05/2014","",""
"256","2014014074","46900","TORRENT","DEPORTES","OTROS","20/05/2014","/2014","","02/06/2014","",""
"257","2014014082","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","20/05/2014","/2014","","26/05/2014","",""
"258","2014014183","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","21/05/2014","/2014","","26/05/2014","",""
"259","2014014760","46900","TORRENT","ELECTRICIDAD","PRECIOS","26/05/2014","/2014","25/07/2014","30/05/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"260","2014014832","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","26/05/2014","/2014","20/06/2014","30/05/2014","CONTESTACIÓN OPERADORA NO ADHERIDA J.A.C.",""
"261","2014014952","46900","TORRENT","PEQUEÑO COMERCIO","PUBLICIDAD ENGAÑOSA","27/05/2014","/2014","","29/05/2014","",""
"262","2014015082","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","27/05/2014","/2014","15/07/2014","04/06/2014","",""
"263","2014015221","46900","TORRENT","PEQUEÑO COMERCIO","OTROS","28/05/2014","/2014","25/06/2014","13/06/2014","",""
"264","2014015260","46900","TORRENT","TELEFONÍA E INTERNET","INCUMPLIMIENTO CONDICIONES VENTA","28/05/2014","/2014","","05/06/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"265","2014015336","46900","TORRENT","TELEFONÍA E INTERNET","CLÁUSULAS ABUSIVAS","28/05/2014","/2014","25/06/2014","05/06/2014","CONTESTACIÓN OPERADORA NO ADHERIDA J.A.C.",""
"266","2014015345","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","28/05/2014","/2014","20/06/2014","06/06/2014","",""
"267","2014015378","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","28/05/2014","/2014","","04/06/2014","",""
"268","2014015459","46900","TORRENT","ELECTRICIDAD","OTROS","29/05/2014","/2014","11/05/2014","04/06/2014","",""
"269","2014015492","46900","TORRENT","BANCA","PRECIOS","29/05/2014","/2014","19/08/2014","05/06/2014","",""
"270","2014015592","46900","TORRENT","OTROS","OTROS","29/05/2014","/2014","13/06/2015","06/06/2014","",""
"271","2014015709","46900","TORRENT","BANCA","PRECIOS","30/05/2014","/2014","","04/05/2014","",""
"272","2014015837","46900","TORRENT","GRANDES SUPERFICIES","PRESTACIÓN DE SERVICIOS","30/05/2014","/2014","27/06/2014","05/06/2014","",""
"273","2014015848","46900","TORRENT","SEGUROS","PRESTACIÓN DE SERVICIOS","30/05/2014","/2014","","06/06/2014","",""
"274","2014015958","46900","TORRENT","ELECTRICIDAD","OTROS","02/06/2014","/2014","21/08/2014","06/06/2014","",""
"275","2014016076","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","02/06/2014","/2014","23/06/2014","09/06/2014","",""
"276","2014016092","46900","TORRENT","ELECTRICIDAD","INCUMPLIMIENTO CONDICIONES VENTA","03/06/2014","/2014","09/02/2015","09/06/2014","",""
"277","2014016146","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","03/06/2014","/2014","25/06/2014","10/06/2014","",""
"278","2014016364","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","04/06/2014","/2014","21/07/2014","12/06/2014","CONTESTACIÓN OPERADORA NO ADHERIDA J.A.C.",""
"279","2014016674","46900","TORRENT","BANCA","OTROS","06/06/2014","/2014","","12/06/2014","",""
"280","2014016695","46900","TORRENT","AGUA","CLÁUSULAS ABUSIVAS","06/06/2014","/2014","11/07/2014","12/06/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"281","2014016713","46900","TORRENT","GAS","OTROS","06/06/2014","/2014","","","INHIBICIÓN","VALENCIA"
"282","2014016820","46900","TORRENT","AGENCIA DE VIAJES","OTROS","09/06/2014","/2014","","13/06/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"283","2014016827","46900","TORRENT","TELEFONÍA E INTERNET","INCUMPLIMIENTO CONDICIONES VENTA","09/06/2014","/2014","17/07/2014","13/06/2014","",""
"284","2014016939","46900","TORRENT","PEQUEÑO COMERCIO","INCUMPLIMIENTO CONDICIONES VENTA","09/06/2014","/2014","15/07/2014","17/06/2014","",""
"285","2014016966","46900","TORRENT","OTROS","INCUMPLIMIENTO CONDICIONES VENTA","09/06/2014","/2014","","18/06/2014","POSITIVA",""
"287","2014016973","46900","TORRENT","ELECTRICIDAD","PRESTACIÓN DE SERVICIOS","09/06/2014","/2014","12/08/2014","18/06/2014","",""
"286","2014016974","46900","TORRENT","ELECTRICIDAD","PRESTACIÓN DE SERVICIOS","09/06/2014","/2014","","","",""
"288","2014017024","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","10/06/2014","/2014","07/08/2014","17/06/2014","",""
"289","2014017155","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","11/06/2014","/2014","15/07/2014","17/06/2014","",""
"290","2014017257","46900","TORRENT","OTROS","PRESTACIÓN DE SERVICIOS","11/06/2014","/2014","28/06/2014","17/06/2014","",""
"291","2014017258","46900","TORRENT","DEPORTES","PRECIOS","11/06/2014","/2014","","","INHIBICIÓN","VALENCIA"
"292","2014017322","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","12/06/2014","/2014","","23/06/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"293","2014017520","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","13/06/2014","/2014","11/07/2014","25/06/2014","CONTESTACIÓN OPERADORA NO ADHERIDA J.A.C.",""
"294","2014017690","46900","TORRENT","TELEFONÍA E INTERNET","INCUMPLIMIENTO CONDICIONES VENTA","16/06/2014","/2014","06/08/2014","24/06/2014","",""
"295","2014017749","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","16/06/2014","/2014","17/07/2014","23/06/2014","ARCHIVO SIN SOLUCION VIA ADMINISTRATIVA",""
"296","2014017811","46900","TORRENT","BANCA","PRECIOS","17/06/2014","/2014","21/07/2014","24/06/2014","",""
"297","2014017821","46900","TORRENT","AGUA","PRESTACIÓN DE SERVICIOS","17/06/2014","/2014","22/07/2014","24/06/2014","",""
"298","2014017842","46900","TORRENT","ELECTRICIDAD","OTROS","17/06/2014","/2014","06/08/2014","25/06/2014","",""
"299","2014017880","46900","TORRENT","OTROS","OTROS","17/06/2014","/2014","","","INHIBICIÓN","QUART DE POBLET"
"300","2014018051","46900","TORRENT","ELECTRICIDAD","PRECIOS","18/06/2014","/2014","22/07/2014","25/06/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"301","2014018091","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","18/06/2014","/2014","14/07/2014","24/06/2014","",""
"302","2014018132","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","18/06/2014","/2014","04/09/2014","24/06/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"303","2014018140","46900","TORRENT","OTROS","OTROS","18/06/2014","/2014","04/07/2014","24/06/2014","",""
"304","2014018176","46900","TORRENT","ELECTRICIDAD","OTROS","18/06/2014","/2014","11/07/2014","27/06/2014","",""
"305","2014018328","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","19/06/2014","/2014","16/08/2014","27/06/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"306","2014018516","46900","TORRENT","TELEFONÍA E INTERNET","OTROS","20/06/2014","/2014","24/07/2014","30/06/2014","",""
"307","2014018525","46900","TORRENT","OTROS","OTROS","20/06/2014","/2014","","27/06/2014","INHIBICIÓN","TURISMO GENERALITAT"
