CAST,VAL,VIA_V,VIA_C,VAL_L
C/ NUM 3 MAS DE BARCOS,C/ NUM 3 MAS DE BARCOS,C/,C/,C/ NÚM 3 MAS DE BARCOS
C/ NUM 3 MONTE REAL,C/ NUM 3 MONTE REAL,C/,C/,C/ NÚM 3 MONTE REAL
C/ NUM 3 RONDA ESTE,C/ NUM 3 RONDA ESTE,C/,C/,C/ NÚM 3 RONDA ESTE
C/ NUM 4 BARRANC DEL GALLEGO,C/ NUM 4 BARRANC DEL GALLEGO,C/,C/,C/ NÚM 4 BARRANC DEL GALLEGO
C/ NUM 4 C BLANCA C BARBETA,C/ NUM 4 C BLANCA C BARBETA,C/,C/,C/ NÚM 4 C BLANCA C BARBETA
C/ NUM 4 CANYADA A I BIRLET,C/ NUM 4 CANYADA A I BIRLET,C/,C/,C/ NÚM 4 CANYADA A I BIRLET
C/ NUM 4 CANYADA DEL CORRAL,C/ NUM 4 CANYADA DEL CORRAL,C/,C/,C/ NÚM 4 CANYADA DEL CORRAL
C/ NUM 4 CASETA DE LA PARDALA,C/ NUM 4 CASETA DE LA PARDALA,C/,C/,C/ NÚM 4 CASETA DE LA PARDALA
C/ NUM 4 CORRAL DE COCOTA,C/ NUM 4 CORRAL DE COCOTA,C/,C/,C/ NÚM 4 CORRAL DE COCOTA
C/ NUM 4 CORRAL DEL COLERO,C/ NUM 4 CORRAL DEL COLERO,C/,C/,C/ NÚM 4 CORRAL DEL COLERO
C/ NUM 4 CORRAL DEL MANYET,C/ NUM 4 CORRAL DEL MANYET,C/,C/,C/ NÚM 4 CORRAL DEL MANYET
C/ NUM 4 CORRAL DELS FRANXOS,C/ NUM 4 CORRAL DELS FRANXOS,C/,C/,C/ NÚM 4 CORRAL DELS FRANXOS
C/ NUM 4 FONT DE LA CARRASQUERA,C/ NUM 4 FONT DE LA CARRASQUERA,C/,C/,C/ NÚM 4 FONT DE LA CARRASQUERA
C/ NUM 4 FONT DE MANYES,C/ NUM 4 FONT DE MANYES,C/,C/,C/ NÚM 4 FONT DE MANYES
C/ NUM 4 FONT DEL SAPO,C/ NUM 4 FONT DEL SAPO,C/,C/,C/ NÚM 4 FONT DEL SAPO
C/ NUM 4 LA VENTETA,C/ NUM 4 LA VENTETA,C/,C/,C/ NÚM 4 LA VENTETA
C/ NUM 4 MADRONYAL,C/ NUM 4 MADRONYAL,C/,C/,C/ NÚM 4 MADRONYAL
C/ NUM 4 MANYES-BARBETA,C/ NUM 4 MANYES-BARBETA,C/,C/,C/ NÚM 4 MANYES-BARBETA
C/ NUM 4 MAS DE BARCOS,C/ NUM 4 MAS DE BARCOS,C/,C/,C/ NÚM 4 MAS DE BARCOS
C/ NUM 4 MOLLO BLANC,C/ NUM 4 MOLLO BLANC,C/,C/,C/ NÚM 4 MOLLÓ BLANC
C/ NUM 4 RONDA ESTE,C/ NUM 4 RONDA ESTE,C/,C/,C/ NÚM 4 RONDA ESTE
C/ NUM 5 BARRANC DEL GALLEGO,C/ NUM 5 BARRANC DEL GALLEGO,C/,C/,C/ NÚM 5 BARRANC DEL GALLEGO
C/ NUM 5 CANYADA A I BIRLET,C/ NUM 5 CANYADA A I BIRLET,C/,C/,C/ NÚM 5 CANYADA A I BIRLET
C/ NUM 5 CANYADA DEL CORRAL,C/ NUM 5 CANYADA DEL CORRAL,C/,C/,C/ NÚM 5 CANYADA DEL CORRAL
C/ NUM 5 CASETA DE LA PARDALA,C/ NUM 5 CASETA DE LA PARDALA,C/,C/,C/ NÚM 5 CASETA DE LA PARDALA
C/ NUM 5 CORRAL DE COCOTA,C/ NUM 5 CORRAL DE COCOTA,C/,C/,C/ NÚM 5 CORRAL DE COCOTA
C/ NUM 5 CORRAL DEL COLERO,C/ NUM 5 CORRAL DEL COLERO,C/,C/,C/ NÚM 5 CORRAL DEL COLERO
C/ NUM 5 FONT DE LA CARRASQUERA,C/ NUM 5 FONT DE LA CARRASQUERA,C/,C/,C/ NÚM 5 FONT DE LA CARRASQUERA
C/ NUM 5 FONT DE MANYES,C/ NUM 5 FONT DE MANYES,C/,C/,C/ NÚM 5 FONT DE MANYES
C/ NUM 5 MADRONYAL,C/ NUM 5 MADRONYAL,C/,C/,C/ NÚM 5 MADRONYAL
C/ NUM 5 MANYES-BARBETA,C/ NUM 5 MANYES-BARBETA,C/,C/,C/ NÚM 5 MANYES-BARBETA
C/ NUM 6 CANYADA A I BIRLET,C/ NUM 6 CANYADA A I BIRLET,C/,C/,C/ NÚM 6 CANYADA A I BIRLET
C/ NUM 6 CANYADA DEL CORRAL,C/ NUM 6 CANYADA DEL CORRAL,C/,C/,C/ NÚM 6 CANYADA DEL CORRAL
C/ NUM 6 CASETA DE LA PARDALA,C/ NUM 6 CASETA DE LA PARDALA,C/,C/,C/ NÚM 6 CASETA DE LA PARDALA
C/ NUM 6 CORRAL DE COCOTA,C/ NUM 6 CORRAL DE COCOTA,C/,C/,C/ NÚM 6 CORRAL DE COCOTA
C/ NUM 6 FONT DE MANYES,C/ NUM 6 FONT DE MANYES,C/,C/,C/ NÚM 6 FONT DE MANYES
C/ NUM 6 MADRONYAL,C/ NUM 6 MADRONYAL,C/,C/,C/ NÚM 6 MADRONYAL
C/ NUM 6 MANYES-BARBETA,C/ NUM 6 MANYES-BARBETA,C/,C/,C/ NÚM 6 MANYES-BARBETA
C/ NUM 6 MAS DE BARCOS,C/ NUM 6 MAS DE BARCOS,C/,C/,C/ NÚM 6 MAS DE BARCOS
C/ NUM 6 NUCLEO 23,C/ NUM 6 FONT DE LA CARRASQUERA,C/,C/,C/ NÚM 6 FONT DE LA CARRASQUERA
C/ NUM 7 BARRANC DEL GALLEGO,C/ NUM 7 BARRANC DEL GALLEGO,C/,C/,C/ NÚM 7 BARRANC DEL GALLEGO
C/ NUM 7 CANYADA A I BIRLET,C/ NUM 7 CANYADA A I BIRLET,C/,C/,C/ NÚM 7 CANYADA A I BIRLET
C/ NUM 7 CASETA DE LA PARDALA,C/ NUM 7 CASETA DE LA PARDALA,C/,C/,C/ NÚM 7 CASETA DE LA PARDALA
C/ NUM 7 CORRAL DE COCOTA,C/ NUM 7 CORRAL DE COCOTA,C/,C/,C/ NÚM 7 CORRAL DE COCOTA
C/ NUM 7 FONT DE MANYES,C/ NUM 7 FONT DE MANYES,C/,C/,C/ NÚM 7 FONT DE MANYES
C/ NUM 7 MADRONYAL,C/ NUM 7 MADRONYAL,C/,C/,C/ NÚM 7 MADRONYAL
C/ NUM 8 CANYADA A I BIRLET,C/ NUM 8 CANYADA A I BIRLET,C/,C/,C/ NÚM 8 CANYADA A I BIRLET
C/ NUM 8 CASETA DE LA PARDALA,C/ NUM 8 CASETA DE LA PARDALA,C/,C/,C/ NÚM 8 CASETA DE LA PARDALA
C/ NUM 8 FONT DE MANYES,C/ NUM 8 FONT DE MANYES,C/,C/,C/ NÚM 8 FONT DE MANYES
C/ NUM 8 MADRONYAL,C/ NUM 8 MADRONYAL,C/,C/,C/ NÚM 8 MADRONYAL
C/ NUM 9 CANYADA A I BIRLET,C/ NUM 9 CANYADA A I BIRLET,C/,C/,C/ NÚM 9 CANYADA A I BIRLET
C/ NUM 9 CASETA DE LA PARDALA,C/ NUM 9 CASETA DE LA PARDALA,C/,C/,C/ NÚM 9 CASETA DE LA PARDALA
C/ NUM 9 MADRONYAL,C/ NUM 9 MADRONYAL,C/,C/,C/ NÚM 9 MADRONYAL
C/ NUM H4 UE 7.11,C/ NUM H4 UE 7.11,C/,C/,C/ NÚM H4 UE 7.11
C/ NUM H7 UE 7.11,C/ NUM H7 UE 7.11,C/,C/,C/ NÚM H7 UE 7.11
C/ NUM.1 UNITAT D'EXECUCIO 7.10,C/ NUM.1 UNITAT D'EXECUCIO 7.10,C/,C/,C/ NÚM.1 UNITAT D'EXECUCIÓ 7.10
C/ NUMERO 10 CALICANTO,C/ NUMERO 10 CALICANTO,C/,C/,C/ NÚMERO 10 CALICANTO
C/ NUMERO 2 CALICANTO,C/ NUMERO 2 CALICANTO,C/,C/,C/ NÚMERO 2 CALICANTO
C/ NUMERO 3 CALICANTO,C/ NUMERO 3 CALICANTO,C/,C/,C/ NÚMERO 3 CALICANTO
C/ NUMERO 4 CALICANTO,C/ NUMERO 4 CALICANTO,C/,C/,C/ NÚMERO 4 CALICANTO
C/ NUMERO 5 CALICANTO,C/ NUMERO 5 CALICANTO,C/,C/,C/ NÚMERO 5 CALICANTO
C/ NUMERO 6 CALICANTO,C/ NUMERO 6 CALICANTO,C/,C/,C/ NÚMERO 6 CALICANTO
C/ NUMERO 8 CALICANTO,C/ NUMERO 8 CALICANTO,C/,C/,C/ NÚMERO 8 CALICANTO
C/ NUÑEZ DE BALBOA,C/ NUÑEZ DE BALBOA,C/,C/,C/ NUÑEZ DE BALBOA
C/ OLLERS, DELS,C/ OLLERS,C/,C/,C/ OLLERS
C/ OLMO, EL,C/ OM,C/,C/,C/ OM
C/ ONTENIENTE,C/ ONTINYENT,C/,C/,C/ ONTINYENT
C/ ORFEO DEL CERCLE CATOLIC,C/ ORFEO DEL CERCLE CATOLIC,C/,C/,C/ ORFEÓ DEL CERCLE CATÒLIC
C/ ORQUIDEA,C/ ORQUIDEA,C/,C/,C/ ORQUÍDEA
C/ OVIDI MONTLLOR,C/ OVIDI MONTLLOR,C/,C/,C/ OVIDI MONTLLOR
C/ PABLO NERUDA,C/ PABLO NERUDA,C/,C/,C/ PABLO NERUDA
C/ PADRE COLOMA,C/ PARE COLOMA,C/,C/,C/ PARE COLOMA
C/ PADRE DAMIAN,C/ PARE DAMIAN,C/,C/,C/ PARE DAMIÁN
C/ PADRE FEIJOO,C/ PARE FEIJOO,C/,C/,C/ PARE FEIJOO
C/ PADRE FERNANDO,C/ PARE FERNANDO,C/,C/,C/ PARE FERNANDO
C/ PADRE FULLANA,C/ PARE FULLANA,C/,C/,C/ PARE FULLANA
C/ PADRE MENDEZ,C/ PARE MENDEZ,C/,C/,C/ PARE MÉNDEZ
C/ PADRE VICENTE CABANES,C/ PARE VICENTE CABANES,C/,C/,C/ PARE VICENTE CABANES
C/ PADRE VICENTE LOZANO ARRUE,C/ PARE VICENTE LOZANO ARRUE,C/,C/,C/ PARE VICENTE LOZANO ARRÚE
C/ PAIPORTA,C/ PAIPORTA,C/,C/,C/ PAIPORTA
C/ PALACIO VALDES,C/ PALACIO VALDES,C/,C/,C/ PALACIO VALDÉS
C/ PALLETER, EL,C/ PALLETER,C/,C/,C/ PALLETER
C/ PALMERAS, LAS,C/ PALMERES,C/,C/,C/ PALMERES
C/ PALMITERS, DELS,C/ PALMITERS,C/,C/,C/ PALMITERS
C/ PARED DECANTA, DE LA,C/ PARET DECANTADA,C/,C/,C/ PARET DECANTADA
C/ PARRA, LA,C/ PARRA,C/,C/,C/ PARRA
C/ PARTICULAR,C/ PARTICULAR,C/,C/,C/ PARTICULAR
C/ PASCUAL ROMERO,C/ PASQUAL ROMERO,C/,C/,C/ PASQUAL ROMERO
C/ PASCUAL Y GENIS,C/ PASCUAL Y GENIS,C/,C/,C/ PASCUAL Y GENÍS
C/ PATIO DE LOS ANGELES,C/ PATI DELS ANGELS,C/,C/,C/ PATI DELS ÀNGELS
C/ PEKIN'08,C/ PEQUIN-08,C/,C/,C/ PEQUÍN-08
C/ PERELLO, EL,C/ PERELLO,C/,C/,C/ PERELLÓ
C/ PERELLONET, EL,C/ PERELLONET,C/,C/,C/ PERELLONET
C/ PERERA, DE LA,C/ PERERA,C/,C/,C/ PERERA
C/ PERIS Y VALERO,C/ PERIS Y VALERO,C/,C/,C/ PERIS Y VALERO
C/ PERU,C/ PERU,C/,C/,C/ PERÚ
C/ PICANYA,C/ PICANYA,C/,C/,C/ PICANYA
C/ PICASSENT,C/ PICASSENT,C/,C/,C/ PICASSENT
C/ PINEDO,C/ PINEDO,C/,C/,C/ PINEDO
C/ PINO, EL,C/ PI,C/,C/,C/ PI
C/ PINTOR ALEX ALEMANY,C/ PINTOR ALEX ALEMANY,C/,C/,C/ PINTOR ÁLEX ALEMANY
C/ PINTOR BENEDITO,C/ PINTOR BENEDITO,C/,C/,C/ PINTOR BENEDITO
C/ PINTOR CALO CARRATALA,C/ PINTOR CALO CARRATALA,C/,C/,C/ PINTOR CALO CARRATALÁ
C/ PINTOR FRANCISCO DOMINGO,C/ PINTOR FRANCISCO DOMINGO,C/,C/,C/ PINTOR FRANCISCO DOMINGO
C/ PINTOR FRANCISCO LOZANO,C/ PINTOR FRANCISCO LOZANO,C/,C/,C/ PINTOR FRANCISCO LOZANO
C/ PINTOR GENARO LAHUERTA,C/ PINTOR GENARO LAHUERTA,C/,C/,C/ PINTOR GENARO LAHUERTA
C/ PINTOR GENARO PALAU,C/ PINTOR GENARO PALAU,C/,C/,C/ PINTOR GENARO PALAU
C/ PINTOR GENOVES,C/ PINTOR GENOVES,C/,C/,C/ PINTOR GENOVÉS
C/ PINTOR GISBERT,C/ PINTOR GISBERT,C/,C/,C/ PINTOR GISBERT
C/ PINTOR JAVIER ALMENAR BESO,C/ PINTOR JAVIER ALMENAR BESO,C/,C/,C/ PINTOR JAVIER ALMENAR BESÓ
C/ PINTOR JUAN REUS,C/ PINTOR JOAN REUS,C/,C/,C/ PINTOR JOAN REUS
C/ PINTOR LUIS ARCAS,C/ PINTOR LUIS ARCAS,C/,C/,C/ PINTOR LUIS ARCAS
C/ PINTOR MARIANO MAELLA,C/ PINTOR MARIANO MAELLA,C/,C/,C/ PINTOR MARIANO MAELLA
C/ PINTOR MIRO,C/ PINTOR MIRO,C/,C/,C/ PINTOR MIRÓ
C/ PINTOR PABLO PICASSO,C/ PINTOR PABLO PICASSO,C/,C/,C/ PINTOR PABLO PICASSO
C/ PINTOR PEDRO CAMARA,C/ PINTOR PEDRO CAMARA,C/,C/,C/ PINTOR PEDRO CÁMARA
C/ PINTOR PEDRO DE VALENCIA,C/ PINTOR PEDRO DE VALENCIA,C/,C/,C/ PINTOR PEDRO DE VALENCIA
C/ PINTOR PEIRO,C/ PINTOR PEIRO,C/,C/,C/ PINTOR PEIRÓ
C/ PINTOR PINAZO,C/ PINTOR PINAZO,C/,C/,C/ PINTOR PINAZO
C/ PINTOR RAMON CABRELLES MORA,C/ PINTOR RAMON CABRELLES MORA,C/,C/,C/ PINTOR RAMÓN CABRELLES MORA
C/ PINTOR RAMON STOLZ,C/ PINTOR RAMON STOLZ,C/,C/,C/ PINTOR RAMON STOLZ
C/ PINTOR RENAU,C/ PINTOR RENAU,C/,C/,C/ PINTOR RENAU
C/ PINTOR RIBALTA,C/ PINTOR RIBALTA,C/,C/,C/ PINTOR RIBALTA
C/ PINTOR RIBERA,C/ PINTOR RIBERA,C/,C/,C/ PINTOR RIBERA
C/ PINTOR SALVADOR ABRIL,C/ PINTOR SALVADOR ABRIL,C/,C/,C/ PINTOR SALVADOR ABRIL
C/ PINTOR SALVADOR DALI,C/ PINTOR SALVADOR DALI,C/,C/,C/ PINTOR SALVADOR DALÍ
C/ PINTOR SEGRELLES,C/ PINTOR SEGRELLES,C/,C/,C/ PINTOR SEGRELLES
C/ PINTOR ZARIÑENA,C/ PINTOR ZARIÑENA,C/,C/,C/ PINTOR ZARIÑENA
C/ PINZON,C/ PINZON,C/,C/,C/ PINZÓN
C/ PIO BAROJA,C/ PIO BAROJA,C/,C/,C/ PÍO BAROJA
C/ PIO XII,C/ PIUS XII,C/,C/,C/ PIUS XII
"C/ PIROTECNIC ""CAFIS""","C/ PIROTECNIC ""CAFIS""",C/,C/,"C/ PIROTÈCNIC ""CAFÍS"""
C/ PIZARRO,C/ PIZARRO,C/,C/,C/ PIZARRO
C/ PLA, EL,C/ PLA,C/,C/,C/ PLA
C/ POETA FRANCISCO BRINES,C/ POETA FRANCISCO BRINES,C/,C/,C/ POETA FRANCISCO BRINES
C/ POETA JOSE ESPRONCEDA,C/ POETA JOSE ESPRONCEDA,C/,C/,C/ POETA JOSÉ ESPRONCEDA
C/ POETA QUEROL,C/ POETA QUEROL,C/,C/,C/ POETA QUEROL
C/ POLICIA LOCAL, DE LA,C/ POLICIA LOCAL,C/,C/,C/ POLICIA LOCAL
C/ POLIESPORTIU, DEL,C/ POLIESPORTIU,C/,C/,C/ POLIESPORTIU
C/ PRACTICANT P. PARRILLA,C/ PRACTICANT P. PARRILLA,C/,C/,C/ PRACTICANT P. PARRILLA
C/ PRIMADO PLA Y DENIEL,C/ PRIMAT PLA I DENIEL,C/,C/,C/ PRIMAT PLA I DENIEL
C/ PRIMADO REIG,C/ PRIMAT REIG,C/,C/,C/ PRIMAT REIG
C/ PRIMAVERA, LA,C/ PRIMAVERA,C/,C/,C/ PRIMAVERA
C/ PROFESOR IDILIO GIMENO,C/ PROFESSOR IDILIO GIMENO,C/,C/,C/ PROFESSOR IDILIO GIMENO
C/ PROFETA DANIEL,C/ PROFETA DANIEL,C/,C/,C/ PROFETA DANIEL
C/ PROLONGACIÓN ALCALÁ GALIANO,C/ PROLONGACIÓ ALCALÁ GALIANO,C/,C/,C/ PROLONGACIÓ ALCALÁ GALIANO
C/ PROLONGACION CARLET,C/ PROLONGACIO CARLET,C/,C/,C/ PROLONGACIÓ CARLET
C/ PURISIMA, LA,C/ PURISSIMA,C/,C/,C/ PURÍSSIMA
C/ PUZOL,C/ PUÇOL,C/,C/,C/ PUÇOL
C/ RAFAEL ALBERTI,C/ RAFAEL ALBERTI,C/,C/,C/ RAFAEL ALBERTI
C/ RAFAEL GONZALEZ BALDOVI,C/ RAFAEL GONZALEZ BALDOVI,C/,C/,C/ RAFAEL GONZÁLEZ BALDOVÍ
C/ RAJOLERS, DELS,C/ RAJOLERS,C/,C/,C/ RAJOLERS
C/ RAMIRO DE MAEZTU,C/ RAMIRO DE MAEZTU,C/,C/,C/ RAMIRO DE MAEZTU
C/ RAMON MENENDEZ PIDAL,C/ RAMON MENENDEZ PIDAL,C/,C/,C/ RAMÓN MENÉNDEZ PIDAL
C/ RAMON Y CAJAL,C/ RAMON Y CAJAL,C/,C/,C/ RAMÓN Y CAJAL
C/ REI ALFONS EL SAVI,C/ REI ALFONS EL SAVI,C/,C/,C/ REI ALFONS EL SAVI
C/ REI MARTI L'HUMA,C/ REI MARTI L'HUMA,C/,C/,C/ REI MARTÍ L'HUMÀ
C/ REI PERE EL CEREMONIOS,C/ REI PERE EL CEREMONIOS,C/,C/,C/ REI PERE EL CEREMONIÓS
C/ REINAS, DE LAS,C/ REINES,C/,C/,C/ REINES
C/ REQUENA,C/ REQUENA,C/,C/,C/ REQUENA
C/ REY DON JAIME,C/ REI EN JAUME,C/,C/,C/ REI EN JAUME
C/ REYES CATOLICOS,C/ REIS CATOLICS,C/,C/,C/ REIS CATÒLICS
C/ RIBERA, LA,C/ LA RIBERA,C/,C/,C/ LA RIBERA
C/ RICARDO CERVERA CHULIA,C/ RICARDO CERVERA CHULIA,C/,C/,C/ RICARDO CERVERA CHULIÁ
C/ RIO EBRO,C/ RIU EBRE,C/,C/,C/ RIU EBRE
C/ RIU CABRIEL,C/ RIU CABRIOL,C/,C/,C/ RIU CABRIOL
C/ RIU CANYOLES,C/ RIU CANYOLES,C/,C/,C/ RIU CÀNYOLES
C/ RIU CERVOL,C/ RIU CERVOL,C/,C/,C/ RIU CERVOL
C/ RIU MAGRE,C/ RIU MAGRE,C/,C/,C/ RIU MAGRE
C/ RIU MILLARS,C/ RIU MILLARS,C/,C/,C/ RIU MILLARS
C/ RIU PALANCIA,C/ RIU PALANCIA,C/,C/,C/ RIU PALÀNCIA
C/ RIU SEGURA,C/ RIU SEGURA,C/,C/,C/ RIU SEGURA
C/ RIU SERPIS,C/ RIU SERPIS,C/,C/,C/ RIU SERPIS
C/ RIU TURIA,C/ RIU TURIA,C/,C/,C/ RIU TÚRIA
C/ RIU VINALOPO,C/ RIU VINALOPO,C/,C/,C/ RIU VINALOPÓ
C/ RIU XUQUER,C/ RIU XUQUER,C/,C/,C/ RIU XÚQUER
C/ ROCIO,C/ ROSADA,C/,C/,C/ ROSADA
C/ ROGER DE LAURIA,C/ ROGER DE LLURIA,C/,C/,C/ ROGER DE LLÚRIA
C/ ROMA,C/ ROMA,C/,C/,C/ ROMA
C/ ROMER, DEL,C/ ROMER,C/,C/,C/ ROMER
C/ RONCESVALLES,C/ RONCESVALLS,C/,C/,C/ RONCESVALLS
C/ ROS,C/ ROS,C/,C/,C/ ROS
C/ ROSALEDA,C/ ROSERAR,C/,C/,C/ ROSERAR
C/ ROSALIA DE CASTRO,C/ ROSALIA DE CASTRO,C/,C/,C/ ROSALÍA DE CASTRO
C/ ROSELLA,C/ ROSELLA,C/,C/,C/ ROSELLA
C/ ROSENDO MONTORO,C/ ROSENDO MONTORO,C/,C/,C/ ROSENDO MONTORO
C/ ROURE, DEL,C/ ROURE,C/,C/,C/ ROURE
C/ RUBEN DARIO,C/ RUBEN DARIO,C/,C/,C/ RUBÉN DARÍO
C/ RUISEÑOR, EL,C/ ROSSINYOL,C/,C/,C/ ROSSINYOL
C/ SABATERS, DELS,C/ SABATERS,C/,C/,C/ SABATERS
C/ SAFOR, LA,C/ LA SAFOR,C/,C/,C/ LA SAFOR
C/ SAGRA,C/ SAGRA,C/,C/,C/ SAGRA
C/ SAGUNTO,C/ SAGUNT,C/,C/,C/ SAGUNT
C/ SALAMANCA,C/ SALAMANCA,C/,C/,C/ SALAMANCA
C/ SALVADOR, EL,C/ EL SALVADOR,C/,C/,C/ EL SALVADOR
C/ SALVIA, DE LA,C/ SALVIA,C/,C/,C/ SÀLVIA
C/ SAN AGUSTIN,C/ SANT AGUSTI,C/,C/,C/ SANT AGUSTÍ
C/ SAN ALEJANDRO,C/ SANT ALEXANDRE,C/,C/,C/ SANT ALEXANDRE
C/ SAN ALFREDO,C/ SANT ALFRED,C/,C/,C/ SANT ALFRED
C/ SAN AMADOR,C/ SANT AMADOR,C/,C/,C/ SANT AMADOR
C/ SAN ANTONIO ABAD,C/ SANT ANTONI ABAT,C/,C/,C/ SANT ANTONI ABAT
C/ SAN ANTONIO DE PADUA,C/ SANT ANTONI DE PADUA,C/,C/,C/ SANT ANTONI DE PÀDUA
C/ SAN BLAS,C/ SANT BLAI,C/,C/,C/ SANT BLAI
C/ SAN CARLOS,C/ SANT CARLES,C/,C/,C/ SANT CARLES
C/ SAN CAYETANO,C/ SANT GAIETA,C/,C/,C/ SANT GAIETÀ
C/ SAN COSME,C/ SANT COSME,C/,C/,C/ SANT COSME
C/ SAN CRISTOBAL,C/ SANT CRISTOFOL,C/,C/,C/ SANT CRISTÒFOL
C/ SAN DIEGO,C/ SANT DIDAC,C/,C/,C/ SANT DÍDAC
C/ SAN ENRIQUE,C/ SANT ENRIC,C/,C/,C/ SANT ENRIC
C/ SAN ERNESTO,C/ SANT ERNEST,C/,C/,C/ SANT ERNEST
C/ SAN ESTANISLAO,C/ SANT ESTANISLAU,C/,C/,C/ SANT ESTANISLAU
C/ SAN EZEQUIEL,C/ SANT EZEQUIEL,C/,C/,C/ SANT EZEQUIEL
C/ SAN FELIX,C/ SANT FELIX,C/,C/,C/ SANT FÈLIX
C/ SAN FERMIN,C/ SANT FERMI,C/,C/,C/ SANT FERMÍ
C/ SAN FERNANDO,C/ SANT FERRAN,C/,C/,C/ SANT FERRAN
C/ SAN FRANCISCO,C/ SANT FRANCESC,C/,C/,C/ SANT FRANCESC
C/ SAN GERARDO,C/ SANT GERARD,C/,C/,C/ SANT GERARD
C/ SAN GREGORIO,C/ SANT GREGORI,C/,C/,C/ SANT GREGORI
C/ SAN HERMENEGILDO,C/ SANT HERMENEGILD,C/,C/,C/ SANT HERMENEGILD
C/ SAN HILARIO,C/ SANT HILARI,C/,C/,C/ SANT HILARI
C/ SAN ISIDRO,C/ SANT ISIDRE,C/,C/,C/ SANT ISIDRE
C/ SAN JERONIMO,C/ SANT JERONI,C/,C/,C/ SANT JERONI
C/ SAN JOAQUIN,C/ SANT JOAQUIM,C/,C/,C/ SANT JOAQUIM
C/ SAN JOSE,C/ SANT JOSEP,C/,C/,C/ SANT JOSEP
C/ SAN JUAN BAUTISTA,C/ SANT JOAN BAPTISTA,C/,C/,C/ SANT JOAN BAPTISTA
C/ SAN JUAN DE LA CRUZ,C/ SANT JOAN DE LA CREU,C/,C/,C/ SANT JOAN DE LA CREU
C/ SAN JUAN DE LA PEÑA,C/ SANT JOAN DE LA PENYA,C/,C/,C/ SANT JOAN DE LA PENYA
C/ SAN JUAN DE RIBERA,C/ SANT JOAN DE RIBERA,C/,C/,C/ SANT JOAN DE RIBERA
C/ SAN JUAN EVANGELISTA,C/ SANT JOAN EVANGELISTA,C/,C/,C/ SANT JOAN EVANGELISTA
C/ SAN JUSTO,C/ SANT JUST,C/,C/,C/ SANT JUST
C/ SAN LUIS BELTRAN,C/ SANT LLUIS BERTRAN,C/,C/,C/ SANT LLUÍS BERTRAN
C/ SAN MANUEL,C/ SANT MANUEL,C/,C/,C/ SANT MANUEL
C/ SAN MARCELINO,C/ SANT MARCEL·LI,C/,C/,C/ SANT MARCEL·LÍ
C/ SAN MIGUEL,C/ SANT MIQUEL,C/,C/,C/ SANT MIQUEL
C/ SAN NICOLAS,C/ SANT NICOLAU,C/,C/,C/ SANT NICOLAU
C/ SAN ONOFRE,C/ SANT ONOFRE,C/,C/,C/ SANT ONOFRE
C/ SAN PABLO,C/ SANT PAU,C/,C/,C/ SANT PAU
C/ SAN PANCRACIO,C/ SANT PANCRAÇ,C/,C/,C/ SANT PANCRAÇ
C/ SAN PEDRO ALCANTARA,C/ SANT PERE D'ALCANTERA,C/,C/,C/ SANT PERE D'ALCÀNTERA
C/ SAN PEDRO MARTIR,C/ SANT PERE MARTIR,C/,C/,C/ SANT PERE MÀRTIR
C/ SAN PERFECTO,C/ SANT PERFECTE,C/,C/,C/ SANT PERFECTE
C/ SAN RAFAEL,C/ SANT RAFEL,C/,C/,C/ SANT RAFEL
C/ SAN RAIMUNDO DE PEÑAFORT,C/ SANT RAIMON DE PENYAFORT,C/,C/,C/ SANT RAIMON DE PENYAFORT
C/ SAN RAMON,C/ SANT RAMON,C/,C/,C/ SANT RAMON
C/ SAN URBANO,C/ SANT URBA,C/,C/,C/ SANT URBÀ
C/ SAN VALERIANO,C/ SANT VALERIA,C/,C/,C/ SANT VALERIÀ
C/ SAN VICENTE FERRER,C/ SANT VICENT FERRER,C/,C/,C/ SANT VICENT FERRER
C/ SANTA AMALIA,C/ SANTA AMALIA,C/,C/,C/ SANTA AMÀLIA
C/ SANTA ANA,C/ SANTA ANNA,C/,C/,C/ SANTA ANNA
C/ SANTA BARBARA,C/ SANTA BARBARA,C/,C/,C/ SANTA BÀRBARA
C/ SANTA CATALINA,C/ SANTA CATERINA,C/,C/,C/ SANTA CATERINA
C/ SANTA CECILIA,C/ SANTA CECILIA,C/,C/,C/ SANTA CECÍLIA
C/ SANTA GEMA,C/ SANTA GEMMA,C/,C/,C/ SANTA GEMMA
C/ SANTA GENOVEVA,C/ SANTA GENOVEVA,C/,C/,C/ SANTA GENOVEVA
C/ SANTA LUCIA,C/ SANTA LLUCIA,C/,C/,C/ SANTA LLÚCIA
C/ SANTA MAGDALENA,C/ SANTA MAGDALENA,C/,C/,C/ SANTA MAGDALENA
C/ SANTA MARIA MAZZARELLO,C/ SANTA MARIA MAZZARELLO,C/,C/,C/ SANTA MARÍA MAZZARELLO
C/ SANTA MARIA MAZZARELLO,C/ SANTA MARIA MAZZARELLO,C/,C/,C/ SANTA MARIA MAZZARELLO
C/ SANTA MARTA,C/ SANTA MARTA,C/,C/,C/ SANTA MARTA
C/ SANTA RITA,C/ SANTA RITA,C/,C/,C/ SANTA RITA
C/ SANTA ROSA DE LIMA,C/ SANTA ROSA DE LIMA,C/,C/,C/ SANTA ROSA DE LIMA
