"Año","NºExpediente","Asunto","Carácter Sesión","NºExpediente(Hijo)","Situación","NºExpediente(Sup)","Asunto"
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4036/2016/ACU","Resuelto","9261/2016/GEN","MEDICIÓ GENERAL I CERTIFICACIÓ FINAL DE LES OBRES DE  REFORMA DEL LOCAL MUNICIPAL MULTIUSOS DEL CARRER DE LA MARINA, 3: APROVACIÓ. (EXPEDIENT: 165-2015)"
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4082/2016/ACU","Resuelto","4782/2016/GEN","Modificació addenda al conveni amb Nous Espais"
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4069/2016/ACU","Resuelto","14410/2016/GEN","Procediment negociat sense publicitat, convocat per a la contractació dels obres de “Restauració i reforestació del paratge natural de la ""Serra Perenxisa"". Aprovació expedient. (Expt.: 88-2016)."
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4051/2016/ACU","Resuelto","13996/2016/GEN","Contracte de servici de ludoteca-bebeteca en Casa de la Dona. Pròrroga contracte 2016-2017 (47-2015)"
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","4034/2016/ACU","Resuelto","3350/2015/GEN","Expedient reclamació responsabilitat patrimonial núm. RC-3350-2015, promogut per la Sra. Mercedes V.O.: Desestimació."
2016,"46/2016/JGL","JGL 21-11-2016","Ordinària","3967/2016/ACU","Resuelto","5973/2016/GEN","PROCEDIMENT OBERT CONVOCAT PER A LA CONTRACTACIÓ DEL SERVICI D'ESCOLA INFANTIL CIUTAT JARDÍ. ADJUDICACIÓ CONTRACTE (48-2016)."
2016,"45/2016/JGL","JGL 14-11-2016","Ordinària","3909/2016/ACU","Resuelto","6658/2016/GEN","Aprovació del Projecte de Restauració i Reforestació del PNM de la Serra Perenxisa"
2016,"45/2016/JGL","JGL 14-11-2016","Ordinària","3927/2016/ACU","Resuelto","13957/2016/GEN","APROVACIÓ 2º CONVENI VENEDORS MERCAT SANT GREGORI"
2016,"45/2016/JGL","JGL 14-11-2016","Ordinària","3935/2016/ACU","Resuelto","13875/2016/GEN","Procediment obert convocat per a la contractació del subministrament del vestuari amb destinació a la plantilla de la Policia Local. Aprovació de l’expedient (Expt.: 77-16)."
2016,"45/2016/JGL","JGL 14-11-2016","Ordinària","3975/2016/ACU","Resuelto","14243/2016/GEN","Adhesió declaració promoguda per l'Associació Valenciana de la Diabetes, al Manifest Diabetis 2016."
2016,"44/2016/JGL","JGL 07-11-2016","Ordinària","3867/2016/ACU","Resuelto","269/2016/GEN","Gestió del servici públic de les instal•lacions esportives de La Cotxera. Contestació a les al•legacions presentades per Y tu Que Haces, SL respecte a l’aprovació inicial de la liquidació (172-2010) i aprovació definitiva de la liquidació del contracte."
2016,"44/2016/JGL","JGL 07-11-2016","Ordinària","3839/2016/ACU","Resuelto","3490/2016/GEN","Concessió demanial de part d'una parcel·la dotacional, sítia en el carrer Paret Decantada núm. 23, per a aparcament provisional de vehicles"
2016,"44/2016/JGL","JGL 07-11-2016","Ordinària","3848/2016/ACU","Resuelto","1627/2016/GEN","PROCEDIMENT OBERT CONVOCAT PER A LA CONTRACTACIÓ DEL SERVICI DE PREVENCIÓ DE RISCOS LABORALS DEL AJUNTAMENT DE TORRENT. ADJUDICACIÓ CONTRACTE (10-2016)."
2016,"44/2016/JGL","JGL 07-11-2016","Ordinària","3844/2016/ACU","Resuelto","13925/2016/GEN","Modificació puntual article 14 de l'Ordenança Municipal de Convivència"
2016,"43/2016/JGL","JGL 31-10-2016","Ordinària","3718/2016/ACU","Resuelto","13296/2016/GEN","Contracte de manteniment d’aparells elevadors en edificis públics de Torrent.. Pròrroga contracte 2016-2017 (38-2008)"
2016,"43/2016/JGL","JGL 31-10-2016","Ordinària","3773/2016/ACU","Resuelto","7938/2016/GEN","XVI PREMIS D'INTERPRETACIÓ MUSICAL VICENT GALBIS"
2016,"43/2016/JGL","JGL 31-10-2016","Ordinària","3560/2016/ACU","Resuelto","9906/2016/GEN","Aprovació del Conveni amb REE"
2016,"42/2016/JGL","JGL 24-10-2016","Ordinària","3637/2016/ACU","Resuelto","12127/2016/GEN","Procediment obert convocat per a la contractació de les obres “Actuacions previstes al Poliesportiu Municipal La Cotxera”. Aprovació expedient. (Expt.: 74-2016)."
2016,"42/2016/JGL","JGL 24-10-2016","Ordinària","3152/2016/ACU","Resuelto","10944/2016/GEN","Aprovació conveni amb Casa Caritat València: prestació transitòria activitats educatives i socials en Escola Infantil Ciutat Jardí"
2016,"42/2016/JGL","JGL 24-10-2016","Ordinària","3661/2016/ACU","Resuelto","11123/2015/GEN","Gestió de servici públic d’ explotació del sistema de recollida pneumàtica del Parc Central. Revisió de preus del contracte /Expt. 38-08)"
2016,"42/2016/JGL","JGL 24-10-2016","Ordinària","3707/2016/ACU","Resuelto","3885/2015/GEN","Aprobación convenio singular con Diputación para infraestructuras deportivas 2016"
2016,"42/2016/JGL","JGL 24-10-2016","Ordinària","3698/2016/ACU","Resuelto","1538/2016/GEN","Procediment negociat sense publicitat convocat per a la contractació del servici de assistència tècnica per a la redacció de projecte i direcció d'obra de millora de les instal·lacions esportives Ciutat de l'Esport. Aprovació expedient (82-2016)."
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3634/2016/ACU","Resuelto","12865/2016/GEN","Aprovació del projecte d’Ordenança reguladora del preu públic per la prestació del servei d'estacionament en aparcament municipal Juan Carlos I per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3636/2016/ACU","Resuelto","12865/2016/GEN","Modificacions en l’índex alfabètic de vies públiques per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3617/2016/ACU","Resuelto","12865/2016/GEN","Modificació Ordenança Fiscal IBI per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3622/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l'Ordenança Fiscal reguladora de la taxa per la prestació del servei de concessió dels instruments d'intervenció ambiental per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3625/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l'Ordenança Fiscal Reguladora de la taxa per Utilització de Terrenys d’ús o Domini Públic amb Parades, Barraques, Casetes de Venda, Quioscos, Espectacles, Atraccions, Indústries de Carrer o Ambulants, Rodatge Cinematogràfic i Utilització per Vehicles de Tracció Mecànica de Camins Rurals per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3629/2016/ACU","Resuelto","12865/2016/GEN","Modificació de de l’Ordenança reguladora del Preu Públic per la prestació dels servicis o realització d’activitats de la Delegació d’Educació per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3633/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l’Ordenança reguladora del Preu Públic per la prestació del servici d’ajuda domiciliària per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3619/2016/ACU","Resuelto","12865/2016/GEN","Modificació Ordenança Fiscal ICIO per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3628/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l’Ordenança reguladora del Preu Públic per prestació del servei públic d’utilització d’instal•lacions esportives públiques municipals per al 2017."
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3627/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l’Ordenança fiscal reguladora de la taxa per l'Ocupació Temporal del Domini públic local o de Terrenys d'Ús Públic amb Terrasses de Vetladors i Altres Elements Anàlegs per a Activitats d'Hostaleria per al 2017."
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3618/2016/ACU","Resuelto","12865/2016/GEN","Modificació Ordenança fiscal vehicles per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3620/2016/ACU","Resuelto","12865/2016/GEN","Modificació Ordenança Fiscal IIVTNU per al 2017"
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3623/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l'Ordenança Fiscal Reguladora de la taxa per l’Aprofitament Especial del Domini Públic per Entrada de Vehicles a través de les Voreres i per Reserva d’Espai en la via pública per a aparcament exclusiu i per a càrrega i descàrrega de mercaderies per al 2017."
2016,"41/2016/JGL","JGL 21-10-2016 extraordinària i urgent","Extraordinaria i urgent","3626/2016/ACU","Resuelto","12865/2016/GEN","Modificació de l’Ordenança fiscal reguladora de la taxa per l'Ús Privatiu o Aprofitament Especial d'Instal•lacions i Edificis Municipals per al 2017."
2016,"40/2016/JGL","JGL 17-10-2016","Ordinària","3543/2016/ACU","Resuelto","12610/2016/GEN","Premis als millors curtmetratges fallers en valencià"
2016,"40/2016/JGL","JGL 17-10-2016","Ordinària","3506/2016/ACU","Resuelto","6752/2013/GEN","ASSESSORIA JURÍDICA. Expedient reclamació responsabilitat patrimonial núm. RC-6752-2013, promogut per Cristobal C.H.: Desestimat."
2016,"40/2016/JGL","JGL 17-10-2016","Ordinària","3577/2016/ACU","Resuelto","2546/2016/GEN","Premis al rendiment acadèmic, quinze millors notes de la selectivitat, curs 2014/2015"
2016,"40/2016/JGL","JGL 17-10-2016","Ordinària","3537/2016/ACU","Resuelto","12738/2016/GEN","Adhesión a los  acuerdos marco  del Ministerio de Hacienda y Administraciones Públicas AM 02/2013 y AM 02/2016 para el suministro de ordenadores portátiles, tabletas y monitores"
2016,"40/2016/JGL","JGL 17-10-2016","Ordinària","3480/2016/ACU","Resuelto","7460/2013/GEN","ASSESSORIA JURÍDICA. Expedient reclamació responsabilitat patrimonial núm. RC-7460-2013, promogut per ANNA MIREIA L.D.: Estimació parcial."
2016,"39/2016/JGL","JGL 10-10-2016","Ordinària","3437/2016/ACU","Resuelto","11223/2016/GEN","Proposta Aprovació Programació per a Escolars a l'Auditori al primer semestre 2017"
2016,"39/2016/JGL","JGL 10-10-2016","Ordinària","3367/2016/ACU","Resuelto","11817/2016/GEN","Projecte RR del Consell Municipal de Benestar Social"
2016,"39/2016/JGL","JGL 10-10-2016","Ordinària","3449/2016/ACU","Resuelto","13659/2015/GEN","Comissió tècnica de seguiment de les instal·lacions esportives de la ""ciutat del l'esport i l'oci"" Parc Central. Modificació composició (3-2004)"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3388/2016/ACU","Resuelto","10796/2016/GEN","Proposta JGL 5t concurs còmic TorrentJove"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3389/2016/ACU","Resuelto","10792/2016/GEN","Proposta 12é concurs de fotografia TorrenJove"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3329/2016/ACU","Resuelto","8104/2016/GEN","Conveni col.laboració entre l'Associació Valenciana Casa Caritat i l'Ajuntament de Torrent 2016"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3344/2016/ACU","Resuelto","5713/2016/GEN","Procediment obert mitjançant tramitació harmonitzada convocat per a la contractació del segur de béns immobles municipals. Aprovació expedient (Expt.:34-16)"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3325/2016/ACU","Resuelto","9501/2016/GEN","Aprovació conveni col·laboració amb la Diputació Provincial de València pr la l'actuació ""Reurbanització carrers Mare de Deu de l'Olivar i Sant Pere Màrtir"""
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3347/2016/ACU","Resuelto","3161/2016/GEN","Procediment negociat sense publicitat per a la contractació del servei de manteniment-suport de l'aplicació geotorrent i hosting per a la publicació i difusió d'informació cartogràfica per mitjà d'internet/intranet. Adjudicació expedient (23-2016)."
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3390/2016/ACU","Resuelto","10799/2016/GEN","Proposta JGL beques corresponsals IES i col·legis 2016-17"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3369/2016/ACU","Resuelto","5696/2016/GEN","Gestió del servici públic integral de neteja urbana a la ciutat de Torrent: Revisió de preus 2016 (37-06)"
2016,"38/2016/JGL","JGL 03-10-2016","Ordinària","3353/2016/ACU","Resuelto","11606/2016/GEN","Propuesta MC 48/2016/CE/03 amortización de deuda con cargo al Remanente Líquido de Tesorería"
2016,"37/2016/JGL","JGL 26-09-2016","Ordinària","3266/2016/ACU","Resuelto","9184/2014/GEN","Resolució del Conveni de Col·laboració subscrit entre l'Ajuntament de Torrent i HURACÁN C.F."
2016,"37/2016/JGL","JGL 26-09-2016","Ordinària","3337/2016/ACU","Resuelto","11875/2016/GEN","Informe favorable de la sol·licitud de finançament costos de conservacio, manteniment i explotació de l'EDAR de Torrent per al trieni 2017-2019"
2016,"37/2016/JGL","JGL 26-09-2016","Ordinària","3314/2016/ACU","Resuelto","12787/2015/GEN","Ajudes per a l'alumnat d'Educació Infantil dels centres d'Educació compensatòria, curs 2015/2016"
2016,"37/2016/JGL","JGL 26-09-2016","Ordinària","3296/2016/ACU","Resuelto","14311/2015/GEN","PROCEDIMIENT OBERT ARMONITZAT PER LA CONTRACTACIÓ DEL SERVICI D'ASSISTÈNCIA INFORMÀTICA A L'AJUNTAMENT DE TORRENT. Adjudicació de contracte (193-2015)."
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3254/2016/ACU","Resuelto","11453/2016/GEN","PROPOSICIÓ PACTE VALENCIÀ PER LA MOBILITAT SEGURA I SOSTENIBLE"
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3205/2016/ACU","Resuelto","8667/2016/GEN","Procediment obert convocat per a la contractació del servici del manteniment d'administració electrònica. Aprovació expedient (Expt.:65-16)."
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3241/2016/ACU","Resuelto","10685/2016/GEN","Contracte de Gestió del servici públic de recollida neumàtica de residus urbans, mijtançant gestió indirecta, en la seua modalitat de concessió administrativa. Pròrroga contracte 2016-2017 (38-2008)"
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3182/2016/ACU","Resuelto","9440/2016/GEN","ASSESSORIA JURÍDICA. PERSONACIÓ I DESIGNACIÓ DE LLETRAT EN EL PROCEDIMENT ABREUJAT NÚM. 195/2016 PROMOGUT PER JOSE ANTONIO A.P."
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3221/2016/ACU","Resuelto","3092/2016/GEN","Procediment negociat sense publicitat convocat per a la contractació del servici de manteniment i suport del sistema d'informació territorial de l'Ajuntament de Torrent. Adjudicació expedient (21-2016)."
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3185/2016/ACU","Resuelto","9926/2016/GEN","ASSESSORIA JURÍDICA. Personació i designació de Lletrat en el Procediment Abreujat núm. 291/2016 promogut per Rosa F.C."
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3264/2016/ACU","Resuelto","10686/2016/GEN","Gestión del Servicio Público de el Auditorio de Torrent    . Pròrroga contracte 2017 (86-2011)"
2016,"36/2016/JGL","JGL 19-09-2016","Ordinària","3275/2016/ACU","Resuelto","7250/2016/GEN","Servici d'instal·lació neteja, manteniment i cuidat de los màquines expenedores de bosses per la recollida d'excrements canins. Sol¿licitud pròrroga contracte (31-12)"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3075/2016/ACU","Resuelto","6835/2016/GEN","Convenio Círculo Católico"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","2878/2016/ACU","Resuelto","1569/2016/GEN","Concessió demanial de l'ús privatiu de tres quioscos municipals: Aprovació del plec de clàusules administratives"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3168/2016/ACU","Resuelto","6152/2016/GEN","Modificació bases convocatòria beques, curs 2016/2017"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3171/2016/ACU","Resuelto","9173/2015/GEN","Subministrament uniformitat Policia Local. Resolució del contracte (94-2015)"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3073/2016/ACU","Resuelto","8830/2016/GEN","Convenio Asociación Gitana Europea e Intercultural"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","2739/2016/ACU","Sobre la Mesa","7250/2016/GEN","Servici d'instal·lació neteja, manteniment i cuidat de los màquines expenedores de bosses per la recollida d'excrements canins. Sol·licitud pròrroga contracte (31-12)"
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","2698/2016/ACU","Resuelto","10309/2015/GEN","ASSESSORIA JURÍDICA. Expedient reclamació responsabilitat patrimonial núm. RC-10309-2015, promogut per ANTONIA N.G.: Desestimat."
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","2700/2016/ACU","Resuelto","8418/2015/GEN","ASSESSORIA JURÍDICA. Expedient reclamació responsabilitat patrimonial núm. RC-8418-2015, promogut per Mª Desamparados C. F.: Estimat."
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3147/2016/ACU","Resuelto","3354/2016/GEN","ASSESSORIA JURÍDICA. Expedient reclamació responsabilitat patrimonial núm. RC-3354-2016, promogut per Mercedes G.H.: Desistiment."
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","3170/2016/ACU","Resuelto","9719/2016/GEN","ASSESSORIA JURÍDICA. Personació i designació de Lletrat en el Procediment Abreujat núm. 208/2016 promogut per Axa Seguros Generales SA Seguros y Reaseguros."
2016,"35/2016/JGL","JGL 12-09-2016","Ordinària","2933/2016/ACU","Resuelto","7659/2016/GEN","Modificació Programació Auditori segon semestre 2016"
2016,"34/2016/JGL","JGL 01/09/2016 extraordinària i urgent","Extraordinaria i urgent","3128/2016/ACU","Resuelto","269/2016/GEN","Servicio público de las instalaciones deportivas de La Cotxera. Aprobación inicial liquidación (172-2010)"
2016,"33/2016/JGL","JGL 29-07-2016 extraordinària i urgent","Extraordinaria i urgent","2819/2016/ACU","Resuelto","7001/2016/GEN","ASSESSORIA JURÍDICA. Recurs Contenciós Administratiu: Ejecució Sentencia núm. 201/2016, del Jutjat Contenciós Administratiu núm. Un de València, en el procediment abreujat núm. 154/2016."
2016,"33/2016/JGL","JGL 29-07-2016 extraordinària i urgent","Extraordinaria i urgent","2822/2016/ACU","Resuelto","9173/2015/GEN","SERVEI CONTRACTACIÓ. PROPOSTA DELEGAT DE GESTIÓ DE RECURSOS I MODERNITZACIÓ. RESOLUCIÓ CONTRACTUAL SUBMINISTRE UNIFORMITAT POLICIA LOCAL"
2016,"33/2016/JGL","JGL 29-07-2016 extraordinària i urgent","Extraordinaria i urgent","2873/2016/ACU","Resuelto","15016/2015/GEN","ASSESSORIA JURIDICA. SOL·LICITUD DE GAIA GESTION DEPORTIVA, S.L., MODIFICACIÓ ESTIPULACIÓ SISENA DEL CONVENI DE 7 DE GENER DE 2016."
2016,"33/2016/JGL","JGL 29-07-2016 extraordinària i urgent","Extraordinaria i urgent","2877/2016/ACU","Resuelto","10262/2016/GEN","PROPOSTA MODIFICACIÓ COMPOSICIÓ COMISSIÓ TÈCNICA SEGUIMENT PARC CENTRAL."
2016,"33/2016/JGL","JGL 29-07-2016 extraordinària i urgent","Extraordinaria i urgent","2879/2016/ACU","Resuelto","2879/2016/ACU","Adhesió a la concessió de la medalla d´or a títol pòstum, per l'Ajuntament de Catarroja, al senyor Alberto Gradolí Cánovas."
2016,"32/2016/JGL","JGL 25-07-2016","Ordinària","2607/2016/ACU","Resuelto","3280/2011/GEN","ASSESSORIA JURÍDICA. Recurs Contenciós Administratiu: Donar compte Sentencia núm. 225/2014, del Jutjat Contenciós Administratiu núm. Deu de València, en el procediment Ordinari núm. 000657/2011."
2016,"32/2016/JGL","JGL 25-07-2016","Ordinària","2820/2016/ACU","Resuelto","2820/2016/ACU","FELICITACIÓN AL COMISARIO D. ENRIQUE BRISA CRESPO"
