"Distrito","Siglas","Partido","Número de votos"
"Urbanizaciones","CILUS","CIUDADANOS  LIBRES UNIDOS",5
"Urbanizaciones","D.N.","DEMOCRACIA NACIONAL",0
"Urbanizaciones","CEU","COALICION POR EUROPA",14
"Urbanizaciones","EXTR.U","EXTREMADURA UNIDA",1
"Urbanizaciones","F.A.C.","FORO DE CIUDADANOS",2
"Urbanizaciones","P-LIB","PARTIDO DE LA LIBERTAD INDIVIDUAL",9
"Urbanizaciones","LPD","LOS PUEBLOS DECIDEN",0
"Urbanizaciones","M.S.R.","MOVIMIENTO SOCIAL REPUBLICANO",1
"Urbanizaciones","EPDD","L' ESQUERRA PEL DRET A DECID!",3
"Urbanizaciones","PART.A","PARTIDO  ANDALUCISTA",1
"Urbanizaciones","PREPAL","SALAMANCA-ZAMORA-LEON PREPAL",1
"Urbanizaciones","IPEX-PR","EXTREMEÑOS  POR EUROPA COALIC.ELECT.IP",1
"Urbanizaciones","PT","PARTIDO DA TERRA",4
"Urbanizaciones","ACNV-B","PROYECTO  EUROPA",1
"Urbanizaciones","ALTER","ALTERNATIVA REPUBLICANA",1
"Urbanizaciones","RRUE","POR LA REPUBLICA POR LA RUPTURA UE",0
"Urbanizaciones","M.C.R","MOVIMIENTO CORRIENTE ROJA",0
"Urbanizaciones","SAln","SOLIDARIDAD Y AUTOGESTIÓN  INTERNACION",0
