Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no-metano,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
20171030 08:00,,,,,,,,,,,,,,,,,,,
20171030 07:00,19.4,40.0,48.0,9.0,,29.0,0.6,0.4,,7.8,0.4,1.1,51,8.6,69,942,8,0.0
20171030 06:00,19.4,1.0,15.0,11.0,,42.0,0.6,0.4,,7.4,0.4,0.8,40,9.0,67,942,8,0.0
20171030 05:00,19.4,1.0,10.0,12.0,,45.0,0.7,0.4,,7.4,0.4,0.7,35,9.3,66,942,7,0.0
20171030 04:00,19.4,1.0,8.0,12.0,,47.0,0.6,0.4,,7.4,0.4,0.4,49,9.6,66,942,6,0.0
20171030 03:00,19.6,1.0,7.0,10.0,,52.0,0.6,0.4,,7.4,0.4,1.0,66,10.2,65,942,5,0.0
20171030 02:00,19.5,1.0,8.0,12.0,,52.0,0.5,0.4,,7.4,0.4,1.1,75,10.5,65,942,5,0.0
20171030 01:00,19.6,1.0,7.0,7.0,,54.0,0.5,0.4,,7.4,0.4,1.4,72,11.0,63,943,4,0.0
20171030 00:00,19.7,1.0,9.0,17.0,11.0,54.0,0.6,0.4,,7.4,0.4,1.8,74,11.8,58,943,2,0.0
20171029 23:00,19.7,1.0,13.0,13.0,15.0,55.0,0.8,0.4,,7.4,0.4,1.9,85,13.4,47,943,1,0.0
20171029 22:00,19.8,1.0,24.0,15.0,26.0,52.0,1.2,0.5,,7.4,0.5,1.8,76,14.9,37,943,1,0.0
20171029 21:00,19.8,10.0,53.0,15.0,68.0,31.0,3.4,0.8,,7.7,0.8,1.4,73,15.7,32,943,1,0.0
20171029 20:00,19.8,26.0,91.0,13.0,131.0,4.0,3.2,1.0,,8.4,1.3,0.5,99,16.9,27,943,1,0.0
20171029 19:00,19.9,12.0,79.0,10.0,97.0,15.0,1.6,0.6,,8.0,0.9,0.8,69,18.5,23,943,1,0.0
20171029 18:00,19.9,1.0,34.0,4.0,36.0,52.0,0.7,0.4,,7.6,0.6,1.1,90,20.2,20,942,12,0.0
20171029 17:00,19.8,1.0,14.0,7.0,16.0,76.0,0.5,0.4,,7.4,0.4,1.9,92,22.2,16,942,75,0.0
20171029 16:00,,,,,,,,,,,,,,,,,,,
20171029 15:00,,,,,,,,,,,,,,,,,,,
20171029 14:00,,,,,,,,,,,,,,,,,,,
20171029 13:00,19.7,4.0,20.0,10.0,26.0,78.0,1.0,0.5,,7.5,0.5,0.8,149,20.4,26,945,618,0.0
20171029 12:00,19.9,6.0,24.0,15.0,33.0,67.0,1.0,0.4,,7.6,0.5,0.5,193,18.9,32,946,608,0.0
20171029 11:00,19.7,4.0,16.0,11.0,22.0,67.0,1.5,0.5,,7.5,0.5,0.4,216,15.7,38,947,526,0.0
20171029 10:00,19.7,6.0,21.0,12.0,30.0,49.0,0.9,0.5,,8.2,0.6,1.0,131,13.0,47,947,367,0.0
20171029 09:00,19.7,2.0,13.0,13.0,16.0,58.0,2.6,0.5,,7.6,0.4,0.8,72,11.6,50,947,133,0.0
20171029 08:00,,,,,,,,,,,,,,,,,,,
20171029 07:00,19.4,1.0,16.0,10.0,,45.0,0.6,0.4,0.2,7.7,0.4,0.2,73,8.9,59,946,8,0.0
20171029 06:00,19.4,1.0,10.0,10.0,,57.0,0.6,0.4,0.1,7.7,0.4,0.5,42,9.5,58,946,7,0.0
20171029 05:00,19.5,1.0,8.0,12.0,,60.0,0.5,0.4,0.1,7.5,0.4,0.8,51,10.1,56,946,6,0.0
20171029 04:00,19.6,1.0,7.0,11.0,,65.0,0.5,0.4,0.1,7.4,0.4,1.4,49,10.5,54,946,5,0.0
20171029 03:00,19.6,1.0,8.0,13.0,,64.0,0.6,0.4,0.2,7.4,0.4,1.0,49,10.6,53,947,5,0.0
20171029 02:00,19.6,1.0,11.0,12.0,,63.0,0.7,0.4,0.2,7.4,0.4,0.8,50,11.4,51,947,3,0.0
20171029 01:00,19.7,1.0,14.0,17.0,,61.0,0.8,0.4,0.4,7.4,0.4,0.9,63,12.3,49,947,2,0.0
20171029 00:00,19.7,1.0,19.0,11.0,21.0,60.0,0.8,0.4,0.4,7.4,0.4,1.0,60,13.4,46,947,1,0.0
20171028 23:00,19.7,1.0,19.0,12.0,21.0,61.0,0.8,0.4,0.4,7.5,0.4,1.2,68,14.0,44,948,1,0.0
20171028 22:00,19.8,1.0,26.0,17.0,28.0,55.0,1.2,0.5,0.7,7.4,0.5,0.8,61,15.2,41,947,1,0.0
20171028 21:00,19.9,2.0,39.0,16.0,42.0,45.0,1.5,0.6,0.9,7.6,0.7,1.2,70,16.3,38,947,1,0.0
20171028 20:00,19.7,2.0,40.0,14.0,43.0,46.0,1.5,0.5,0.6,7.6,0.6,1.6,83,17.6,36,947,1,0.0
20171028 19:00,19.6,2.0,42.0,17.0,45.0,49.0,1.5,0.5,1.2,7.4,0.6,1.7,95,19.1,33,947,1,0.0
