DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2012,PORTUGAL                      ,Dona,18
2012,PORTUGAL                      ,Home,20
2012,"REGNE UNIT, EL                ",Dona,5
2012,"REGNE UNIT, EL                ",Home,10
2012,"REPÚBLICA DOMINICANA, LA      ",Dona,77
2012,"REPÚBLICA DOMINICANA, LA      ",Home,81
2012,"REPÚBLICA TXECA, LA           ",Dona,2
2012,"REPÚBLICA TXECA, LA           ",Home,4
2012,ROMANIA                       ,Dona,101
2012,ROMANIA                       ,Home,82
2012,RÚSSIA                        ,Dona,40
2012,RÚSSIA                        ,Home,20
2012,"SENEGAL, EL                   ",Dona,31
2012,"SENEGAL, EL                   ",Home,84
2012,SÈRBIA                        ,Dona,2
2012,SÈRBIA                        ,Home,2
2012,SÍRIA                         ,Dona,5
2012,SÍRIA                         ,Home,8
2012,SUÈCIA                        ,Dona,2
2012,SUÈCIA                        ,Home,5
2012,SUÏSSA                        ,Dona,2
2012,SUÏSSA                        ,Home,3
2012,TRINITAT I TOBAGO             ,Home,1
2012,TUNÍSIA                       ,Home,2
2012,TURQUIA                       ,Dona,3
2012,TURQUIA                       ,Home,3
2012,UCRAÏNA                       ,Dona,13
2012,UCRAÏNA                       ,Home,6
2012,"URUGUAI, L                    ",Dona,25
2012,"URUGUAI, L                    ",Home,35
2012,VENEÇUELA                     ,Dona,32
2012,VENEÇUELA                     ,Home,34
2012,"VIETNAM, EL                   ",Dona,1
2012,"VIETNAM, EL                   ",Home,3
2012,XILE                          ,Dona,16
2012,XILE                          ,Home,17
2012,"XINA, LA                      ",Dona,105
2012,"XINA, LA                      ",Home,96
2012,XIPRE                         ,Dona,1
2013,ALBÀNIA                       ,Dona,2
2013,ALBÀNIA                       ,Home,2
2013,ALEMANYA                      ,Dona,6
2013,ALEMANYA                      ,Home,17
2013,ALGÈRIA                       ,Dona,1
2013,ALGÈRIA                       ,Home,6
2013,ALTRES PAÏSOS D ÀFRICA        ,Home,1
2013,ALTRES PAÏSOS D AMÈRICA       ,Home,1
2013,ALTRES PAÏSOS D ÀSIA          ,Dona,1
2013,ANDORRA                       ,Home,1
2013,"ARGENTINA, L                  ",Dona,26
2013,"ARGENTINA, L                  ",Home,34
2013,ARMÈNIA                       ,Dona,7
2013,ARMÈNIA                       ,Home,7
2013,ÀUSTRIA                       ,Home,1
2013,BANGLA DESH                   ,Home,4
2013,BÈLGICA                       ,Dona,4
2013,BÈLGICA                       ,Home,1
2013,BIELORÚSSIA                   ,Dona,1
2013,BOLÍVIA                       ,Dona,54
2013,BOLÍVIA                       ,Home,37
2013,BÒSNIA I HERCEGOVINA          ,Home,1
2013,"BRASIL, EL                    ",Dona,44
2013,"BRASIL, EL                    ",Home,21
2013,BULGÀRIA                      ,Dona,5
2013,BULGÀRIA                      ,Home,10
2013,BURKINA FASO                  ,Home,2
2013,"CAMERUN, EL                   ",Home,2
2013,"CANADÀ, EL                    ",Home,1
2013,COLÒMBIA                      ,Dona,81
2013,COLÒMBIA                      ,Home,54
2013,"CONGO, EL                     ",Home,1
2013,COREA DEL SUD                 ,Home,1
2013,"COSTA D IVORI, LA             ",Home,2
2013,CUBA                          ,Dona,34
2013,CUBA                          ,Home,27
2013,DINAMARCA                     ,Dona,1
2013,DINAMARCA                     ,Home,3
2013,EGIPTE                        ,Dona,1
2013,EGIPTE                        ,Home,1
2013,EL SALVADOR                   ,Dona,3
2013,EL SALVADOR                   ,Home,5
2013,"EQUADOR, L                    ",Dona,65
2013,"EQUADOR, L                    ",Home,59
2013,ESLOVÀQUIA                    ,Dona,1
2013,ESLOVÈNIA                     ,Dona,1
2013,ESPANYA                       ,Dona,2530
2013,ESPANYA                       ,Home,2571
2013,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,10
2013,"ESTATS UNITS D AMÈRICA, ELS   ",Home,16
2013,"FILIPINES, LES                ",Dona,3
2013,"FILIPINES, LES                ",Home,1
2013,FINLÀNDIA                     ,Dona,3
2013,FRANÇA                        ,Dona,16
2013,FRANÇA                        ,Home,15
2013,GÀMBIA                        ,Home,12
2013,GEÒRGIA                       ,Dona,5
2013,GEÒRGIA                       ,Home,1
2013,GHANA                         ,Home,2
2013,GRÈCIA                        ,Dona,2
2013,GUATEMALA                     ,Dona,3
2013,GUATEMALA                     ,Home,2
2013,"GUINEA EQUATORIAL, LA         ",Dona,9
2013,"GUINEA EQUATORIAL, LA         ",Home,6
2013,"GUINEA, LA                    ",Dona,1
2013,"GUINEA, LA                    ",Home,2
2013,HONDURES                      ,Dona,44
2013,HONDURES                      ,Home,16
2013,HONGRIA                       ,Dona,1
2013,"ÍNDIA, L                      ",Dona,8
2013,"ÍNDIA, L                      ",Home,10
2013,"IRAN, L                       ",Dona,3
2013,"IRAN, L                       ",Home,5
2013,"IRAQ, L                       ",Home,1
2013,IRLANDA                       ,Dona,3
2013,IRLANDA                       ,Home,1
2013,ISRAEL                        ,Dona,1
2013,ITÀLIA                        ,Dona,24
2013,ITÀLIA                        ,Home,46
2013,JORDÀNIA                      ,Home,1
2013,LETÒNIA                       ,Dona,2
2013,LITUÀNIA                      ,Dona,2
2013,MALÀISIA                      ,Home,4
2013,MALI                          ,Home,1
