VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,1,21,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,1,22,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,24
M,Eleccions Municipals                    ,2007,1,22,CIU            ,CONVERGÈNCIA I UNIÓ                               ,176
M,Eleccions Municipals                    ,2007,1,22,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,17
M,Eleccions Municipals                    ,2007,1,22,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,66
M,Eleccions Municipals                    ,2007,1,22,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,51
M,Eleccions Municipals                    ,2007,1,22,PFIV           ,FAMÍLIA I VIDA                                    ,12
M,Eleccions Municipals                    ,2007,1,22,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,62
M,Eleccions Municipals                    ,2007,1,22,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,154
M,Eleccions Municipals                    ,2007,1,22,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,3
M,Eleccions Municipals                    ,2007,1,23,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,24
M,Eleccions Municipals                    ,2007,1,23,CIU            ,CONVERGÈNCIA I UNIÓ                               ,116
M,Eleccions Municipals                    ,2007,1,23,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,6
M,Eleccions Municipals                    ,2007,1,23,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,46
M,Eleccions Municipals                    ,2007,1,23,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,32
M,Eleccions Municipals                    ,2007,1,23,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,1,23,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,35
M,Eleccions Municipals                    ,2007,1,23,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,151
M,Eleccions Municipals                    ,2007,1,23,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,1,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,16
M,Eleccions Municipals                    ,2007,2,1,CIU            ,CONVERGÈNCIA I UNIÓ                               ,54
M,Eleccions Municipals                    ,2007,2,1,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,5
