DISTRICTE,BARRI,SUPERFICIE_CONSTRUIDA,TOTAL
Districte 4,Vista Alegre                            ,Solar,45
Districte 5,Poble Nou - Zona Esportiva              ,117-157,165
Districte 5,Poble Nou - Zona Esportiva              ,158-195,199
Districte 5,Torrent D En Pere Parres                ,117-157,42
Districte 5,Torrent D En Pere Parres                ,296-420,62
Districte 1,Centre                                  ,421-953,425
Districte 5,Torrent D En Pere Parres                ,Solar,23
Districte 1,Centre                                  ,236-295,421
Districte 3,Segle Xx                                ,421-953,154
Districte 5,Can Roca                                ,954 i mes,44
Districte 5,Sant Pere                               ,236-295,178
Districte 1,Cementiri Vell                          ,954 i mes,138
Districte 1,Antic Poble De Sant Pere                ,158-195,16
Districte 1,Antic Poble De Sant Pere                ,236-295,35
Districte 1,Antic Poble De Sant Pere                ,117-157,11
Districte 6,Sant Pere Nord                          ,296-420,245
Districte 6,Sant Pere Nord                          ,Fins 66,30
Districte 6,Can Tusell                              ,421-953,4
Districte 6,Sant Pere Nord                          ,158-195,286
Districte 1,Vallparadís                             ,117-157,26
Districte 1,Cementiri Vell                          ,Fins 66,9
Districte 1,Cementiri Vell                          ,117-157,19
Districte 3,P.I. Santa Margarida                    ,954 i mes,98
Districte 1,Pl. Catalunya - Esc. Industrial         ,196-235,28
Districte 3,Guadalhorce                             ,954 i mes,22
Districte 3,Can Palet Ii                            ,421-953,30
Districte 2,Ca N Anglada                            ,296-420,179
Districte 6,Ègara                                   ,158-195,67
Districte 3,P.I. Can Parellada                      ,Fins 66,27
Districte 6,Font De L Espardenyera                  ,296-420,11
Districte 4,La Maurina                              ,Solar,33
Districte 4,Disseminats                             ,158-195,3
Districte 5,Can Roca                                ,421-953,13
Districte 5,Can Roca                                ,196-235,13
Districte 1,Antic Poble De Sant Pere                ,954 i mes,11
Districte 5,Els Caus - Els Pinetons                 ,67-116,5
Districte 3,P.I. Can Guitard                        ,954 i mes,7
Districte 3,Disseminats                             ,236-295,1
Districte 4,Disseminats                             ,421-953,1
Districte 3,P.I. Can Guitard                        ,67-116,1
Districte 6,Les Arenes - La Grípia - Can Montllor   ,954 i mes,167
Districte 2,Torre-Sana                              ,Solar,79
Districte 2,Torre-Sana                              ,236-295,51
Districte 6,Sant Llorenç                            ,954 i mes,40
Districte 3,Can Parellada                           ,158-195,103
Districte 2,Torre-Sana                              ,158-195,44
Districte 2,Torre-Sana                              ,67-116,27
Districte 4,Roc Blanc                               ,954 i mes,56
Districte 4,Roc Blanc                               ,421-953,48
Districte 5,Can Gonteres                            ,158-195,10
Districte 5,Can Gonteres                            ,236-295,34
Districte 4,Can Palet De Vista Alegre               ,236-295,142
Districte 3,P.I. Els Bellots                        ,Solar,10
Districte 5,Poble Nou - Zona Esportiva              ,Solar,86
Districte 5,Torrent D En Pere Parres                ,67-116,57
Districte 4,La Cogullada                            ,Solar,34
Districte 1,Centre                                  ,Fins 66,36
Districte 3,Segle Xx                                ,296-420,102
Districte 1,Centre                                  ,158-195,351
Districte 4,Les Martines                            ,954 i mes,6
Districte 3,Can Palet                               ,236-295,161
Districte 1,Vallparadís                             ,67-116,22
Districte 6,Can Tusell                              ,954 i mes,14
Districte 3,Can Palet                               ,421-953,196
Districte 6,Sant Pere Nord                          ,421-953,225
Districte 5,Pla Del Bon Aire - El Garrot            ,Solar,18
Districte 1,Vallparadís                             ,158-195,37
Districte 6,Sant Pere Nord                          ,Solar,47
Districte 3,Can Palet                               ,Fins 66,22
Districte 1,Pl. Catalunya - Esc. Industrial         ,236-295,34
Districte 6,Ègara                                   ,Fins 66,18
Districte 6,Ègara                                   ,67-116,62
Districte 3,P.I. Santa Eulàlia                      ,Fins 66,7
Districte 3,P.I. Can Parellada                      ,Solar,24
Districte 3,Xúquer                                  ,Solar,2
Districte 3,P.I. Santa Margarida                    ,296-420,1
Districte 1,Vallparadís                             ,Solar,14
Districte 5,Els Caus - Els Pinetons                 ,236-295,4
Districte 5,Pla Del Bon Aire                        ,421-953,2
Districte 1,Antic Poble De Sant Pere                ,Solar,11
Districte 5,Pla Del Bon Aire - El Garrot            ,67-116,7
Districte 3,Can Jofresa                             ,Solar,4
Districte 4,Vista Alegre                            ,Fins 66,10
Districte 5,Els Caus - Els Pinetons                 ,Fins 66,4
Districte 3,P.I. Can Parellada                      ,67-116,2
Districte 3,Can Parellada                           ,Solar,55
Districte 3,Can Parellada                           ,196-235,119
Districte 2,Disseminats                             ,Fins 66,1
Districte 5,Disseminats                             ,196-235,9
Districte 5,Disseminats                             ,296-420,17
Districte 5,Disseminats                             ,954 i mes,24
Districte 2,Torre-Sana                              ,296-420,96
Districte 5,Disseminats                             ,158-195,13
Districte 4,La Maurina                              ,296-420,181
Districte 4,Roc Blanc                               ,158-195,37
Districte 4,Roc Blanc                               ,Fins 66,10
Districte 5,Can Gonteres                            ,67-116,12
Districte 5,Disseminats                             ,Solar,122
Districte 4,Ca N Aurell                             ,236-295,414
Districte 4,Ca N Aurell                             ,421-953,446
Districte 4,Ca N Aurell                             ,158-195,318
Districte 5,Can Boada Del Pi                        ,236-295,7
Districte 4,Les Martines                            ,296-420,45
Districte 5,Can Boada Casc Antic                    ,158-195,52
Districte 5,Can Boada Casc Antic                    ,67-116,76
Districte 5,Poble Nou - Zona Esportiva              ,954 i mes,138
Districte 5,Torrent D En Pere Parres                ,421-953,68
Districte 3,Segle Xx                                ,67-116,122
Districte 5,Sant Pere                               ,67-116,157
Districte 5,Sant Pere                               ,Fins 66,26
Districte 1,Vallparadís                             ,236-295,36
Districte 1,Cementiri Vell                          ,Solar,46
Districte 1,Antic Poble De Sant Pere                ,67-116,6
Districte 6,Sant Pere Nord                          ,117-157,210
Districte 6,Can Tusell                              ,Solar,8
Districte 5,Pla Del Bon Aire - El Garrot            ,296-420,12
Districte 1,Vallparadís                             ,196-235,29
Districte 1,Vallparadís                             ,Fins 66,8
Districte 6,P.I. Nord                               ,421-953,7
Districte 1,Cementiri Vell                          ,236-295,21
Districte 1,Cementiri Vell                          ,421-953,52
Districte 6,Disseminats                             ,Solar,13
Districte 3,P.I. Santa Margarida                    ,421-953,8
Districte 3,P.I. Santa Eulàlia                      ,954 i mes,31
Districte 2,Ca N Anglada                            ,Fins 66,55
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Fins 66,42
Districte 6,Les Arenes - La Grípia - Can Montllor   ,196-235,211
Districte 3,P.I. Santa Margarida                    ,Fins 66,16
Districte 4,Vista Alegre                            ,296-420,10
Districte 5,Can Boada Casc Antic                    ,Solar,18
Districte 5,Can Boada Del Pi                        ,158-195,2
Districte 3,Can Jofresa                             ,158-195,1
Districte 2,Sector Montserrat                       ,954 i mes,7
Districte 3,Can Palet Ii                            ,Fins 66,2
Districte 1,Pl. Catalunya - Esc. Industrial         ,Solar,6
Districte 2,Disseminats                             ,421-953,4
Districte 3,P.I. Santa Eulàlia                      ,196-235,4
Districte 1,Pl. Catalunya - Esc. Industrial         ,Fins 66,2
Districte 3,Guadalhorce                             ,296-420,1
Districte 2,Sector Montserrat                       ,Solar,4
Districte 6,P.I. Nord                               ,196-235,2
Districte 3,Can Parellada                           ,954 i mes,29
Districte 6,Disseminats                             ,954 i mes,16
Districte 3,Can Parellada                           ,296-420,186
Districte 2,Disseminats                             ,Solar,8
Districte 2,Disseminats                             ,158-195,1
Districte 5,Disseminats                             ,117-157,20
Districte 5,Disseminats                             ,Fins 66,17
Districte 3,Les Fonts                               ,296-420,96
Districte 3,Les Fonts                               ,117-157,71
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Solar,72
Districte 2,Torre-Sana                              ,954 i mes,72
Districte 4,Can Palet De Vista Alegre               ,196-235,105
Districte 4,La Maurina                              ,196-235,140
Districte 5,Els Caus - Els Pinetons                 ,117-157,4
Districte 4,Roc Blanc                               ,236-295,44
Districte 3,Can Parellada                           ,Fins 66,70
Districte 5,Can Gonteres                            ,Fins 66,19
Districte 4,Can Palet De Vista Alegre               ,421-953,21
Districte 4,Can Palet De Vista Alegre               ,Fins 66,41
Districte 4,Ca N Aurell                             ,67-116,205
Districte 5,Can Boada Del Pi                        ,296-420,12
Districte 4,Ca N Aurell                             ,296-420,386
Districte 4,La Cogullada                            ,954 i mes,74
Districte 4,La Cogullada                            ,158-195,69
Districte 4,La Cogullada                            ,67-116,62
Districte 5,Torrent D En Pere Parres                ,196-235,85
Districte 4,Vista Alegre                            ,954 i mes,2
Districte 1,Centre                                  ,954 i mes,477
Districte 5,Sant Pere                               ,296-420,179
Districte 3,Segle Xx                                ,236-295,107
Districte 3,Segle Xx                                ,117-157,137
Districte 3,Segle Xx                                ,Solar,132
Districte 5,Pla Del Bon Aire - El Garrot            ,196-235,7
Districte 3,Disseminats                             ,954 i mes,11
Districte 1,Antic Poble De Sant Pere                ,296-420,33
Districte 6,Sant Pere Nord                          ,67-116,205
Districte 6,Sant Pere Nord                          ,236-295,262
Districte 6,P.I. Nord                               ,954 i mes,27
Districte 6,P.I. Nord                               ,158-195,3
Districte 6,P.I. Nord                               ,Solar,5
Districte 1,Pl. Catalunya - Esc. Industrial         ,954 i mes,114
Districte 1,Pl. Catalunya - Esc. Industrial         ,421-953,50
Districte 2,Ca N Anglada                            ,196-235,244
Districte 6,Ègara                                   ,954 i mes,80
Districte 6,Font De L Espardenyera                  ,236-295,4
Districte 5,Can Boada Del Pi                        ,Solar,46
Districte 5,Els Caus - Els Pinetons                 ,196-235,3
Districte 6,Font De L Espardenyera                  ,117-157,3
Districte 6,P.I. Can Petit                          ,Solar,8
Districte 5,Can Roca                                ,67-116,3
Districte 3,P.I. Can Guitard                        ,296-420,1
Districte 3,P.I. Can Guitard                        ,Solar,3
Districte 4,Can Palet De Vista Alegre               ,954 i mes,2
Districte 3,P.I. Santa Margarida                    ,158-195,1
Districte 2,Vilardell                               ,Solar,1
Districte 4,Vista Alegre                            ,158-195,2
Districte 3,Disseminats                             ,196-235,1
Districte 3,Can Parellada                           ,421-953,57
Districte 3,Can Parellada                           ,117-157,58
Districte 2,Vilardell                               ,954 i mes,8
Districte 3,Disseminats                             ,421-953,2
Districte 4,La Maurina                              ,236-295,141
Districte 4,Les Martines                            ,Solar,57
Districte 4,Roc Blanc                               ,196-235,34
Districte 4,La Maurina                              ,954 i mes,106
Districte 4,Disseminats                             ,Solar,26
Districte 4,La Cogullada                            ,421-953,99
Districte 4,La Cogullada                            ,Fins 66,22
Districte 4,Ca N Aurell                             ,Fins 66,39
Districte 4,La Cogullada                            ,117-157,53
Districte 4,Ca N Aurell                             ,Solar,66
Districte 5,Torrent D En Pere Parres                ,236-295,82
Districte 3,Segle Xx                                ,954 i mes,166
Districte 1,Centre                                  ,196-235,342
Districte 1,Centre                                  ,67-116,159
Districte 3,Segle Xx                                ,158-195,105
Districte 3,Segle Xx                                ,196-235,120
Districte 1,Vallparadís                             ,954 i mes,104
Districte 5,Pla Del Bon Aire                        ,954 i mes,29
Districte 3,Can Palet                               ,196-235,124
Districte 1,Antic Poble De Sant Pere                ,196-235,16
Districte 1,Cementiri Vell                          ,158-195,25
Districte 1,Cementiri Vell                          ,196-235,25
Districte 1,Cementiri Vell                          ,296-420,40
Districte 2,Ca N Anglada                            ,421-953,182
Districte 6,Ègara                                   ,Solar,24
Districte 6,Ègara                                   ,421-953,127
Districte 2,Ca N Anglada                            ,117-157,241
Districte 3,P.I. Santa Eulàlia                      ,236-295,4
Districte 6,Font De L Espardenyera                  ,Solar,26
Districte 3,P.I. Santa Eulàlia                      ,296-420,11
Districte 2,Montserrat                              ,421-953,30
Districte 6,P.I. Can Petit                          ,954 i mes,19
Districte 3,P.I. Els Bellots                        ,Fins 66,10
Districte 6,Disseminats                             ,296-420,5
Districte 5,Can Boada Del Pi                        ,Fins 66,5
Districte 3,Can Palet Ii                            ,954 i mes,4
Districte 5,Can Boada Del Pi                        ,954 i mes,9
Districte 4,Vista Alegre                            ,196-235,2
Districte 3,P.I. Santa Margarida                    ,196-235,1
Districte 3,P.I. Santa Margarida                    ,Solar,8
Districte 5,Els Caus - Els Pinetons                 ,158-195,3
Districte 5,Els Caus - Els Pinetons                 ,421-953,2
Districte 4,Disseminats                             ,296-420,1
Districte 3,P.I. Santa Eulàlia                      ,Solar,2
Districte 6,Sant Llorenç                            ,296-420,1
Districte 3,P.I. Els Bellots                        ,67-116,1
