DATA_REFERENCIA,MUNICIPI_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,MÉRIDA                        ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,1
2011,PERALEDA DEL ZAUCEJO          ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,1
2011,TORREMAYOR                    ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,1
2011,ABRERA                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,7
2011,AIGUAFREDA                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,ALELLA                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,ARENYS DE MAR                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,ARENYS DE MUNT                ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,ARGENÇOLA                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,ARGENTONA                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,ARTÉS                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,AVIÀ                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,BADALONA                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,132
2011,BADIA DEL VALLÈS              ,BARCELONA,ALTA PER IMMIGRACIÓ           ,41
2011,BAGÀ                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,BALENYÀ                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,BARBERÀ DEL VALLÈS            ,BARCELONA,ALTA PER IMMIGRACIÓ           ,61
2011,BARCELONA                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1334
2011,BEGUES                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,BERGA                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,11
2011,BIGUES I RIELLS               ,BARCELONA,ALTA PER IMMIGRACIÓ           ,10
2011,CABRERA D ANOIA               ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,CABRERA DE MAR                ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,CABRILS                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,CALAF                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,CALDES DE MONTBUI             ,BARCELONA,ALTA PER IMMIGRACIÓ           ,12
2011,CALELLA                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,CALLÚS                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,CANET DE MAR                  ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,CANOVELLES                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,13
2011,CANYELLES                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,CAPELLADES                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,CARDEDEU                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
