CARRERS_CODI,CARRERS_TIPUS_VIA,CARRERS_NOM_OFICIAL,CARRERS_NOM18
3035,CA,RUTE,DE RUTE
3040,CA,RUTLLA,DE LA RUTLLA
3045,CA,SABADELL,DE SABADELL
3046,CR,SABADELL A MATADEPERA,DE SABADELL A MATADEPERA
3055,CA,SAGUNT,DE SAGUNT
3060,CA,SALAMANCA,DE SALAMANCA
3065,CA,SAL.LARI,DE SAL.LARI
3070,CA,SALMERÓN,DE SALMERÓN
3075,CA,SALOU,DE SALOU
3080,CA,SALUT,DE LA SALUT
3085,CA,DOCTOR SALVÀ,DEL DOCTOR SALVÀ
3095,CA,SALVADOR BUSQUETS,DE SALVADOR BUSQUETS
3096,PL,SALVADOR ESPRIU,DE SALVADOR ESPRIU
3097,CA,SALVADOR SEGUÍ,DE SALVADOR SEGUÍ
3100,CA,FONT DE LA NOGUERA,DE LA FONT DE LA NOGUERA
3101,CA,SALZE,DEL SALZE
3102,CA,SÀLVIA,DE LA SÀLVIA
3105,CA,SANT AGUSTÍ,DE SANT AGUSTÍ
3110,CA,SANT ANDREU,DE SANT ANDREU
3115,CA,SANT BERNAT,DE SANT BERNAT
3120,CA,SANT CARLES,DE SANT CARLES
3125,CA,SANT COSME,DE SANT COSME
3130,CA,SANT CELONI,DE SANT CELONI
3140,CA,SANT CUGAT,DE SANT CUGAT
3155,CA,SANT FELIU DE LLOBREGAT,DE SANT FELIU DE LLOBREGAT
3160,CA,SANT FERRAN,DE SANT FERRAN
3165,PA,SANT FERRAN,DE SANT FERRAN
3170,CA,SANT HONORAT,DE SANT HONORAT
3175,CA,SANT JORDI,DE SANT JORDI
3185,GR,SANT LLORENÇ DEL MUNT,DE SANT LLORENÇ DEL MUNT
3190,CA,SANT LLUÍS,DE SANT LLUÍS
3195,CA,SANT MARC,DE SANT MARC
3200,CA,SANT MATEU,DE SANT MATEU
3205,PL,SANT MIQUEL,DE SANT MIQUEL
3210,PL,SANT OLEGUER,DE SANT OLEGUER
3215,CA,SANT PERE,DE SANT PERE
3220,CA,SANT RAIMON DE PENYAFORT,DE SANT RAIMON DE PENYAFORT
3225,PL,SANT RAMON,DE SANT RAMON
3230,CA,SANT ANTONI,DE SANT ANTONI
3235,CA,SANT ANTONI M. CLARET,DE SANT ANTONI M. CLARET
3240,CA,SANT CRISTÒFOL,DE SANT CRISTÒFOL
3245,CA,SANT DOMÈNEC,DE SANT DOMÈNEC
3250,CA,SANT FRANCESC,DE SANT FRANCESC
3255,CA,SANT GAIETÀ,DE SANT GAIETÀ
3260,CA,SANT GENÍS,DE SANT GENÍS
3265,CA,SANT IGNASI,DE SANT IGNASI
3270,CA,SANT ILDEFONS,DE SANT ILDEFONS
3275,CA,SANT ISIDRE,DE SANT ISIDRE
3280,CA,SANT JAUME,DE SANT JAUME
3285,CA,SANT JOAN,DE SANT JOAN
3286,PA,SANT JOAN,DE SANT JOAN
3290,CA,SANT JOSEP,DE SANT JOSEP
3295,CA,SANT LEOPOLD,DE SANT LEOPOLD
3300,CA,SANT LLORENÇ,DE SANT LLORENÇ
3301,CA,FIÑANA,DE FIÑANA
3305,CA,SANT MARIAN,DE SANT MARIAN
3315,RM,SANT NEBRIDI,DE SANT NEBRIDI
3316,CA,SANT PAU,DE SANT PAU
3319,CA,SANT QUIRZE (LF),DE SANT QUIRZE (LF)
3320,CA,SANT QUIRZE,DE SANT QUIRZE
3321,CA,SANT RAFAEL,DE SANT RAFAEL
3330,CA,SANT SEBASTIÀ,DE SANT SEBASTIÀ
3335,CA,SANT VALENTÍ,DE SANT VALENTÍ
3340,CA,SANTA CECÍLIA,DE SANTA CECÍLIA
3345,AV,SANTA EULÀLIA,DE SANTA EULÀLIA
3350,CA,SANTA AGNÈS,DE SANTA AGNÈS
3355,CA,SANTA LLÚCIA,DE SANTA LLÚCIA
3360,CA,SANTA MAGDALENA,DE SANTA MAGDALENA
3365,PA,SANTA MAGDALENA,DE SANTA MAGDALENA
3370,GR,SANTA MARGARIDA,DE SANTA MARGARIDA
3375,CA,SANTA MARGARIDA,DE SANTA MARGARIDA
3380,CA,SANTA M. DE MAZZAREL.LO,DE SANTA M. DE MAZZAREL.LO
3385,CA,SANTA MARTA,DE SANTA MARTA
3390,CA,SANTA TERESA,DE SANTA TERESA
3395,CA,SANTANDER,DE SANTANDER
3400,CA,SANTIAGO RUSIÑOL,DE SANTIAGO RUSIÑOL
3405,CA,SANT TOMÀS,DE SANT TOMÀS
3406,PL,POLIOL,DEL POLIOL
3407,PC,SARAGOSSA,DE SARAGOSSA
3416,CA,SARDENYA,DE SARDENYA
3417,CA,SATURN,DE SATURN
3425,CA,SEGÒVIA,DE SEGÒVIA
3430,CA,SEGRE,DEL SEGRE
3440,CA,SELVA,DE LA SELVA
3441,CA,SENEGAL,DEL SENEGAL
3445,CA,SENTMENAT,DE SENTMENAT
3450,CA,SEU D URGELL,DE LA SEU D URGELL
3455,CA,SERRANO,DE SERRANO
3460,CA,SEVILLA,DE SEVILLA
3465,CA,SICÍLIA,DE SICÍLIA
3470,CA,SIERRA NEVADA,DE SIERRA NEVADA
3475,PL,SEGLE XX,DEL SEGLE XX
3480,CA,SIL,DEL SIL
3485,CA,SIMEÓ GARCÍA,DE SIMEÓ GARCÍA
3490,CA,SINDICAT,DEL SINDICAT
3495,CA,SITGES,DE SITGES
3500,CA,SOCIETAT,DE LA SOCIETAT
3505,CA,SÒCRATES,DE SÒCRATES
3510,CA,SOL,DEL SOL
3515,CA,SOLER I DIFFENT,DE SOLER I DIFFENT
3520,CA,SOLER I PALET,DE SOLER I PALET
3525,CA,SOLSONA,DE SOLSONA
3535,CA,SÒRIA,DE SÒRIA
3541,CA,SUDAN,DEL SUDAN
3545,CA,SUÈCIA,DE SUÈCIA
3550,PA,SUÏSSA,DE SUÏSSA
3555,CA,SURIS,DE SURIS
3570,CA,TALAMANCA,DE TALAMANCA
3575,CA,PABLO IGLESIAS,DE PABLO IGLESIAS
3576,CA,TANZÀNIA,DE TANZÀNIA
3580,CA,TARRAGONA,DE TARRAGONA
3585,CA,TÀRREGA,DE TÀRREGA
3590,CA,TEATRE,DEL TEATRE
3591,CA,TEIDE,DEL TEIDE
3600,CA,FREDERIC MOMPOU,DE FREDERIC MOMPOU
3605,CA,TER,DEL TER
3610,CA,TERQUE,DE TERQUE
3615,CA,TEROL,DE TEROL
3616,AV,TÈXTIL,DEL TÈXTIL
3620,CA,TIBIDABO,DEL TIBIDABO
3621,CA,TIL.LA,DE LA TIL.LA
3625,CA,TOBELLA PI DE LA SERRA,DE TOBELLA PI DE LA SERRA
3635,CA,TORDERA,DE LA TORDERA
3636,CA,TORMES,DEL TORMES
3640,CA,TORRE,DE LA TORRE
3641,PL,TORRE DEL CASTELL-PALAU,DE LA TORRE DEL CASTELL-PALAU
3645,CA,ANTONI TORRELLA,D  ANTONI TORRELLA
3646,MA,CAN TORRELLA,DE CAN TORRELLA
3650,CA,TORRENT,DEL TORRENT
3655,CA,TORRENT DE VALLPARADÍS,DEL TORRENT DE VALLPARADÍS
3660,RM,FONTS,DE LES FONTS
3665,CA,TORRENT D EN PERE PARRES,DEL TORRENT D EN PERE PARRES
3670,CA,TORTOSA,DE TORTOSA
3675,CA,TOSSA,DE TOSSA
1260,CA,FORJA,DE LA FORJA
1265,CA,FORMENTERA,DE FORMENTERA
1270,CA,FORN,DEL FORN
1275,CA,FORNOT,DEL FORNOT
1285,CA,FRANÇA,DE FRANÇA
1286,RM,FRANCESC MACIÀ,DE FRANCESC MACIÀ
1290,CA,FRANCISCO DE VITORIA,DE FRANCISCO DE VITORIA
1295,CA,FRANCESC OLLER,DE FRANCESC OLLER
1300,CA,FRANCESC SALVANS,DE FRANCESC SALVANS
1305,CA,FRANC COMTAT,DEL FRANC COMTAT
1310,CA,FRANCOLÍ,DEL FRANCOLÍ
1320,CA,FRATERNITAT,DE LA FRATERNITAT
1330,CA,FRA BONAVENTURA GRAN,DE FRA BONAVENTURA GRAN
1335,CA,FRONTÓ,DEL FRONTÓ
1336,CA,GABON,DEL GABON
1337,CA,GABRIEL QUEROL,DE GABRIEL QUEROL
1340,CA,GALÍCIA,DE GALÍCIA
1345,CA,GALILEU,DE GALILEU
1350,PA,PAÍS DE GAL.LES,DEL PAÍS DE GAL.LES
1355,CA,GALVANI,DE GALVANI
1360,CA,GALLIFA,DE GALLIFA
1365,CA,GANDESA,DE GANDESA
1366,CA,GARBÍ,DEL GARBÍ
1370,CA,GARCIA HUMET,DE GARCIA HUMET
1375,CA,JOSEP-VICENÇ FOIX,DE JOSEP-VICENÇ FOIX
1380,CA,GARONA,DE LA GARONA
1395,CA,GASÒMETRE,DEL GASÒMETRE
1400,CA,GAUDÍ,DE GAUDÍ
1405,PA,TETE MONTOLIU,DE TETE MONTOLIU
1411,CA,GÈMINIS,DE GÈMINIS
1412,CA,GAIÀ,DEL GAIÀ
1415,CA,ALEXANDRE GALÍ,D  ALEXANDRE GALÍ
1420,CA,GENERAL MILANS DEL BOSCH,DEL GENERAL MILANS DEL BOSCH
1425,CA,GENERAL MORAGUES,DEL GENERAL MORAGUES
1430,CA,PARÍS,DE PARÍS
1446,CA,GENIL,DEL GENIL
1450,CA,GERANI,DEL GERANI
1455,CA,GIRONA,DE GIRONA
1460,CA,GIBERT,DE GIBERT
1465,RN,PONENT,DE PONENT
1470,CA,GIJÓN,DE GIJÓN
1475,CA,GINESTA,DE LA GINESTA
1480,CA,GIRALT I SERRÀ,DE GIRALT I SERRÀ
1485,CA,GIRA-SOL,DEL GIRA-SOL
1495,AV,GLÒRIES CATALANES,DE LES GLÒRIES CATALANES
1500,CA,GOLETA,DE LA GOLETA
1505,CR,GRÀCIA A MANRESA,DE GRÀCIA A MANRESA
1510,CA,GRANADA,DE GRANADA
1515,CA,GRANERA,DE GRANERA
1520,CA,GRÀNIUS,DE GRÀNIUS
1530,CA,GRÈCIA,DE GRÈCIA
1531,CA,GREGAL,DEL GREGAL
1535,CA,GUADALAJARA,DE GUADALAJARA
1545,CA,GUADALHORCE,DEL GUADALHORCE
1550,CA,GUADALQUIVIR,DEL GUADALQUIVIR
1555,PA,GUADARRAMA,DEL GUADARRAMA
1560,CA,GUADIANA,DEL GUADIANA
1575,CA,GUILLEM DE MUNTANYANS,DE GUILLEM DE MUNTANYANS
1580,CA,GUINEA,DE LA GUINEA
1585,CA,GUIPÚSCOA,DE GUIPÚSCOA
1590,CA,GUTENBERG,DE GUTENBERG
1591,CA,HÈRCULES,D  HÈRCULES
1595,CA,GERMÀ JOAQUIM,DEL GERMÀ JOAQUIM
1600,CA,GERMANS PINZÓN,DELS GERMANS PINZÓN
1605,CA,HERNÁN CORTÉS,D  HERNÁN CORTÉS
1610,CA,HISPANITAT,DE LA HISPANITAT
1615,CA,HISTORIADOR CARDÚS,DE L  HISTORIADOR CARDÚS
1620,CA,HOQUEI,DE L  HOQUEI
1630,CA,HORTÈNSIA,DE L  HORTÈNSIA
1640,CA,HUELVA,DE HUELVA
1650,CA,IBÁÑEZ DE ALDECOA,D  IBÁÑEZ DE ALDECOA
1655,CA,EIVISSA,D  EIVISSA
1665,CA,IGNASI IGLÉSIAS,D  IGNASI IGLÉSIAS
1670,CA,IGUALADA,D  IGUALADA
1675,CA,IGUALTAT,DE LA IGUALTAT
1680,CA,INDEPENDÈNCIA,DE LA INDEPENDÈNCIA
1685,CA,INDÚSTRIA,DE LA INDÚSTRIA
1690,PL,IMMACULADA,DE LA IMMACULADA
1695,CA,ISAAC PERAL,D  ISAAC PERAL
1725,CA,JACINT ELIAS,DE JACINT ELIAS
1730,AV,JACQUARD,DE JACQUARD
1735,CA,JAÉN,DE JAÉN
1740,AV,JAUME I,DE JAUME I
1745,CA,JALÓN,DEL JALÓN
1750,CA,JAUME CANTARER,DE JAUME CANTARER
1751,PL,JAUME JOVER,DE JAUME JOVER
1754,PS,JOAN MIRÓ,DE JOAN MIRÓ
1755,CA,JEREZ,DE JEREZ
1756,CA,JILOCA,DEL JILOCA
1760,CA,JOAQUIN COSTA,DE JOAQUIN COSTA
1765,CA,JOAQUIM DE PAZ,DE JOAQUIM DE PAZ
1770,AV,JOAQUIM DE SAGRERA,DE JOAQUIM DE SAGRERA
1775,PL,JOSEP FREIXA I ARGEMÍ,DE JOSEP FREIXA I ARGEMÍ
1780,CA,JOSEP MARIA PALAU,DE JOSEP MARIA PALAU
1785,CA,JOSEP O. MAURI POAL,DE JOSEP O. MAURI POAL
1790,PA,JOSEP O. MAURI POAL,DE JOSEP O. MAURI POAL
1791,PL,JOSEP PLA,DE JOSEP PLA
1795,CA,JOSEP TAPIOLAS,DE JOSEP TAPIOLAS
1796,AV,JOSEP TARRADELLAS,DE JOSEP TARRADELLAS
1800,CA,JOAN ABELLÓ I BUFÍ,DE JOAN ABELLÓ I BUFÍ
1805,CA,JOAN D ÀUSTRIA,DE JOAN D ÀUSTRIA
1810,CA,JOAN DUCH,DE JOAN DUCH
1815,CA,JOAN MONPEÓ,DE JOAN MONPEÓ
1816,PL,JOAN SANTAMARIA,DE JOAN SANTAMARIA
1825,CA,JOAN XXIII,DE JOAN XXIII
1830,CA,XÚQUER,DEL XÚQUER
1836,CA,JÚPITER,DE JÚPITER
