VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2008,5,14,1588,1153,13,2,1138
G,Eleccions Generals                      ,2008,6,14,707,466,9,0,457
G,Eleccions Generals                      ,2008,1,15,932,722,11,3,708
G,Eleccions Generals                      ,2008,2,15,650,336,1,0,335
G,Eleccions Generals                      ,2008,3,15,818,586,10,7,569
G,Eleccions Generals                      ,2008,4,15,832,601,13,0,588
G,Eleccions Generals                      ,2008,5,15,1505,985,9,3,973
G,Eleccions Generals                      ,2008,1,16,1754,1285,19,13,1253
G,Eleccions Generals                      ,2008,2,16,985,689,13,2,674
G,Eleccions Generals                      ,2008,3,16,630,426,4,1,421
G,Eleccions Generals                      ,2008,4,16,939,745,15,4,726
G,Eleccions Generals                      ,2008,5,16,1732,1204,11,8,1185
G,Eleccions Generals                      ,2008,6,16,954,619,6,11,602
G,Eleccions Generals                      ,2008,1,17,1665,1296,29,11,1256
G,Eleccions Generals                      ,2008,3,17,919,641,7,5,629
G,Eleccions Generals                      ,2008,4,17,991,769,11,2,756
G,Eleccions Generals                      ,2008,5,17,1295,908,6,1,901
G,Eleccions Generals                      ,2008,1,18,414,305,5,2,298
G,Eleccions Generals                      ,2008,3,18,800,565,9,1,555
G,Eleccions Generals                      ,2008,4,18,1502,1133,18,6,1109
G,Eleccions Generals                      ,2008,5,18,1052,783,11,1,771
G,Eleccions Generals                      ,2008,6,18,512,354,1,0,353
G,Eleccions Generals                      ,2008,1,19,912,669,9,7,653
G,Eleccions Generals                      ,2008,3,19,960,666,10,6,650
G,Eleccions Generals                      ,2008,4,19,919,660,4,2,654
G,Eleccions Generals                      ,2008,5,19,2232,1511,19,0,1492
G,Eleccions Generals                      ,2008,6,19,479,304,7,1,296
G,Eleccions Generals                      ,2008,1,20,843,659,8,0,651
G,Eleccions Generals                      ,2008,3,20,1204,798,6,0,792
G,Eleccions Generals                      ,2008,4,20,532,364,5,2,357
G,Eleccions Generals                      ,2008,5,20,1149,831,31,2,798
G,Eleccions Generals                      ,2008,6,20,495,333,2,1,330
