VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2015,3,12,1753,1258,9,8,1241
G,Eleccions Generals                      ,2015,4,12,996,719,6,9,704
G,Eleccions Generals                      ,2015,5,12,581,412,5,0,407
G,Eleccions Generals                      ,2015,6,12,915,641,3,1,637
G,Eleccions Generals                      ,2015,1,13,620,453,5,5,443
G,Eleccions Generals                      ,2015,4,13,1173,896,2,2,892
G,Eleccions Generals                      ,2015,5,13,1155,753,5,5,743
G,Eleccions Generals                      ,2015,6,13,709,530,0,0,530
G,Eleccions Generals                      ,2015,1,14,1590,1141,7,8,1126
G,Eleccions Generals                      ,2015,2,14,1416,1045,8,6,1031
G,Eleccions Generals                      ,2015,3,14,1110,692,2,7,683
G,Eleccions Generals                      ,2015,4,14,968,768,4,4,760
G,Eleccions Generals                      ,2015,5,14,1575,1140,9,11,1120
G,Eleccions Generals                      ,2015,6,14,706,446,4,2,440
G,Eleccions Generals                      ,2015,1,15,894,672,2,0,670
G,Eleccions Generals                      ,2015,2,15,584,323,0,1,322
G,Eleccions Generals                      ,2015,3,15,939,702,5,4,693
G,Eleccions Generals                      ,2015,4,15,855,633,7,2,624
G,Eleccions Generals                      ,2015,5,15,1477,1003,4,9,990
G,Eleccions Generals                      ,2015,1,16,1865,1428,20,5,1403
G,Eleccions Generals                      ,2015,2,16,1309,931,5,5,921
G,Eleccions Generals                      ,2015,3,16,637,440,0,3,437
G,Eleccions Generals                      ,2015,4,16,953,748,6,4,738
G,Eleccions Generals                      ,2015,5,16,1909,1316,11,5,1300
G,Eleccions Generals                      ,2015,6,16,1121,721,5,6,710
G,Eleccions Generals                      ,2015,1,17,1666,1262,10,3,1249
G,Eleccions Generals                      ,2015,2,17,1256,853,2,2,849
G,Eleccions Generals                      ,2015,3,17,879,590,2,6,582
G,Eleccions Generals                      ,2015,4,17,1126,885,8,3,874
G,Eleccions Generals                      ,2015,5,17,1268,984,6,2,976
G,Eleccions Generals                      ,2015,1,18,431,352,2,1,349
G,Eleccions Generals                      ,2015,3,18,741,565,4,6,555
G,Eleccions Generals                      ,2015,4,18,1841,1351,7,8,1336
G,Eleccions Generals                      ,2015,5,18,983,752,1,3,748
G,Eleccions Generals                      ,2015,6,18,909,606,9,1,596
G,Eleccions Generals                      ,2015,1,19,1128,857,3,2,852
G,Eleccions Generals                      ,2015,3,19,907,600,2,2,596
G,Eleccions Generals                      ,2015,4,19,899,645,5,9,631
G,Eleccions Generals                      ,2015,5,19,832,609,4,1,604
G,Eleccions Generals                      ,2015,1,20,1018,841,3,1,837
G,Eleccions Generals                      ,2015,3,20,1174,826,3,2,821
G,Eleccions Generals                      ,2015,4,20,545,336,0,4,332
G,Eleccions Generals                      ,2015,5,20,1191,875,6,3,866
G,Eleccions Generals                      ,2015,6,20,1174,720,8,7,705
G,Eleccions Generals                      ,2015,1,21,1098,813,5,0,808
G,Eleccions Generals                      ,2015,4,21,778,546,5,1,540
G,Eleccions Generals                      ,2015,5,21,1405,1072,4,5,1063
G,Eleccions Generals                      ,2015,1,22,1411,1095,4,5,1086
G,Eleccions Generals                      ,2015,4,22,1573,1165,3,6,1156
G,Eleccions Generals                      ,2015,5,22,546,385,2,0,383
G,Eleccions Generals                      ,2015,1,23,946,785,2,4,779
G,Eleccions Generals                      ,2015,4,23,1525,1128,4,8,1116
G,Eleccions Generals                      ,2015,5,23,1276,957,9,5,943
G,Eleccions Generals                      ,2015,6,23,996,693,8,0,685
G,Eleccions Generals                      ,2015,1,24,627,511,2,3,506
G,Eleccions Generals                      ,2015,4,24,1525,1068,8,1,1059
G,Eleccions Generals                      ,2015,5,24,1164,844,7,2,835
G,Eleccions Generals                      ,2015,6,24,1801,1300,10,6,1284
G,Eleccions Generals                      ,2015,4,25,884,622,1,0,621
G,Eleccions Generals                      ,2015,5,25,871,667,10,1,656
G,Eleccions Generals                      ,2015,6,25,1379,978,13,1,964
G,Eleccions Generals                      ,2015,4,26,1038,777,2,5,770
G,Eleccions Generals                      ,2015,5,26,988,766,1,5,760
G,Eleccions Generals                      ,2015,6,26,1207,836,2,2,832
G,Eleccions Generals                      ,2015,5,27,946,727,3,3,721
G,Eleccions Generals                      ,2015,6,27,971,663,6,5,652
G,Eleccions Generals                      ,2015,5,28,877,683,4,5,674
G,Eleccions Generals                      ,2015,6,28,1188,888,3,6,879
G,Eleccions Generals                      ,2015,5,29,856,668,4,2,662
G,Eleccions Generals                      ,2015,6,29,768,564,3,0,561
G,Eleccions Generals                      ,2015,6,30,542,402,2,3,397
G,Eleccions Generals                      ,2015,6,31,736,480,2,3,475
G,Eleccions Generals                      ,2015,6,32,545,370,1,3,366
G,Eleccions Generals                      ,2015,6,33,1005,777,10,5,762
G,Eleccions Generals                      ,2016,1,1,1032,768,7,4,757
G,Eleccions Generals                      ,2016,2,1,1061,675,2,1,672
G,Eleccions Generals                      ,2016,3,1,1325,892,2,2,888
G,Eleccions Generals                      ,2016,4,1,1118,746,6,1,739
G,Eleccions Generals                      ,2016,5,1,1519,1023,9,5,1009
G,Eleccions Generals                      ,2016,6,1,882,595,7,4,584
G,Eleccions Generals                      ,2016,1,2,1092,766,6,0,760
G,Eleccions Generals                      ,2016,2,2,487,253,0,3,250
G,Eleccions Generals                      ,2016,3,2,1061,737,3,1,733
G,Eleccions Generals                      ,2016,4,2,1111,733,5,6,722
G,Eleccions Generals                      ,2016,5,2,1085,709,6,4,699
G,Eleccions Generals                      ,2016,6,2,1165,715,5,7,703
G,Eleccions Generals                      ,2016,2,3,788,458,2,2,454
G,Eleccions Generals                      ,2016,3,3,1155,736,1,2,733
G,Eleccions Generals                      ,2016,4,3,1234,837,8,5,824
G,Eleccions Generals                      ,2016,5,3,1486,975,8,5,962
G,Eleccions Generals                      ,2016,6,3,1483,918,11,6,901
G,Eleccions Generals                      ,2016,1,4,1541,1096,10,3,1083
G,Eleccions Generals                      ,2016,2,4,679,403,3,3,397
G,Eleccions Generals                      ,2016,3,4,961,546,4,0,542
G,Eleccions Generals                      ,2016,4,4,1103,753,6,7,740
G,Eleccions Generals                      ,2016,5,4,1187,823,3,5,815
G,Eleccions Generals                      ,2016,6,4,857,527,2,1,524
G,Eleccions Generals                      ,2016,1,5,996,704,7,4,693
G,Eleccions Generals                      ,2016,2,5,820,492,4,2,486
G,Eleccions Generals                      ,2016,3,5,1615,1049,5,5,1039
G,Eleccions Generals                      ,2016,4,5,1253,792,11,5,776
G,Eleccions Generals                      ,2016,5,5,761,500,7,4,489
G,Eleccions Generals                      ,2016,6,5,1088,675,2,7,666
G,Eleccions Generals                      ,2016,1,6,1173,855,10,7,838
G,Eleccions Generals                      ,2016,2,6,714,434,3,4,427
G,Eleccions Generals                      ,2016,3,6,1468,1012,7,2,1003
G,Eleccions Generals                      ,2016,4,6,1395,934,9,4,921
G,Eleccions Generals                      ,2016,5,6,1547,1083,18,6,1059
G,Eleccions Generals                      ,2016,6,6,1125,716,3,6,707
G,Eleccions Generals                      ,2016,1,7,1333,916,5,1,910
G,Eleccions Generals                      ,2016,3,7,1647,1108,11,3,1094
G,Eleccions Generals                      ,2016,4,7,1882,1123,8,4,1111
G,Eleccions Generals                      ,2016,5,7,877,654,9,2,643
G,Eleccions Generals                      ,2016,1,8,1885,1317,12,7,1298
G,Eleccions Generals                      ,2016,2,8,698,453,4,0,449
G,Eleccions Generals                      ,2016,3,8,1547,951,4,6,941
G,Eleccions Generals                      ,2016,4,8,944,636,6,6,624
G,Eleccions Generals                      ,2016,5,8,1443,958,13,5,940
G,Eleccions Generals                      ,2016,6,8,1617,1104,13,11,1080
G,Eleccions Generals                      ,2016,1,9,1042,728,1,2,725
G,Eleccions Generals                      ,2016,2,9,1083,675,8,0,667
G,Eleccions Generals                      ,2016,3,9,1935,1338,7,2,1329
G,Eleccions Generals                      ,2016,4,9,748,441,3,2,436
G,Eleccions Generals                      ,2016,5,9,1346,966,5,3,958
G,Eleccions Generals                      ,2016,6,9,861,587,9,0,578
G,Eleccions Generals                      ,2016,1,10,944,686,8,3,675
G,Eleccions Generals                      ,2016,3,10,1521,931,10,7,914
G,Eleccions Generals                      ,2016,4,10,721,444,1,2,441
G,Eleccions Generals                      ,2016,5,10,1424,943,8,6,929
G,Eleccions Generals                      ,2016,6,10,1578,1120,2,11,1107
G,Eleccions Generals                      ,2016,1,11,909,629,5,3,621
G,Eleccions Generals                      ,2016,2,11,784,485,4,0,481
G,Eleccions Generals                      ,2016,3,11,1150,606,13,2,591
G,Eleccions Generals                      ,2016,5,11,1458,1001,9,7,985
G,Eleccions Generals                      ,2016,6,11,1276,751,8,4,739
G,Eleccions Generals                      ,2016,1,12,1100,752,1,0,751
G,Eleccions Generals                      ,2016,2,12,692,363,1,1,361
G,Eleccions Generals                      ,2016,3,12,1751,1147,9,8,1130
G,Eleccions Generals                      ,2016,4,12,987,673,8,9,656
G,Eleccions Generals                      ,2016,5,12,581,384,3,0,381
G,Eleccions Generals                      ,2016,6,12,919,600,4,3,593
G,Eleccions Generals                      ,2016,1,13,615,423,6,2,415
G,Eleccions Generals                      ,2016,4,13,1173,811,9,4,798
G,Eleccions Generals                      ,2016,5,13,1149,687,6,3,678
G,Eleccions Generals                      ,2016,6,13,701,457,5,3,449
G,Eleccions Generals                      ,2016,1,14,1613,1091,13,10,1068
G,Eleccions Generals                      ,2016,2,14,1436,968,13,4,951
G,Eleccions Generals                      ,2016,3,14,1082,619,0,5,614
G,Eleccions Generals                      ,2016,4,14,956,718,7,0,711
G,Eleccions Generals                      ,2016,5,14,1564,1058,7,12,1039
G,Eleccions Generals                      ,2016,6,14,704,401,3,3,395
G,Eleccions Generals                      ,2016,1,15,897,612,10,2,600
G,Eleccions Generals                      ,2016,2,15,575,253,1,0,252
G,Eleccions Generals                      ,2016,3,15,947,646,4,3,639
G,Eleccions Generals                      ,2016,4,15,835,577,2,3,572
G,Eleccions Generals                      ,2016,5,15,1469,913,11,3,899
G,Eleccions Generals                      ,2016,1,16,1863,1333,19,6,1308
G,Eleccions Generals                      ,2016,2,16,1313,872,10,7,855
G,Eleccions Generals                      ,2016,3,16,630,390,0,0,390
G,Eleccions Generals                      ,2016,4,16,946,696,9,5,682
G,Eleccions Generals                      ,2016,5,16,1891,1194,11,4,1179
G,Eleccions Generals                      ,2016,6,16,1123,627,3,3,621
G,Eleccions Generals                      ,2016,1,17,1636,1163,11,3,1149
G,Eleccions Generals                      ,2016,2,17,1261,746,5,12,729
G,Eleccions Generals                      ,2016,3,17,872,531,5,4,522
G,Eleccions Generals                      ,2016,4,17,1123,827,4,0,823
G,Eleccions Generals                      ,2016,5,17,1292,881,10,1,870
G,Eleccions Generals                      ,2016,1,18,444,337,2,2,333
G,Eleccions Generals                      ,2016,3,18,747,510,4,4,502
G,Eleccions Generals                      ,2016,4,18,1874,1281,2,5,1274
G,Eleccions Generals                      ,2016,5,18,975,678,3,2,673
G,Eleccions Generals                      ,2016,6,18,908,555,3,0,552
G,Eleccions Generals                      ,2016,1,19,1122,786,12,4,770
G,Eleccions Generals                      ,2016,3,19,906,532,3,3,526
G,Eleccions Generals                      ,2016,4,19,892,579,4,6,569
G,Eleccions Generals                      ,2016,5,19,848,557,6,1,550
G,Eleccions Generals                      ,2016,1,20,1021,781,1,2,778
G,Eleccions Generals                      ,2016,3,20,1194,748,9,7,732
G,Eleccions Generals                      ,2016,4,20,534,286,4,3,279
G,Eleccions Generals                      ,2016,5,20,1173,823,10,5,808
G,Eleccions Generals                      ,2016,6,20,1160,664,9,1,654
G,Eleccions Generals                      ,2016,1,21,1085,751,7,8,736
G,Eleccions Generals                      ,2016,4,21,758,488,9,0,479
G,Eleccions Generals                      ,2016,5,21,1420,955,6,4,945
G,Eleccions Generals                      ,2016,1,22,1413,994,11,6,977
G,Eleccions Generals                      ,2016,4,22,1570,1044,8,4,1032
G,Eleccions Generals                      ,2016,5,22,542,355,4,1,350
G,Eleccions Generals                      ,2016,1,23,944,750,1,1,748
G,Eleccions Generals                      ,2016,4,23,1539,1062,7,5,1050
G,Eleccions Generals                      ,2016,5,23,1290,879,10,4,865
G,Eleccions Generals                      ,2016,6,23,989,603,1,0,602
G,Eleccions Generals                      ,2016,1,24,633,496,2,2,492
G,Eleccions Generals                      ,2016,4,24,1541,988,6,5,977
G,Eleccions Generals                      ,2016,5,24,1184,806,7,4,795
G,Eleccions Generals                      ,2016,6,24,1809,1151,14,5,1132
G,Eleccions Generals                      ,2016,4,25,883,569,5,2,562
G,Eleccions Generals                      ,2016,5,25,870,573,5,5,563
G,Eleccions Generals                      ,2016,6,25,1371,872,4,6,862
G,Eleccions Generals                      ,2016,4,26,1045,717,5,4,708
G,Eleccions Generals                      ,2016,5,26,986,706,2,7,697
G,Eleccions Generals                      ,2016,6,26,1204,755,3,1,751
G,Eleccions Generals                      ,2016,5,27,948,710,4,3,703
G,Eleccions Generals                      ,2016,6,27,965,576,8,1,567
G,Eleccions Generals                      ,2016,5,28,882,605,4,4,597
G,Eleccions Generals                      ,2016,6,28,1196,810,5,11,794
G,Eleccions Generals                      ,2016,5,29,861,618,3,1,614
G,Eleccions Generals                      ,2016,6,29,768,502,8,4,490
G,Eleccions Generals                      ,2016,6,30,529,352,4,1,347
G,Eleccions Generals                      ,2016,6,31,730,437,8,1,428
G,Eleccions Generals                      ,2016,6,32,551,314,2,0,312
G,Eleccions Generals                      ,2016,6,33,1005,694,7,12,675
