DISTRICTE,BARRI,TIPUS_VEHICLE,TOTAL
Districte 3,Guadalhorce                             ,Ciclomotors,18
Districte 5,Torrent D En Pere Parres                ,Tractors,12
Districte 3,Can Parellada                           ,Autobusos,1
Districte 3,Les Fonts                               ,Remolcs,24
Districte 3,Can Palet                               ,Desconegut,1
Districte 1,Antic Poble De Sant Pere                ,Ciclomotors,10
Districte 3,Guadalhorce                             ,Remolcs,4
Districte 5,Disseminats                             ,Tractors,7
Districte 3,P.I. Santa Margarida                    ,Tractors,70
Districte 3,P.I. Santa Eulàlia                      ,Tractors,22
Districte 3,P.I. Santa Eulàlia                      ,Remolcs,12
Districte 4,Disseminats                             ,Motocicletes,1
Districte 4,La Maurina                              ,Desconegut,1
Districte 3,Disseminats                             ,Motocicletes,1
Districte 5,Poble Nou - Zona Esportiva              ,Desconegut,1
Districte 4,La Maurina                              ,Turismes,2909
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Turismes,6429
Districte 6,Can Tusell                              ,Turismes,870
Districte 3,Can Palet                               ,Motocicletes,648
Districte 3,Can Parellada                           ,Turismes,2802
Districte 5,Can Boada Casc Antic                    ,Motocicletes,401
Districte 3,Segle Xx                                ,Motocicletes,493
Districte 4,Can Palet De Vista Alegre               ,Motocicletes,188
Districte 5,Can Boada Casc Antic                    ,Ciclomotors,132
Districte 5,Poble Nou - Zona Esportiva              ,Ciclomotors,315
Districte 2,Disseminats                             ,Turismes,99
Districte 6,Disseminats                             ,Turismes,27
Districte 3,Guadalhorce                             ,Turismes,456
Districte 6,Sant Pere Nord                          ,Tractors,63
Districte 6,Ègara                                   ,Motocicletes,215
Districte 3,Xúquer                                  ,Motocicletes,53
Districte 3,Xúquer                                  ,Camions,52
Districte 6,Can Tusell                              ,Camions,96
Districte 5,Sant Pere                               ,Remolcs,109
Districte 6,Sant Llorenç                            ,Remolcs,22
Districte 2,Ca N Anglada                            ,Tractors,41
Districte 6,Disseminats                             ,Ciclomotors,5
Districte 1,Vallparadís                             ,Autobusos,2
Districte 5,Can Boada Del Pi                        ,Camions,68
Districte 2,Disseminats                             ,Remolcs,8
Districte 4,La Maurina                              ,Tractors,31
Districte 1,Antic Poble De Sant Pere                ,Camions,39
Districte 4,Disseminats                             ,Ciclomotors,3
Districte 5,Pla Del Bon Aire - El Garrot            ,Ciclomotors,9
Districte 4,Can Palet De Vista Alegre               ,Remolcs,23
Districte 5,Can Gonteres                            ,Ciclomotors,10
Districte 6,Font De L Espardenyera                  ,Ciclomotors,6
Districte 2,Torre-Sana                              ,Tractors,21
Districte 5,Pla Del Bon Aire                        ,Tractors,10
Districte 3,P.I. Santa Margarida                    ,Ciclomotors,13
Districte 6,Font De L Espardenyera                  ,Motocicletes,15
Districte 3,Xúquer                                  ,Remolcs,10
Districte 3,Can Jofresa                             ,Tractors,10
Districte 6,Disseminats                             ,Motocicletes,5
Districte 6,P.I. Can Petit                          ,Tractors,50
Districte 3,P.I. Can Parellada                      ,Ciclomotors,6
Districte 3,P.I. Els Bellots                        ,Turismes,118
Districte 3,P.I. Can Guitard                        ,Turismes,38
Districte 6,Font De L Espardenyera                  ,Tractors,2
Districte 4,Disseminats                             ,Remolcs,2
Districte 4,Ca N Aurell                             ,Autobusos,2
Districte 2,Ca N Anglada                            ,Autobusos,4
Districte 3,Segle Xx                                ,Desconegut,1
Districte 3,Segle Xx                                ,Turismes,2990
Districte 2,Torre-Sana                              ,Turismes,2517
Districte 2,Torre-Sana                              ,Remolcs,39
Districte 4,Les Martines                            ,Turismes,283
Districte 2,Ca N Anglada                            ,Turismes,4188
Districte 5,Can Boada Del Pi                        ,Turismes,578
Districte 4,La Cogullada                            ,Camions,291
Districte 6,Sant Llorenç                            ,Camions,177
Districte 5,Can Boada Casc Antic                    ,Camions,280
Districte 5,Pla Del Bon Aire                        ,Ciclomotors,79
