CODI_CARRER,NOM_CARRER,CODI_POSTAL,NRO_MAX,NRO_MIN
1455,"GIRONA, DE                    ",08227,9,15
1455,"GIRONA, DE                    ",08229,70,110
1460,"GIBERT, DE                    ",08223,1,28
1465,"PONENT, DE                    ",08224,0,155
1465,"PONENT, DE                    ",08225,15,366
1470,"GIJÓN, DE                     ",08227,1,39
1475,"GINESTA, DE LA                ",08228,1,32
1480,"GIRALT I SERRÀ, DE            ",08221,1,32
1485,"GIRA-SOL, DEL                 ",08228,1,32
1495,"GLÒRIES CATALANES, DE LES     ",08223,0,131
1495,"GLÒRIES CATALANES, DE LES     ",08229,17,234
1500,"GOLETA, DE LA                 ",08221,1,29
1505,"GRÀCIA A MANRESA, DE          ",08228,41,451
1505,"GRÀCIA A MANRESA, DE          ",08229,0,470
1510,"GRANADA, DE                   ",08226,2,120
1520,"GRÀNIUS, DE                   ",08224,1,35
1525,"GRANOLLERS, DE                ",08225,0,4
1530,"GRÈCIA, DE                    ",08228,1,121
1531,"GREGAL, DEL                   ",08226,0,14
1535,"GUADALAJARA, DE               ",08227,0,30
1535,"GUADALAJARA, DE               ",08229,146,148
1545,"GUADALHORCE, DEL              ",08223,0,61
1550,"GUADALQUIVIR, DEL             ",08223,0,39
1555,"GUADARRAMA, DEL               ",08227,7,32
1560,"GUADIANA, DEL                 ",08223,0,30
1575,"GUILLEM DE MUNTANYANS, DE     ",08223,0,208
1575,"GUILLEM DE MUNTANYANS, DE     ",08229,88,88
1580,"GUINEA, DE LA                 ",08228,1,40
1585,"GUIPÚSCOA, DE                 ",08227,1,85
1590,"GUTENBERG, DE                 ",08224,0,35
1591,"HÈRCULES, D                   ",08228,2,49
1595,"GERMÀ JOAQUIM, DEL            ",08223,1,230
1595,"GERMÀ JOAQUIM, DEL            ",08229,0,120
1600,"GERMANS PINZÓN, DELS          ",08225,1,37
1605,"HERNÁN CORTÉS, D              ",08225,1,41
1610,"HISPANITAT, DE LA             ",08225,2,101
1615,"HISTORIADOR CARDÚS, DE L      ",08226,1,244
1615,"HISTORIADOR CARDÚS, DE L      ",08229,164,251
1620,"HOQUEI, DE L                  ",08226,69,197
1630,"HORTÈNSIA, DE L               ",08228,1,33
1635,"HOSPITALET DE LLOBREGAT, DE L ",08225,16,17
1635,"HOSPITALET DE LLOBREGAT, DE L ",08229,0,0
1640,"HUELVA, DE                    ",08226,2,50
1640,"HUELVA, DE                    ",08229,0,0
1645,"OSCA,D                        ",08224,1,36
1650,"IBÁÑEZ DE ALDECOA, D          ",08227,1,82
1650,"IBÁÑEZ DE ALDECOA, D          ",08229,0,0
1650,"IBÁÑEZ DE ALDECOA, D          ",08827,8,8
1655,"EIVISSA, D                    ",08226,3,60
1665,"IGNASI IGLÉSIAS, D            ",08226,1,43
1670,"IGUALADA, D                   ",08223,0,11
1670,"IGUALADA, D                   ",08229,39,39
1675,"IGUALTAT, DE LA               ",08222,2,65
1680,"INDEPENDÈNCIA, DE LA          ",08225,0,401
1685,"INDÚSTRIA, DE LA              ",08221,5,15
1690,"IMMACULADA, DE LA             ",08226,1,15
1695,"ISAAC PERAL, D                ",08224,1,92
1725,"JACINT ELIAS, DE              ",08222,2,190
1730,"JACQUARD, DE                  ",08222,1,107
1735,"JAÉN, DE                      ",08226,2,103
1740,"JAUME I, DE                   ",08226,1,354
1740,"JAUME I, DE                   ",08229,0,265
1745,"JALÓN, DEL                    ",08227,1,6
1750,"JAUME CANTARER, DE            ",08221,0,14
1754,"JOAN MIRÓ, DE                 ",08222,1,25
1755,"JEREZ, DE                     ",08226,1,146
1756,"JILOCA, DEL                   ",08223,2,12
1757,"JOAN MIRÓ, DE                 ",08222,0,0
1760,"JOAQUIN COSTA, DE             ",08222,0,183
1760,"JOAQUIN COSTA, DE             ",08229,141,141
1765,"JOAQUIM DE PAZ, DE            ",08221,1,93
1770,"JOAQUIM DE SAGRERA, DE        ",08224,1,149
1775,"JOSEP FREIXA I ARGEMÍ, DE     ",08224,0,12
1780,"JOSEP MARIA PALAU, DE         ",08226,2,35
1785,"JOSEP O. MAURI POAL, DE       ",08225,1,23
1790,"JOSEP O. MAURI POAL, DE       ",08225,1,7
1791,"JOSEP PLA, DE                 ",08225,2,16
1795,"JOSEP TAPIOLAS, DE            ",08226,1,211
1795,"JOSEP TAPIOLAS, DE            ",08229,245,245
1796,"JOSEP TARRADELLAS, DE         ",08225,0,133
1800,"JOAN ABELLÓ I BUFÍ, DE        ",08221,1,19
1805,"JOAN D ÀUSTRIA, DE            ",08225,1,83
1810,"JOAN DUCH, DE                 ",08221,12,91
1810,"JOAN DUCH, DE                 ",08222,2,80
1815,"JOAN MONPEÓ, DE               ",08223,1,200
1816,"JOAN SANTAMARIA, DE           ",08228,1,1
1816,"JOAN SANTAMARIA, DE           ",08229,0,0
1825,"JOAN XXIII,  DE               ",08227,1,74
1830,"XÚQUER, DEL                   ",08223,0,35
1836,"JÚPITER, DE                   ",08228,2,66
1836,"JÚPITER, DE                   ",08229,0,0
1837,"KENYA, DE                     ",08228,1,21
1838,"ALZINA,DE L                   ",08225,1,6
1840,"AUTONOMIA, DE L               ",08225,1,153
1840,"AUTONOMIA, DE L               ",08226,130,161
1841,"AVET, DE L                    ",08225,1,12
1842,AUTOPISTA C-58                ,08224,17,23
1842,AUTOPISTA C-58                ,08227,17,18
1842,AUTOPISTA C-58                ,08228,16,20
1842,AUTOPISTA C-58                ,08229,0,0
1843,AUTOPISTA C-16                ,08224,1,24
