DATA_REFERENCIA,DISTRICTE,EDAT,SEXE,POBLACIO
2012,DISTRICTE 5,68,Home,203
2016,DISTRICTE 3,3,Dona,228
2015,DISTRICTE 4,69,Home,150
2017,DISTRICTE 5,74,Home,156
2012,DISTRICTE 2,75,Home,41
2016,DISTRICTE 3,75,Home,95
2017,DISTRICTE 1,79,Home,92
2011,DISTRICTE 6,87,Dona,71
2014,DISTRICTE 4,67,Home,151
2012,DISTRICTE 2,3,Dona,205
2013,DISTRICTE 4,70,Home,107
2014,DISTRICTE 5,30,Home,284
2017,DISTRICTE 4,93,Home,11
2017,DISTRICTE 2,11,Dona,130
2012,DISTRICTE 3,86,Home,25
2011,DISTRICTE 1,12,Home,164
2012,DISTRICTE 5,73,Dona,154
2011,DISTRICTE 6,8,Home,211
2016,DISTRICTE 4,27,Home,190
2015,DISTRICTE 6,87,Home,43
2011,DISTRICTE 5,89,Home,22
2016,DISTRICTE 2,56,Dona,97
2013,DISTRICTE 5,90,Dona,60
2011,DISTRICTE 5,47,Dona,309
2017,DISTRICTE 6,81,Home,85
2011,DISTRICTE 4,65,Dona,215
2017,DISTRICTE 3,66,Dona,182
2016,DISTRICTE 4,15,Home,217
2017,DISTRICTE 6,62,Dona,197
2011,DISTRICTE 2,29,Home,269
2016,DISTRICTE 5,93,Dona,38
2014,DISTRICTE 4,93,Dona,26
2016,DISTRICTE 1,63,Home,153
2017,DISTRICTE 6,57,Home,254
2015,DISTRICTE 1,51,Dona,269
2016,DISTRICTE 1,21,Dona,166
2015,DISTRICTE 4,53,Dona,248
2017,DISTRICTE 1,63,Dona,194
2015,DISTRICTE 1,46,Home,289
2014,DISTRICTE 1,53,Home,226
2011,DISTRICTE 3,98,Dona,2
2016,DISTRICTE 4,20,Dona,171
2016,DISTRICTE 5,88,Home,53
2015,DISTRICTE 5,85,Home,67
2013,DISTRICTE 2,41,Home,205
2015,DISTRICTE 2,28,Home,155
2016,DISTRICTE 5,5,Home,259
2014,DISTRICTE 3,16,Dona,146
2016,DISTRICTE 4,98,Home,1
2014,DISTRICTE 2,27,Dona,159
2014,DISTRICTE 1,64,Dona,183
2014,DISTRICTE 2,69,Home,67
2016,DISTRICTE 5,10,Dona,235
2014,DISTRICTE 4,10,Dona,230
2013,DISTRICTE 3,68,Home,130
2016,DISTRICTE 1,104,Dona,2
2011,DISTRICTE 3,15,Dona,159
2016,DISTRICTE 6,49,Home,304
2016,DISTRICTE 6,54,Dona,252
2011,DISTRICTE 3,10,Home,151
2013,DISTRICTE 2,46,Dona,138
2013,DISTRICTE 1,33,Home,271
2013,DISTRICTE 3,73,Dona,97
2017,DISTRICTE 4,86,Dona,109
2011,DISTRICTE 4,72,Home,104
2011,DISTRICTE 4,77,Dona,172
2017,DISTRICTE 2,68,Home,90
2013,DISTRICTE 2,34,Dona,217
2012,DISTRICTE 6,70,Dona,121
2016,DISTRICTE 5,17,Home,220
2011,DISTRICTE 3,93,Home,4
2012,DISTRICTE 3,74,Home,97
2015,DISTRICTE 6,30,Dona,257
2012,DISTRICTE 2,98,Dona,1
2013,DISTRICTE 6,68,Dona,194
2017,DISTRICTE 3,78,Dona,91
2014,DISTRICTE 6,44,Home,335
2012,DISTRICTE 3,79,Dona,95
2017,DISTRICTE 6,74,Dona,140
2017,DISTRICTE 4,81,Home,90
2012,DISTRICTE 4,58,Dona,198
2014,DISTRICTE 1,65,Home,179
2012,DISTRICTE 5,61,Dona,251
2016,DISTRICTE 3,98,Dona,2
2011,DISTRICTE 6,75,Dona,160
2013,DISTRICTE 4,93,Dona,19
2011,DISTRICTE 1,85,Dona,95
2012,DISTRICTE 4,53,Home,243
2015,DISTRICTE 6,68,Dona,148
2014,DISTRICTE 4,43,Home,373
2013,DISTRICTE 2,53,Home,123
2015,DISTRICTE 1,1,Home,208
2014,DISTRICTE 4,48,Dona,284
2012,DISTRICTE 4,96,Dona,12
2015,DISTRICTE 3,30,Home,229
2013,DISTRICTE 3,30,Home,286
2011,DISTRICTE 6,58,Home,210
2013,DISTRICTE 3,35,Dona,329
2017,DISTRICTE 3,70,Home,114
2017,DISTRICTE 3,28,Dona,203
2012,DISTRICTE 4,91,Home,18
2016,DISTRICTE 6,42,Dona,344
2015,DISTRICTE 4,41,Dona,364
2017,DISTRICTE 4,3,Dona,199
2016,DISTRICTE 1,51,Home,241
2015,DISTRICTE 2,78,Dona,87
2016,DISTRICTE 1,9,Dona,203
2013,DISTRICTE 1,78,Home,85
2015,DISTRICTE 1,89,Dona,69
2015,DISTRICTE 2,73,Home,40
2012,DISTRICTE 2,37,Home,246
2015,DISTRICTE 4,36,Home,360
2017,DISTRICTE 1,51,Dona,270
2014,DISTRICTE 1,19,Dona,153
2013,DISTRICTE 4,32,Home,338
2016,DISTRICTE 4,8,Dona,247
2015,DISTRICTE 1,84,Home,59
2013,DISTRICTE 1,83,Dona,120
2012,DISTRICTE 3,48,Home,245
2014,DISTRICTE 1,91,Home,20
2011,DISTRICTE 3,60,Dona,192
2015,DISTRICTE 5,47,Home,387
2015,DISTRICTE 1,77,Dona,135
2014,DISTRICTE 5,95,Dona,19
2012,DISTRICTE 1,30,Home,272
2012,DISTRICTE 6,82,Dona,110
2012,DISTRICTE 3,36,Home,375
2014,DISTRICTE 2,39,Dona,174
2014,DISTRICTE 2,81,Home,48
2014,DISTRICTE 6,82,Home,83
2014,DISTRICTE 3,54,Dona,197
2016,DISTRICTE 2,18,Home,110
2012,DISTRICTE 3,41,Dona,253
2017,DISTRICTE 6,36,Dona,337
2012,DISTRICTE 6,77,Home,82
2016,DISTRICTE 1,92,Dona,51
2014,DISTRICTE 1,102,Dona,3
2015,DISTRICTE 1,72,Home,107
2015,DISTRICTE 2,85,Home,28
2013,DISTRICTE 1,0,Dona,196
2011,DISTRICTE 4,27,Home,248
2012,DISTRICTE 5,23,Dona,244
2013,DISTRICTE 4,20,Home,216
2016,DISTRICTE 6,37,Home,457
2011,DISTRICTE 4,32,Dona,354
2011,DISTRICTE 1,47,Dona,248
2011,DISTRICTE 6,63,Dona,179
2013,DISTRICTE 6,18,Home,203
2017,DISTRICTE 4,74,Dona,141
2013,DISTRICTE 6,23,Dona,197
2012,DISTRICTE 4,13,Dona,169
2017,DISTRICTE 6,31,Home,261
2017,DISTRICTE 2,30,Home,157
2014,DISTRICTE 6,4,Dona,252
2011,DISTRICTE 5,97,Dona,7
2014,DISTRICTE 6,16,Dona,189
2015,DISTRICTE 2,61,Home,83
2017,DISTRICTE 3,82,Home,52
2011,DISTRICTE 6,46,Home,312
2013,DISTRICTE 3,23,Dona,178
2017,DISTRICTE 3,40,Dona,316
2016,DISTRICTE 2,89,Home,10
2016,DISTRICTE 4,65,Home,170
2014,DISTRICTE 1,31,Dona,252
2012,DISTRICTE 6,6,Home,258
2015,DISTRICTE 3,42,Home,304
2013,DISTRICTE 1,71,Dona,132
2015,DISTRICTE 6,75,Home,80
2012,DISTRICTE 2,49,Home,146
2017,DISTRICTE 5,55,Dona,336
2016,DISTRICTE 2,94,Dona,6
2015,DISTRICTE 6,80,Dona,129
2015,DISTRICTE 1,96,Home,4
2014,DISTRICTE 4,60,Dona,195
2011,DISTRICTE 2,67,Dona,70
2014,DISTRICTE 5,12,Dona,208
2011,DISTRICTE 4,39,Home,433
2014,DISTRICTE 5,54,Home,286
2012,DISTRICTE 5,80,Home,114
2011,DISTRICTE 5,6,Home,254
2014,DISTRICTE 3,66,Dona,147
2012,DISTRICTE 1,23,Dona,185
2012,DISTRICTE 6,89,Home,19
2015,DISTRICTE 3,47,Dona,246
2015,DISTRICTE 5,40,Dona,453
2015,DISTRICTE 5,35,Home,329
2016,DISTRICTE 1,39,Home,318
2012,DISTRICTE 1,18,Home,147
2015,DISTRICTE 2,66,Dona,78
2014,DISTRICTE 3,61,Home,183
2014,DISTRICTE 4,55,Home,227
2015,DISTRICTE 4,98,Home,2
2013,DISTRICTE 5,14,Home,215
2017,DISTRICTE 2,23,Dona,104
2017,DISTRICTE 1,39,Dona,319
2015,DISTRICTE 4,24,Home,201
2013,DISTRICTE 6,35,Dona,386
2017,DISTRICTE 1,34,Home,234
2017,DISTRICTE 2,18,Home,107
2014,DISTRICTE 6,94,Home,3
2012,DISTRICTE 3,29,Dona,305
2012,DISTRICTE 4,25,Dona,244
2013,DISTRICTE 6,30,Home,324
2017,DISTRICTE 6,24,Dona,215
2013,DISTRICTE 4,43,Dona,319
2011,DISTRICTE 1,35,Dona,361
2013,DISTRICTE 5,97,Home,1
2014,DISTRICTE 6,99,Dona,3
2014,DISTRICTE 5,83,Dona,126
2017,DISTRICTE 6,19,Home,218
2012,DISTRICTE 3,24,Home,205
2016,DISTRICTE 2,6,Home,199
2012,DISTRICTE 1,94,Dona,29
2016,DISTRICTE 3,63,Home,181
2016,DISTRICTE 2,11,Dona,129
2013,DISTRICTE 4,101,Dona,4
2017,DISTRICTE 2,29,Home,141
2011,DISTRICTE 3,90,Dona,35
2017,DISTRICTE 3,97,Home,2
2014,DISTRICTE 5,14,Dona,214
2017,DISTRICTE 5,85,Home,83
2013,DISTRICTE 1,79,Dona,141
2011,DISTRICTE 1,43,Dona,292
2011,DISTRICTE 3,85,Home,29
2011,DISTRICTE 6,36,Dona,382
2015,DISTRICTE 3,82,Dona,80
2014,DISTRICTE 4,21,Dona,166
2014,DISTRICTE 2,77,Home,33
2015,DISTRICTE 4,45,Dona,316
2015,DISTRICTE 6,70,Home,148
2014,DISTRICTE 1,98,Home,5
2017,DISTRICTE 6,89,Home,31
2014,DISTRICTE 1,103,Dona,1
2015,DISTRICTE 6,75,Dona,110
2014,DISTRICTE 3,58,Dona,206
2016,DISTRICTE 2,39,Dona,207
2012,DISTRICTE 3,43,Dona,254
2011,DISTRICTE 3,2,Home,268
2014,DISTRICTE 3,53,Home,195
2011,DISTRICTE 2,37,Home,270
2013,DISTRICTE 2,86,Home,19
2011,DISTRICTE 6,34,Home,461
2012,DISTRICTE 4,69,Dona,148
2013,DISTRICTE 6,22,Home,219
2014,DISTRICTE 5,62,Home,239
2012,DISTRICTE 2,67,Home,68
2016,DISTRICTE 1,99,Dona,2
2017,DISTRICTE 4,50,Dona,313
2014,DISTRICTE 5,97,Dona,8
2016,DISTRICTE 5,95,Dona,23
2017,DISTRICTE 2,34,Dona,178
2012,DISTRICTE 5,50,Dona,340
2017,DISTRICTE 5,2,Home,243
2012,DISTRICTE 3,38,Home,343
2016,DISTRICTE 3,23,Dona,171
2015,DISTRICTE 3,6,Home,256
2016,DISTRICTE 6,10,Home,264
2013,DISTRICTE 2,74,Home,44
2013,DISTRICTE 5,73,Dona,109
2012,DISTRICTE 3,31,Dona,310
2011,DISTRICTE 3,14,Home,152
2011,DISTRICTE 5,73,Dona,174
2016,DISTRICTE 6,15,Dona,199
2011,DISTRICTE 6,22,Home,242
2013,DISTRICTE 3,91,Home,6
2017,DISTRICTE 3,14,Home,160
2014,DISTRICTE 5,50,Home,313
2013,DISTRICTE 2,79,Dona,55
2015,DISTRICTE 1,50,Dona,282
2012,DISTRICTE 4,55,Home,207
2015,DISTRICTE 1,45,Home,269
2016,DISTRICTE 6,98,Dona,4
2015,DISTRICTE 5,74,Home,142
2017,DISTRICTE 1,62,Home,167
2014,DISTRICTE 6,46,Home,327
2016,DISTRICTE 5,19,Home,215
2011,DISTRICTE 1,35,Home,351
2016,DISTRICTE 5,24,Dona,201
2017,DISTRICTE 6,82,Dona,127
2012,DISTRICTE 2,4,Dona,172
2016,DISTRICTE 4,35,Home,326
2013,DISTRICTE 4,31,Home,295
2011,DISTRICTE 1,23,Home,147
2012,DISTRICTE 6,1,Dona,264
2014,DISTRICTE 4,28,Home,239
2017,DISTRICTE 5,28,Dona,252
2011,DISTRICTE 5,59,Home,242
2014,DISTRICTE 4,33,Dona,314
2015,DISTRICTE 4,33,Dona,331
2014,DISTRICTE 3,65,Home,173
2017,DISTRICTE 6,77,Home,73
2017,DISTRICTE 1,43,Dona,320
2012,DISTRICTE 4,81,Dona,163
2017,DISTRICTE 2,22,Dona,116
2017,DISTRICTE 2,17,Home,103
2014,DISTRICTE 6,58,Home,226
2011,DISTRICTE 3,78,Dona,98
2016,DISTRICTE 3,36,Home,319
2013,DISTRICTE 5,47,Home,281
2011,DISTRICTE 6,98,Dona,2
2014,DISTRICTE 1,33,Home,265
2015,DISTRICTE 3,20,Dona,141
2012,DISTRICTE 2,79,Home,58
2012,DISTRICTE 1,48,Home,258
2015,DISTRICTE 2,93,Dona,11
2016,DISTRICTE 1,4,Dona,193
2012,DISTRICTE 2,87,Dona,33
2014,DISTRICTE 5,2,Dona,248
2014,DISTRICTE 2,89,Home,13
2015,DISTRICTE 2,88,Home,12
2012,DISTRICTE 6,84,Dona,104
2015,DISTRICTE 1,69,Home,137
2015,DISTRICTE 3,89,Home,16
2012,DISTRICTE 1,53,Dona,240
2015,DISTRICTE 5,62,Home,233
2017,DISTRICTE 3,26,Home,182
2013,DISTRICTE 3,84,Dona,77
2014,DISTRICTE 6,72,Dona,119
2015,DISTRICTE 1,62,Dona,194
2012,DISTRICTE 4,67,Home,152
2015,DISTRICTE 1,57,Home,234
2016,DISTRICTE 2,13,Home,113
2016,DISTRICTE 1,87,Dona,95
2011,DISTRICTE 4,57,Dona,195
2014,DISTRICTE 2,6,Home,160
2016,DISTRICTE 6,72,Home,152
2016,DISTRICTE 1,52,Home,248
2011,DISTRICTE 3,7,Dona,175
2014,DISTRICTE 2,41,Dona,149
2015,DISTRICTE 5,67,Dona,201
2016,DISTRICTE 2,96,Home,2
2014,DISTRICTE 1,53,Dona,258
2014,DISTRICTE 5,38,Home,454
2014,DISTRICTE 4,16,Home,172
2015,DISTRICTE 6,82,Home,86
2015,DISTRICTE 2,17,Home,107
2017,DISTRICTE 2,10,Dona,142
2016,DISTRICTE 5,31,Home,270
2014,DISTRICTE 1,45,Home,296
2012,DISTRICTE 6,8,Home,280
2015,DISTRICTE 3,18,Home,161
2017,DISTRICTE 3,61,Dona,199
2017,DISTRICTE 1,55,Dona,228
2013,DISTRICTE 3,79,Home,86
2011,DISTRICTE 5,14,Home,207
2016,DISTRICTE 1,28,Home,159
2011,DISTRICTE 6,86,Dona,71
2013,DISTRICTE 4,51,Dona,266
2012,DISTRICTE 4,36,Dona,409
2016,DISTRICTE 2,84,Home,37
2015,DISTRICTE 5,36,Home,395
2012,DISTRICTE 2,99,Dona,1
2014,DISTRICTE 6,13,Home,233
2012,DISTRICTE 5,69,Home,177
2012,DISTRICTE 6,96,Dona,1
2016,DISTRICTE 2,89,Dona,35
2017,DISTRICTE 4,12,Home,218
2013,DISTRICTE 5,97,Dona,5
2017,DISTRICTE 2,67,Dona,80
2012,DISTRICTE 6,91,Home,15
2015,DISTRICTE 3,44,Home,272
2017,DISTRICTE 4,95,Home,7
2013,DISTRICTE 1,98,Home,1
2013,DISTRICTE 2,36,Home,255
2012,DISTRICTE 1,98,Dona,12
2012,DISTRICTE 1,93,Home,9
2017,DISTRICTE 1,31,Dona,214
2016,DISTRICTE 4,28,Dona,229
2013,DISTRICTE 3,53,Home,204
2014,DISTRICTE 6,15,Dona,137
2016,DISTRICTE 4,23,Home,216
2016,DISTRICTE 3,74,Home,85
2014,DISTRICTE 5,12,Home,228
2013,DISTRICTE 5,9,Home,240
2014,DISTRICTE 1,71,Home,111
2017,DISTRICTE 4,100,Dona,3
2013,DISTRICTE 2,41,Dona,151
2015,DISTRICTE 4,19,Home,171
2015,DISTRICTE 1,12,Home,211
2012,DISTRICTE 1,10,Home,186
2016,DISTRICTE 6,65,Dona,180
2014,DISTRICTE 5,0,Home,227
2014,DISTRICTE 4,54,Home,211
2017,DISTRICTE 1,29,Home,169
2011,DISTRICTE 6,72,Home,112
2013,DISTRICTE 2,29,Dona,190
2017,DISTRICTE 4,88,Dona,89
2011,DISTRICTE 4,7,Home,214
2011,DISTRICTE 2,75,Dona,77
2011,DISTRICTE 4,12,Dona,174
2015,DISTRICTE 3,56,Home,195
2016,DISTRICTE 5,57,Dona,316
2013,DISTRICTE 1,15,Home,171
2013,DISTRICTE 2,24,Home,127
2014,DISTRICTE 6,27,Dona,223
2012,DISTRICTE 1,15,Dona,164
2013,DISTRICTE 3,41,Home,357
2015,DISTRICTE 5,24,Home,243
2015,DISTRICTE 1,100,Dona,8
2013,DISTRICTE 5,92,Home,13
2017,DISTRICTE 3,73,Dona,150
2015,DISTRICTE 1,95,Home,5
2017,DISTRICTE 5,66,Dona,246
2015,DISTRICTE 2,67,Dona,75
2012,DISTRICTE 2,16,Dona,104
2014,DISTRICTE 1,8,Dona,204
2013,DISTRICTE 6,3,Dona,264
2011,DISTRICTE 6,3,Dona,256
2016,DISTRICTE 1,40,Home,313
2014,DISTRICTE 4,59,Dona,201
2011,DISTRICTE 4,95,Dona,13
2016,DISTRICTE 2,1,Home,172
2015,DISTRICTE 2,62,Home,71
2014,DISTRICTE 2,53,Dona,109
2017,DISTRICTE 6,51,Home,303
2011,DISTRICTE 5,2,Home,302
2015,DISTRICTE 5,29,Dona,285
2014,DISTRICTE 6,96,Home,3
2016,DISTRICTE 6,60,Home,220
2013,DISTRICTE 4,43,Home,351
2014,DISTRICTE 1,0,Home,207
2016,DISTRICTE 2,6,Dona,174
2015,DISTRICTE 3,58,Dona,182
2016,DISTRICTE 3,94,Dona,15
2014,DISTRICTE 1,91,Dona,60
2015,DISTRICTE 6,63,Dona,189
2012,DISTRICTE 5,62,Dona,216
2013,DISTRICTE 2,48,Home,144
2012,DISTRICTE 5,57,Home,262
2013,DISTRICTE 5,2,Dona,265
2017,DISTRICTE 4,5,Dona,215
2016,DISTRICTE 3,86,Home,45
2014,DISTRICTE 1,83,Home,64
2013,DISTRICTE 1,91,Dona,51
2016,DISTRICTE 6,41,Dona,353
2012,DISTRICTE 3,50,Home,183
2012,DISTRICTE 2,29,Home,211
2015,DISTRICTE 3,70,Dona,132
2013,DISTRICTE 1,86,Home,55
2017,DISTRICTE 3,23,Dona,172
2017,DISTRICTE 6,32,Dona,272
2012,DISTRICTE 1,86,Dona,92
2014,DISTRICTE 4,78,Home,101
2017,DISTRICTE 3,59,Home,197
2011,DISTRICTE 2,82,Home,30
2013,DISTRICTE 3,46,Dona,240
2011,DISTRICTE 5,61,Dona,217
2017,DISTRICTE 2,41,Home,258
2016,DISTRICTE 4,16,Dona,170
2011,DISTRICTE 5,26,Home,258
2011,DISTRICTE 6,74,Dona,164
2011,DISTRICTE 4,19,Home,165
2011,DISTRICTE 2,87,Dona,31
2011,DISTRICTE 4,24,Dona,222
2017,DISTRICTE 4,0,Home,213
2015,DISTRICTE 4,83,Dona,130
2013,DISTRICTE 1,3,Home,211
2014,DISTRICTE 2,39,Home,228
2012,DISTRICTE 1,3,Dona,228
2011,DISTRICTE 3,97,Home,1
2014,DISTRICTE 3,46,Dona,245
2015,DISTRICTE 5,100,Dona,5
2016,DISTRICTE 2,77,Dona,65
2013,DISTRICTE 6,15,Dona,190
2015,DISTRICTE 2,55,Dona,99
2014,DISTRICTE 1,20,Dona,177
2013,DISTRICTE 3,34,Dona,339
2013,DISTRICTE 1,8,Dona,216
2016,DISTRICTE 5,64,Home,226
2015,DISTRICTE 5,17,Dona,195
2013,DISTRICTE 6,10,Home,217
2013,DISTRICTE 4,63,Dona,201
2017,DISTRICTE 6,44,Dona,332
2016,DISTRICTE 6,48,Home,323
2011,DISTRICTE 1,55,Dona,219
2017,DISTRICTE 1,17,Home,171
2014,DISTRICTE 6,39,Dona,381
2014,DISTRICTE 4,66,Home,179
2016,DISTRICTE 3,11,Dona,203
2014,DISTRICTE 4,71,Dona,146
2016,DISTRICTE 6,53,Dona,289
2017,DISTRICTE 6,39,Home,417
2017,DISTRICTE 5,78,Dona,145
2016,DISTRICTE 5,69,Dona,234
2013,DISTRICTE 5,85,Dona,131
2011,DISTRICTE 6,60,Home,176
2015,DISTRICTE 1,38,Dona,379
2015,DISTRICTE 4,7,Home,274
2013,DISTRICTE 6,98,Dona,5
2013,DISTRICTE 5,80,Home,111
2017,DISTRICTE 5,73,Home,185
2014,DISTRICTE 2,20,Home,118
2014,DISTRICTE 5,76,Home,137
2011,DISTRICTE 5,99,Dona,4
2017,DISTRICTE 3,35,Dona,281
2017,DISTRICTE 6,32,Home,267
2012,DISTRICTE 2,49,Dona,124
2016,DISTRICTE 3,49,Dona,244
2016,DISTRICTE 5,38,Dona,423
2011,DISTRICTE 5,64,Home,195
2017,DISTRICTE 5,33,Dona,331
2013,DISTRICTE 4,44,Dona,303
2013,DISTRICTE 5,47,Dona,331
2015,DISTRICTE 1,76,Dona,106
2016,DISTRICTE 6,98,Home,1
2013,DISTRICTE 5,42,Home,416
2015,DISTRICTE 3,25,Dona,176
2013,DISTRICTE 6,79,Home,93
2016,DISTRICTE 2,20,Home,106
2016,DISTRICTE 4,73,Home,99
2011,DISTRICTE 1,61,Home,157
2015,DISTRICTE 4,26,Home,194
2016,DISTRICTE 2,25,Dona,138
2011,DISTRICTE 4,19,Dona,178
2017,DISTRICTE 1,36,Home,264
2012,DISTRICTE 6,84,Home,62
2015,DISTRICTE 3,94,Home,1
2012,DISTRICTE 4,12,Dona,185
2014,DISTRICTE 6,65,Dona,211
2011,DISTRICTE 5,16,Dona,185
2012,DISTRICTE 1,48,Dona,249
2014,DISTRICTE 1,15,Dona,184
2013,DISTRICTE 3,34,Home,364
2016,DISTRICTE 2,8,Home,154
2015,DISTRICTE 6,44,Home,358
2017,DISTRICTE 3,71,Home,140
2017,DISTRICTE 2,48,Dona,127
2016,DISTRICTE 1,47,Home,275
2016,DISTRICTE 4,66,Dona,193
2014,DISTRICTE 1,7,Home,239
2016,DISTRICTE 2,13,Dona,102
2016,DISTRICTE 4,61,Home,172
2011,DISTRICTE 5,52,Home,283
2015,DISTRICTE 2,17,Dona,97
2014,DISTRICTE 1,90,Home,25
2014,DISTRICTE 4,21,Home,217
2016,DISTRICTE 2,96,Dona,4
2013,DISTRICTE 1,79,Home,91
2012,DISTRICTE 5,31,Home,387
2011,DISTRICTE 2,63,Home,63
2017,DISTRICTE 5,28,Home,241
2017,DISTRICTE 1,50,Dona,254
2011,DISTRICTE 3,71,Home,63
2012,DISTRICTE 2,41,Home,176
2011,DISTRICTE 2,68,Dona,68
2015,DISTRICTE 1,83,Home,77
2012,DISTRICTE 4,93,Home,6
2017,DISTRICTE 1,100,Dona,2
2016,DISTRICTE 6,86,Home,39
2011,DISTRICTE 4,26,Home,250
2011,DISTRICTE 4,31,Dona,335
2014,DISTRICTE 6,1,Home,286
2016,DISTRICTE 6,91,Dona,30
2011,DISTRICTE 6,41,Dona,320
2016,DISTRICTE 1,61,Dona,197
2015,DISTRICTE 4,90,Dona,45
2014,DISTRICTE 2,32,Home,254
2015,DISTRICTE 2,74,Home,60
2012,DISTRICTE 5,12,Dona,212
2013,DISTRICTE 2,3,Dona,188
2016,DISTRICTE 5,50,Dona,330
2011,DISTRICTE 3,52,Dona,228
2012,DISTRICTE 4,24,Dona,199
2013,DISTRICTE 2,86,Dona,46
2013,DISTRICTE 2,81,Home,44
2014,DISTRICTE 1,19,Home,172
2011,DISTRICTE 3,47,Home,249
2017,DISTRICTE 6,25,Dona,228
2017,DISTRICTE 4,50,Home,288
2013,DISTRICTE 6,22,Dona,222
2012,DISTRICTE 6,27,Dona,282
2017,DISTRICTE 6,20,Home,222
2016,DISTRICTE 5,45,Home,403
2014,DISTRICTE 5,90,Dona,65
2016,DISTRICTE 6,15,Home,228
2012,DISTRICTE 3,31,Home,299
2011,DISTRICTE 2,75,Home,73
2016,DISTRICTE 4,54,Dona,248
2011,DISTRICTE 3,64,Dona,129
2012,DISTRICTE 3,36,Dona,291
2017,DISTRICTE 1,24,Home,169
2017,DISTRICTE 4,38,Home,346
2014,DISTRICTE 6,84,Home,52
2015,DISTRICTE 1,5,Dona,219
2011,DISTRICTE 3,59,Home,161
2016,DISTRICTE 5,57,Home,272
2015,DISTRICTE 1,0,Home,177
2014,DISTRICTE 4,47,Dona,310
2012,DISTRICTE 4,10,Home,249
2016,DISTRICTE 5,62,Dona,276
2014,DISTRICTE 1,27,Dona,209
2013,DISTRICTE 2,74,Dona,71
2011,DISTRICTE 4,43,Dona,326
2016,DISTRICTE 6,103,Dona,1
2015,DISTRICTE 4,102,Dona,1
2013,DISTRICTE 1,72,Dona,154
2012,DISTRICTE 5,24,Dona,239
2013,DISTRICTE 1,67,Home,138
2012,DISTRICTE 5,19,Home,198
2013,DISTRICTE 3,22,Home,175
2012,DISTRICTE 2,61,Dona,73
2017,DISTRICTE 3,83,Home,64
2013,DISTRICTE 3,27,Dona,218
2015,DISTRICTE 1,88,Dona,98
2016,DISTRICTE 2,1,Dona,147
2011,DISTRICTE 1,93,Dona,32
2011,DISTRICTE 6,98,Home,2
2013,DISTRICTE 1,41,Home,300
2014,DISTRICTE 3,8,Dona,198
2015,DISTRICTE 5,93,Home,13
2017,DISTRICTE 1,88,Dona,86
2013,DISTRICTE 4,69,Home,159
2012,DISTRICTE 6,39,Dona,350
2017,DISTRICTE 6,65,Home,176
2011,DISTRICTE 4,64,Home,156
2011,DISTRICTE 4,69,Dona,150
2011,DISTRICTE 3,97,Dona,4
2016,DISTRICTE 3,17,Home,166
2013,DISTRICTE 1,46,Dona,265
2013,DISTRICTE 5,66,Home,195
2017,DISTRICTE 4,43,Dona,348
2016,DISTRICTE 1,49,Dona,253
2012,DISTRICTE 6,34,Home,464
2014,DISTRICTE 2,44,Home,209
2013,DISTRICTE 2,93,Home,6
2016,DISTRICTE 6,79,Dona,153
2012,DISTRICTE 3,88,Home,20
2011,DISTRICTE 6,29,Dona,348
2016,DISTRICTE 1,14,Home,179
2014,DISTRICTE 4,85,Dona,125
2017,DISTRICTE 6,70,Dona,139
2017,DISTRICTE 1,86,Home,55
2014,DISTRICTE 2,79,Dona,73
2015,DISTRICTE 2,36,Home,284
2014,DISTRICTE 4,2,Dona,227
2016,DISTRICTE 2,58,Home,99
2012,DISTRICTE 3,81,Dona,89
2017,DISTRICTE 3,21,Home,179
2011,DISTRICTE 2,18,Dona,97
2017,DISTRICTE 4,31,Dona,249
2016,DISTRICTE 2,63,Dona,89
2015,DISTRICTE 3,1,Dona,194
2012,DISTRICTE 1,67,Home,140
2015,DISTRICTE 4,76,Home,84
2017,DISTRICTE 5,9,Dona,252
2017,DISTRICTE 1,17,Dona,154
2013,DISTRICTE 6,60,Dona,194
2012,DISTRICTE 4,50,Dona,262
2011,DISTRICTE 6,17,Dona,186
2012,DISTRICTE 3,76,Home,94
2016,DISTRICTE 1,97,Home,4
2017,DISTRICTE 2,67,Home,69
2015,DISTRICTE 6,25,Dona,200
2015,DISTRICTE 3,70,Home,122
2014,DISTRICTE 6,39,Home,421
2011,DISTRICTE 3,26,Dona,238
2013,DISTRICTE 2,10,Home,118
2011,DISTRICTE 1,10,Dona,194
2016,DISTRICTE 6,3,Home,268
2013,DISTRICTE 3,72,Dona,121
2012,DISTRICTE 5,69,Dona,198
2015,DISTRICTE 5,81,Home,107
2015,DISTRICTE 4,7,Dona,254
2015,DISTRICTE 1,43,Dona,275
2011,DISTRICTE 3,21,Home,159
2016,DISTRICTE 6,8,Dona,253
2012,DISTRICTE 4,48,Home,257
2015,DISTRICTE 1,38,Home,312
2014,DISTRICTE 1,65,Dona,194
2011,DISTRICTE 6,15,Home,200
2014,DISTRICTE 3,20,Dona,168
2014,DISTRICTE 3,15,Home,160
2015,DISTRICTE 3,82,Home,72
2016,DISTRICTE 3,29,Home,205
2013,DISTRICTE 1,34,Dona,300
2013,DISTRICTE 5,54,Home,288
2012,DISTRICTE 2,86,Home,21
2013,DISTRICTE 1,29,Home,212
2015,DISTRICTE 2,29,Dona,150
2017,DISTRICTE 3,80,Dona,125
2015,DISTRICTE 5,86,Dona,118
