DATA_REFERENCIA,DISTRICTE,EDAT,SEXE,POBLACIO
2015,DISTRICTE 1,60,Home,177
2015,DISTRICTE 5,59,Home,260
2017,DISTRICTE 3,23,Home,163
2016,DISTRICTE 4,32,Home,238
2013,DISTRICTE 3,87,Dona,60
2014,DISTRICTE 2,3,Home,189
2012,DISTRICTE 2,1,Dona,171
2011,DISTRICTE 3,81,Dona,79
2012,DISTRICTE 1,39,Home,319
2014,DISTRICTE 4,19,Home,167
2014,DISTRICTE 6,61,Home,205
2017,DISTRICTE 6,86,Home,59
2014,DISTRICTE 4,24,Dona,181
2011,DISTRICTE 4,60,Dona,187
2016,DISTRICTE 4,20,Home,167
2013,DISTRICTE 4,46,Home,293
2015,DISTRICTE 1,98,Home,2
2012,DISTRICTE 1,96,Home,6
2016,DISTRICTE 6,51,Home,298
2012,DISTRICTE 6,11,Home,229
2015,DISTRICTE 3,47,Home,266
2014,DISTRICTE 6,16,Home,223
2011,DISTRICTE 3,43,Dona,266
2015,DISTRICTE 5,33,Home,321
2014,DISTRICTE 5,9,Home,251
2016,DISTRICTE 6,56,Dona,275
2011,DISTRICTE 6,6,Dona,214
2013,DISTRICTE 5,12,Home,226
2015,DISTRICTE 2,64,Dona,79
2015,DISTRICTE 4,10,Home,227
2016,DISTRICTE 4,25,Dona,212
2012,DISTRICTE 1,101,Dona,4
2015,DISTRICTE 2,59,Home,80
2016,DISTRICTE 2,4,Home,169
2016,DISTRICTE 3,77,Home,83
2014,DISTRICTE 1,74,Home,72
2011,DISTRICTE 2,72,Dona,74
2011,DISTRICTE 5,11,Home,206
2014,DISTRICTE 6,18,Dona,152
2011,DISTRICTE 6,89,Dona,47
2012,DISTRICTE 6,99,Dona,2
2016,DISTRICTE 2,87,Home,19
2017,DISTRICTE 4,15,Home,248
2012,DISTRICTE 6,94,Home,3
2016,DISTRICTE 2,92,Dona,12
2015,DISTRICTE 4,93,Home,13
2012,DISTRICTE 1,13,Home,162
2014,DISTRICTE 1,5,Dona,212
2013,DISTRICTE 3,44,Home,278
2013,DISTRICTE 1,100,Dona,6
2017,DISTRICTE 1,34,Dona,240
2015,DISTRICTE 3,61,Dona,177
2011,DISTRICTE 4,15,Dona,155
2017,DISTRICTE 5,69,Dona,200
2013,DISTRICTE 1,95,Home,6
2017,DISTRICTE 4,91,Dona,51
2013,DISTRICTE 3,49,Dona,224
2013,DISTRICTE 2,32,Dona,235
2016,DISTRICTE 1,37,Home,273
2012,DISTRICTE 2,13,Dona,88
2014,DISTRICTE 4,57,Home,194
2011,DISTRICTE 6,77,Dona,153
2014,DISTRICTE 6,99,Home,1
2015,DISTRICTE 4,24,Dona,219
2017,DISTRICTE 6,48,Home,293
2014,DISTRICTE 4,62,Dona,179
2014,DISTRICTE 2,56,Dona,95
2017,DISTRICTE 1,32,Home,218
2013,DISTRICTE 1,12,Home,191
2016,DISTRICTE 6,63,Home,197
2013,DISTRICTE 4,48,Dona,292
2016,DISTRICTE 2,9,Dona,143
2012,DISTRICTE 5,9,Dona,235
2011,DISTRICTE 2,1,Dona,186
2017,DISTRICTE 4,86,Home,65
2011,DISTRICTE 6,75,Home,103
2013,DISTRICTE 6,6,Dona,259
2012,DISTRICTE 1,89,Dona,87
2013,DISTRICTE 2,27,Home,161
2012,DISTRICTE 2,96,Dona,4
2017,DISTRICTE 3,76,Dona,115
2011,DISTRICTE 4,10,Home,226
2016,DISTRICTE 1,78,Dona,131
2013,DISTRICTE 5,95,Home,4
2015,DISTRICTE 4,22,Home,211
2011,DISTRICTE 2,84,Dona,57
2015,DISTRICTE 5,26,Dona,248
2015,DISTRICTE 5,21,Home,209
2015,DISTRICTE 1,41,Dona,318
2017,DISTRICTE 1,8,Home,197
2012,DISTRICTE 5,54,Home,310
2012,DISTRICTE 4,46,Home,284
2012,DISTRICTE 1,1,Home,195
2011,DISTRICTE 6,63,Home,180
2011,DISTRICTE 5,64,Dona,233
2011,DISTRICTE 4,98,Dona,6
2016,DISTRICTE 3,91,Dona,29
2017,DISTRICTE 4,8,Dona,238
2015,DISTRICTE 6,61,Home,211
2011,DISTRICTE 3,17,Home,144
2013,DISTRICTE 2,51,Home,104
2013,DISTRICTE 5,76,Dona,206
2016,DISTRICTE 2,80,Dona,69
2013,DISTRICTE 1,83,Home,77
2015,DISTRICTE 3,59,Home,181
2016,DISTRICTE 5,60,Dona,247
2015,DISTRICTE 4,86,Dona,114
2012,DISTRICTE 1,6,Dona,208
2015,DISTRICTE 6,66,Dona,210
2017,DISTRICTE 4,3,Home,207
2012,DISTRICTE 2,32,Home,288
2014,DISTRICTE 6,30,Dona,299
2011,DISTRICTE 5,23,Home,241
