MES_ANY,TIPUS_VEHICLE,TOTAL
111986,Motocicletes,3
72007,Motocicletes,99
111989,Camions,3
121994,Turismes,30
22007,Motocicletes,58
41993,Turismes,13
32006,Remolcs,14
11985,Turismes,48
22001,Camions,26
111997,Turismes,48
122007,Ciclomotors,27
31989,Remolcs,1
121990,Remolcs,1
121993,Motocicletes,8
32016,Motocicletes,158
102003,Camions,38
112007,Ciclomotors,37
62013,Motocicletes,103
71993,Ciclomotors,5
52010,Motocicletes,82
12004,Motocicletes,12
62005,Ciclomotors,30
21990,Motocicletes,4
122008,Camions,66
41990,Remolcs,3
51994,Camions,3
42001,Camions,29
51998,Camions,14
61994,Camions,9
122009,Camions,67
101997,Ciclomotors,15
121998,Motocicletes,11
52001,Ciclomotors,27
42014,Motocicletes,125
62001,Camions,26
21993,Turismes,20
52012,Camions,56
102015,Camions,152
11986,Turismes,2
92009,Tractors,1
12001,Camions,20
72012,Remolcs,15
112006,Remolcs,5
91996,Motocicletes,3
82007,Camions,36
32013,Motocicletes,79
11978,Motocicletes,20
12000,Camions,14
82011,Ciclomotors,14
51998,Remolcs,5
32001,Remolcs,9
72014,Tractors,8
121995,Ciclomotors,1
42007,Remolcs,9
32009,Remolcs,8
22013,Camions,78
71989,Turismes,12
92007,Remolcs,10
32005,Remolcs,16
42003,Camions,40
121998,Camions,21
92010,Camions,48
82010,Motocicletes,49
42014,Ciclomotors,36
52012,Motocicletes,58
51993,Ciclomotors,5
122002,Ciclomotors,7
62002,Motocicletes,12
122005,Remolcs,11
42001,Motocicletes,12
111992,Ciclomotors,4
101988,Motocicletes,10
72016,Remolcs,17
102004,Motocicletes,18
42013,Ciclomotors,31
92016,Remolcs,14
61993,Remolcs,9
72007,Remolcs,14
82000,Camions,14
72008,Camions,74
42003,Ciclomotors,18
101999,Camions,15
41993,Camions,3
122007,Motocicletes,47
81996,Motocicletes,6
32010,Remolcs,13
91989,Ciclomotors,3
112010,Remolcs,7
122005,Motocicletes,34
31991,Motocicletes,4
71982,Turismes,1
62000,Motocicletes,18
61985,Turismes,1
51989,Tractors,1
11964,Motocicletes,1
82008,Motocicletes,41
31989,Ciclomotors,6
91986,Motocicletes,2
11993,Motocicletes,4
42000,Remolcs,7
61996,Ciclomotors,4
32001,Motocicletes,25
42010,Camions,55
92008,Remolcs,11
11989,Motocicletes,4
102001,Motocicletes,9
41988,Motocicletes,6
21988,Camions,2
91995,Remolcs,1
21967,Motocicletes,1
62016,Remolcs,8
21986,Ciclomotors,2
31980,Turismes,1
61986,Turismes,3
112008,Tractors,4
71996,Motocicletes,6
101992,Remolcs,3
12008,Ciclomotors,29
22007,Remolcs,10
11999,Ciclomotors,10
112004,Tractors,7
52006,Remolcs,7
72010,Ciclomotors,31
11999,Motocicletes,6
101994,Remolcs,2
72006,Tractors,9
12002,Remolcs,3
71993,Motocicletes,15
112001,Remolcs,5
12010,Camions,39
81999,Motocicletes,3
61990,Motocicletes,4
21996,Remolcs,1
41998,Camions,8
22010,Tractors,5
62004,Remolcs,10
122010,Ciclomotors,11
11988,Ciclomotors,3
41993,Remolcs,1
101989,Motocicletes,6
121976,Turismes,1
61999,Remolcs,2
51990,Ciclomotors,3
102000,Remolcs,1
51990,Camions,3
111996,Remolcs,4
81994,Ciclomotors,4
32010,Ciclomotors,9
122004,Tractors,3
11986,Motocicletes,4
82007,Remolcs,5
111983,Motocicletes,1
101985,Turismes,2
122011,Tractors,11
52010,Remolcs,4
111993,Motocicletes,1
62013,Tractors,5
91998,Remolcs,1
61987,Motocicletes,2
12014,Ciclomotors,12
62014,Remolcs,8
21995,Camions,1
42014,Remolcs,11
62002,Tractors,5
61997,Tractors,4
92015,Tractors,6
41961,Motocicletes,1
62004,Tractors,7
41992,Turismes,1
122013,Tractors,5
62014,Tractors,10
31987,Ciclomotors,2
101982,Tractors,1
21988,Tractors,1
101985,Autobusos,1
12000,Tractors,6
81989,Tractors,2
121995,Remolcs,2
22016,Autobusos,1
112006,Autobusos,1
102013,Autobusos,1
122014,Autobusos,1
92016,Autobusos,2
72002,Autobusos,8
101984,Turismes,1
11995,Tractors,1
111995,Tractors,2
21998,Tractors,2
41995,Camions,3
31999,Tractors,2
12002,Tractors,2
22002,Tractors,3
12001,Remolcs,2
42016,Turismes,1056
12005,Turismes,243
12008,Turismes,326
82014,Turismes,407
41996,Turismes,28
112014,Turismes,632
41998,Motocicletes,9
31994,Turismes,29
52007,Turismes,534
52000,Turismes,169
82016,Turismes,824
22007,Turismes,425
31993,Turismes,20
92006,Turismes,380
91995,Turismes,21
72007,Turismes,565
32009,Turismes,372
102011,Ciclomotors,18
92015,Turismes,822
112008,Turismes,315
71998,Turismes,110
12012,Turismes,284
31999,Turismes,158
11980,Motocicletes,158
112006,Turismes,473
112013,Turismes,462
91997,Turismes,58
12005,Ciclomotors,15
41988,Turismes,10
42006,Turismes,344
42008,Motocicletes,66
11983,Turismes,41
32005,Turismes,387
82010,Camions,37
52004,Camions,34
22012,Turismes,406
32011,Camions,75
42013,Motocicletes,82
32007,Turismes,500
101999,Turismes,146
122005,Camions,83
82008,Ciclomotors,22
102009,Camions,58
32011,Turismes,448
51993,Turismes,20
122014,Motocicletes,93
21987,Turismes,6
11979,Motocicletes,15
42001,Turismes,176
102013,Motocicletes,108
11989,Camions,5
22008,Camions,48
121986,Turismes,30
82004,Camions,27
41994,Camions,4
122009,Remolcs,4
22005,Turismes,327
82012,Camions,52
112014,Motocicletes,109
71994,Turismes,36
122003,Motocicletes,14
111988,Camions,4
12003,Camions,22
81988,Turismes,7
12004,Ciclomotors,15
71988,Turismes,10
51989,Turismes,17
51994,Turismes,29
101998,Turismes,88
42005,Camions,50
112000,Ciclomotors,24
52001,Remolcs,7
31988,Turismes,14
62006,Motocicletes,92
42006,Motocicletes,48
82003,Motocicletes,13
42006,Camions,52
92012,Motocicletes,72
112010,Camions,68
61993,Turismes,26
81986,Turismes,2
51988,Turismes,12
42008,Ciclomotors,27
82009,Camions,27
41995,Ciclomotors,3
22011,Ciclomotors,14
41999,Camions,15
42000,Ciclomotors,18
72002,Ciclomotors,24
31998,Camions,10
102001,Ciclomotors,28
11988,Turismes,7
71998,Camions,15
72003,Ciclomotors,25
62015,Camions,119
72003,Camions,56
112008,Motocicletes,45
32009,Camions,43
41995,Turismes,29
61999,Camions,18
62004,Camions,46
112002,Tractors,2
52006,Camions,72
62014,Motocicletes,106
32006,Camions,64
122001,Tractors,1
11991,Ciclomotors,5
52007,Ciclomotors,31
32012,Tractors,6
52005,Motocicletes,38
72004,Camions,60
92009,Remolcs,4
62016,Ciclomotors,45
112002,Camions,27
92004,Ciclomotors,34
62009,Camions,43
91993,Turismes,11
122015,Motocicletes,167
112011,Camions,53
62005,Camions,66
52014,Motocicletes,126
52012,Ciclomotors,15
111994,Camions,6
42016,Autobusos,5
92013,Camions,59
112014,Ciclomotors,29
32000,Ciclomotors,40
41986,Turismes,4
42015,Tractors,9
32003,Motocicletes,10
62009,Motocicletes,69
92003,Motocicletes,12
102002,Ciclomotors,29
32006,Motocicletes,53
42010,Motocicletes,64
22007,Camions,71
102000,Ciclomotors,25
112012,Motocicletes,63
32014,Remolcs,10
12011,Remolcs,5
42011,Ciclomotors,11
11976,Motocicletes,19
111996,Camions,7
112009,Ciclomotors,18
12009,Tractors,2
111992,Motocicletes,7
82001,Ciclomotors,15
72005,Motocicletes,61
122006,Ciclomotors,29
92011,Remolcs,8
122001,Camions,33
52011,Remolcs,7
112000,Camions,17
92001,Ciclomotors,18
62005,Tractors,8
82013,Remolcs,9
71990,Camions,3
21987,Ciclomotors,5
22002,Camions,15
101973,Turismes,1
11984,Camions,6
31995,Camions,10
71988,Camions,2
71979,Motocicletes,1
92002,Motocicletes,18
61988,Ciclomotors,7
111990,Turismes,8
102005,Tractors,10
11986,Camions,1
121985,Camions,3
51990,Motocicletes,1
121987,Motocicletes,5
121996,Ciclomotors,9
21990,Remolcs,1
52016,Ciclomotors,23
12012,Motocicletes,35
71999,Camions,16
21991,Motocicletes,4
51996,Motocicletes,7
91992,Ciclomotors,3
21993,Camions,6
22004,Tractors,6
62007,Ciclomotors,32
32012,Camions,66
111998,Motocicletes,11
101998,Motocicletes,13
22003,Tractors,3
82001,Remolcs,3
21995,Remolcs,1
41996,Camions,6
71999,Remolcs,3
81990,Ciclomotors,2
71990,Remolcs,2
12000,Motocicletes,6
92015,Remolcs,6
31996,Ciclomotors,3
122014,Tractors,17
51995,Remolcs,2
101995,Camions,5
71976,Motocicletes,1
61993,Ciclomotors,3
22015,Ciclomotors,18
81990,Remolcs,2
81994,Camions,2
41989,Motocicletes,1
52005,Remolcs,9
71998,Tractors,2
122002,Tractors,9
52014,Remolcs,11
101995,Ciclomotors,6
72013,Remolcs,10
61987,Turismes,4
82004,Motocicletes,16
42009,Ciclomotors,14
61995,Camions,6
31997,Camions,6
91998,Motocicletes,3
111996,Motocicletes,9
21992,Ciclomotors,8
41988,Camions,2
51998,Ciclomotors,9
31999,Remolcs,5
51997,Remolcs,1
42007,Ciclomotors,19
62000,Remolcs,3
52003,Remolcs,4
112014,Remolcs,8
122002,Remolcs,3
52010,Tractors,10
32004,Tractors,4
121997,Camions,19
72009,Remolcs,9
32002,Tractors,3
101988,Camions,1
21989,Motocicletes,6
121987,Ciclomotors,5
91997,Ciclomotors,8
32009,Tractors,2
71997,Ciclomotors,8
11989,Ciclomotors,5
82001,Motocicletes,5
31994,Motocicletes,4
12016,Remolcs,21
81992,Motocicletes,1
21991,Ciclomotors,2
71994,Ciclomotors,3
102009,Tractors,6
81985,Camions,1
91995,Ciclomotors,1
111998,Remolcs,2
51992,Turismes,1
102011,Remolcs,2
121992,Ciclomotors,1
42003,Tractors,4
101990,Ciclomotors,2
111991,Ciclomotors,2
21996,Ciclomotors,4
91994,Ciclomotors,4
41996,Tractors,1
102001,Tractors,4
32005,Autobusos,4
22011,Autobusos,4
62009,Autobusos,1
12009,Autobusos,7
21990,Autobusos,2
52000,Tractors,2
12007,Tractors,13
21996,Tractors,1
112001,Tractors,5
41997,Remolcs,1
31997,Tractors,1
12003,Tractors,3
82016,Autobusos,4
91990,Camions,1
71996,Tractors,1
82009,Tractors,1
62015,Desconegut,1
11989,Tractors,1
111990,Camions,1
72015,Autobusos,1
52016,Desconegut,1
52015,Turismes,857
112005,Camions,60
42013,Camions,68
92001,Turismes,147
42016,Camions,161
32015,Turismes,861
82005,Turismes,262
22016,Turismes,969
72002,Turismes,286
122013,Turismes,565
22010,Turismes,451
52006,Turismes,430
12014,Motocicletes,82
122016,Camions,213
22009,Turismes,340
121993,Turismes,18
102016,Turismes,1172
92004,Turismes,294
122009,Turismes,521
52010,Turismes,494
42008,Camions,60
52005,Camions,50
122004,Remolcs,8
121998,Turismes,123
32007,Tractors,18
122012,Turismes,462
32005,Camions,54
51999,Turismes,103
112016,Camions,167
82012,Turismes,359
92016,Turismes,1111
12014,Turismes,422
32008,Turismes,394
92010,Turismes,321
122008,Turismes,419
102001,Turismes,198
32008,Motocicletes,44
112003,Turismes,283
52004,Turismes,352
52002,Turismes,204
52001,Turismes,201
72008,Remolcs,19
72005,Camions,75
122016,Motocicletes,224
62007,Remolcs,19
22004,Turismes,311
12016,Camions,123
81989,Ciclomotors,5
62010,Turismes,553
112015,Motocicletes,160
12000,Turismes,104
112016,Ciclomotors,39
71996,Turismes,40
92002,Remolcs,6
32001,Turismes,176
91916,Motocicletes,1
61989,Turismes,8
121997,Motocicletes,9
62010,Camions,64
82002,Turismes,126
72006,Motocicletes,91
62000,Ciclomotors,38
12007,Camions,65
72009,Camions,63
52009,Camions,36
32000,Camions,18
51994,Remolcs,4
22004,Remolcs,6
62004,Motocicletes,35
92012,Turismes,311
72010,Camions,65
32005,Ciclomotors,14
42005,Motocicletes,30
41994,Turismes,25
92009,Motocicletes,83
32015,Motocicletes,143
61987,Camions,2
32015,Camions,124
32009,Autobusos,1
22005,Camions,43
72003,Motocicletes,25
52013,Motocicletes,85
32016,Ciclomotors,28
11990,Turismes,6
52012,Tractors,8
12015,Motocicletes,108
61999,Ciclomotors,20
122003,Remolcs,5
81999,Ciclomotors,30
112016,Tractors,16
11982,Turismes,14
42007,Motocicletes,43
102016,Ciclomotors,36
42009,Camions,40
111992,Turismes,25
22005,Tractors,7
92001,Remolcs,4
101989,Turismes,7
92006,Ciclomotors,34
52010,Camions,71
111985,Turismes,2
72002,Camions,36
102008,Motocicletes,67
72014,Camions,115
111998,Camions,16
62009,Tractors,5
81996,Camions,3
122005,Tractors,7
22000,Motocicletes,12
12000,Ciclomotors,33
11991,Turismes,5
101990,Turismes,13
121988,Camions,3
122005,Ciclomotors,24
61994,Ciclomotors,5
61998,Camions,11
22012,Camions,48
22011,Camions,49
102006,Tractors,15
11974,Turismes,1
82009,Motocicletes,31
32004,Remolcs,16
112009,Motocicletes,63
122015,Ciclomotors,16
11996,Camions,10
112000,Motocicletes,17
12011,Ciclomotors,14
92000,Motocicletes,8
102008,Camions,52
102013,Tractors,10
102003,Tractors,6
52000,Motocicletes,7
42014,Camions,85
101996,Motocicletes,17
71995,Motocicletes,12
81995,Motocicletes,8
72009,Ciclomotors,21
11997,Remolcs,2
91991,Turismes,13
102004,Tractors,6
101982,Turismes,1
92013,Remolcs,10
52007,Remolcs,5
11988,Motocicletes,3
21987,Motocicletes,7
101995,Motocicletes,3
112006,Motocicletes,54
121992,Camions,6
92005,Tractors,8
122014,Ciclomotors,28
112009,Camions,39
22006,Remolcs,9
91999,Motocicletes,10
72004,Tractors,11
11989,Turismes,10
102014,Ciclomotors,35
81983,Turismes,1
31991,Camions,2
51994,Motocicletes,7
111991,Motocicletes,2
22000,Remolcs,4
21998,Motocicletes,9
62008,Remolcs,12
71987,Motocicletes,5
61994,Motocicletes,6
21988,Ciclomotors,8
71991,Motocicletes,12
42002,Motocicletes,14
12001,Ciclomotors,15
72013,Ciclomotors,11
92014,Camions,124
101987,Motocicletes,8
121999,Ciclomotors,24
92002,Ciclomotors,12
52000,Ciclomotors,31
101992,Camions,2
72004,Remolcs,9
92003,Remolcs,2
22005,Remolcs,15
82002,Ciclomotors,17
112000,Tractors,2
82002,Remolcs,5
92012,Autobusos,1
22010,Remolcs,10
122002,Camions,31
82006,Remolcs,11
12014,Remolcs,7
122016,Ciclomotors,33
42006,Remolcs,10
101999,Ciclomotors,27
91999,Remolcs,4
91991,Remolcs,1
111999,Camions,13
31996,Camions,7
31993,Camions,4
121989,Remolcs,1
52009,Ciclomotors,13
12008,Tractors,8
61988,Remolcs,1
31994,Remolcs,5
42010,Ciclomotors,13
72014,Remolcs,10
92012,Ciclomotors,9
51979,Motocicletes,1
22014,Remolcs,7
81997,Ciclomotors,4
62013,Remolcs,4
61988,Camions,2
101998,Remolcs,3
32001,Camions,25
11991,Remolcs,1
42013,Remolcs,7
72006,Ciclomotors,33
52001,Motocicletes,11
121999,Remolcs,3
72012,Ciclomotors,16
102015,Remolcs,20
102002,Tractors,1
71995,Ciclomotors,3
81993,Motocicletes,4
92011,Ciclomotors,20
32014,Tractors,11
41990,Motocicletes,3
22015,Tractors,9
81993,Camions,2
11996,Motocicletes,5
52013,Remolcs,9
82008,Remolcs,4
92013,Ciclomotors,25
51977,Motocicletes,1
112008,Remolcs,4
92014,Remolcs,8
22008,Tractors,8
82010,Remolcs,3
81981,Camions,1
72010,Tractors,5
31997,Ciclomotors,6
102011,Tractors,3
11993,Ciclomotors,3
41986,Camions,1
102015,Tractors,10
111998,Ciclomotors,18
41986,Ciclomotors,1
22015,Remolcs,11
12015,Remolcs,7
82010,Tractors,2
112015,Tractors,8
41996,Ciclomotors,4
21997,Ciclomotors,1
71986,Camions,1
91995,Camions,4
101988,Tractors,1
111998,Tractors,1
12001,Tractors,6
101998,Tractors,1
12015,Autobusos,2
112008,Autobusos,1
32010,Autobusos,1
102006,Autobusos,3
121998,Autobusos,1
12011,Autobusos,1
32001,Tractors,1
41995,Tractors,2
61995,Tractors,1
71997,Tractors,2
102010,Tractors,3
22001,Tractors,2
41998,Tractors,2
111989,Motocicletes,1
92012,Tractors,2
112011,Remolcs,1
31995,Tractors,1
122007,Turismes,526
32014,Camions,75
62015,Turismes,826
102011,Motocicletes,61
32002,Turismes,194
22006,Camions,55
52009,Turismes,334
112004,Motocicletes,35
42015,Remolcs,11
52016,Turismes,1010
61999,Turismes,136
22008,Turismes,454
32012,Turismes,445
72012,Turismes,490
122005,Turismes,464
92003,Turismes,239
71995,Turismes,33
32016,Camions,146
112012,Turismes,404
22011,Turismes,395
22014,Turismes,504
51994,Ciclomotors,3
102011,Turismes,403
82014,Motocicletes,69
82014,Camions,52
51995,Turismes,21
112015,Camions,142
52008,Motocicletes,70
32011,Motocicletes,74
72001,Turismes,258
11992,Turismes,186
11994,Turismes,18
42015,Camions,111
112010,Turismes,379
42010,Remolcs,8
12007,Turismes,351
42009,Turismes,298
11992,Remolcs,37
72006,Turismes,478
82013,Turismes,347
42015,Motocicletes,147
72016,Motocicletes,215
112000,Turismes,160
112001,Turismes,203
91994,Turismes,27
62011,Turismes,388
112014,Camions,82
22003,Turismes,202
21997,Motocicletes,5
92005,Turismes,380
52013,Camions,79
41998,Turismes,72
91999,Turismes,114
62012,Ciclomotors,14
12006,Motocicletes,29
32004,Turismes,361
111993,Turismes,15
101996,Turismes,39
42011,Camions,54
82004,Turismes,248
122012,Motocicletes,59
32007,Ciclomotors,25
112015,Ciclomotors,28
32013,Turismes,436
81989,Turismes,9
91998,Turismes,58
121988,Turismes,14
12012,Camions,41
41996,Remolcs,2
41998,Ciclomotors,6
72011,Ciclomotors,26
81996,Turismes,19
102014,Camions,104
81999,Turismes,92
111989,Turismes,15
101998,Camions,8
72005,Tractors,8
52001,Camions,27
31999,Camions,29
72015,Motocicletes,230
41991,Turismes,10
121996,Motocicletes,8
11996,Turismes,24
11978,Turismes,15
71993,Camions,5
11993,Turismes,12
41990,Camions,1
122006,Camions,70
22003,Ciclomotors,13
62004,Ciclomotors,34
51997,Ciclomotors,7
92008,Motocicletes,64
102012,Ciclomotors,19
22014,Motocicletes,80
72008,Tractors,16
12005,Motocicletes,14
81991,Remolcs,3
82014,Ciclomotors,19
61996,Remolcs,2
92006,Motocicletes,54
12011,Camions,30
31977,Turismes,1
62002,Camions,25
21999,Camions,17
82002,Motocicletes,11
12006,Remolcs,5
102010,Motocicletes,76
82005,Remolcs,9
32004,Motocicletes,18
11976,Camions,3
41980,Camions,1
92010,Tractors,3
52011,Motocicletes,69
42005,Ciclomotors,24
12008,Motocicletes,51
42012,Camions,62
22016,Tractors,23
62003,Motocicletes,11
111990,Ciclomotors,3
12016,Ciclomotors,29
112005,Ciclomotors,25
122014,Camions,113
52012,Remolcs,11
12009,Motocicletes,41
12016,Tractors,13
41998,Remolcs,4
72010,Motocicletes,84
62003,Ciclomotors,23
91999,Camions,10
112004,Remolcs,13
12015,Ciclomotors,17
41988,Ciclomotors,5
12012,Remolcs,5
102003,Ciclomotors,18
52004,Remolcs,14
12013,Ciclomotors,19
52010,Ciclomotors,15
31996,Motocicletes,3
121991,Camions,3
32011,Remolcs,19
81998,Camions,5
52013,Ciclomotors,22
101994,Ciclomotors,6
51988,Camions,2
42002,Camions,27
102012,Tractors,9
31994,Camions,4
121996,Camions,12
122010,Tractors,14
61998,Remolcs,4
101987,Turismes,8
11998,Motocicletes,2
52016,Tractors,16
41996,Motocicletes,7
71987,Ciclomotors,1
31996,Remolcs,7
71997,Remolcs,6
11981,Camions,3
81990,Motocicletes,8
91980,Turismes,1
82002,Camions,13
31987,Turismes,3
31997,Motocicletes,8
101996,Ciclomotors,6
111966,Motocicletes,1
71997,Motocicletes,19
71987,Turismes,4
81991,Camions,2
121987,Turismes,11
71986,Turismes,4
22012,Ciclomotors,13
32010,Tractors,14
42002,Ciclomotors,13
42005,Tractors,8
41999,Remolcs,4
11987,Ciclomotors,2
22014,Camions,62
32005,Tractors,7
112000,Remolcs,1
51989,Remolcs,1
71995,Remolcs,4
121998,Ciclomotors,12
111990,Remolcs,2
91989,Camions,5
82010,Ciclomotors,12
102014,Remolcs,11
71993,Remolcs,4
72002,Remolcs,7
122000,Camions,23
31990,Ciclomotors,5
42004,Motocicletes,27
22002,Ciclomotors,20
22010,Ciclomotors,11
32011,Tractors,5
101986,Motocicletes,4
21989,Ciclomotors,5
62006,Remolcs,8
111999,Remolcs,3
82000,Motocicletes,6
111997,Motocicletes,5
72012,Tractors,5
32015,Ciclomotors,20
61999,Motocicletes,15
122008,Remolcs,10
112016,Desconegut,2
51991,Motocicletes,5
12008,Remolcs,7
32006,Tractors,11
111997,Ciclomotors,14
82008,Tractors,6
31987,Motocicletes,3
41993,Ciclomotors,4
32015,Remolcs,26
62002,Ciclomotors,23
81992,Ciclomotors,2
51978,Motocicletes,1
