ï»¿DATA_REFERENCIA,LLOC_NAIXAMENT,NACIONALITAT,NIVELL_ESTUDI,POBLACIO
2017,CROÀCIA                       ,CROÀCIA                       ,Ensenyament primari incomplert,1
2016,LÍBIA                         ,LÍBIA                         ,Batxiller superior. BUP. Batxi,1
2017,"URUGUAI, L                    ","URUGUAI, L                    ","Batxiller Elemental, Graduat E",87
2011,ALEMANYA                      ,ALEMANYA                      ,No aplicable per ser més petit,4
2012,VENEÇUELA                     ,ITÀLIA                        ,Formació professional de Segon,2
2012,"ÍNDIA, L                      ","ÍNDIA, L                      ",No sap llegir ni escriure     ,1
2013,ÀUSTRIA                       ,ÀUSTRIA                       ,No sap llegir ni escriure     ,1
2013,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Formació professional de Segon,7
2014,"PERÚ, EL                      ",ESPANYA                       ,Doctorat i Estudis de postgrau,7
2014,"ARGENTINA, L                  ",BÈLGICA                       ,"Batxiller Elemental, Graduat E",1
2014,ESPANYA                       ,ESPANYA                       ,Titulats d estudis superiors n,283
2012,"EQUADOR, L                    ",ESPANYA                       ,Sense estudis                 ,19
2017,APÀTRIDES                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2012,"EQUADOR, L                    ","EQUADOR, L                    ",Formació professional de Segon,28
2016,NIGÈRIA                       ,NIGÈRIA                       ,"Batxiller Elemental, Graduat E",31
2014,VENEÇUELA                     ,PORTUGAL                      ,Desconegut                    ,1
2015,XILE                          ,ESPANYA                       ,Ensenyament primari incomplert,24
2013,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",Doctorat i Estudis de postgrau,5
2012,"BRASIL, EL                    ","BRASIL, EL                    ",Formació professional Primer G,8
2011,ANDORRA                       ,ESPANYA                       ,Formació professional de Segon,1
2016,GUATEMALA                     ,GUATEMALA                     ,Batxiller superior. BUP. Batxi,7
2014,"PERÚ, EL                      ","PERÚ, EL                      ",Formació professional de Segon,12
2011,BOLÍVIA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",5
2012,ESPANYA                       ,ALEMANYA                      ,"Llicenciat Universitari, Arqui",1
2016,"COSTA D IVORI, LA             ",ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2011,"MARROC, EL                    ",ESPANYA                       ,Sense estudis                 ,108
2016,COLÒMBIA                      ,ESPANYA                       ,"Llicenciat Universitari, Arqui",92
2016,XILE                          ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,2
2016,ESPANYA                       ,COLÒMBIA                      ,Ensenyament primari incomplert,2
2014,MOLDÀVIA                      ,MOLDÀVIA                      ,No aplicable per ser més petit,1
2012,COLÒMBIA                      ,"ESTATS UNITS D AMÈRICA, ELS   ",Diplomat en Escoles Università,1
2011,NICARAGUA                     ,NICARAGUA                     ,Diplomat en Escoles Università,2
2012,COLÒMBIA                      ,ESPANYA                       ,Desconegut                    ,14
2012,SUÏSSA                        ,ESPANYA                       ,Ensenyament primari incomplert,7
2017,ESPANYA                       ,"PAÏSOS BAIXOS, ELS            ",Arquitecte o Enginyer Tècnic  ,2
2014,ESPANYA                       ,XILE                          ,No aplicable per ser més petit,19
2017,"REPÚBLICA DOMINICANA, LA      ","REPÚBLICA DOMINICANA, LA      ",Altres titulacions mitjanes (A,8
2011,SUD-ÀFRICA                    ,ITÀLIA                        ,Diplomat en Escoles Università,1
2017,LÍBIA                         ,ESPANYA                       ,"Batxiller Elemental, Graduat E",2
2015,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Batxiller superior. BUP. Batxi,4
2013,"BRASIL, EL                    ",ESPANYA                       ,Altres titulacions mitjanes (A,2
2015,"REPÚBLICA DOMINICANA, LA      ",ITÀLIA                        ,Ensenyament primari incomplert,1
2013,"LÍBAN, EL                     ","LÍBAN, EL                     ",Ensenyament primari incomplert,1
2014,"URUGUAI, L                    ","URUGUAI, L                    ",Desconegut                    ,22
2017,GRÈCIA                        ,GRÈCIA                        ,Ensenyament primari incomplert,1
2016,NORUEGA                       ,NORUEGA                       ,Desconegut                    ,1
2016,GUATEMALA                     ,ESPANYA                       ,"Batxiller Elemental, Graduat E",7
2014,"JAPÓ, EL                      ","JAPÓ, EL                      ",Diplomat en Escoles Università,2
2011,"URUGUAI, L                    ",ESPANYA                       ,Ensenyament primari incomplert,27
2016,ESPANYA                       ,BULGÀRIA                      ,"Batxiller Elemental, Graduat E",1
2017,XILE                          ,ESPANYA                       ,Sense estudis                 ,1
2016,"REPÚBLICA DOMINICANA, LA      ","PAÏSOS BAIXOS, ELS            ","Batxiller Elemental, Graduat E",2
2015,ARMÈNIA                       ,ARMÈNIA                       ,"Batxiller Elemental, Graduat E",10
2011,"SENEGAL, EL                   ",ESPANYA                       ,Batxiller superior. BUP. Batxi,5
2013,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",Desconegut                    ,2
2014,ANGOLA                        ,PORTUGAL                      ,"Batxiller Elemental, Graduat E",1
2011,NIGÈRIA                       ,NIGÈRIA                       ,Formació professional de Segon,1
2012,"XINA, LA                      ","XINA, LA                      ",Desconegut                    ,148
2017,AUSTRÀLIA                     ,ESPANYA                       ,Formació professional de Segon,4
2013,BÈLGICA                       ,ESPANYA                       ,Formació professional de Segon,5
2013,XILE                          ,XILE                          ,Titulats d estudis superiors n,2
