DATA_REFERENCIA,DISTRICTE,BARRI,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,POBLACIO
2011,DISTRICTE 1,CEMENTIRI VELL                ,"IRAN, L                       ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ITÀLIA                        , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"JAPÓ, EL                      ", ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,MALÀISIA                      , ,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ", ,6
2011,DISTRICTE 1,CEMENTIRI VELL                ,MÈXIC                         , ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PAKISTAN, EL                  ", ,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PARAGUAI, EL                  ", ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PERÚ, EL                      ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,POLÒNIA                       , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,PORTUGAL                      , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"REGNE UNIT, EL                ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"REPÚBLICA DOMINICANA, LA      ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ROMANIA                       , ,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,RÚSSIA                        , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"SENEGAL, EL                   ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,VENEÇUELA                     , ,8
2011,DISTRICTE 1,CEMENTIRI VELL                ,XILE                          , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"XINA, LA                      ", ,4
2011,DISTRICTE 1,CENTRE                        ,"ARGENTINA, L                  ", ,6
2011,DISTRICTE 1,CENTRE                        ,BOLÍVIA                       , ,1
2011,DISTRICTE 1,CENTRE                        ,"BRASIL, EL                    ", ,1
2011,DISTRICTE 1,CENTRE                        ,"CANADÀ, EL                    ", ,1
2011,DISTRICTE 1,CENTRE                        ,COLÒMBIA                      , ,6
2011,DISTRICTE 1,CENTRE                        ,CUBA                          , ,3
2011,DISTRICTE 1,CENTRE                        ,"EQUADOR, L                    ", ,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       , ,744
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ALABA,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ALACANT,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ALBACETE,4
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ALMERIA,6
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ASTURIAS,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,BARCELONA,559
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,BISCAIA,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,CACERES,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,CADIS,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,CASTELLO,6
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,CORDOBA,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,"CORUNYA, LA",2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,GIRONA,35
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,GRANADA,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ILLES BALEARS,10
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,LUGO,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,LLEIDA,19
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,MADRID,9
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,MALAGA,5
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,MURCIA,8
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,NAVARRA,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,ORENSE,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,OSCA,4
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,PALENCIA,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,"PALMAS, LAS",3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,PONTEVEDRA,5
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,SANTA CRUZ DE TENERIFE,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,SARAGOSSA,4
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,SEVILLA,2
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,TARRAGONA,20
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,TEROL,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,TOLEDO,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,VALENCIA,13
2011,DISTRICTE 1,CENTRE                        ,"ESTATS UNITS D AMÈRICA, ELS   ", ,6
2011,DISTRICTE 1,CENTRE                        ,ETIÒPIA                       , ,1
2011,DISTRICTE 1,CENTRE                        ,FINLÀNDIA                     , ,2
2011,DISTRICTE 1,CENTRE                        ,FRANÇA                        , ,8
2011,DISTRICTE 1,CENTRE                        ,ITÀLIA                        , ,6
2011,DISTRICTE 1,CENTRE                        ,MALI                          , ,1
2011,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ", ,15
2011,DISTRICTE 1,CENTRE                        ,MÈXIC                         , ,2
2011,DISTRICTE 1,CENTRE                        ,NIGÈRIA                       , ,1
2011,DISTRICTE 1,CENTRE                        ,"PARAGUAI, EL                  ", ,2
2011,DISTRICTE 1,CENTRE                        ,PORTUGAL                      , ,1
2011,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ", ,6
2011,DISTRICTE 1,CENTRE                        ,"REPÚBLICA DOMINICANA, LA      ", ,2
2011,DISTRICTE 1,CENTRE                        ,ROMANIA                       , ,9
2011,DISTRICTE 1,CENTRE                        ,RÚSSIA                        , ,3
2011,DISTRICTE 1,CENTRE                        ,SÈRBIA                        , ,1
2011,DISTRICTE 1,CENTRE                        ,SUÈCIA                        , ,1
2011,DISTRICTE 1,CENTRE                        ,SUÏSSA                        , ,3
2011,DISTRICTE 1,CENTRE                        ,UCRAÏNA                       , ,1
2011,DISTRICTE 1,CENTRE                        ,VENEÇUELA                     , ,4
2011,DISTRICTE 1,CENTRE                        ,XILE                          , ,3
2011,DISTRICTE 1,CENTRE                        ,"XINA, LA                      ", ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ALBÀNIA                       , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BIELORÚSSIA                   , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BOLÍVIA                       , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"BRASIL, EL                    ", ,8
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,CUBA                          , ,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"EQUADOR, L                    ", ,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       , ,153
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,ALACANT,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,ALBACETE,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,BADAJOZ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,BARCELONA,99
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,CASTELLO,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,"CORUNYA, LA",2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,GIRONA,10
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,GRANADA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,GUIPUSCOA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,ILLES BALEARS,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,JAEN,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,LLEIDA,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,LLEO,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,MADRID,7
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,MALAGA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,NAVARRA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,OSCA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,"PALMAS, LAS",2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,PONTEVEDRA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,SALAMANCA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,SARAGOSSA,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,TARRAGONA,7
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,VALENCIA,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,FINLÀNDIA                     , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,HONDURES                      , ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"ÍNDIA, L                      ", ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"IRAN, L                       ", ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ITÀLIA                        , ,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,JORDÀNIA                      , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,MALÀISIA                      , ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ", ,8
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,MÈXIC                         , ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PARAGUAI, EL                  ", ,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PERÚ, EL                      ", ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"REGNE UNIT, EL                ", ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"REPÚBLICA DOMINICANA, LA      ", ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ROMANIA                       , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"SENEGAL, EL                   ", ,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,SUÏSSA                        , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,UCRAÏNA                       , ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,VENEÇUELA                     , ,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,XILE                          , ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ALEMANYA                      , ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"ARGENTINA, L                  ", ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"BRASIL, EL                    ", ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"EQUADOR, L                    ", ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       , ,103
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,ALACANT,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,ALBACETE,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,BARCELONA,60
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,CASTELLO,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,CORDOBA,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,"CORUNYA, LA",2
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,GIRONA,6
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,GRANADA,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,ILLES BALEARS,3
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,JAEN,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,LLEIDA,3
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,MADRID,8
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,OSCA,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,"PALMAS, LAS",1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,SALAMANCA,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,SANTA CRUZ DE TENERIFE,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,TARRAGONA,5
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,TEROL,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,VALENCIA,2
2011,DISTRICTE 1,VALLPARADÍS                   ,FRANÇA                        , ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"ÍNDIA, L                      ", ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"IRAN, L                       ", ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ITÀLIA                        , ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"MARROC, EL                    ", ,4
2011,DISTRICTE 1,VALLPARADÍS                   ,MÈXIC                         , ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,POLÒNIA                       , ,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"REPÚBLICA DOMINICANA, LA      ", ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ROMANIA                       , ,4
2011,DISTRICTE 1,VALLPARADÍS                   ,RÚSSIA                        , ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,VENEÇUELA                     , ,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ALEMANYA                      , ,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ALGÈRIA                       , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ARMÈNIA                       , ,4
2011,DISTRICTE 2,CA N ANGLADA                  ,BOLÍVIA                       , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"BRASIL, EL                    ", ,2
2011,DISTRICTE 2,CA N ANGLADA                  ,BULGÀRIA                      , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,COLÒMBIA                      , ,7
2011,DISTRICTE 2,CA N ANGLADA                  ,CUBA                          , ,3
2011,DISTRICTE 2,CA N ANGLADA                  ,EGIPTE                        , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,EL SALVADOR                   , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"EQUADOR, L                    ", ,10
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       , ,569
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,ALACANT,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,ALMERIA,11
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,ASTURIAS,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,BADAJOZ,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,BARCELONA,368
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,BISCAIA,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CACERES,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CADIS,10
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CANTABRIA,6
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CASTELLO,4
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CONCA,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,CORDOBA,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,"CORUNYA, LA",2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,GIRONA,18
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,GRANADA,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,GUADALAJARA,5
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,GUIPUSCOA,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,HUELVA,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,ILLES BALEARS,9
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,JAEN,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,LLEIDA,13
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,MADRID,18
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,MALAGA,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,MURCIA,9
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,OSCA,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,PALENCIA,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,"PALMAS, LAS",9
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,PONTEVEDRA,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,"RIOJA, LA",1
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,SANTA CRUZ DE TENERIFE,6
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,SARAGOSSA,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,SEVILLA,5
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,TARRAGONA,27
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,TEROL,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,TOLEDO,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,VALENCIA,14
2011,DISTRICTE 2,CA N ANGLADA                  ,"ESTATS UNITS D AMÈRICA, ELS   ", ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,FRANÇA                        , ,4
2011,DISTRICTE 2,CA N ANGLADA                  ,GHANA                         , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,HONDURES                      , ,7
2011,DISTRICTE 2,CA N ANGLADA                  ,ITÀLIA                        , ,9
2011,DISTRICTE 2,CA N ANGLADA                  ,"MARROC, EL                    ", ,75
2011,DISTRICTE 2,CA N ANGLADA                  ,NIGÈRIA                       , ,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAÏSOS BAIXOS, ELS            ", ,3
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAKISTAN, EL                  ", ,7
2011,DISTRICTE 2,CA N ANGLADA                  ,"PANAMÀ, EL                    ", ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"PARAGUAI, EL                  ", ,10
2011,DISTRICTE 2,CA N ANGLADA                  ,"PERÚ, EL                      ", ,4
2011,DISTRICTE 2,CA N ANGLADA                  ,"REGNE UNIT, EL                ", ,3
2011,DISTRICTE 2,CA N ANGLADA                  ,"REPÚBLICA DOMINICANA, LA      ", ,11
2011,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       , ,15
2011,DISTRICTE 2,CA N ANGLADA                  ,RÚSSIA                        , ,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"SENEGAL, EL                   ", ,15
2011,DISTRICTE 2,CA N ANGLADA                  ,TUNÍSIA                       , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,UCRAÏNA                       , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,VENEÇUELA                     , ,1
2011,DISTRICTE 2,CA N ANGLADA                  ,XILE                          , ,4
2011,DISTRICTE 2,CA N ANGLADA                  ,"XINA, LA                      ", ,2
2011,DISTRICTE 2,DISSEMINATS                   ,ESPANYA                       , ,2
2011,DISTRICTE 2,DISSEMINATS                   ,ESPANYA                       ,BARCELONA,2
2011,DISTRICTE 2,MONTSERRAT                    ,"EQUADOR, L                    ", ,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       , ,54
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,BARCELONA,37
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,CASTELLO,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,"CORUNYA, LA",1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,GRANADA,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,HUELVA,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,LLEIDA,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,MADRID,2
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,MALAGA,2
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,OSCA,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,"PALMAS, LAS",1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,TARRAGONA,5
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,VALENCIA,1
2011,DISTRICTE 2,MONTSERRAT                    ,FRANÇA                        , ,2
2011,DISTRICTE 2,MONTSERRAT                    ,GÀMBIA                        , ,1
2011,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ", ,15
2011,DISTRICTE 2,MONTSERRAT                    ,ROMANIA                       , ,2
2011,DISTRICTE 2,MONTSERRAT                    ,"SENEGAL, EL                   ", ,1
2011,DISTRICTE 2,TORRE-SANA                    ,"ARGENTINA, L                  ", ,1
2011,DISTRICTE 2,TORRE-SANA                    ,COLÒMBIA                      , ,5
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       , ,253
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,ALACANT,5
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,BARCELONA,192
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,BURGOS,2
