ï»¿VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
P,Eleccions al Parlament de Catalunya     ,2006,1,11,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,50
P,Eleccions al Parlament de Catalunya     ,2006,1,11,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PCPC           ,Partit Comunista de Poble de Catalunya            ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PFIV           ,Partit Familia i Vida                             ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PP             ,Partit Popular                                    ,45
P,Eleccions al Parlament de Catalunya     ,2006,1,11,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,172
P,Eleccions al Parlament de Catalunya     ,2006,1,11,RC             ,Partit Republicà Català                           ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,12,AES-DN         ,Plataforma Adelante Cataluña                      ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,12,C S            ,Ciutadans-Partido de la Ciudadania                ,21
P,Eleccions al Parlament de Catalunya     ,2006,1,12,CIU            ,Convergència i Unió                               ,189
P,Eleccions al Parlament de Catalunya     ,2006,1,12,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,12,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,5
P,Eleccions al Parlament de Catalunya     ,2006,1,12,ERC            ,Esquerra Republicana de Catalunya                 ,101
P,Eleccions al Parlament de Catalunya     ,2006,1,12,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,6
P,Eleccions al Parlament de Catalunya     ,2006,1,12,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,78
P,Eleccions al Parlament de Catalunya     ,2006,1,12,MSR            ,Movimiento Social Republicano                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PCPC           ,Partit Comunista de Poble de Catalunya            ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PFIV           ,Partit Familia i Vida                             ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PH             ,Partit Humanista de Catalunya                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,12,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PP             ,Partit Popular                                    ,45
P,Eleccions al Parlament de Catalunya     ,2006,1,12,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,139
P,Eleccions al Parlament de Catalunya     ,2006,1,12,RC             ,Partit Republicà Català                           ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,13,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,C S            ,Ciutadans-Partido de la Ciudadania                ,8
P,Eleccions al Parlament de Catalunya     ,2006,1,13,CIU            ,Convergència i Unió                               ,60
P,Eleccions al Parlament de Catalunya     ,2006,1,13,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,1
P,Eleccions al Parlament de Catalunya     ,2006,1,13,ERC            ,Esquerra Republicana de Catalunya                 ,24
P,Eleccions al Parlament de Catalunya     ,2006,1,13,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,13,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,38
P,Eleccions al Parlament de Catalunya     ,2006,1,13,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PCPC           ,Partit Comunista de Poble de Catalunya            ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PFIV           ,Partit Familia i Vida                             ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PH             ,Partit Humanista de Catalunya                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,13,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PP             ,Partit Popular                                    ,36
P,Eleccions al Parlament de Catalunya     ,2006,1,13,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,119
P,Eleccions al Parlament de Catalunya     ,2006,1,13,RC             ,Partit Republicà Català                           ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,14,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,C S            ,Ciutadans-Partido de la Ciudadania                ,31
P,Eleccions al Parlament de Catalunya     ,2006,1,14,CIU            ,Convergència i Unió                               ,207
P,Eleccions al Parlament de Catalunya     ,2006,1,14,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,3
P,Eleccions al Parlament de Catalunya     ,2006,1,14,ERC            ,Esquerra Republicana de Catalunya                 ,105
P,Eleccions al Parlament de Catalunya     ,2006,1,14,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,7
P,Eleccions al Parlament de Catalunya     ,2006,1,14,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,69
P,Eleccions al Parlament de Catalunya     ,2006,1,14,MSR            ,Movimiento Social Republicano                     ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PFIV           ,Partit Familia i Vida                             ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PP             ,Partit Popular                                    ,113
P,Eleccions al Parlament de Catalunya     ,2006,1,14,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,275
P,Eleccions al Parlament de Catalunya     ,2006,1,14,RC             ,Partit Republicà Català                           ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,AES-DN         ,Plataforma Adelante Cataluña                      ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,15,C S            ,Ciutadans-Partido de la Ciudadania                ,12
P,Eleccions al Parlament de Catalunya     ,2006,1,15,CIU            ,Convergència i Unió                               ,166
P,Eleccions al Parlament de Catalunya     ,2006,1,15,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,ERC            ,Esquerra Republicana de Catalunya                 ,101
