DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,10,ESPANYA                       ,VALLADOLID,Dona,1
2011,10,ESPANYA                       ,VALLADOLID,Home,3
2011,10,"ESTATS UNITS D AMÈRICA, ELS   ", ,Dona,1
2011,10,"ESTATS UNITS D AMÈRICA, ELS   ", ,Home,1
2011,10,"FILIPINES, LES                ", ,Home,1
2011,10,FRANÇA                        , ,Dona,3
2011,10,FRANÇA                        , ,Home,6
2011,10,GEÒRGIA                       , ,Dona,1
2011,10,GRÈCIA                        , ,Home,1
2011,10,HONDURES                      , ,Dona,4
2011,10,HONDURES                      , ,Home,1
2011,10,HONGRIA                       , ,Dona,1
2011,10,"IRAN, L                       ", ,Home,1
2011,10,ITÀLIA                        , ,Dona,3
2011,10,LETÒNIA                       , ,Home,1
2011,10,"MARROC, EL                    ", ,Dona,9
2011,10,"MARROC, EL                    ", ,Home,14
2011,10,MÈXIC                         , ,Dona,1
2011,10,MÈXIC                         , ,Home,5
2011,10,NIGÈRIA                       , ,Dona,1
2011,10,"PAKISTAN, EL                  ", ,Dona,3
2011,10,"PARAGUAI, EL                  ", ,Dona,7
2011,10,"PARAGUAI, EL                  ", ,Home,2
2011,10,"PERÚ, EL                      ", ,Dona,4
2011,10,"PERÚ, EL                      ", ,Home,1
2011,10,POLÒNIA                       , ,Dona,1
2011,10,POLÒNIA                       , ,Home,1
2011,10,PORTUGAL                      , ,Home,1
2011,10,"REGNE UNIT, EL                ", ,Dona,3
2011,10,"REGNE UNIT, EL                ", ,Home,2
2011,10,"REPÚBLICA DOMINICANA, LA      ", ,Dona,7
2011,10,"REPÚBLICA DOMINICANA, LA      ", ,Home,7
2011,10,ROMANIA                       , ,Dona,2
2011,10,ROMANIA                       , ,Home,1
2011,10,RÚSSIA                        , ,Dona,3
2011,10,"SENEGAL, EL                   ", ,Dona,2
2011,10,"SENEGAL, EL                   ", ,Home,10
2011,10,UCRAÏNA                       , ,Dona,1
2011,10,"URUGUAI, L                    ", ,Dona,1
2011,10,VENEÇUELA                     , ,Dona,3
2011,10,VENEÇUELA                     , ,Home,6
2011,10,XILE                          , ,Dona,1
2011,10,"XINA, LA                      ", ,Dona,1
2011,10,"XINA, LA                      ", ,Home,2
2011,11,ALEMANYA                      , ,Home,1
2011,11,ANDORRA                       , ,Dona,1
2011,11,ANDORRA                       , ,Home,1
2011,11,"ARGENTINA, L                  ", ,Home,1
2011,11,ARMÈNIA                       , ,Home,1
2011,11,ÀUSTRIA                       , ,Dona,1
2011,11,"BRASIL, EL                    ", ,Home,2
2011,11,COLÒMBIA                      , ,Dona,2
2011,11,COLÒMBIA                      , ,Home,2
2011,11,CUBA                          , ,Dona,7
2011,11,CUBA                          , ,Home,3
2011,11,"EQUADOR, L                    ", ,Dona,1
2011,11,ESPANYA                       , ,Dona,319
2011,11,ESPANYA                       , ,Home,353
2011,11,ESPANYA                       ,ALABA,Dona,1
2011,11,ESPANYA                       ,ALACANT,Dona,3
2011,11,ESPANYA                       ,ALACANT,Home,4
2011,11,ESPANYA                       ,ALMERIA,Dona,6
2011,11,ESPANYA                       ,ALMERIA,Home,3
2011,11,ESPANYA                       ,ASTURIAS,Dona,2
2011,11,ESPANYA                       ,BADAJOZ,Home,2
2011,11,ESPANYA                       ,BARCELONA,Dona,231
2011,11,ESPANYA                       ,BARCELONA,Home,243
2011,11,ESPANYA                       ,BISCAIA,Home,1
2011,11,ESPANYA                       ,CACERES,Dona,1
2011,11,ESPANYA                       ,CACERES,Home,1
2011,11,ESPANYA                       ,CADIS,Dona,3
2011,11,ESPANYA                       ,CADIS,Home,6
2011,11,ESPANYA                       ,CANTABRIA,Dona,3
2011,11,ESPANYA                       ,CANTABRIA,Home,3
2011,11,ESPANYA                       ,CASTELLO,Dona,2
2011,11,ESPANYA                       ,CORDOBA,Dona,1
2011,11,ESPANYA                       ,GIRONA,Dona,18
2011,11,ESPANYA                       ,GIRONA,Home,12
2011,11,ESPANYA                       ,GRANADA,Dona,5
2011,11,ESPANYA                       ,GRANADA,Home,1
2011,11,ESPANYA                       ,GUIPUSCOA,Home,1
2011,11,ESPANYA                       ,HUELVA,Home,1
2011,11,ESPANYA                       ,ILLES BALEARS,Dona,4
2011,11,ESPANYA                       ,ILLES BALEARS,Home,10
2011,11,ESPANYA                       ,JAEN,Dona,1
2011,11,ESPANYA                       ,LUGO,Dona,1
2011,11,ESPANYA                       ,LUGO,Home,2
2011,11,ESPANYA                       ,LLEIDA,Dona,7
2011,11,ESPANYA                       ,LLEIDA,Home,7
2011,11,ESPANYA                       ,MADRID,Dona,4
2011,11,ESPANYA                       ,MADRID,Home,8
2011,11,ESPANYA                       ,MALAGA,Dona,2
2011,11,ESPANYA                       ,MALAGA,Home,3
2011,11,ESPANYA                       ,MELILLA,Home,1
2011,11,ESPANYA                       ,NAVARRA,Dona,3
2011,11,ESPANYA                       ,NAVARRA,Home,2
2011,11,ESPANYA                       ,ORENSE,Home,1
2011,11,ESPANYA                       ,OSCA,Home,2
2011,11,ESPANYA                       ,"PALMAS, LAS",Home,7
2011,11,ESPANYA                       ,PONTEVEDRA,Dona,3
2011,11,ESPANYA                       ,PONTEVEDRA,Home,1
2011,11,ESPANYA                       ,"RIOJA, LA",Dona,2
2011,11,ESPANYA                       ,"RIOJA, LA",Home,1
2011,11,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Dona,2
2011,11,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Home,2
2011,11,ESPANYA                       ,SARAGOSSA,Home,2
2011,11,ESPANYA                       ,SORIA,Home,1
2011,11,ESPANYA                       ,TARRAGONA,Dona,7
2011,11,ESPANYA                       ,TARRAGONA,Home,16
2011,11,ESPANYA                       ,TEROL,Dona,1
2011,11,ESPANYA                       ,TOLEDO,Dona,1
2011,11,ESPANYA                       ,TOLEDO,Home,5
2011,11,ESPANYA                       ,VALENCIA,Dona,5
2011,11,ESPANYA                       ,VALENCIA,Home,4
2011,11,"ESTATS UNITS D AMÈRICA, ELS   ", ,Dona,1
2011,11,"ESTATS UNITS D AMÈRICA, ELS   ", ,Home,1
2011,11,ETIÒPIA                       , ,Home,1
2011,11,FRANÇA                        , ,Dona,2
2011,11,FRANÇA                        , ,Home,3
2011,11,GHANA                         , ,Dona,1
2011,11,"GUINEA BISSAU, LA             ", ,Dona,1
2011,11,HONDURES                      , ,Dona,2
2011,11,HONDURES                      , ,Home,2
2011,11,"ÍNDIA, L                      ", ,Dona,1
2011,11,"IRAN, L                       ", ,Dona,1
2011,11,ITÀLIA                        , ,Dona,1
2011,11,ITÀLIA                        , ,Home,3
2011,11,"MARROC, EL                    ", ,Dona,7
2011,11,"MARROC, EL                    ", ,Home,14
2011,11,MÈXIC                         , ,Home,1
2011,11,NICARAGUA                     , ,Dona,1
2011,11,NORUEGA                       , ,Dona,2
