CODI_NORMATIVA,TITOL,AMBIT,URL,DESCRIPCIO,DATA_INI_VIGENCIA,DATA_FI_VIGENCIA,WEB
01500,OF núm.3.16 - Taxa per a la prestació dels serveis d ajuda a domicili,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2016 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01500
01501,OF núm.3.17 - Taxa per a l ocupació de les zones d estacionament amb horari limitat,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01501
01502,OF núm.3.18 - Taxa per a la utilització dels equipaments culturals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01502
01503,OF núm.3.19 - Taxa per a la utilització d espais d equipaments i edificis municipals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01503
01402,OF núm.3.20 - Taxa per a la utilització dels horts municipals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01402
01505,OF núm.3.21 - Taxa per a la utilització de les instal·lacions de Baumann Servei de Joventut,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01505
01937,OF núm.3.22 - Taxa per a l aprofitament especial del domini públic local a favor d empreses operadores o explotadores dels sectors ...,Local,,"Títol complet: Taxa per l aprofitament especial del domini públic local a favor d empreses operadores o explotadores dels sectors d aigua electricitat, telecomunicació i hidrocarburs.<br><br> <u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01937
01507,OF núm.3.23 - Taxa per a la utilització del servei de teleassistència,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2016 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01507
00221,OF núm.3.24 - Taxa per a l ocupació de mòduls de les fires municipals d artesania,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00221
01508,OF núm.3.25 - Taxa per la prestació de serveis en els centres docents de titularitat municipal,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01508
