REGIO_SANITARIA,EDAT,TOTAL
B,74,49
B,75,48
B,76,47
B,77,44
B,78,33
B,79,29
B,80,25
B,81,34
B,82,23
B,83,18
B,84,20
B,85,10
B,86,8
B,87,13
B,88,12
B,89,8
B,90,4
B,91,6
B,92,1
B,93,1
B,94,3
B,97,1
B,99,1
C,0,477
C,1,133
C,2,102
C,3,110
C,4,110
C,5,108
C,6,97
C,7,79
C,8,80
C,9,57
C,10,157
C,11,100
C,12,85
C,13,59
C,14,63
C,15,108
C,16,165
C,17,168
C,18,147
C,19,80
C,20,69
C,21,85
C,22,124
C,23,121
C,24,119
C,25,133
C,26,161
C,27,178
C,28,183
C,29,160
C,30,165
C,31,209
C,32,194
C,33,182
C,34,195
C,35,182
C,36,168
C,37,177
C,38,180
C,39,190
C,40,152
C,41,166
C,42,151
C,43,164
C,44,137
C,45,133
C,46,125
C,47,107
C,48,97
C,49,92
C,50,123
C,51,122
C,52,86
C,53,104
C,54,92
C,55,79
C,56,66
C,57,71
C,58,82
C,59,79
C,60,82
C,61,63
C,62,60
C,63,49
C,64,44
C,65,55
C,66,40
C,67,48
C,68,38
C,69,35
C,70,27
C,71,27
C,72,14
C,73,23
C,74,20
C,75,15
C,76,15
C,77,15
C,78,6
C,79,9
C,80,12
C,81,12
C,82,5
C,83,16
C,84,8
C,85,7
C,86,11
C,87,6
C,88,5
C,89,5
C,90,6
C,91,5
C,92,3
C,93,1
C,94,3
C,95,5
D,0,1235
D,1,420
D,2,372
D,3,337
D,4,372
D,5,351
D,6,312
D,7,316
D,8,231
D,9,199
D,10,322
D,11,247
D,12,176
D,13,134
D,14,115
D,15,318
D,16,333
D,17,356
D,18,297
D,19,176
D,20,160
D,21,224
D,22,285
D,23,288
D,24,348
D,25,407
D,26,503
D,27,541
D,28,575
D,29,583
D,30,621
D,31,617
D,32,538
D,33,540
D,34,588
D,35,530
D,36,542
D,37,514
D,38,453
D,39,488
D,40,461
D,41,423
D,42,399
D,43,377
D,44,360
D,45,310
D,46,315
D,47,311
D,48,307
D,49,271
D,50,265
D,51,258
D,52,247
D,53,215
D,54,201
D,55,220
D,56,219
D,57,192
D,58,211
D,59,169
D,60,183
D,61,181
D,62,187
D,63,156
D,64,164
D,65,155
D,66,134
D,67,109
D,68,104
D,69,104
D,70,94
D,71,90
D,72,72
D,73,61
D,74,73
D,75,55
D,76,44
D,77,44
D,78,45
D,79,25
D,80,33
D,81,22
D,82,23
D,83,26
D,84,15
D,85,16
D,86,7
D,87,19
D,88,11
D,89,4
D,90,7
D,91,3
D,92,3
D,93,1
D,94,2
D,97,1
D,99,1
D,102,1
E,0,2913
E,1,923
E,2,832
E,3,749
E,4,862
E,5,712
E,6,744
E,7,662
E,8,531
E,9,441
E,10,673
E,11,510
E,12,371
E,13,304
E,14,296
E,15,682
E,16,831
E,17,1055
E,18,939
E,19,479
E,20,422
E,21,559
E,22,743
E,23,779
E,24,872
E,25,947
E,26,1069
E,27,1187
E,28,1307
E,29,1284
E,30,1358
E,31,1389
E,32,1368
E,33,1409
E,34,1392
E,35,1336
E,36,1316
E,37,1236
E,38,1257
E,39,1163
E,40,1216
E,41,1068
E,42,1122
E,43,993
E,44,1024
E,45,971
E,46,906
E,47,849
E,48,826
E,49,781
E,50,805
E,51,722
E,52,749
E,53,675
E,54,638
E,55,616
E,56,566
E,57,508
E,58,542
E,59,547
E,60,583
E,61,496
E,62,466
E,63,463
E,64,444
E,65,465
E,66,402
E,67,369
E,68,308
E,69,303
E,70,276
E,71,246
E,72,223
E,73,219
E,74,217
E,75,196
E,76,198
E,77,156
E,78,154
E,79,132
E,80,115
E,81,98
E,82,86
E,83,71
E,84,72
E,85,55
E,86,36
E,87,33
E,88,25
E,89,24
E,90,22
E,91,25
E,92,15
E,93,10
E,94,8
E,95,5
E,96,1
E,98,1
F,0,1381
F,1,443
F,2,391
F,3,392
F,4,412
F,5,355
F,6,361
F,7,354
F,8,286
F,9,262
F,10,476
F,11,331
F,12,214
F,13,205
F,14,190
F,15,434
F,16,502
F,17,480
F,18,437
F,19,343
F,20,344
F,21,330
F,22,436
F,23,483
F,24,541
F,25,576
F,26,565
F,27,571
F,28,659
F,29,659
F,30,688
F,31,650
F,32,658
F,33,678
F,34,653
F,35,666
F,36,713
F,37,603
F,38,593
F,39,583
F,40,569
F,41,571
F,42,579
F,43,495
F,44,571
F,45,470
F,46,458
F,47,458
F,48,449
F,49,380
F,50,374
F,51,399
F,52,411
F,53,364
F,54,311
F,55,314
F,56,262
F,57,254
F,58,282
F,59,296
F,60,283
F,61,247
F,62,226
F,63,240
F,64,218
F,65,231
F,66,191
F,67,160
F,68,134
F,69,141
F,70,137
F,71,132
F,72,121
F,73,96
F,74,88
F,75,111
F,76,74
F,77,75
F,78,71
F,79,58
F,80,50
F,81,48
F,82,58
F,83,38
F,84,30
F,85,28
F,86,22
F,87,27
F,88,16
F,89,11
F,90,12
F,91,10
F,92,5
F,93,6
F,94,1
F,95,3
F,96,1
F,98,1
G,0,1336
G,1,399
G,2,369
G,3,379
G,4,370
G,5,307
G,6,288
G,7,264
G,8,226
G,9,193
G,10,232
G,11,220
G,12,144
G,13,145
G,14,110
G,15,345
G,16,437
G,17,371
G,18,310
G,19,225
G,20,201
G,21,254
G,22,333
G,23,375
G,24,414
G,25,481
G,26,535
G,27,551
G,28,571
G,29,563
G,30,595
G,31,557
G,32,562
G,33,611
G,34,570
G,35,559
G,36,555
G,37,524
G,38,533
G,39,481
G,40,471
G,41,471
G,42,437
G,43,383
G,44,386
G,45,372
G,46,340
G,47,357
G,48,329
G,49,286
G,50,269
G,51,284
G,52,289
G,53,238
G,54,239
G,55,197
G,56,203
G,57,194
G,58,183
G,59,182
G,60,203
G,61,164
G,62,144
G,63,178
G,64,157
G,65,198
G,66,132
G,67,135
G,68,112
G,69,101
G,70,86
G,71,92
G,72,86
G,73,73
G,74,51
G,75,63
G,76,42
G,77,46
G,78,45
G,79,47
G,80,28
G,81,25
G,82,19
G,83,22
G,84,16
G,85,9
G,86,10
G,87,12
G,88,8
G,89,7
G,90,4
G,91,3
G,92,4
G,93,3
G,94,2
G,98,1
