NOM,ANY_NAIXEMENT,SEXE,TOTAL
SAMI,2016,H,2
ADAY,2016,H,2
JAIRO,2016,H,2
CLOE,2016,D,2
IYAD,2016,H,2
MAR,2016,D,2
ANAIS,2016,D,2
MANEL,2016,H,2
MATEO,2016,H,2
IGNASI,2016,H,2
MARCOS,2016,H,2
ITZIAR,2016,D,2
YOUSRA,2016,D,2
NAYLA,2016,D,2
ASHLEY,2016,D,2
YASER,2016,H,2
NAYRA,2016,D,2
ALEXIS,2016,H,1
MARIA TRESA,2016,D,1
SULEIMAN,2016,H,1
AYUN,2016,H,1
YASSER,2016,H,1
VIDAL,2016,H,1
NEL,2016,H,1
DHANA,2016,D,1
JAYDEN ANDRES,2016,H,1
ELIAS JOSE,2016,H,1
SOULEYMANE,2016,H,1
CAIRO,2016,H,1
SALIL,2016,D,1
SEBASTIAN DANIEL,2016,H,1
FAMA,2016,D,1
CELESTE,2016,D,1
NAIRA,2016,D,1
CRSTIAN ABRAHAM,2016,H,1
KHLOE,2016,D,1
BASEL,2016,H,1
SOULAYMAN,2016,H,1
DARYL,2016,H,1
LLUVIA,2016,D,1
JOUAYRIA,2016,D,1
MARTI,2016,D,1
DAREK,2016,H,1
ISABELLA IYANUOLUWA,2016,D,1
JOAQUIN,2016,H,1
ALEXANDRE,2016,H,1
MARK,2016,H,1
ELRIC,2016,H,1
HAFSA,2016,H,1
NOA DESSIRE,2016,D,1
SAFA,2016,D,1
THEO,2016,H,1
ROY,2016,H,1
EMMA DANIELA,2016,D,1
JESSICA,2016,D,1
DANAE,2016,D,1
AINA MARIA,2016,D,1
MAITANE,2016,D,1
BASMA,2016,D,1
LEAH,2016,D,1
IRIANI,2016,D,1
ENA,2016,D,1
LILA,2016,D,1
LLUIS GUILLEM,2016,H,1
ANGELA,2016,D,1
HIGO,2016,H,1
DINA,2016,D,1
MARA,2016,D,1
SAFWAN,2016,H,1
EMIL,2016,H,1
JULIETH,2016,D,1
FRANCESC,2016,H,1
ZAID,2016,H,1
XIN YUE,2016,D,1
EMILY,2016,D,1
JANNA,2016,D,1
DIYAR,2016,D,1
NIRA,2016,D,1
LUIS FELIPE,2016,H,1
AIDAN,2016,H,1
KHADIJA,2016,D,1
ARON,2016,H,1
BILAL,2016,H,1
RICARDO,2016,H,1
SOHAID,2016,H,1
FERNANDO,2016,H,1
LLORENÇ,2016,H,1
AMJAD,2016,H,1
ANAIS MARIA,2016,D,1
IMANE,2016,D,1
AGATA,2016,D,1
JAMAL,2016,H,1
IRFA,2016,D,1
ASSIA,2016,D,1
VALENTINA ISABELLA,2016,D,1
IMAD,2016,H,1
AILA,2016,D,1
DYLAN,2016,D,1
MIRAL ANABELLE,2016,D,1
ROSI,2016,D,1
BASSEM,2016,H,1
YEIDEN,2016,H,1
JAIME MANUEL,2016,H,1
MIQUEL,2016,D,1
DOUNIA,2016,D,1
KRYSTIAN,2016,H,1
MAEL,2016,H,1
ELIANNY SOFIA,2016,D,1
ALTAMIS ESHAN DANIYAL,2016,H,1
NEILAN EZEQUIEL,2016,H,1
MARKEL,2016,H,1
DIAMOND,2016,D,1
BARAA,2016,H,1
NOE GUSTAVO,2016,H,1
NIL OMAR,2016,H,1
RAHIL,2016,D,1
XIN KANG,2016,H,1
ROI,2016,H,1
ETHAN NICOLAS,2016,H,1
NACHO,2016,H,1
MICHELLE,2016,D,1
SAMI YOUSEF,2016,H,1
ILLIDAN,2016,H,1
ISAAC,2016,H,1
MATIAS,2016,H,1
DOAA,2016,D,1
MATEU,2016,H,1
YAIZA,2016,D,1
EVA,2016,D,1
ARUN,2016,H,1
TARIK,2016,H,1
AMINA,2016,D,1
AERIN,2016,D,1
FOLC,2016,H,1
MIREIA,2016,D,1
DANTE,2016,H,1
IPEK,2016,D,1
ELEN,2016,D,1
JIMENA,2016,D,1
RUBEN,2016,H,1
MOHAMMED,2016,H,1
AMALIO,2016,H,1
YING YING,2016,D,1
QUSAY,2016,H,1
AISHA,2016,D,1
RAMON,2016,H,1
ABRAR,2016,D,1
SOLEDAD,2016,D,1
CINTU,2016,H,1
LUCA,2016,H,1
ADARA,2016,D,1
JUNE MARGARET,2016,D,1
SHARLOTT,2016,D,1
MARIEME ROKHAYA,2016,D,1
MOHAMETE DJIMBA,2016,H,1
ABDERRAZAK,2016,H,1
DILAN MIGUEL,2016,H,1
MUHAMMAD ALI,2016,H,1
BRUNO ABRAHAM,2016,H,1
NDEYE MAGUETTE,2016,D,1
LILIANNA,2016,D,1
ENRIQUE,2016,H,1
YOEL,2016,H,1
MANU,2016,H,1
ALGUER,2016,H,1
FATIMA ZHORA,2016,D,1
OLAU,2016,H,1
TURA,2016,D,1
HAROUN,2016,H,1
KHALIL MANUEL,2016,H,1
SOLE,2016,D,1
NABILA,2016,D,1
ADELINA,2016,D,1
AYNAA,2016,D,1
YAAKUB,2016,H,1
MOHAMED YASSINE,2016,H,1
DAMIAN,2016,H,1
BJORN,2016,D,1
DAN,2016,H,1
SABAA,2016,D,1
FLORENCIA SOFIA,2016,D,1
CIARA,2016,D,1
MERIEM,2016,D,1
CHEIKH AHMADOU BAMBA,2016,H,1
HUD,2016,H,1
VICTORIA JASMINE,2016,D,1
DANIELA MONTSERRAT,2016,D,1
DALIA,2016,D,1
KHALIFA BABACAR,2016,H,1
ISRAA,2016,D,1
WITSEL JOEL,2016,H,1
EDUARD,2016,H,1
ISKRA,2016,D,1
KAISSER HILARIO,2016,H,1
RAMIA,2016,D,1
ADRIAN HERBERT,2016,H,1
NELI,2016,D,1
NEYZAN,2016,H,1
LLEO,2016,H,1
IMAN,2016,H,1
EVAN,2016,H,1
MAISAA,2016,D,1
MARTINAQ,2016,D,1
AINOA,2016,D,1
ASER,2016,H,1
SOKHNA MARIAMA,2016,D,1
MOISES,2016,H,1
MARIO MIGUEL,2016,H,1
AXEL,2016,D,1
ABDELAZIZ,2016,H,1
DAYALA,2016,D,1
LUCCA,2016,H,1
ALBA LUZ,2016,D,1
AMINATA ADJALIAN,2016,D,1
DORIAN,2016,H,1
JORDAN ALEXANDER,2016,H,1
RAFAEL ANTONIO,2016,H,1
ALI,2016,H,1
IDUNN,2016,D,1
LOQMAN,2016,H,1
SABRINA,2016,D,1
YANCLAURIS,2016,D,1
INIA,2016,D,1
NATALIE,2016,D,1
EL HADJI MODOU,2016,H,1
RAUL DANIEL,2016,H,1
CRISTIAN,2016,H,1
LEONIE,2016,D,1
AITANA JULIETTE,2016,D,1
EUGENE,2016,H,1
ZAYRA,2016,D,1
NARU,2016,H,1
NOAH,2016,D,1
PAOLA,2016,D,1
KAUAN,2016,H,1
GAL.LA,2016,D,1
MARWAN,2016,H,1
LUIS ALEJANDRO,2016,H,1
ALEXANDER ISAIAS,2016,H,1
SAMBA LAOBE,2016,H,1
INSAF,2016,D,1
YURI,2016,H,1
NASIM,2016,H,1
EKAI,2016,H,1
ARIAN,2016,H,1
MOAYAD,2016,H,1
CARLOS HENRIQUE,2016,H,1
YOUSSRA,2016,D,1
GALATEA,2016,D,1
EIDER,2016,D,1
SULAMITA,2016,D,1
ATIK,2016,H,1
TANIA,2016,D,1
NOR,2016,D,1
CLAUDIU IONUT,2016,H,1
IGNACIO ANDRES,2016,H,1
DYLAN ANDREUDY,2016,H,1
ODEY,2016,H,1
XAVIER ANGEL,2016,H,1
EMILIO,2016,H,1
CHADA,2016,H,1
AYAT,2016,D,1
HIIBA,2016,D,1
KOURTNEY LUCIA,2016,D,1
CARLA SUJEI,2016,D,1
ILYASS,2016,H,1
AHMED,2016,H,1
LEIRE,2016,D,1
SERENA,2016,D,1
KAUTAR,2016,D,1
ISMAIL,2016,H,1
IMRANE,2016,H,1
IAN ENRIC,2016,H,1
INGRID,2016,D,1
AROHA,2016,D,1
IVAN JUNIOR,2016,H,1
YICHEN,2016,H,1
ELIAN,2016,H,1
ROBERT ALEXANDRU,2016,H,1
YIFAN,2016,H,1
MAYA,2016,D,1
SILVIA,2016,D,1
ESTELA,2016,D,1
KIAM,2016,H,1
FRANCISCO,2016,H,1
SANTI,2016,H,1
CESC,2016,H,1
AALIYAH,2016,D,1
IANA,2016,D,1
TAHA,2016,H,1
MANAL,2016,D,1
MICHAEL,2016,H,1
MERAL,2016,D,1
ARYAN,2016,H,1
ROWAIDA,2016,D,1
BASSMA,2016,D,1
MARIA ANGELICA,2016,D,1
YLENIA STEISY,2016,D,1
ODON,2016,H,1
BRAHIM,2016,H,1
TIAGO,2016,H,1
ELIAS JOSUE,2016,H,1
DALIA LISETH,2016,D,1
THIAGO DAMIAN,2016,H,1
ELVIS JAEL,2016,H,1
MEI,2016,D,1
ASMAE,2016,D,1
GINA,2016,H,1
SELINA,2016,D,1
PILAR,2016,D,1
AHLAM,2016,D,1
JOHANNA FRANCESCA,2016,D,1
SARISH,2016,D,1
HALIMA,2016,D,1
ARLETTE,2016,D,1
KARIN,2016,D,1
EDWARD FERNANDO,2016,H,1
KHADYLAYE,2016,D,1
RUQAYA,2016,D,1
SOKHANADIA,2016,D,1
ASHLY,2016,D,1
SORAYA,2016,D,1
EILENN,2016,D,1
MUSTAPHA,2016,H,1
UNAY,2016,H,1
PASCUAL,2016,H,1
VIKTOR,2016,H,1
SERIGNE FALLOU,2016,H,1
EDITH,2016,H,1
FRANDY JOEL,2016,H,1
MARI,2016,D,1
INSSAF,2016,D,1
AMELIE,2016,D,1
TAMARA,2016,D,1
CARLOS NICOLAS,2016,H,1
ARIANNA PERLA,2016,D,1
PABLO,2016,D,1
DANIELLA,2016,D,1
LOGAN,2016,H,1
NASHLY,2016,D,1
NEYTHAN,2016,H,1
SARAH LUCIA,2016,D,1
HANS,2016,H,1
AURORA,2016,D,1
NDACK,2016,D,1
REBECA,2016,D,1
QUASI,2016,H,1
DICKSON,2016,H,1
ELIZABETH YAMILETH,2016,D,1
GOHAN,2016,H,1
YUANA,2016,D,1
AMANI,2016,D,1
LICHEN,2016,H,1
ISEL,2016,D,1
IMRAH,2016,H,1
GENIS,2016,H,1
LUIGI,2016,H,1
EZEQUIEL,2016,H,1
HAROU,2016,H,1
JULIETA,2016,D,1
EITHAN,2016,H,1
KAI,2016,H,1
ALEXIS NICOLAS,2016,H,1
JAAD,2016,H,1
ELSA,2016,H,1
VIOLETA,2016,D,1
AROHA MARIA,2016,D,1
VALENTIN,2016,H,1
NOGAYE,2016,D,1
MELANIA,2016,D,1
AUDEN KAI,2016,H,1
XIANA,2016,D,1
RIHAB,2016,D,1
ALAIA,2016,D,1
MALAMINI,2016,H,1
NATHALIE,2016,D,1
YESHIA ARIELA,2016,D,1
ROHAISAA,2016,D,1
ALIAE,2016,D,1
KENIA,2016,D,1
NADIN,2016,D,1
AMANDA,2016,D,1
NATALIA ELENA,2016,D,1
ANDREA THAYNARA,2016,D,1
HELOISE,2016,D,1
TRIANA,2016,D,1
GOREME,2016,D,1
ALEGRIA ADELA,2016,D,1
NELDITH ALEJANDRA,2016,D,1
LUANA,2016,D,1
IRAY,2016,H,1
DAVID ALP,2016,H,1
IBRAHIM,2016,H,1
SAMIRA,2016,D,1
PAU ANTONI,2016,H,1
FRANKLIN ALEXANDER,2016,H,1
ALICIA,2016,D,1
SAMIA,2016,D,1
AWA BINETTE,2016,D,1
LUA,2016,D,1
ABDELHAKIM,2016,H,1
TOMAS,2016,H,1
DANIELA INGE,2016,D,1
AIMAR,2016,H,1
JULIA SAMAY,2016,D,1
ABDELWADOUD,2016,H,1
IU,2016,H,1
ALAN NICOLAS,2016,H,1
SARA ANIELA,2016,D,1
LINUS,2016,H,1
HOUDAIFA,2016,H,1
ARYA VERONICA,2016,D,1
APRIL GORGINA,2016,D,1
JADEN,2016,H,1
AN QI,2016,D,1
ANDRES ALEJANDRO,2016,H,1
MARIOLA,2016,D,1
JULIETTE,2016,D,1
SELLAM,2016,H,1
ALEX MIHAI,2016,H,1
NICOLAS DANIEL,2016,H,1
DJENEBOU,2016,D,1
NYDIA,2016,D,1
JUN HAO,2016,H,1
NAYRES,2016,D,1
SOUHAYL,2016,H,1
COQUE,2016,H,1
MARTINA,2016,H,1
DANNY,2016,H,1
LEONARD,2016,H,1
LENA,2016,D,1
MOHAMED YASSIR,2016,H,1
MERITXELL,2016,D,1
ADAN,2016,H,1
GISELL,2016,D,1
NATALIA  AGNIESZKA,2016,D,1
RIM,2016,D,1
NIL FRANKLIN,2016,H,1
ALANA,2016,D,1
GABRIEL RICARDO,2016,H,1
ALEJANDRA,2016,D,1
WEN QI,2016,D,1
NIHAL,2016,D,1
ZAKARIA,2016,H,1
BELEN,2016,D,1
MANUELA,2016,D,1
NEIL,2016,H,1
SHERIN LIONELA,2016,D,1
ROMEU,2016,H,1
ABDENOUR,2016,H,1
SERIGNE,2016,H,1
ALLISON,2016,D,1
ABDALLAH,2016,H,1
AMIR,2016,D,1
ERIK OUMAR,2016,H,1
ALEXANDRA,2016,H,1
MARTHA SUSANA,2016,D,1
KEVIN  ALEJANDRO,2016,H,1
LUIS MIGUEL,2016,H,1
JANA,2016,H,1
YONAI,2016,H,1
JAYDEN,2016,H,1
GISELLE,2016,D,1
YOHAN EDUARDO,2016,H,1
SHEYLA,2016,D,1
MOHAMMAD,2016,H,1
MAISAE,2016,D,1
ALBERTO JOSSUE,2016,H,1
ELOY,2016,H,1
MOHAMED RIDA,2016,H,1
SOUNDOUS,2016,D,1
MARIA PILAR,2016,D,1
DUNIA,2016,D,1
MAME DIARRA BOUSSOU,2016,D,1
GUIU,2016,H,1
SOPHIA ISABELLA,2016,D,1
RAYCO,2016,H,1
AUDREY,2016,D,1
LAURANA,2016,D,1
PAULA,2016,H,1
ALBERTO,2016,H,1
SALMAN,2016,H,1
MEL,2016,D,1
ELLA,2016,D,1
STELA,2016,D,1
JOANNA,2016,D,1
EUDALD,2016,H,1
BEZANY,2016,D,1
ISHAK,2016,H,1
SALIOU,2016,H,1
SALIMA,2016,D,1
GORKA,2016,H,1
NESTOR,2016,H,1
AIDA,2016,D,1
YULAYBIB,2016,H,1
MOHCINE,2016,H,1
ITZEL,2016,D,1
BRYAN,2016,H,1
XENIA,2016,D,1
CRISMELY,2016,D,1
CRISTOPHER,2016,H,1
NAZARET WALESKA,2016,D,1
LEANDRO DANIEL,2016,H,1
RAFA,2016,H,1
MARCEL,2016,H,1
UXIA,2016,D,1
GENESIS DARA,2016,D,1
OLGA,2016,D,1
FIONA,2016,D,1
JAUME,2016,H,1
BAJOLETH ANHAIS,2016,D,1
ESRAE,2016,D,1
DULCE AINE,2016,D,1
ANAAYA OSIOSOMHE,2016,D,1
GISEL.LA,2016,D,1
MAIDER,2016,H,1
AZAHARA,2016,D,1
MARTIN DANIEL,2016,H,1
YUMALAY,2016,D,1
JIAYAO,2016,D,1
FARES,2016,H,1
ABDELNOUR,2016,H,1
JOAN CARLOS,2016,H,1
ALE,2016,H,1
ROK,2016,H,1
WIAM,2016,D,1
SIRIN,2016,D,1
ROMAISA,2016,D,1
DARECK,2016,H,1
WESLEY,2016,H,1
AHMED BACHIR,2016,H,1
IVONNE,2016,D,1
FIRDAUS,2016,D,1
JEIRON AQUILES,2016,H,1
VIOLETTA,2016,D,1
ELISABETH,2016,D,1
SILVANA,2016,D,1
AREA,2016,D,1
JAYCE DAVID,2016,H,1
AMELIA,2016,D,1
JUNE,2016,D,1
NAIM,2016,H,1
AMIN,2016,H,1
UMA,2016,D,1
NAOMI,2016,D,1
OIHANE,2016,D,1
PABLO ANDRES,2016,H,1
JARED,2016,H,1
JIHAN,2016,D,1
UMAIMA,2016,D,1
RITAL,2016,D,1
SAFOUAN,2016,H,1
ANNE,2016,D,1
KILIAN GARY,2016,H,1
XAVIR,2016,H,1
ELIAS,2016,H,1
AMERA,2016,D,1
KARLA MIRIAM,2016,D,1
ILIA,2016,D,1
SELENIA BEATRIZ,2016,D,1
ABUBACARR,2016,H,1
ARIADNA ALESSANDRA,2016,D,1
AMINATA,2016,D,1
CARMEN,2016,D,1
LEONARDO,2016,H,1
NOEMY,2016,D,1
MAURO,2016,H,1
SHUO,2016,H,1
BRIEL,2016,H,1
SABER,2016,H,1
JUAN ANTONIO,2016,H,1
MOHAMED SAID,2016,H,1
CHRISTOPHER,2016,H,1
MANASA,2016,D,1
JOSE ALEJANDRO,2016,H,1
XAVIER,2016,H,1
LANA,2016,D,1
ASHRAF,2016,H,1
YERAY,2016,H,1
AGATHA LIZETH,2016,D,1
NAIMA,2016,D,1
ANNAIS,2016,D,1
RAFFAELLA,2016,D,1
MARIO GIULIANO,2016,H,1
DEREK OLISA,2016,H,1
BIGUE,2016,D,1
KENDRICK JADIEL,2016,H,1
MOHAMEN REDA,2016,H,1
DIAGO,2016,H,1
KENAY,2016,H,1
KAWTAR,2016,D,1
STEVEN,2016,H,1
IVETH,2016,D,1
VICTORIA FRANCHESCA,2016,D,1
JAMIE,2016,H,1
WASIMA,2016,D,1
GORA DIFALE,2016,H,1
EIDAN,2016,H,1
ANGEL,2016,D,1
MILAN,2016,H,1
BARD,2016,H,1
NOAH,2016,H,1
AHMAD,2016,H,1
SIDRA,2016,D,1
EIDEN,2016,H,1
LUCIA RENATA,2016,D,1
URIEL,2016,H,1
SALMA,2016,H,1
EITAN RAUL,2016,H,1
ASTRID,2016,D,1
PEPE,2016,H,1
ELOI,2016,H,1
CRISTHELL NOELIA,2016,D,1
XIN QING,2016,D,1
WASSIM,2016,H,1
FABIAN,2016,H,1
NOLAN,2016,H,1
ERICK,2016,H,1
LLUM,2016,D,1
NEL ALEXANDER,2016,H,1
JORGE DYLAN,2016,H,1
JOSEMI,2016,H,1
ISLAM,2016,H,1
JAYNELLE GRACE,2016,D,1
FARAH,2016,D,1
BENJAMIN FABRICIO,2016,H,1
THIAGO MATHIEU,2016,H,1
ANAHIS,2016,D,1
RODAINA,2016,D,1
NOAH ISMAEL,2016,D,1
BOTHIKA MARIE,2016,D,1
RODAYNA,2016,D,1
AMY JULEYSI,2016,D,1
ARANTXA,2016,D,1
MARYAM,2016,D,1
SAMAY,2016,D,1
EINAR,2016,H,1
POL RICARD,2016,H,1
NINA,2016,D,1
LUCAS MEDARDO,2016,H,1
DADO,2016,D,1
ISRAEL,2016,H,1
YAYE KATY,2016,D,1
ADA,2016,D,1
JAMES,2016,H,1
ELOI KERRY,2016,H,1
NEREA,2016,D,1
LEO,2016,D,1
LIS,2016,D,1
RIYAD,2016,H,1
ANA PATRICIA,2016,D,1
MOHAMED ALI,2016,H,1
JOAN ELIAS,2016,H,1
MARIANGEL,2016,D,1
DANIEL ENRIQUE,2016,H,1
NOUH,2016,H,1
VINYET,2016,D,1
MIGUEL ANGEL,2016,H,1
ANYELEN LARISSA,2016,H,1
SAMIR,2016,H,1
JIN PENG,2016,H,1
YUREM,2016,H,1
LEXA,2016,D,1
WAEL,2016,H,1
ALBERT JOSE,2016,H,1
HAJAR,2016,D,1
JOAN JOSEP,2016,H,1
FRANCISCO JAVIER,2016,H,1
ENAR,2016,H,1
LUNA,2016,D,1
MARC,2015,H,33
MARTI,2015,H,29
MARTINA,2015,D,29
LAIA,2015,D,28
JULIA,2015,D,25
HUGO,2015,H,24
LEO,2015,H,23
ERIC,2015,H,22
JAN,2015,H,21
ARNAU,2015,H,20
POL,2015,H,20
MARIA,2015,D,19
ABRIL,2015,D,19
PAULA,2015,D,18
NIL,2015,H,18
DANIEL,2015,H,18
CARLA,2015,D,17
AINA,2015,D,17
EMMA,2015,D,17
ONA,2015,D,16
BIEL,2015,H,16
LUCIA,2015,D,16
PAU,2015,H,16
ALEX,2015,H,15
NOA,2015,D,14
DAVID,2015,H,13
MOHAMED,2015,H,13
IZAN,2015,H,13
ALBA,2015,D,13
ROC,2015,H,13
MARIO,2015,H,12
ARIADNA,2015,D,12
LEYRE,2015,D,11
SARA,2015,D,11
ENZO,2015,H,11
PABLO,2015,H,11
ADAM,2015,H,11
LEIRE,2015,D,11
ARLET,2015,D,11
ROGER,2015,H,10
SOFIA,2015,D,10
VICTOR,2015,H,10
VALERIA,2015,D,10
RAYAN,2015,H,10
ANNA,2015,D,10
JANA,2015,D,10
ORIOL,2015,H,10
HECTOR,2015,H,9
JOAN,2015,H,9
CLAUDIA,2015,D,9
DANIELA,2015,D,9
IVET,2015,D,9
GERARD,2015,H,9
XAVI,2015,H,8
MIA,2015,D,8
ANAS,2015,H,8
LIA,2015,D,8
QUERALT,2015,D,8
ALEIX,2015,H,8
NURIA,2015,D,8
VALENTINA,2015,D,8
ADRIAN,2015,H,8
XAVIER,2015,H,7
ANTONIO,2015,H,7
ADRIA,2015,H,7
LUCAS,2015,H,7
ELSA,2015,D,7
MAX,2015,H,7
LUCA,2015,H,7
IAN,2015,H,7
AYA,2015,D,7
ERIK,2015,H,7
IBRAHIM,2015,H,6
DIDAC,2015,H,6
GUILLEM,2015,H,6
MARTIN,2015,H,6
JORDI,2015,H,6
ELIA,2015,D,6
