URTEA;UDAL KODEA;UDALAREN IZENA;ZERGA KODEA;ZERGAREN IZENA;KALE KODEA;KALEAREN IZENA;DISTRITUA;SEKZIOA;AGIRI KOPURUA;BILDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;4402;ARRAGUETA ZEHARRA;004;006;1;134,35;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;4404;BLAS ETXEBARRIA;004;004;2;307,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;004;PASABIDEAK;4406;ESTAZIÑO KALEA;004;006;1;135,84;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;004;PASABIDEAK;4503;MATXARIA KALEA;000;000;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;4503;MATXARIA KALEA;004;006;1;526,38;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;004;PASABIDEAK;5101;GISASTU BIDE;005;001;1;292,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;5102;TXONTA KALEA;005;001;6;754,67;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;5201;ASUA-ERREKA KALEA;005;002;1;139,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;5201;ASUA-ERREKA KALEA;005;004;1;139,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;5202;BARAKALDO KALEA;005;004;5;1.013,42;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;5203;BITTOR SARASKETA;005;002;3;606,63;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;004;PASABIDEAK;5205;KARMEN KALEA;005;001;1;101,88;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;5205;KARMEN KALEA;005;003;1;167,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;5205;KARMEN KALEA;005;004;4;531,81;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;5206;URKIZU PASEALEKUA;005;001;20;2.834,34;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;004;PASABIDEAK;5206;URKIZU PASEALEKUA;005;002;1;169,80;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;5302;BARRENA KALEA;005;003;12;2.289,66;337,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;5302;BARRENA KALEA;005;004;2;629,39;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;004;PASABIDEAK;6001;URKI KURUTZEKUA;000;000;1;181,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
