URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;JAIOTZE HERRIALDEA;JAIOTZE-PROBINTZIA;JAIOTZE-HERRIA;HERRIALDEAREN IZENA;PROBINTZIAREN IZENA;HERRIAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;036;026;ESPAINIA;PONTEVEDRA;MARIN;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;037;007;ESPAINIA;SALAMANCA;ALARAZ;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;037;035;ESPAINIA;SALAMANCA;ARMENTEROS;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;037;174;ESPAINIA;SALAMANCA;MACOTERA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;037;274;ESPAINIA;SALAMANCA;SALAMANCA;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;041;050;ESPAINIA;SEVILLA;HERRERA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;044;261;ESPAINIA;TERUEL;VILLARQUEMADO;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;046;017;ESPAINIA;VALENTZIA;ALZIRA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;046;177;ESPAINIA;VALENTZIA;MUSEROS;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;047;129;ESPAINIA;VALLADOLID;QUINTANILLA DE ONESIMO;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
