Mun;N.Fijo ;D;Po;Par;Su;Nombre                   ;Tc;Cc;Superfic
030;0306954;D;06;220;A ;                         ;MF;04;00003850
030;0306975;N;04;043;A ;                         ;E ;02;00040434
030;0306975;N;04;132;A ;                         ;E ;02;00000228
030;0306975;N;04;132;B ;                         ;E ;01;00000547
030;0306979;W;04;013;A ;                         ;MF;01;00002144
030;0306979;W;04;089;A ;                         ;C ;01;00000344
030;0306979;W;04;089;B ;                         ;MF;01;00000279
030;0306979;W;04;138;A ;                         ;MF;01;00001519
030;0306987;H;03;060;A ;                         ;MM;04;00001422
030;0306987;H;03;060;B ;                         ;MF;04;00001024
030;0306995;P;02;004;A ;                         ;MM;01;00025931
030;0306996;A;02;038;A ;                         ;MM;02;00054788
030;0306996;A;02;048;A ;                         ;MM;04;00002947
030;0306996;A;02;062;A ;                         ;MF;04;00001413
030;0306996;A;02;062;B ;                         ;PD;04;00004366
030;0306996;A;02;062;C ;                         ;CS;01;00000473
030;0306996;A;02;062;D ;                         ;MF;04;00002915
030;0306996;A;02;062;E ;                         ;MM;04;00098721
030;0306996;A;02;062;F ;                         ;PD;04;00002695
030;0306996;A;02;062;G ;                         ;MF;04;00005185
030;0307002;D;04;015;A ;                         ;MT;02;00001161
030;0307005;E;05;027;A ;                         ;MM;04;00003542
030;0307005;E;05;030;A ;                         ;MM;04;00004540
030;0307005;E;05;031;A ;                         ;MM;04;00007536
030;0307005;E;05;032;A ;                         ;E ;01;00003433
030;0307005;E;05;032;B ;                         ;MM;04;00009102
030;0307005;E;05;033;A ;                         ;MM;04;00003496
030;0307005;E;05;033;B ;                         ;PD;04;00000652
030;0307005;E;05;034;A ;                         ;MM;04;00009500
030;0307005;E;05;035;A ;                         ;MM;01;00021002
030;0307005;E;05;041;A ;                         ;MM;01;00060426
030;0307005;E;05;057;A ;                         ;MM;04;00009803
030;0307005;E;05;144;A ;                         ;MM;04;00001091
030;0307009;N;01;022;A ;                         ;MF;02;00000030
030;0307016;N;02;098;A ;                         ;MM;04;00002003
030;0307025;G;05;101;A ;                         ;MM;04;00002781
030;0307025;G;06;045;A ;                         ;E ;04;00027913
030;0307025;G;06;045;B ;                         ;MM;01;00001723
030;0307025;G;07;055;A ;                         ;MF;02;00008635
030;0307025;G;07;178;A ;                         ;MM;01;00013456
030;0307025;G;07;192;A ;                         ;MM;03;00000302
030;0307025;G;07;192;B ;                         ;E ;04;00004141
030;0307025;G;07;192;C ;                         ;F ;04;00002259
030;0307025;G;07;192;D ;                         ;C ;03;00031210
030;0307025;G;07;192;E ;                         ;CS;02;00000569
030;0307025;G;07;192;F ;                         ;CS;02;00000210
030;0307025;G;07;192;G ;                         ;E ;01;00001796
030;0307025;G;07;192;H ;                         ;MF;03;00000705
030;0307025;G;07;192;I ;                         ;MM;03;00012031
030;0307025;G;07;192;J ;                         ;MF;03;00010024
030;0307025;G;07;192;K ;                         ;MM;03;00003505
030;0307025;G;07;322;A ;                         ;MF;02;00000877
030;0307032;G;03;038;A ;                         ;MM;01;00002598
030;0307032;G;03;038;B ;                         ;MF;04;00009812
030;0307032;G;03;038;C ;                         ;MM;01;00021591
030;0307032;G;03;039;A ;                         ;MM;02;00007642
030;0307032;G;03;043;A ;                         ;MM;01;00014728
030;0307032;G;03;056;A ;                         ;MM;02;00013113
030;0307032;G;03;057;A ;                         ;MM;02;00002934
030;0307032;G;03;071;A ;                         ;CS;02;00000587
030;0307032;G;03;071;B ;                         ;C ;02;00018371
030;0307032;G;03;071;C ;                         ;F ;04;00000266
030;0307032;G;03;071;D ;                         ;CS;01;00000204
030;0307032;G;03;071;E ;                         ;MM;03;00140042
030;0307032;G;03;071;F ;                         ;MF;03;00003060
030;0307032;G;03;083;A ;                         ;MF;03;00004598
030;0307032;G;03;083;B ;                         ;MM;03;00006874
030;0307032;G;03;083;C ;                         ;MF;03;00009111
030;0307032;G;03;092;A ;                         ;MM;02;00007244
030;0307057;C;02;006;A ;                         ;MM;04;00005689
030;0307067;D;06;002;A ;                         ;MM;01;00003933
030;0307067;D;06;002;B ;                         ;MF;01;00003074
030;0307067;D;06;002;C ;                         ;I ;01;00001305
030;0307070;R;04;042;A ;                         ;E ;02;00012860
030;0307078;M;07;134;A ;                         ;MM;01;00000775
030;0307078;M;07;134;B ;                         ;MT;01;00000912
030;0307078;M;07;140;A ;                         ;CS;01;00000224
030;0307078;M;07;140;B ;                         ;MF;01;00007138
030;0307079;U;07;259;A ;                         ;MM;01;00004545
030;0307105;M;01;018;A ;                         ;I ;01;00000706
030;0307105;M;01;018;B ;                         ;MM;01;00002345
030;0307105;M;01;018;C ;                         ;MT;01;00004091
030;0307105;M;01;147;A ;                         ;MF;01;00002267
030;0307105;M;01;147;B ;                         ;MT;01;00003808
030;0307107;F;01;084;A ;                         ;E ;02;00001003
030;0307107;F;01;084;B ;                         ;MF;04;00005485
030;0307115;N;07;262;A ;                         ;CS;01;00000189
030;0307123;V;01;023;A ;                         ;MM;01;00004411
030;0307123;V;01;149;A ;                         ;MM;01;00005864
030;0307126;W;05;095;A ;                         ;MM;04;00007481
030;0307133;W;01;130;A ;                         ;MF;03;00005082
030;0307135;P;04;050;A ;                         ;PD;04;00001330
030;0307135;P;04;130;A ;                         ;MF;01;00000420
030;0307136;A;04;029;A ;CS ARITXULETA 4282003    ;CS;02;00000915
030;0307136;A;04;029;B ;                         ;MF;01;00001747
030;0307136;A;04;029;C ;                         ;PD;02;00046538
030;0307136;A;04;029;D ;                         ;C ;02;00000972
030;0307136;A;04;029;E ;ZOZOLA BERRI 4282022     ;I ;01;00000467
030;0307136;A;04;029;F ;                         ;C ;02;00000094
030;0307136;A;05;186;A ;                         ;MM;01;00000779
030;0307136;A;05;186;B ;                         ;PD;03;00010206
030;0307136;A;05;186;C ;                         ;MF;01;00002794
030;0307136;A;05;249;A ;                         ;MF;04;00007550
030;0307136;A;05;249;B ;                         ;E ;03;00001820
030;0307136;A;05;249;C ;                         ;PD;03;00004036
030;0307138;Q;05;028;A ;                         ;MM;01;00013940
030;0307138;Q;05;054;A ;                         ;MM;04;00012080
030;0307138;Q;05;060;A ;                         ;MM;04;00014975
030;0307138;Q;05;064;A ;                         ;MM;01;00017346
030;0307138;Q;05;133;A ;                         ;MM;02;00035294
030;0307138;Q;05;134;A ;                         ;MM;04;00011462
030;0307138;Q;05;135;A ;                         ;MM;02;00026761
030;0307138;Q;05;135;B ;                         ;I ;01;00000434
030;0307138;Q;05;136;A ;                         ;MF;03;00005850
030;0307138;Q;05;137;A ;                         ;MM;01;00016832
030;0307138;Q;05;139;A ;                         ;MM;01;00011516
030;0307138;Q;05;254;A ;                         ;MF;01;00000170
030;0307138;Q;05;256;A ;                         ;MF;01;00000887
030;0307138;Q;05;256;B ;                         ;MM;01;00001682
030;0307138;Q;05;256;C ;                         ;MF;01;00001754
030;0307138;Q;05;260;A ;                         ;MF;02;00001741
030;0307148;R;03;035;A ;                         ;MM;01;00007825
030;0307148;R;07;225;A ;                         ;C ;03;00000605
030;0307148;R;07;225;B ;                         ;MF;01;00002414
030;0307148;R;07;225;C ;                         ;CS;01;00000323
030;0307148;R;07;225;D ;                         ;E ;04;00002556
030;0307148;R;07;225;E ;                         ;PD;02;00005169
030;0307148;R;07;332;A ;                         ;PD;01;00002197
030;0307150;A;01;109;A ;                         ;MF;01;00001353
030;0307150;A;01;109;B ;                         ;E ;01;00008177
030;0307150;A;01;109;C ;                         ;MM;01;00001634
030;0307154;J;02;032;A ;                         ;MM;01;00016405
030;0321884;J;05;005;A ;                         ;I ;01;00001692
030;0321884;J;05;005;B ;                         ;C ;04;00001880
030;0321884;J;05;005;C ;                         ;F ;04;00004048
030;0321884;J;05;005;D ;                         ;C ;04;00013477
030;0321884;J;05;005;E ;                         ;MM;04;00013443
030;0321884;J;06;052;A ;                         ;MF;03;00014504
030;0321884;J;06;052;B ;                         ;MM;04;00034829
030;0321996;L;07;260;A ;                         ;MM;01;00001466
030;0321996;L;07;260;B ;                         ;PD;01;00000731
030;0321996;L;07;260;C ;                         ;C ;01;00000583
030;0321996;L;07;260;D ;                         ;C ;01;00000720
030;0321996;L;07;260;E ;CS NAYORBE GOIKUA 4382089;CS;01;00000112
030;0322234;D;05;014;A ;                         ;CR;01;00000086
030;0322234;D;05;014;B ;                         ;F ;01;00000956
030;0322234;D;05;014;C ;                         ;C ;01;00001755
030;0322234;D;05;014;D ;                         ;MM;02;00042747
030;0322234;D;05;014;E ;                         ;E ;01;00005738
030;0322234;D;05;014;F ;                         ;I ;01;00000400
030;0322234;D;05;014;G ;                         ;F ;01;00000876
030;0322234;D;05;014;H ;                         ;PD;01;00002508
030;0322234;D;05;026;A ;                         ;MM;01;00007859
030;0322234;D;05;026;B ;                         ;MF;01;00002567
030;0322234;D;05;261;A ;                         ;MM;02;00020628
030;0322234;D;05;262;A ;                         ;MM;01;00001506
030;0322234;D;05;262;B ;                         ;MF;01;00003575
030;0322234;D;05;263;A ;                         ;MM;01;00000195
030;0322234;D;06;061;A ;                         ;MM;04;00009042
030;0322234;D;06;064;A ;                         ;MM;04;00006058
030;0322234;D;06;070;A ;                         ;MM;04;00010545
030;0323700;J;02;146;A ;                         ;MF;01;00018524
030;0323704;S;02;057;A ;                         ;C ;02;00000208
030;0323704;S;02;057;B ;                         ;C ;02;00001361
030;0323704;S;02;057;C ;                         ;F ;02;00001959
030;0323704;S;02;057;D ;                         ;MM;01;00082662
030;0323704;S;02;057;E ;                         ;MF;03;00002070
030;0324192;K;07;161;A ;                         ;MF;01;00004088
030;0324192;K;07;161;B ;                         ;MM;01;00005287
030;0324192;K;07;161;C ;                         ;CS;01;00000294
030;0324192;K;07;161;D ;                         ;C ;03;00002735
030;0324192;K;07;161;E ;                         ;F ;03;00002210
030;0324192;K;07;174;A ;                         ;MF;01;00000795
030;0324192;K;07;174;B ;                         ;MT;04;00007209
030;0324192;K;07;174;C ;                         ;MM;01;00002471
030;0324193;S;01;081;B ;                         ;C ;01;00000903
030;0324193;S;01;081;C ;                         ;MM;01;00006486
030;0324793;U;01;090;A ;                         ;MF;04;00004137
030;0324798;X;07;171;A ;                         ;MM;04;00000946
030;0324798;X;07;171;B ;                         ;PD;03;00003877
030;0324798;X;07;171;C ;                         ;CS;01;00000170
030;0324798;X;07;171;D ;                         ;E ;04;00002422
030;0324798;X;07;171;E ;                         ;F ;03;00001603
030;0324798;X;07;171;F ;                         ;MF;04;00003782
030;0324800;S;07;181;A ;                         ;E ;04;00000107
030;0326139;Q;02;102;A ;                         ;MM;01;00006342
030;0326143;P;05;029;A ;                         ;MM;01;00008810
030;0326147;B;01;105;A ;                         ;MM;01;00008624
030;0326148;J;05;195;A ;                         ;MM;04;00002772
030;0326148;J;05;195;B ;                         ;MT;02;00000868
030;0326148;J;05;195;C ;                         ;E ;01;00002241
030;0326148;J;05;195;D ;                         ;MF;04;00000793
030;0326154;B;05;141;A ;                         ;MM;04;00006674
030;0326160;Q;02;028;A ;                         ;MM;01;00011409
030;0326162;J;06;369;A ;                         ;MF;03;00001667
030;0326162;J;06;371;A ;                         ;MM;04;00006597
030;0326162;J;06;373;A ;                         ;MM;04;00001903
030;0326162;J;06;374;A ;                         ;C ;04;00004302
030;0326162;J;06;376;A ;                         ;MM;04;00003680
030;0326162;J;06;377;A ;                         ;MM;03;00001046
030;0326162;J;06;382;A ;                         ;MM;03;00002742
030;0326162;J;06;459;A ;                         ;CS;01;00000075
030;0326162;J;06;459;B ;                         ;C ;01;00002078
030;0326162;J;06;459;C ;                         ;C ;01;00000354
030;0326162;J;06;459;D ;                         ;C ;01;00001071
