NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
Aportació DIBA - Patrimoni històric,461.00.0017,A Diputacions,3360A,Patrimoni Històric i Cultural,1.3.0.16,Cultura,0
Fons Biblioteques,220.01.0017,"Premsa, revistes, llibres i altres publicacions",3321A,Biblioteques de Gavà,1.3.0.16,Cultura,9961.17
"Promoció i Difusió Arts Escèniques,Visual i Música",226.09.0217,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,41415.85
Programació Circuit Musical,226.09.0417,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,3014.5
Programació Arts Visuals,226.09.0317,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,2703.11
Programació Espai Maragall,226.09.0117,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,30324.86
Biblioteca MC,226.09.0217,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,3676.14
Biblioteca SV,226.09.0317,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,8191.05
Projectes transversals Xarxa Biblioteques,226.09.0417,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,4765.34
Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura,43677.67
Aportació Consorci Normalització Lingüística,467.00.0017,A Consorcis,3340A,Promoció cultural,1.3.0.16,Cultura,37957.38
Premis creació literaria,480.00.0017,A famílies i institucions sense ànim de lucre,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,0
Subvencions entitats promoció de les arts,480.08.0017,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura,25817.95
Subv.Ass.Prom.Espec.Inf.Juven.Fest.Titelles,480.09.9917,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura,37000
Convenis foment de relacions ciutadanes,480.14.0317,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,12609
Subvencions AAVV,480.15.0017,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,18630
Convenis foment cultura,480.27.0317,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura,4500
Subvencions Entitats culturals,480.28.0017,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura,26390
Bestreta C.Fixa - Serveis a la Persona,226.99.0917,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura,6479.95
Despeses premis creació literària,226.09.0517,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,2785.95
Projectes transversals Xarxa Biblioteques,226.09.0516,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura,5445.09
"Promoció i Difusió Arts Escèniques,Visual i Música",226.09.0216,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,4396.02
Programació Espai Maragall,226.09.0116,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura,3434.12
Aportació Consorci Normalització Lingüística,467.00.0016,A Consorcis,3340A,Promoció cultural,1.3.0.16,Cultura,8856.2
Subvencions entitats promoció de les arts,480.08.0016,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura,6264.31
Convenis foment de relacions ciutadanes,480.14.0316,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,2919.25
Subvencions AAVV,480.15.0016,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,4148.75
Convenis foment cultura,480.27.0316,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura,1293.75
Subvencions Entitats culturals,480.28.0016,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura,5510
Subvencions - Entitats Culturals,480.28.0015,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura,631.25
Subvencions entitats promoció de les arts,480.08.0015,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura,125
Festa Major d'estiu - Assegurança,224.00.0017,Primes d'Assegurances,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,1517.95
Carnestoltes,226.09.0517,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,24762.94
Festa Major d'estiu - Programació d'activitats,226.09.0117,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,131517.99
Programació Nadal - Reis,226.09.0415,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,2455.52
Programa Cultura popular i tradicional,226.09.0617,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,3262.32
Programació Nadal - Reis,226.09.0416,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,30618.47
Programació Nadal - Reis,226.09.0417,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu,40054.49
Subvencions suport Accions Educatives,480.25.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,1215
Subvencions AMPAS - USEE,480.00.0017,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,5000
Subvencions AMPAS - USEE,480.00.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,1250
PEC: PTT,226.99.0617,Altres despeses diverses,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació,22730.45
Xarxa Gavà educativa: Grup impulsor,226.99.0217,Altres despeses diverses,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació,5620.63
Programa suport a l'aprenentatge,227.99.0017,Altres treballs realitzats per altres emp.i profes,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació,359.55
Programes Families - Centres Inclusius,227.99.0217,Altres treballs realitzats per altres emp.i profes,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació,10819.36
Dinàmica Educativa,226.99.0017,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació,61123.91
Subvencions - Foment de l'educació i la formació,480.26.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,6522.6
Subvencions - Foment de l'educació i la formació,480.26.0017,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,23945
Subvencions suport Accions Educatives,480.25.0017,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació,4850
Dinàmica Educativa,226.99.0016,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació,961.38
PEC: PTT,226.99.0616,Altres despeses diverses,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació,180.86
Dinàmica Educativa,226.99.0014,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació,3200
Transports,223.00.0016,Transports,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,779.72
Prestació de serveis tècnics esportius Escola EE,226.99.0017,Altres despeses diverses,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,13567.8
Activitats - Escola E. Especial,226.06.0016,"Reunions, conferències i cursos",3231A,Educació Especial,1.2.1.16,EEE Maria Felip,578.96
Beques llibres EEE Maria Felip (AMP),481.01.0317,Beques,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,2593
Productes de neteja,221.10.0017,Productes de neteja i condícia,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,6229.96
Activitats - Escola E. Especial,226.06.0017,"Reunions, conferències i cursos",3231A,Educació Especial,1.2.1.16,EEE Maria Felip,3627.31
Prestació serveis tècnics educatius,226.99.0117,Altres despeses diverses,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,29756.29
Productes d'alimentació,221.05.0017,Productes alimentosos,3231A,Educació Especial,1.2.1.16,EEE Maria Felip,20560.32
Subvencions activitats esportives,480.01.0014,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,4349.5
Conveni Centre Medicina Esportiva,472.00.9916,Subvenc.reduir preu a pagar per consumidors,3121A,Programes esport i salut,1.5.0.16,Esports,9930
Taxa Sanitària instal.lacions,225.00.0017,Tributs ,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,171.45
Convenis Club Futbol Gavà,480.08.0315,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,3750
Subvencions activitats esportives,480.01.0015,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,14900
Aportació Consell Esportiu Baix Llobregat(CEBLLOB),480.03.0316,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,4500
Convenis Entitats Esportives,480.02.0316,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,1135
Subvencions activitats esportives,480.01.0016,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,14508.75
Foment Activitats Esportives a l'entorn natural,226.09.0316,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,1747.72
Bestreta C.Fixa - Esports,226.99.0917,Altres despeses diverses,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,309.81
Subvencions activitats esportives,480.01.0017,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,62345
Conveni Centre Medicina Esportiva,472.00.9917,Subvenc.reduir preu a pagar per consumidors,3121A,Programes esport i salut,1.5.0.16,Esports,40000
Aportació Consell Esportiu Baix Llobregat,467.00.9917,A Consorcis,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,18000
Aportació a la Mancomunitat de Can Sellarés,463.00.0117,A Mancomunitats,3411A,Promoció i foment de l'esport - Espais Esportius,1.5.0.16,Esports,132000
Acondicionament instal·lacions esportives,227.06.0117,Estudis i treballs tècnics,3420A,Instal·lacions esportives,1.5.0.16,Esports,306480.42
Monitors activitats instal·lacions esportives,227.06.0017,Estudis i treballs tècnics,3420A,Instal·lacions esportives,1.5.0.16,Esports,484913.07
Altres despeses diverses,226.99.0817,Altres despeses diverses,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,8477.64
Altres despeses diverses,226.99.0017,Altres despeses diverses,3400A,Administració General d'Esports,1.5.0.16,Esports,1721.09
Promoció Activitat Escolar,226.99.0717,Altres despeses diverses,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,442.46
Foment Activitats Entitats Esportives,226.09.0117,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,20881
Foment Activitats Esportives a l'entorn natural,226.09.0317,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,1168.41
Primes d'assegurances instalacions esportives,224.00.0017,Primes d'Assegurances,3420A,Instal·lacions esportives,1.5.0.16,Esports,6650
Productes de neteja,221.10.0017,Productes de neteja i condícia,3420A,Instal·lacions esportives,1.5.0.16,Esports,13869.64
Productes de piscina,221.09.0017,Altres subministraments,3420A,Instal·lacions esportives,1.5.0.16,Esports,8619.33
Aportació a Club de Handbol Gavà,480.09.9917,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,2500
Mat. d'oficina ordinari no inventariable,220.00.0017,Ordinari no inventariable,3410A,Promoció i foment de l'esport,1.5.0.16,Esports,1089
"Telecomunicacions (datàfon, Teletac, Visa...)",222.00.0017,Serveis de Telecomunicacions,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria,2650.72
Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria,522.05
Serveis de recaptació a favor de l'entitat (AMP),227.08.0117,Serveis de recaptació a favor de l'Entitat,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria,83966.21
Serveis de recaptació multes (AMP),227.08.0217,Serveis de recaptació a favor de l'Entitat,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria,79170.87
Interessos de préstecs,310.00.0017,Interessos,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria,871103.78
Amortització de préstecs a llarg termini,913.00.0017,Amortització préstecs ll/t ens fora sector públic,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria,2271095.79
AMB - Part Tributs Estat (AMP),464.00.0117,A Àrees Metropolitanes,9430A,Transferències a Altres Entitats Locals,2.5.9.16,Hisenda i Tresoreria,693658.16
Ajuts per a la rehabilitació i millora urbana,489.00.0117,A institucions sense ànim de lucre,2310C,Ajuts de Promoció Social,2.5.9.16,Hisenda i Tresoreria,33831.39
Ajuts de suport als ciutadans,489.00.0217,A institucions sense ànim de lucre,2310C,Ajuts de Promoció Social,2.5.9.16,Hisenda i Tresoreria,12586.42
Reserva per a programes de garantia social,489.00.0016,A institucions sense ànim de lucre,2310C,Ajuts de Promoció Social,2.5.9.16,Hisenda i Tresoreria,30739.54
Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria,16597.24
Serveis impremta Igualtat i Ciutadania,226.99.0317,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,0
Sub entitats esportives per igualtat i gènere,480.00.0317,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,3500
Premis Festival GavàMon,480.00.0017,A famílies i institucions sense ànim de lucre,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania,2400
Aportació a Creu Roja - Igualtat,480.10.9916,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,18000
Usos dels temps,226.99.1017,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,1692.27
Programes i Activitats de Drets Civils,226.99.0217,Altres despeses diverses,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania,38482.64
Siad,226.99.0217,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,82450
Sub entitats deportives per igualtat gènere,480.00.0316,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,337.5
Polítiques d'Igualtat,226.99.0117,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,28939.05
Programes i Activitats de Drets Civils,226.99.0216,Altres despeses diverses,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania,4889.52
Siad,226.99.0216,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,976.8
Polítiques d'Igualtat,226.99.0116,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,7135.34
Programes i Activitats de Drets Humans,226.06.0016,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania,5049.59
F.Adults:Programació formació d'adults,226.06.0017,"Reunions, conferències i cursos",2318B,Formació d'Adults,1.4.0.16,Igualtat i Ciutadania,44981.08
Programes i Activitats de Drets Humans,226.06.0017,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania,45808.66
Participació Observatori dones mitjans comunicació,480.00.9917,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,1500
Conveni Premi Delta de Narrativa per a dones,462.00.0017,A Ajuntaments,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania,0
Software Departamental,216.03.0014,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,27.52
Consultoria en telecomunicacions corporatives,227.06.0016,Estudis i treballs tècnics,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,10302.85
Manteniment programari eadmin,227.06.0016,Estudis i treballs tècnics,4914A,Administració electrònica,2.1.0.16,Informàtica,155.5
Inversions materials escriptoris virtuals,626.00.0116,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,39861.16
Inversions Immaterials escriptoris virtuals,641.00.0016,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,40000
Aplicacions informàtiques,641.00.0015,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,14469.6
Manteniment de xarxa equipaments,222.04.0117,Informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,2934.62
Llicencies informàtiques,641.00.0117,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,45448.76
Software Base,216.02.0015,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,7596.54
Hardware Servidors,216.05.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,6264.91
Software Departamental,216.03.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,9431.79
Software Base,216.02.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,18302.29
Telefonia fixa,222.00.0015,Serveis de Telecomunicacions,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,8443.64
Inversions Immaterials escriptoris virtuals,641.00.0017,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,20000
Inversions materials escriptoris virtuals,626.00.0117,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,19930.57
Bestreta C.Fixa - Informàtica,226.99.0917,Altres despeses diverses,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,4356.66
Renovació maquinari,636.00.0217,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,40279.82
Licitacio centraleta,636.00.0017,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,93379.17
Servei portal dades obertes,227.06.0017,Estudis i treballs tècnics,4914B,Govern obert i transparència,2.1.0.16,Informàtica,16940
Manteniment de xarxa i telefonia IP,222.04.0017,Informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,100878.94
Comunicacions Informàtiques. Connexions a Internet,222.03.0017,Informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,48898.8
Telefonia fixa,222.00.0017,Serveis de Telecomunicacions,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,74322.08
Hardware Servidors,216.05.0017,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,21177.42
Hardware Estacions Treball,216.04.0017,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,2749.31
Software Base,216.02.0017,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,42027.46
Software Departamental,216.03.0017,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica,57080.52
Casa Gran - Coordinació,226.99.0117,Altres despeses diverses,2313A,Joventut,1.9.0.16,Joventut i Cooperació,108888.54
Aportació Joventut Consell Comarcal Baix Llobregat,480.04.9916,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació,2458.38
Dinamització juvenil,227.06.0017,Estudis i treballs tècnics,2313A,Joventut,1.9.0.16,Joventut i Cooperació,41455.86
Sensibilització - Estacions solidàries,227.06.0017,Estudis i treballs tècnics,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,6655.77
Sensibilització - Guia educativa,227.06.0117,Estudis i treballs tècnics,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,1725
Subvencions per a la cooperació i desenvolupament,480.00.0017,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,50000
Subvenció ACAPS Gavà,480.01.9917,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,5050
Sub Fons Català Cooperació al Desenvolupament,480.02.9917,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,13600
Subvencions - Entitats Juvenils,480.10.0017,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació,19000
Subvenció ACAPS Gavà,480.01.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,928.85
Sub Fons Català Cooperació al Desenvolupament,480.02.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,3000
Sub Assoc Solidaries Sahara,480.03.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,1250
Sensibilització - Estacions solidàries,227.06.0016,Estudis i treballs tècnics,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,2222.92
Subvencions per a la cooperació i desenvolupament,480.00.0016,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació,12313.35
Subvencions - Entitats Juvenils,480.10.0016,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació,4875
Subvencions - Entitats Juvenils,480.10.0015,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació,647.25
Funcionament Aules d'estudi nocturn,226.99.0017,Altres despeses diverses,2313A,Joventut,1.9.0.16,Joventut i Cooperació,14928.01
Inv. de rep en instal.lacions-IFS Equipament,633.00.0017,"Maquinària,instal·lacions i utillatge",9330F,Inversions financerament sostenibles,1.7.0.16,Logística,19248.82
Inversió de rep en edif i altres constr,632.00.0017,Edificis i altres construccions,3420A,Instal·lacions esportives,1.7.0.16,Logística,14276.56
Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística,152753.71
