NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
RC laborals fixos Ràdio,130.02.0017,Altres remuneracions,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,17870.28
RC laborals fixos Televisió,130.02.0017,Altres remuneracions,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,7272
RC laborals fixos Administració General,130.02.0017,Altres remuneracions,9200A,Administració General ,2.2.0.16,Recursos Humans,1805.67
RC laborals fixos Ad.Gral. Serveis a la Persona,130.02.0017,Altres remuneracions,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,4373.19
RC laborals fixos Serveis Generals,130.02.0017,Altres remuneracions,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,11241.07
RC laborals fixos OAC,130.02.0017,Altres remuneracions,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,3471.83
RC laboral fix Pol Fiscal i Fin,130.02.0017,Altres remuneracions,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,7947.44
RC laboral fix Polítiques de gènere,130.02.0017,Altres remuneracions,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,294.39
RC laborals fixos Alcaldia,130.02.0017,Altres remuneracions,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,22715.91
RC laborals fixos Recursos Humans,130.02.0017,Altres remuneracions,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,9438.09
RC laborals fixos Gestió tributària i Tresoreria,130.02.0017,Altres remuneracions,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,3778.38
RC laborals fixos instal·lacions esportives,130.02.0017,Altres remuneracions,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,2322.58
RC laborals fixos Oficina Local d'Habitatge,130.02.0017,Altres remuneracions,1521A,Polítiques Municipals d'Habitatge,2.2.0.16,Recursos Humans,4155.75
"RB laboral temporals urban., planif.i projectes",131.00.0017,Laboral temporal,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,63164.14
RB laboral temporal Cementiris i serveis funer,131.00.0017,Laboral temporal,1640A,Cementiri,2.2.0.16,Recursos Humans,65349.53
RB laboral temporal Serveis Socials,131.00.0017,Laboral temporal,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,197471.49
RB laboral temporal Ad. Gral. Igualtat i Ciutad,131.00.0017,Laboral temporal,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,42681.96
RB laborals temporals foment de l' ocupació,131.00.0017,Laboral temporal,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,44991.13
RB laboral temporal Educació,131.00.0017,Laboral temporal,3200A,Administració general de educació,2.2.0.16,Recursos Humans,36921.25
RB laboral temporal Escola EE,131.00.0017,Laboral temporal,3231A,Educació Especial,2.2.0.16,Recursos Humans,76081.61
RB laboral temporal Cultura,131.00.0017,Laboral temporal,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,58146.32
RB laboral temporal Biblioteques,131.00.0017,Laboral temporal,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,95309.28
RB laborals temporals Ad.Gral-Equipam.serveis,131.00.0017,Laboral temporal,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,51445.44
"RB laboral temporal Comerç, i Fira",131.00.0017,Laboral temporal,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,16588.04
RB laborals temporals Ràdio,131.00.0017,Laboral temporal,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,16950.02
RB laborals temporals Televisió,131.00.0017,Laboral temporal,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,18389.3
RB laborals temporals Ad.Gral. Serveis Persona,131.00.0017,Laboral temporal,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,70054.58
RB laboral temporal Informàtica i NT,131.00.0017,Laboral temporal,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,47271.24
RB laborals temporals Serveis Generals,131.00.0017,Laboral temporal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,22997.56
RB laboral temporal Pol Fiscal i Fin,131.00.0017,Laboral temporal,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,21197.29
RB laboral temporal educ. preescolar i primària,131.00.0017,Laboral temporal,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,15279.4
RB laborals temporals Ad. Gral Esports,131.00.0017,Laboral temporal,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,21324.2
RB laborals temporals instal·lacions esportives,131.00.0017,Laboral temporal,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,70614.43
H. extraordinàries laboral temporal Cem.i serveis,131.01.0017,Laboral temporal,1640A,Cementiri,2.2.0.16,Recursos Humans,49.67
H. extraord. laboral temporal Serveis Social,131.01.0017,Laboral temporal,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,411.49
H. extraordin.laboral temporal Ad. Gral. Igua,131.01.0017,Laboral temporal,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,15
H. extraordinàries laboral temporal Cultura,131.01.0017,Laboral temporal,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,6539.24
H. extr.temp.eventual Ad.Gral - Equipam.serveis,131.01.0017,Laboral temporal,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,1798.93
"H. extraord.laboral temporal Comerç, i Fira",131.01.0017,Laboral temporal,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,1336.3
Hores extraordin.laborals temporals Televisió,131.01.0017,Laboral temporal,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,3907.87
H. extr.laboral temporal Ad.Gral. Serv. Persona,131.01.0017,Laboral temporal,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,810.48
Hores extraord.laborals temporals Serv.Grals,131.01.0017,Laboral temporal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,451.5
H. extraordinàries laboral temporal. Esportiu,131.01.0017,Laboral temporal,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,961.05
"RC laboral temporals urban., planif.i projectes",131.02.0017,Laboral temporal,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,167.92
RC laboral temporal Serveis Socials,131.02.0017,Laboral temporal,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,9789.62
RC laborals temporals foment de l'ocupació,131.02.0017,Laboral temporal,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,581.15
RC laboral temporal Educació,131.02.0017,Laboral temporal,3200A,Administració general de educació,2.2.0.16,Recursos Humans,1995.02
RC laboral temporal Escola EE,131.02.0017,Laboral temporal,3231A,Educació Especial,2.2.0.16,Recursos Humans,20189.56
RC laboral temporal Cultura,131.02.0017,Laboral temporal,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,4200.73
RC laboral temporal Biblioteques,131.02.0017,Laboral temporal,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,1536.53
RC laborals temporals Ad.Gral-Equipam.serveis,131.02.0017,Laboral temporal,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,254.05
RC laborals temporals Ad. Gral. Serveis Persona,131.02.0017,Laboral temporal,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,2590.73
RC laboral temporal Informàtica i NT,131.02.0017,Laboral temporal,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,1754.39
RC laboral temporal Comerç i Fira,131.02.0017,Laboral temporal,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,1541.8
RC laboral temporal Política fiscal i financera,131.02.0017,Laboral temporal,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,1066.67
RC laborals temporals Ad.Gral.igualtat i ciutad.,131.02.0017,Laboral temporal,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,4181.67
RC laborals temporals Ad. Gral. Esports,131.02.0017,Laboral temporal,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,4103.09
Product.funcionaris seguretat i ordre públic,150.00.0017,Productivitat,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,117412.89
"Product. funcionaris urban., planif.i projectes",150.00.0017,Productivitat,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,16993.73
Productivitat funcionaris Obres i Manteniment,150.00.0017,Productivitat,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,7066.8
Product.funcion. protec.i millora medi ambient,150.00.0017,Productivitat,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,2944.5
Productivitat funcionaris Serveis Socials,150.00.0017,Productivitat,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,1472.25
Productivitat funcionaris Ad. Gral. Igualtat i Ciu,150.00.0017,Productivitat,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,1472.25
Productivitat funcionaris salut pública,150.00.0017,Productivitat,3110A,Adm.Gral de Salut Pública,2.2.0.16,Recursos Humans,6934.29
Productivitat funcionaris Biblioteques,150.00.0017,Productivitat,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,1472.25
Product. funcionaris Ad.Gral. Serveis Persona,150.00.0017,Productivitat,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,1594.94
Product.funcionaris Secretaria i Serv. Jurídics,150.00.0017,Productivitat,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,12571.37
Productivitat funcionaris Recursos Humans,150.00.0017,Productivitat,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,8898.93
Productivitat funcionaris Informàtica i NT,150.00.0017,Productivitat,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,9671.95
Productivitat funcionaris Serveis Generals,150.00.0017,Productivitat,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,2944.5
Productiv.funcionaris Participació ciutadana,150.00.0017,Productivitat,9240A,Participació ciutadana,2.2.0.16,Recursos Humans,2944.5
Productivitat funcionaris OAC,150.00.0017,Productivitat,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,7066.8
Productivitat funcionaris Pol Fiscal i Fin,150.00.0017,Productivitat,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,7361.25
Productivitat funcionaris Ad. GT i Tresoreria,150.00.0017,Productivitat,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,9936.7
Productivitat funcionaris Mobilitat urbana,150.00.0017,Productivitat,1330A,Administració Gral de Mobilitat urbana,2.2.0.16,Recursos Humans,1627.65
Productivitat funcionaris Alcaldia,150.00.0017,Productivitat,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,2944.5
Productivitat funcionaris Administr. General,150.00.0017,Productivitat,9200A,Administració General ,2.2.0.16,Recursos Humans,2504.83
Product.funcionaris activ.i disciplina urbanística,150.00.0017,Productivitat,1511A,Activitats i disciplina urbanística,2.2.0.16,Recursos Humans,5889
"Productivitat funcionaris Comerç, i Fira",150.00.0017,Productivitat,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,2763.41
"Product. laborals fixos urban., planif.i projectes",150.01.0017,Productivitat,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,4416.75
