Codi Tipus Via,Tipus Via,Nom Via
CR9,Carrer del,Foc
AV6,Avinguda de les,Bòbiles
CR10,Carrer dels,Teulers
PL5,Plaça de la,Bogeria
CR10,Carrer dels,Brucs
PS2,Passeig de,Ca n'Espinós
PL6,Plaça de les,Camèlies
CM1,Camí,Ral de Barcelona a València
CR4,Carrer de,Can Pardal
CM2,Camí de,Can Torelló
CM4,Camí de la,Riera dels Canyars (Camí de l'Aguller)
CR3,Carrer d',Alacant
CR6,Carrer de l',Alba
CR3,Carrer d',Alcanar
CR6,Carrer de l',Alguer
CR8,Carrer de les,Alzines
PA4,Passatge de l',American Lake
CA3,Carretera de la,Sentiu
CR4,Carrer de,Mas Cortils
CR7,Carrer de la,Llenya
PC1,Parc de,Sant Jordi
PL4,Plaça de,Pablo Neruda
CM2,Camí de,Sota Can Torelló
CR4,Carrer de,Manuel Carrasco i Formiguera
PL4,Plaça de,Can Tries
CM4,Camí de la,Caseta d'en Nicasi
CR9,Carrer del,Celler
PL5,Plaça de la,Constitució
CR4,Carrer de,Garbí
CR9,Carrer del,General J. Moragues
PL5,Plaça de la,Ginesta
CR7,Carrer de la,Imaginació
CR7,Carrer de la,Indústria
CR3,Carrer d',Isaac Peral
PL4,Plaça de,J.M. Batista i Roca
PL4,Plaça de,Joan Miró
CR4,Carrer de,Josefa Ramon i Salla
CR4,Carrer de,Josep Lluís Sert
PL4,Plaça de,Leonardo da Vinci
CM2,Camí de,Limanya
CR4,Carrer de,Lluís Borrassà
CR4,Carrer de,Lluís Solé i Sabarís
CR7,Carrer de la,Mare de Déu de Bruguers
CM3,Camí de l',Arbret de Dalt
CR3,Carrer d',Arenys
CR6,Carrer de l',Àtom
CR3,Carrer d',Ausiàs Marc
CR4,Carrer de,B. Carles Aribau
PL5,Plaça de la,Barceloneta
CR9,Carrer del,Bell Resguard
CR4,Carrer de,Bellavista
PL4,Plaça de,Blas Infante
CM2,Camí de,Ca n'Espinós
CM7,Camí dels,Cacauets
CR4,Carrer de,Cal Fuentes
CR4,Carrer de,Can Gairal
CR4,Carrer de,Can Rascló
CR4,Carrer de,Can Tries
PA5,Passatge de la,Casa de la Vila
CR4,Carrer de,Castelló
CR7,Carrer de la,Ciència
CR9,Carrer del,Comerç
CR9,Carrer del,Comte d'Urgell
PL4,Plaça de,Copèrnic
CR7,Carrer de la,Creativitat
CM6,Camí del,Cul
CR9,Carrer del,Disseny
CR6,Carrer de l',Energia
CR6,Carrer de l',Enginy
CR6,Carrer de l',Ametlla
CR3,Carrer d',Amposta
CR6,Carrer de l',Àngel 
CR3,Carrer d',Àngela Roca
CR3,Carrer d',Antoni Gaudí
CR3,Carrer d',Antoni Rovira i Virgili
CR3,Carrer d',Apel·les Mestres
CR3,Carrer d',Artur Costa
CR4,Carrer de,Barcelona
CR4,Carrer de,Begues
CR4,Carrer de,Bernat Metge
CR4,Carrer de,Blanes
CR4,Carrer de,Cadaqués
CR4,Carrer de,Calafell
CR9,Carrer del,Cap de Creus
CR9,Carrer del,Cardener
CR4,Carrer de,Castelldefels
PL4,Plaça de,Catalunya
CR4,Carrer de,Clara Campoamor
CR8,Carrer de les,Colomeres
CR4,Carrer de,Cubelles
AV1,Avinguda,Diagonal
PL4,Plaça de,Dolors Clua
CR3,Carrer d',Eivissa
CR3,Carrer d',Enric Morera
CR4,Carrer de,F. Pi i Margall
CR7,Carrer de la,Fassina del Moliner
CR4,Carrer de,Francesc Viñas
CR4,Carrer de,Girona
CR4,Carrer de,Gregal
PA1,Passatge,Interior
PL4,Plaça de,Jaume Balmes
CR4,Carrer de,Joan Fiveller
AV3,Avinguda de,Joan XXIII
CR4,Carrer de,Llebeig
CR4,Carrer de,Lleida
PL4,Plaça de,Magdalena Trias
CR2,Carrer,Major
PA3,Passatge de,Mallorca
CM2,Camí de,Sota la Corredora
CM2,Camí de,Ca l'Aimar
CR10,Carrer dels,Rajolers
CR7,Carrer de la,Generalitat de Catalunya
RA,Rambla de,Joaquim Vayreda
CR7,Carrer de la,Mare de Déu de la Mercè
CR4,Carrer de,Can Glòria
CR4,Carrer de,Copèrnic
CR4,Carrer de,Llevant
CR8,Carrer de les,Moreres
CR5,Carrer de,Pau Vergós
PL5,Plaça de la,Font Groga
PS2,Passeig de,Joan Maragall
CR4,Carrer de,Can Tardà
PL2,Plaça  de l',Concòrdia
PL4,Plaça de,Salvador Allende
CR15,Corredora de les,Marietes
PA3,Passatge de,Sarrià
AV5,Avinguda del,Vuit de Març
CR2,Carrer,Carrer que no passa
CR2,Carrer,Carreró
PL4,Plaça de,J. Anselm Clavé
CR14,Corredora del,Soberano del Mig
CR7,Carrer de la,Marinada
PS1,Passeig,Marítim
PA3,Passatge de,Martí L'Humà
CR10,Carrer dels,Màrtirs del Setge de 1714
AV5,Avinguda del,Mas Sellarès
CR9,Carrer del,Mediterrani
CR4,Carrer de,Mestral
PL5,Plaça de la,Mineria 
CR4,Carrer de,Miquel Servet
CR4,Carrer de,Montflorit
PL7,Plaça del,Montseny
CR4,Carrer de,Montserrat Roig
CR7,Carrer de la,Morella
PL5,Plaça de la,Morella
PL4,Plaça de,Mossèn Jacint Verdaguer
AV4,Avinguda de la,Muntanya
CM4,Camí de la,Murtra
CR4,Carrer de,Narcís Monturiol
CR10,Carrer dels,Oficis
CR3,Carrer d',Olocau
CR8,Carrer de les,Ones
CR6,Carrer de l',Orient
CR4,Carrer de,Palafrugell
CR4,Carrer de,Palamós
CR4,Carrer de,Pals
PL7,Plaça del,Pare Poveda
CR7,Carrer de la,Pau
PL5,Plaça de la,Pau
CR4,Carrer de,Pau Casals
CR4,Carrer de,Pau Claris
CM4,Camí de la,Pava
CR4,Carrer de,Pep Ventura
CR4,Carrer de,Pere el Gran
CM6,Camí del,Pi i Tort
CM6,Camí del,Pinar
CM4,Camí de la,Pineda
CM4,Camí de la,Pineda de Dalt
CR9,Carrer del,Pou
CR2,Carrer,Principal
PA5,Passatge de la,Rambla
CR7,Carrer de la,Rectoria
CR7,Carrer de la,Riera de les Parets
CR9,Carrer del,Riu Francolí
CR4,Carrer de,Roger de Flor
CR9,Carrer del,Roselló
CR4,Carrer de,Sant Antoni Abad
CR4,Carrer de,Sant Isidre
CR4,Carrer de,Sant Nicasi
TR,Travessia de,Sant Nicasi
CR4,Carrer de,Santa Teresa
CR9,Carrer del,Segle XX
CR4,Carrer de,Tarragona
PA1,Passatge,Transversal
CR4,Carrer de,Tresols
CR4,Carrer de,Víctor Balaguer
CM3,Camí de l',Arbret de Baix
CR4,Carrer de,Salvador Lluch
CR4,Carrer de,Sant Joan
CR4,Carrer de,Sant Feliu
CR4,Carrer de,Sant Josep
CR4,Carrer de,Sant Martí
CR4,Carrer de,Sarrià
CRA1,Carrera d'en,Serrat 
CM6,Camí del,Soberano de Dalt
CR2,Carrer,Tallat
CR10,Carrer dels,Tellinaires
CR10,Carrer dels,Usatges de Barcelona
CR4,Carrer de,Vandellòs
CR4,Carrer de,Vila i Vilà
CR4,Carrer de,Xaloc
AU2,Autopista,C-32 AUTOPISTA PAU CASALS
PA3,Passatge de,Flora Tristán
CR12,Corredora,Murtrassa
AV2,Avinguda d',Eramprunyà
CR6,Carrer de l',Espígol
PL2,Plaça  de l',Estació
CR7,Carrer de la,Falconera
CR7,Carrer de la,Font 
PL8,Plaça dels,Forns
PL4,Plaça de,Francesc Macià
CR4,Carrer de,Galileo
CR7,Carrer de la,Gavina
PL7,Plaça del,General J. Moragues
CR6,Carrer de l',Horitzó
CR3,Carrer d',Isaac Albéniz
CR4,Carrer de,J. Lamote de Grignon
CR4,Carrer de,Jaume I
PL4,Plaça de,Jaume Perich
CR4,Carrer de,Joan Carles I
CR4,Carrer de,Joan Manén
PL4,Plaça de,John Lennon
CM7,Camí dels,Joncs
PL4,Plaça de,Josep Tarradellas
CR4,Carrer de,Juli Garreta
CR4,Carrer de,Leonardo da Vinci
CR4,Carrer de,l'Hostal de l'Ase
PL5,Plaça de la,Llibertat
CR4,Carrer de,Lluís Millet
CM4,Camí de la,Mallola de Baix
CM4,Camí de la,Mallola de Dalt
CR7,Carrer de la,Màquina
CR7,Carrer de la,Mare de Déu dels Dolors
CM5,Camí de les,Marietes
CR4,Carrer de,Vicenç Bou
CR7,Carrer de la,Cova Fosca
CR6,Carrer de l',Argila
PL1,Plaça,Interior
AV3,Avinguda de,Joan Carles I
CR4,Carrer de,Joaquim Folguera
PL1,Plaça,Major
CR4,Carrer de,Marc Grau
CR10,Carrer dels,Nou Rals
CR6,Carrer de l',Olivera
PA3,Passatge de,Pablo R. Picasso
PL6,Plaça de les,Panes
CM2,Camí de,Camarles
CR4,Carrer de,J. Ventura i Tort
PL4,Plaça de,Pere Marc
CR10,Carrer dels,Pins
PL7,Plaça del,Primer de Maig
CR4,Carrer de,Rafael Casanova
CR9,Carrer del,Raval de Molins
CR9,Carrer del,Riu Anoia
CR9,Carrer del,Riu Segre
CR4,Carrer de,Salamanca
RA,Rambla de,Salvador Lluch
CR4,Carrer de,Sant Lluís
CA1,Carretera de,Santa Creu de Calafell
PA3,Passatge de,Sevilla
CR4,Carrer de,Tamarit
CR7,Carrer de la,Tramuntana
CR4,Carrer de,Santiago Rusiñol
CR7,Carrer de la,Torrentera
CR4,Carrer de,Can Margarit
CR6,Carrer de l',Escala
CR7,Carrer de la,Farigola
CR4,Carrer de,Fortià Casanovas
CM5,Camí de les,Labors Agrícoles
PS4,Passeig de la,Terracuita
CR7,Carrer de la,Flama
PA2,Passatge d',Almeria
PL3,Plaça d',Amadeu Vives
CR6,Carrer de l',Ampolla
CR3,Carrer d',Andorra
CR3,Carrer d',Àngel Guimerà
CR6,Carrer de l',Arena
CR4,Carrer de,Begur
PL7,Plaça del,Bosc
CR4,Carrer de,Can Mas
CR9,Carrer del,Centre
PL5,Plaça de la,Cova Bonica
CR4,Carrer de,Cunit
PA3,Passatge de,Dolors Clua
CR3,Carrer d',Enric Granados
AV2,Avinguda d',Europa
CR10,Carrer dels,Garrofers
CR4,Carrer de,Granada
CR4,Carrer de,Jaume Huguet
CR4,Carrer de,Josep Torres Clavé
AV5,Avinguda del,Mar
CR9,Carrer del,Coneixement
CR4,Carrer de,Ramon Llull
CR7,Carrer de la,Riera de Sant Llorenç
CR4,Carrer de,Salou
CR4,Carrer de,Sant Jordi
CR4,Carrer de,Sant Pere
CR4,Carrer de,Sitges
CR9,Carrer del,Treball
CR4,Carrer de,Viladecans
LG,Lugar de,Ca N'Amat
CA1,Carretera de,Begues BV-2041
