DATA OPERACIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
15/02/2017,Incorporació romanents ex.2016,532.5,Subvencions AAVV,480.15.0015,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,4273.75,Subvencions AAVV,480.15.0016,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,375,Subvencions AAVV - Sta Teresa,480.18.0015,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,2456,Programació Nadal - Reis,226.09.0415,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu
15/02/2017,Incorporació romanents ex.2016,30664.36,Programació Nadal - Reis,226.09.0416,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu
15/02/2017,Incorporació romanents ex.2016,235.3,Exposicions Patrimoni Cultural,226.09.0016,Activitats culturals i esportives,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural
15/02/2017,Incorporació romanents ex.2016,13846.3,Recerca arqueològica Mines,226.99.0315,Altres despeses diverses,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural
15/02/2017,Incorporació romanents ex.2016,1500,Aportació al Centre d'Estudis Comarcals Baix Ll.,480.00.0216,A famílies i institucions sense ànim de lucre,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural
15/02/2017,Incorporació romanents ex.2016,5613.25,Polítiques d'Igualtat,226.99.0116,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2016,976.8,Siad,226.99.0216,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2016,337.5,Sub entitats deportives per igualtat gènere,480.00.0316,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2017,18000,Aportació a Creu Roja - Igualtat,480.10.9916,A famílies i institucions sense ànim de lucre,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2016,2861.4,Programes i Activitats de Drets Humans,226.06.0016,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2016,4906.55,Programes i Activitats de Drets Civils,226.99.0216,Altres despeses diverses,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
15/02/2017,Incorporació romanents ex.2016,10000,Conveni Centre Medicina Esportiva,472.00.9916,Subvenc.reduir preu a pagar per consumidors,3121A,Programes esport i salut,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,1753.81,Foment Activitats Esportives a l'entorn natural,226.09.0316,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,4349.5,Subvencions activitats esportives,480.01.0014,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,14900,Subvencions activitats esportives,480.01.0015,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,14546.25,Subvencions activitats esportives,480.01.0016,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,1135,Convenis Entitats Esportives,480.02.0316,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,4500,Aportació Consell Esportiu Baix Llobregat(CEBLLOB),480.03.0316,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2016,3750,Convenis Club Futbol Gavà,480.08.0315,A famílies i institucions sense ànim de lucre,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
15/02/2017,Incorporació romanents ex.2015,22420,Inversió nova en mobiliari esportiu,625.00.0016,Mobiliari,3420A,Instal·lacions esportives,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,21780,Inv. de rep. en mobiliari esportiu,635.00.0016,Mobiliari,3420A,Instal·lacions esportives,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,2200,Edificis i altres constr Esports,212.01.0116,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,13091.58,Edificis i altres constr Cultura i Patrimoni,212.01.0216,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,3718.2,Maquinària i instal tècniques Cultura i Patrimoni,213.00.0216,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,6330.31,Seguretat Patrimoni Històric i Cultural,227.01.0016,Seguretat,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,36880,Inversions noves en elements transport Logística,624.00.0015,Elements de Transport,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,58832.29,Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0015,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,133986.84,Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0015,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,85000,Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0016,Edificis i altres construccions,9330F,Inversions financerament sostenibles,1.7.0.16,Logística
15/02/2017,IMPORT PER A LA SALA ESPORTIVA,13000,Inv. de rep en edif.i altres constr-IFS Equipament,632.00.0016,Edificis i altres construccions,9330F,Inversions financerament sostenibles,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2015,65000,Inv. de rep en instal.lacions-IFS Equipament,633.00.0016,"Maquinària,instal·lacions i utillatge",9330F,Inversions financerament sostenibles,1.7.0.16,Logística
15/02/2017,Incorporació romanents ex.2016,4066.69,Subv IBI titulars hab.cedits borsa XMLS-2016,489.00.0016,A institucions sense ànim de lucre,1521A,Polítiques Municipals d'Habitatge,1.8.0.16,Oficina Local d'Habitatge
15/02/2017,Incorporació romanents ex.2016,88000,Per ajuts al finançament d'inversions,780.00.0015,A famílies e institucions sense ànim de lucre,1521A,Polítiques Municipals d'Habitatge,1.8.0.16,Oficina Local d'Habitatge
15/02/2017,Incorporació romanents ex.2017,2458.38,Aportació Joventut Consell Comarcal Baix Llobregat,480.04.9916,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,647.25,Subvencions - Entitats Juvenils,480.10.0015,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,4875,Subvencions - Entitats Juvenils,480.10.0016,A famílies i institucions sense ànim de lucre,2313A,Joventut,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,51.94,Sensibilització - Estacions solidàries,227.06.0016,Estudis i treballs tècnics,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,12500,Subvencions per a la cooperació i desenvolupament,480.00.0016,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,1038.7,Subvenció ACAPS Gavà,480.01.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,3000,Sub Fons Català Cooperació al Desenvolupament,480.02.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,1250,Sub Assoc Solidaries Sahara,480.03.9916,A famílies i institucions sense ànim de lucre,2319A,Cooperació,1.9.0.16,Joventut i Cooperació
15/02/2017,Incorporació romanents ex.2016,11979,Projectes d'Administració electrònica,227.06.0116,Estudis i treballs tècnics,4914A,Administració electrònica,2.0.0.16,Coordinació i Planificació Estratègica
15/02/2017,Incorporació romanents ex.2016,12886.5,Projectes de Govern obert,227.06.0116,Estudis i treballs tècnics,4914B,Govern obert i transparència,2.0.0.16,Coordinació i Planificació Estratègica
15/02/2017,Incorporació romanents ex.2016,155.63,Manteniment programari eadmin,227.06.0016,Estudis i treballs tècnics,4914A,Administració electrònica,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,7623,Software Base,216.02.0015,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,18357.59,Software Base,216.02.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,27.52,Software Departamental,216.03.0014,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,9431.79,Software Departamental,216.03.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,6264.91,Hardware Servidors,216.05.0016,Equipament per a processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,20895.36,Telefonia fixa,222.00.0015,Serveis de Telecomunicacions,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,10302.85,Consultoria en telecomunicacions corporatives,227.06.0016,Estudis i treballs tècnics,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,EQUIPS INFORMATICS PER A L'INF,3381.14,Adquisició maquinari equips processos inf,626.00.0016,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,40000,Inversions materials escriptoris virtuals,626.00.0116,Equips per processos d'informació,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,51520,Aplicacions informàtiques,641.00.0015,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,40000,Inversions Immaterials escriptoris virtuals,641.00.0016,Despeses en aplicacions informàtiques,9203A,Administració General - Informàtica i NT,2.1.0.16,Informàtica
15/02/2017,Incorporació romanents ex.2016,9850.9,Retribucions en espècie funcionaris,122.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,11050.14,Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,1186.48,Retribucions en espècie laborals,132.00.0016,Retribucions en espècie,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,29868.17,Acció social (fons social),162.04.0016,Acció social,2210A,Altres prestacions econòmiques a favor d'empleats,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,81275.88,RB laboral temporal Dinamització empresarial,131.00.0016,Laboral temporal,2414A,Dinamització empresarial,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,19288.5,SS personal laboral Dinamitz. empresarial,160.00.0016,Seguretat Social,2414A,Dinamització empresarial,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,45389.64,Plans d'Ocupació SOC,141.00.0016,Altre personal,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,15118.74,Seguretat Social Plans d'ocupació SOC,160.00.0016,Seguretat Social,2419A,Foment de l'Ocupació -Plans d'ocupació Generalitat,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,13500.39,R. B. personal laboral temporal P. O. DiBa 2016,141.00.0016,Altre personal,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació disponibles ex.20,44775.92,R. B. personal laboral temporal P. O. DiBa 2016,141.00.0016,Altre personal,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,10851.54,S. S. personal laboral temporal P. O. DiBa 2016,160.00.0016,Seguretat Social,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,73880.82,RB laboral temporal.Prog. joves En pràctiques 2016,141.00.0016,Altre personal,2419E,Foment de l'Ocupació- joves En pràctiques,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,21143.43,SS laboral temporal.Prog. joves En pràctiques 2016,160.00.0016,Seguretat Social,2419E,Foment de l'Ocupació- joves En pràctiques,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,24956.9,RB laboral temporal.Prog. Fem ocupació Joves (AMP),141.00.0015,Altre personal,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,19443.57,RB laboral temporal.Prog. Fem ocupació Joves 2016,141.00.0016,Altre personal,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,34316.43,RB laboral temporal.Prog. Fem ocupació Joves 2016,141.00.0016,Altre personal,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,12816.67,SS laboral temporal.Prog. Fem ocupació Joves 2016,160.00.0016,Seguretat Social,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,10223.33,SS laboral temporal.Prog. Fem ocupació Joves 2016,160.00.0016,Seguretat Social,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,15455.04,Seguretat Social laboral Prog.Fem ocup.Joves (AMP),160.01.0015,Seguretat Social,2419F,Foment de l'Ocupació- Fem ocupació per a joves,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,64125,RB laboral temporal Joves per l'ocupació SOC 2016,141.00.0016,Altre personal,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,20102.39,RB laboral temporal Joves per l'ocupació SOC 2015,141.00.0115,Altre personal,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,21375,S.S. Laborals  Joves per l'ocupació SOC 2016,160.00.0016,Seguretat Social,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,4965.23,Seguretat Social func. joves l'ocupació SOC 2015,160.00.0115,Seguretat Social,2419J,Foment de l'Ocupació -Pl Ocup-Joves per l'ocupació,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,124388.49,R. B. laborals Pla de Xoc a l'Atur - AMB,141.00.0016,Altre personal,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.2.0.16,Recursos Humans
15/02/2017,Incorporació disponibles ex.20,43205.51,R. B. laborals Pla de Xoc a l'Atur - AMB,141.00.0016,Altre personal,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,62886,S. S. laborals Pla de Xoc a l'Atur - AMB,160.00.0016,Seguretat Social,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.2.0.16,Recursos Humans
15/02/2017,Incorporació disponibles ex.20,2236.11,R.B. laborals Junts per la millora social,141.00.0016,Altre personal,2419S,Foment de l'Ocupació - Programa SUMAT,2.2.0.16,Recursos Humans
15/02/2017,Incorporació disponibles ex.20,46.34,Formació participants Millora Social,226.06.0016,"Reunions, conferències i cursos",2419S,Foment de l'Ocupació - Programa SUMAT,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,49985.44,RB laborals PO Treballs als Barris ,141.00.0016,Altre personal,2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,24742.9,Seguretat Social PO Treballs als barris,160.00.0016,Seguretat Social,2419T,Foment de l'Ocupació -Pl Ocup-Treballs als barris,2.2.0.16,Recursos Humans
15/02/2017,Incorporació romanents ex.2016,40780.27,RB laboral - Xarxa Impulsors PGJC 2016,141.00.0016,Altre personal,2419X,Foment de l'Ocupació -Pl Ocup-Garantia Juvenil,2.2.0.16,Recursos Humans
