CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-04011;Vots a candidatures;350
S-04011;Vots en blanc;5
S-04011;Vots nuls;6
S-04012;Abstenció;537
S-04012;Vots a candidatures;419
S-04012;Vots en blanc;11
S-04012;Vots nuls;1
S-04013;Abstenció;561
S-04013;Vots a candidatures;538
S-04013;Vots en blanc;10
S-04013;Vots nuls;6
S-04014;Abstenció;436
S-04014;Vots a candidatures;405
S-04014;Vots en blanc;3
S-04014;Vots nuls;2
S-04015;Abstenció;381
S-04015;Vots a candidatures;315
S-04015;Vots en blanc;4
S-04015;Vots nuls;2
S-04016;Abstenció;496
S-04016;Vots a candidatures;419
S-04016;Vots en blanc;7
S-04016;Vots nuls;3
S-04017;Abstenció;519
S-04017;Vots a candidatures;390
S-04017;Vots en blanc;0
S-04017;Vots nuls;3
S-04018;Abstenció;327
S-04018;Vots a candidatures;314
S-04018;Vots en blanc;7
S-04018;Vots nuls;1
S-04019;Abstenció;316
S-04019;Vots a candidatures;298
S-04019;Vots en blanc;3
S-04019;Vots nuls;3
S-05001;Abstenció;331
S-05001;Vots a candidatures;216
S-05001;Vots en blanc;2
S-05001;Vots nuls;1
S-05002;Abstenció;368
S-05002;Vots a candidatures;202
S-05002;Vots en blanc;2
S-05002;Vots nuls;3
S-05003;Abstenció;420
S-05003;Vots a candidatures;255
S-05003;Vots en blanc;0
S-05003;Vots nuls;4
S-05004;Abstenció;292
S-05004;Vots a candidatures;193
S-05004;Vots en blanc;7
S-05004;Vots nuls;0
S-05005;Abstenció;352
S-05005;Vots a candidatures;244
S-05005;Vots en blanc;3
S-05005;Vots nuls;5
S-05006;Abstenció;429
S-05006;Vots a candidatures;280
S-05006;Vots en blanc;8
S-05006;Vots nuls;2
S-05007;Abstenció;419
S-05007;Vots a candidatures;280
S-05007;Vots en blanc;5
S-05007;Vots nuls;2
S-05008;Abstenció;392
S-05008;Vots a candidatures;267
S-05008;Vots en blanc;4
S-05008;Vots nuls;5
S-05009;Abstenció;332
S-05009;Vots a candidatures;372
S-05009;Vots en blanc;4
S-05009;Vots nuls;11
S-05010;Abstenció;444
S-05010;Vots a candidatures;321
S-05010;Vots en blanc;3
S-05010;Vots nuls;4
S-06001;Abstenció;248
S-06001;Vots a candidatures;158
S-06001;Vots en blanc;1
S-06001;Vots nuls;5
S-06002;Abstenció;388
S-06002;Vots a candidatures;319
S-06002;Vots en blanc;4
S-06002;Vots nuls;2
S-06003;Abstenció;240
S-06003;Vots a candidatures;146
S-06003;Vots en blanc;8
S-06003;Vots nuls;1
S-06004;Abstenció;222
S-06004;Vots a candidatures;178
S-06004;Vots en blanc;1
S-06004;Vots nuls;1
S-06005;Abstenció;278
S-06005;Vots a candidatures;227
S-06005;Vots en blanc;3
S-06005;Vots nuls;1
S-06006;Abstenció;226
S-06006;Vots a candidatures;184
S-06006;Vots en blanc;3
S-06006;Vots nuls;2
S-06007;Abstenció;367
S-06007;Vots a candidatures;290
S-06007;Vots en blanc;5
S-06007;Vots nuls;2
S-06008;Abstenció;247
S-06008;Vots a candidatures;186
S-06008;Vots en blanc;8
S-06008;Vots nuls;0
S-06009;Abstenció;760
S-06009;Vots a candidatures;721
S-06009;Vots en blanc;16
S-06009;Vots nuls;7
S-06010;Abstenció;334
S-06010;Vots a candidatures;238
S-06010;Vots en blanc;4
S-06010;Vots nuls;1
S-06011;Abstenció;237
S-06011;Vots a candidatures;134
S-06011;Vots en blanc;1
S-06011;Vots nuls;0
S-06012;Abstenció;345
S-06012;Vots a candidatures;233
S-06012;Vots en blanc;4
S-06012;Vots nuls;5
S-06013;Abstenció;249
S-06013;Vots a candidatures;199
S-06013;Vots en blanc;2
S-06013;Vots nuls;3
S-06014;Abstenció;304
S-06014;Vots a candidatures;303
S-06014;Vots en blanc;3
S-06014;Vots nuls;3
S-06015;Abstenció;424
S-06015;Vots a candidatures;434
S-06015;Vots en blanc;9
S-06015;Vots nuls;5
S-06016;Abstenció;241
S-06016;Vots a candidatures;219
S-06016;Vots en blanc;2
S-06016;Vots nuls;2
