CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01010;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;116
S-01010;NULS;NULS;4
S-01010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;19
S-01010;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01010;PP      ;PARTIDO POPULAR                         ;101
S-01010;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;160
S-01010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01011;BLANCS;BLANCS;3
S-01011;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;12
S-01011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;75
S-01011;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;223
S-01011;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;48
S-01011;NULS;NULS;2
S-01011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-01011;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01011;PP      ;PARTIDO POPULAR                         ;49
S-01011;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;129
S-01011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01012;BLANCS;BLANCS;1
S-01012;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;14
S-01012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;50
S-01012;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;180
S-01012;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;37
S-01012;NULS;NULS;6
S-01012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-01012;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-01012;PP      ;PARTIDO POPULAR                         ;56
S-01012;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;120
S-01012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-01013;BLANCS;BLANCS;3
S-01013;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;37
S-01013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;78
S-01013;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;217
S-01013;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;130
S-01013;NULS;NULS;6
S-01013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-01013;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-01013;PP      ;PARTIDO POPULAR                         ;83
S-01013;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;162
S-01013;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01014;BLANCS;BLANCS;5
S-01014;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;48
S-01014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;79
S-01014;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;251
S-01014;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;107
S-01014;NULS;NULS;4
S-01014;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;15
S-01014;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01014;PP      ;PARTIDO POPULAR                         ;77
S-01014;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;157
S-01014;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-02001;BLANCS;BLANCS;10
S-02001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;81
S-02001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;270
S-02001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;569
S-02001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;168
S-02001;NULS;NULS;13
S-02001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;25
S-02001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-02001;PP      ;PARTIDO POPULAR                         ;191
S-02001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;303
S-02001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-02002;BLANCS;BLANCS;5
S-02002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;52
S-02002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;185
S-02002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;393
S-02002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;161
S-02002;NULS;NULS;6
S-02002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;20
S-02002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-02002;PP      ;PARTIDO POPULAR                         ;180
S-02002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;243
S-02002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;9
S-03001;BLANCS;BLANCS;1
S-03001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;17
S-03001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;94
S-03001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;205
S-03001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;38
S-03001;NULS;NULS;2
S-03001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-03001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-03001;PP      ;PARTIDO POPULAR                         ;88
S-03001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;151
S-03001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-03002;BLANCS;BLANCS;5
S-03002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;3
S-03002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;46
S-03002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;199
S-03002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;17
S-03002;NULS;NULS;1
S-03002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-03002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-03002;PP      ;PARTIDO POPULAR                         ;50
S-03002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;126
S-03002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-03003;BLANCS;BLANCS;1
S-03003;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;9
S-03003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;68
S-03003;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;167
S-03003;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;21
S-03003;NULS;NULS;3
S-03003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-03003;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-03003;PP      ;PARTIDO POPULAR                         ;48
S-03003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;131
S-03003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-03004;BLANCS;BLANCS;17
S-03004;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;60
S-03004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;339
S-03004;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;773
S-03004;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;230
S-03004;NULS;NULS;7
S-03004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;30
S-03004;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;4
S-03004;PP      ;PARTIDO POPULAR                         ;234
S-03004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;416
S-03004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;9
S-03005;BLANCS;BLANCS;11
S-03005;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;22
S-03005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;144
S-03005;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;396
