CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-06015;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-06015;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-06015;PP      ;PARTIDO POPULAR                         ;94
S-06015;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;195
S-06015;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06016;BLANCS;BLANCS;4
S-06016;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;2
S-06016;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;24
S-06016;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;72
S-06016;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;11
S-06016;NULS;NULS;0
S-06016;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-06016;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-06016;PP      ;PARTIDO POPULAR                         ;75
S-06016;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;125
S-06016;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
