CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-04011;Vots a candidatures;587
S-04011;Vots en blanc;1
S-04011;Vots nuls;0
S-04012;Abstenció;258
S-04012;Vots a candidatures;713
S-04012;Vots en blanc;7
S-04012;Vots nuls;2
S-04013;Abstenció;251
S-04013;Vots a candidatures;936
S-04013;Vots en blanc;4
S-04013;Vots nuls;1
S-04014;Abstenció;175
S-04014;Vots a candidatures;667
S-04014;Vots en blanc;2
S-04014;Vots nuls;0
S-04015;Abstenció;183
S-04015;Vots a candidatures;558
S-04015;Vots en blanc;3
S-04015;Vots nuls;1
S-04016;Abstenció;194
S-04016;Vots a candidatures;755
S-04016;Vots en blanc;3
S-04016;Vots nuls;2
S-04017;Abstenció;220
S-04017;Vots a candidatures;696
S-04017;Vots en blanc;2
S-04017;Vots nuls;0
S-04018;Abstenció;141
S-04018;Vots a candidatures;490
S-04018;Vots en blanc;2
S-04018;Vots nuls;1
S-04019;Abstenció;155
S-04019;Vots a candidatures;488
S-04019;Vots en blanc;1
S-04019;Vots nuls;4
S-05001;Abstenció;177
S-05001;Vots a candidatures;381
S-05001;Vots en blanc;1
S-05001;Vots nuls;1
S-05002;Abstenció;231
S-05002;Vots a candidatures;330
S-05002;Vots en blanc;0
S-05002;Vots nuls;1
S-05003;Abstenció;239
S-05003;Vots a candidatures;431
S-05003;Vots en blanc;2
S-05003;Vots nuls;5
S-05004;Abstenció;187
S-05004;Vots a candidatures;325
S-05004;Vots en blanc;5
S-05004;Vots nuls;2
S-05005;Abstenció;205
S-05005;Vots a candidatures;409
S-05005;Vots en blanc;0
S-05005;Vots nuls;1
S-05006;Abstenció;197
S-05006;Vots a candidatures;528
S-05006;Vots en blanc;0
S-05006;Vots nuls;4
S-05007;Abstenció;246
S-05007;Vots a candidatures;482
S-05007;Vots en blanc;2
S-05007;Vots nuls;5
S-05008;Abstenció;231
S-05008;Vots a candidatures;425
S-05008;Vots en blanc;2
S-05008;Vots nuls;2
S-05009;Abstenció;138
S-05009;Vots a candidatures;571
S-05009;Vots en blanc;4
S-05009;Vots nuls;3
S-05010;Abstenció;203
S-05010;Vots a candidatures;582
S-05010;Vots en blanc;3
S-05010;Vots nuls;4
S-06001;Abstenció;187
S-06001;Vots a candidatures;248
S-06001;Vots en blanc;0
S-06001;Vots nuls;4
S-06002;Abstenció;211
S-06002;Vots a candidatures;497
S-06002;Vots en blanc;2
S-06002;Vots nuls;3
S-06003;Abstenció;137
S-06003;Vots a candidatures;255
S-06003;Vots en blanc;0
S-06003;Vots nuls;1
S-06004;Abstenció;112
S-06004;Vots a candidatures;286
S-06004;Vots en blanc;2
S-06004;Vots nuls;0
S-06005;Abstenció;183
S-06005;Vots a candidatures;343
S-06005;Vots en blanc;3
S-06005;Vots nuls;0
S-06006;Abstenció;141
S-06006;Vots a candidatures;286
S-06006;Vots en blanc;0
S-06006;Vots nuls;0
S-06007;Abstenció;202
S-06007;Vots a candidatures;466
S-06007;Vots en blanc;3
S-06007;Vots nuls;4
S-06008;Abstenció;163
S-06008;Vots a candidatures;276
S-06008;Vots en blanc;1
S-06008;Vots nuls;2
S-06009;Abstenció;297
S-06009;Vots a candidatures;1197
S-06009;Vots en blanc;2
S-06009;Vots nuls;5
S-06010;Abstenció;159
S-06010;Vots a candidatures;419
S-06010;Vots en blanc;4
S-06010;Vots nuls;2
S-06011;Abstenció;137
S-06011;Vots a candidatures;243
S-06011;Vots en blanc;0
S-06011;Vots nuls;0
S-06012;Abstenció;153
S-06012;Vots a candidatures;452
S-06012;Vots en blanc;0
S-06012;Vots nuls;0
S-06013;Abstenció;156
S-06013;Vots a candidatures;334
S-06013;Vots en blanc;0
S-06013;Vots nuls;0
S-06014;Abstenció;161
S-06014;Vots a candidatures;452
S-06014;Vots en blanc;2
S-06014;Vots nuls;1
S-06015;Abstenció;162
S-06015;Vots a candidatures;716
S-06015;Vots en blanc;4
S-06015;Vots nuls;0
S-06016;Abstenció;141
S-06016;Vots a candidatures;336
S-06016;Vots en blanc;3
S-06016;Vots nuls;1
