CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
00190;0807300190;C;d Antoni Maura;ANTONI MAURA, D ;1;8
00195;0807300195;Pl;d Antonio Machado;ANTONIO MACHADO, D ;0;9999
00200;0807300200;C;de l Arç;Arç de l ;1;8
00210;0807300210;C;d Arnau de Mercader;ARNAU DE MERCADER, D ;1;19
00220;0807300220;C;de l Arquitecte Adell Ferrer;ARQUITECTE ADELL FERRER,;2;16
00230;0807300230;C;de l Arquitecte Calzada;ARQUITECTE CALZADA, DE L ;0;9
00240;0807300240;C;d  Eduard Bagaria i Puig;EDUARD BAGARIA I PUIG, DE;0;25
00243;0807300243;C;de Maria Aurèlia Capmany;MARIA AURELIA CAPMANY, D;1;9999
00245;0807300245;C;del Baix Ebre;BAIX EBRE, DEL;1;3
00248;0807300248;Av;del Baix Llobregat;BAIX LLOBREGAT, DEL;1;9999
00250;0807300250;C;de Baltasar Oriol;BALTASAR ORIOL, DE;1;69
00260;0807300260;C;del Bambú;BAMBU, DEL;1;8
00270;0807300270;C;de Barcelona;BARCELONA, DE;1;37
00280;0807300280;C;Barcelonès;BARCELONES;1;15
00290;0807300290;C;de la Begònia;BEGONIA, DE LA;1;10
00291;0807300291;C;de la Begònia, posterior;BEGONIA, POSTERIOR;0;9999
00292;0807300292;C;UR PALAU;UR PALAU;0;9999
00300;0807300300;C;de Bellaterra;BELLATERRA, DE;1;43
00305;0807300305;C;del Berguedà;BERGUEDA, DEL;1;3
00308;0807300308;Pl;de Blas Infante;BLAS INFANTE, DE;0;9999
00310;0807300310;C;del Boix;BOIX, DEL;1;8
00320;0807300320;C;del Bruc;BRUC, DEL;1;8
00321;0807300321;C;Bruc, posterior;BRUC, POSTERIOR;0;9999
00330;0807300330;C;de la Bonavista;BONAVISTA, DE LA;0;84
00340;0807300340;C;del Bonestar;BONESTAR, DEL;1;68
00350;0807300350;C;del Bonveí;BONVEI, DEL;1;53
00360;0807300360;C;de la Buguenvil·lea;BUGUENVIL·LEA, DE LA;1;8
00370;0807300370;C;del Buri;BURI, DEL;1;13
00380;0807300380;Ptge;Busquets;BUSQUETS;1;35
00385;0807300385;C;de Calderón de la Barca;CALDERON DE LA BARCA, DE;0;6
00386;0807300386;Ptge;Camp;CAMP;0;0
00387;0807300387;CAN;Pahissa;PAHISSA;0;0
00388;0807300388;Av;de Can Corts;CAN CORTS, DE;1;9999
00390;0807300390;C;del Cinema Bel;CINEMA BEL, DEL;1;59
00400;0807300400;C;de les Camèlies;CAMELIES, DE LES;1;8
00420;0807300420;C;de Campfasso;CAMPFASSO, DE;1;48
00430;0807300430;Pl;de Campfasso;CAMPFASSO, DE;1;8
00450;0807300450;C;del Camp de l Empedrat;CAMP DE L EMPEDRAT, DEL;1;28
00455;0807300455;Pl;Camprecios;CAMPRECIOS;4;4
00460;0807300460;C;de Campoamor;CAMPOAMOR, DE;1;77
00465;0807300465;Pg;de la Campsa;CAMPSA, DE LA;2;8
00467;0807300467;C;Canal;CANAL;0;9999
00480;0807300480;C;de la Caoba;CAOBA, DE LA;1;8
00490;0807300490;C;de Javimel;JAVIMEL, DE;1;23
00493;0807300493;Pl;de Carmen Amaya;CARMEN AMAYA, DE;0;9999
00500;0807300500;C;del Castanyer;CASTANYER, DEL;1;8
00510;0807300510;C;dels Catalans;CATALANS, DELS;1;70
00520;0807300520;C;de Catalunya;CATALUNYA, DE;1;12
00525;0807300525;Pl;de Catalunya;CATALUNYA, DE;0;9999
00530;0807300530;Pl;de l Església;ESGLESIA, DE L ;1;3
00540;0807300540;C;del Cedre;CEDRE, DEL;1;8
00541;0807300541;C;Cedre, posterior;CEDRE, POSTERIOR;0;9999
00546;0807300546;Ptge;Centre Social Almeda;CENTRE SOCIAL ALMEDA;0;9999
00547;0807300547;Ptge;del Centre;CENTRE, DEL;1;9999
00548;0807300548;C;de la Cerdanya;CERDANYA, DE LA;2;6
00550;0807300550;C;del Cirerer;CIRERER, DEL;2;8
00570;0807300570;Ptge;de Miguel de Cervantes;MIGUEL DE CERVANTES, DE;1;17
00575;0807300575;C;dels Cirerers;CIRERERS, DELS;2;44
00580;0807300580;C;del Xiprer;XIPRER, DEL;1;5
00583;0807300583;C;del Cobalt;COBALT, DEL;1;74
00585;0807300585;C;de la Conca de Barberà;CONCA DE BARBERA, DE LA;1;5
00590;0807300590;C;de Còrdova;CORDOVA, DE;1;16
00600;0807300600;C;de Cornellà Modern;CORNELLA MODERN, DE;1;66
00605;0807300605;Pl;de Baudili Cortada;BAUDILI CORTADA, DE;1;8
00607;0807300607;C;de la Costa Brava;COSTA BRAVA, DE LA;1;14
00608;0807300608;C;del Coure;COURE, DEL;1;50
00610;0807300610;C;de Cristòfor Llargués;CRISTOFOR LLARGUES, DE;2;28
00615;0807300615;Ptge;de Cristòfor Llargués;CRISTOFOR LLARGUES, DE;1;4
00618;0807300618;C;del Crom;CROM, DEL;1;38
00620;0807300620;C;de la Dàlia;DALIA, DE LA;1;8
00630;0807300630;C;del Desmai;DESMAI, DEL;1;8
00640;0807300640;Camí;de la Destraleta;DESTRALETA, DE LA;2;204
00643;0807300643;Ptge;de la Destraleta;DESTRALETA, DE LA;1;5
00645;0807300645;C;del Rosselló;ROSSELLO, DEL;1;60
00660;0807300660;C;de les Llunetes;LLUNETES, DE LES;1;8
00670;0807300670;C;del Doctor Arús;DOCTOR ARUS, DEL;2;16
00680;0807300680;C;del Doctor Carulla;DOCTOR CARULLA, DEL;1;26
00690;0807300690;C;del Doctor Ferran;DOCTOR FERRAN, DEL;1;42
00700;0807300700;Ptge;del Doctor Ferran;DOCTOR FERRAN, DEL;1;8
00710;0807300710;C;de la Flor de Nit;FLOR DE NIT, DE LA;1;8
00720;0807300720;C;de Dolors Almeda;DOLORS ALMEDA, DE;1;143
00725;0807300725;Ptge;de Dolors Almeda;DOLORS ALMEDA, DE;1;9999
00730;0807300730;C;de Lluís Domènech i Montaner;LLUIS DOMENECH I MONTANER;1;33
00750;0807300750;C;de la Dolçamara;DOLÇAMARA, DE LA;1;8
00760;0807300760;C;del Duran;DURAN, DEL;1;6
00770;0807300770;C;del Marfull;MARFULL, DEL;1;5
00780;0807300780;C;d Eduard Gibert;EDUARD GIBERT, D ;1;57
00785;0807300785;C;Energia;ENERGIA;1;121
00788;0807300788;Pl;d Enric Mora;ENRIC MORA, D ;0;9999
00790;0807300790;Ctra;de Sant Joan Despí;SANT JOAN DESPI, DE;1;194
00795;0807300795;Pl;d Europa;EUROPA, D ;0;9999
00797;0807300797;Pl;Extremadura;EXTREMADURA;0;9999
00800;0807300800;Ptge;d  Eduard Bagaria i Puig;EDUARD BAGARIA I PUIG, DE;0;0
00802;0807300802;C;de Femades;FEMADES, DE;1;12
00804;0807300804;CAN;Fairell;FAIRELL;0;9999
00805;0807300805;Av;de la Fama;FAMA, DE LA;1;125
00807;0807300807;Ptge;Fatjo;FATJO;1;4
00810;0807300810;C;de Feliu i Codina;FELIU I CODINA, DE;1;47
00815;0807300815;Ptge;Federico Garcia Lorca;FEDERICO GARCIA LORCA;0;9999
00817;0807300817;C;de Federica Montseny;FEDERICA MONTSENY;1;99
00820;0807300820;C;de Frederic Soler;FREDERIC SOLER, DE;1;98
00830;0807300830;C;de Fèlix Just Oliveras;FELIX JUST OLIVERAS, DE;1;48
00840;0807300840;Pg;dels Ferrocarrils Catalans;FERROCARRILS CATALANS, DE;0;296
00850;0807300850;C;de Filipines;FILIPINES, DE;1;8
00860;0807300860;C;Fivaller;FIVALLER, DE;1;46
00870;0807300870;C;de la Gerdera;GERDERA, DE LA;1;10
00880;0807300880;C;de Francesc Moragas;FRANCESC MORAGAS, DE;1;49
00890;0807300890;C;del Freixe;FREIXE, DEL;1;11
00895;0807300895;C;del Futbol;FUTBOL, DEL;1;45
00905;0807300905;Ptge;Josep Gelabert;JOSEP GELABERT;1;10
00907;0807300907;C;Josep Duran Campderros;JOSEP DURAN CAMPDERROS;2;20
00911;0807300911;Pl;de Galicia;GALICIA;0;9999
00912;0807300912;C;de la Gandesa;GANDESA, DE LA;1;8
00913;0807300913;Pl;de la Gandesa;GANDESA, DE LA;1;1
00915;0807300915;C;del Garraf;GARRAF, DEL;2;6
00917;0807300917;C;de la Garrotxa;GARROTXA, DE LA;1;10
00920;0807300920;C;del General Manso;GENERAL MANSO, DEL;1;73
00930;0807300930;Ctra;de l Hospitalet;HOSPITALET, DE L ;1;414
00940;0807300940;C;del General Prim;GENERAL PRIM, DEL;1;9
00953;0807300953;C;Ernest Lluch;ERNEST LLUCH;1;15
00955;0807300955;C;Gironès;GIRONES;1;12
00960;0807300960;C;de Granada;GRANADA, DE;1;5
00965;0807300965;Pl;de la Fontsanta;FONTSANTA, DE LA;1;12
00967;0807300967;Ptge;de la Fontsanta;FONTSANTA, DE LA;1;9999
00970;0807300970;C;de Gustavo Adolfo Bécquer;GUSTAVO ADOLFO BECQUER, D;1;21
00980;0807300980;C;Ermengol Goula;ERMENGOL GOULA;1;58
00985;0807300985;Ptge;Huescar;HUESCAR;1;9999
00987;0807300987;Ptge;Horts;HORTS;1;9
00990;0807300990;C;d Ignasi Iglesias;IGNASI IGLESIAS, D ;1;31
00995;0807300995;Ptge;d Ignasi Iglesias;IGNASI IGLESIAS, D ;1;6
01000;0807301000;C;de la Indústria;INDUSTRIA, DE LA;0;9999
01003;0807301003;Parc;del Canal de la Infanta;CANAL DE LA INFANTA, DEL;0;9999
01005;0807301005;Rier;Real Canal de la Infanta;REAL CANAL DE LA INFANTA;0;9999
01010;0807301010;C;d Isaac Albèniz;ISAAC ALBENIZ, D ;0;9999
01020;0807301020;C;d Isaac Peral;ISAAC PERAL, D ;1;5
01021;0807301021;Pl;de l Estació;ESTACIO, DE L ;1;2
01030;0807301030;C;de Jacinto Guerrero;JACINTO GUERRERO, DE;1;19
01040;0807301040;C;de Jaén;JAEN, DE;1;20
01050;0807301050;C;de Jaume Casas Pallarols;JAUME CASAS PALLAROLS, DE;1;16
01055;0807301055;Pg;dels Jardins de la Pau;JARDINS DE LA PAU, DELS;0;9999
01060;0807301060;Rbla;d Anselm Clavé;ANSELM CLAVE, D ;1;51
01070;0807301070;Ctra;d Esplugues;ESPLUGUES, D ;1;248
01075;0807301075;Ptge;del Solsonès;SOLSONES, DEL;1;2
01080;0807301080;C;de José Canalejas;JOSE CANALEJAS, DE;1;12
01090;0807301090;C;de Josep Cuxart;JOSEP CUXART, DE;1;63
01100;0807301100;C;de Josep Fiter;JOSEP FITER, DE;1;69
01110;0807301110;Ptge;de Josep Fiter;JOSEP FITER, DE;1;4
01130;0807301130;C;de Josep Masgrau;JOSEP MASGRAU, DE;1;61
01140;0807301140;C;de Josep Recort;JOSEP RECORT, DE;1;22
01145;0807301145;Pl;de Josep Tarradellas;JOSEP TARRADELLAS, DE;0;9999
01150;0807301150;C;de Joan Fernàndez;JOAN FERNANDEZ, DE;1;153
01160;0807301160;C;de Joan Maragall;JOAN MARAGALL, DE;0;54
01170;0807301170;C;de la Florida;FLORIDA, DE LA;1;43
01175;0807301175;Pl;Joan Miró;JOAN MIRO;0;9999
01180;0807301180;C;de la Miranda;MIRANDA, DE LA;1;83
01185;0807301185;C;de la Noguera;NOGUERA, DE LA;49;76
01200;0807301200;C;de la Rosa;ROSA, DE LA;1;18
01210;0807301210;C;de Lasarte;LASARTE, DE;1;10
01220;0807301220;Av;de les Flors;FLORS, DE LES;1;11
01230;0807301230;C;de les Delicies;DELICIES DE LES;1;23
01240;0807301240;Ptge;de les Delícies;DELICIES, DE LES;1;11
01250;0807301250;C;de les Orioles;ORIOLES, DE LES;1;16
01260;0807301260;C;de Lleó Fontova;LLEO FONTOVA, DE;1;28
01265;0807301265;Ptge;de Lleó Fontova;LLEO FONTOVA, DE;1;9999
01270;0807301270;C;de Lleó XIIIè;LLEO XIIIE, DE;0;9999
01280;0807301280;C;de Lepanto;LEPANTO, DE;1;9999
01285;0807301285;C;de les Garrigues;GARRIGUES, DE LES;1;9
01290;0807301290;C;de Francesc Layret;FRANCESC LAYRET, DE;1;107
01300;0807301300;Ptge;de Francesc Layret;FRANCESC LAYRET, DE;1;24
01305;0807301305;Pl;Francesc Macià;FRANCESC MACIA;0;9999
01310;0807301310;Pl;de Linda Vista;LINDA VISTA, DE;0;9999
01320;0807301320;Av;de la Línia Elèctrica;LINIA ELECTRICA, DE LA;1;25
01330;0807301330;Pl;d Angel Guimerà;ANGEL GUIMERA, D ;1;9
01340;0807301340;C;de Luis Muntadas;LUIS MUNTADAS, DE;1;20
01350;0807301350;C;de Llinars;LLINARS, DE;1;69
01355;0807301355;Pl;de la Llibertat;LLIBERTAT, DE LA;0;9999
01360;0807301360;C;del Llobregat;LLOBREGAT, DEL;1;11
01365;0807301365;GRUP;Llobregat;LLOBREGAT;0;9999
01368;0807301368;Pl;de LLuís Companys;LLUIS COMPANYS, DE;2;2
01370;0807301370;C;de Màlaga;MALAGA, DE;1;15
01390;0807301390;C;de Manuel Mariné;MANUEL MARINE, DE;1;17
01395;0807301395;C;Can Manso;CAN MANSO;0;9999
01397;0807301397;Av;del Maresme;MARESME, DEL;1;78
01398;0807301398;Parc;de Can Mercader;CAN MERCADER, DE;0;9999
01400;0807301400;C;de la Maria Rosa;MARIA ROSA, DE LA;1;43
01405;0807301405;Pl;de Mary Santpere;MARY SANTPERE, DE;0;9999
01410;0807301410;C;de Marià Benlliure;MARIA BENLLIURE, DE;1;66
01420;0807301420;C;de Marià Fortuny;MARIA FORTUNY, DE;1;70
01430;0807301430;C;de Marià Thomàs;MARIA THOMAS, DE;1;27
01435;0807301435;C;de la Marina;MARINA, DE LA;2;62
01440;0807301440;C;del Marquès de Cornellà;MARQUES DE CORNELLA, DEL;1;157
01450;0807301450;Pl;de Marsans;MARSANS, DE;1;11
01470;0807301470;Ptge;de Mateu Oliva;MATEU OLIVA, DE;1;14
01485;0807301485;Ctra;de Mig;MIG, DE;1;109
01490;0807301490;C;de Marcelino Menéndez Pelayo;MARCELINO MENENDEZ PELAYO;0;49
01496;0807301496;C;del Mercuri;MERCURI, DEL;1;50
01497;0807301497;C;de Miguel de Cervantes;MIGUEL DE CERVANTES, DE;1;36
01498;0807301498;C;Mercè Rodoreda;MERCE RODOREDA;1;9999
01500;0807301500;C;de Miquel de Roncalí;MIQUEL DE RONCALI, DE;1;73
01502;0807301502;Pl;Miguel Hernández;MIGUEL HERNANDEZ;0;9999
01505;0807301505;Ptge;de la Miranda;MIRANDA, DE LA;1;15
01507;0807301507;C;de Montserrat Roig;MONTSERRAT ROIG, DE;1;9999
01508;0807301508;C;del Montsià;MONTSIA, DEL;1;14
01510;0807301510;C;de Narcís Monturiol;NARCIS MONTURIOL, DE;1;44
01520;0807301520;C;de Mossèn Andreu;MOSSEN ANDREU, DE;1;68
01521;0807301521;C;Mossèn Andreu, posterior;MOSSEN ANDREU, POSTERIOR;0;9999
01530;0807301530;C;de Mossèn Jacint Verdaguer;MOSSEN JACINT VERDAGUER;1;90
01540;0807301540;C;de Mossèn Jaume Solé;MOSSEN JAUME SOLE, DE;1;52
01550;0807301550;C;de Mossèn Joaquim Palet;MOSSEN JOAQUIM PALET, DE;1;35
01560;0807301560;C;de Múrcia;MURCIA, DE;1;14
01570;0807301570;C;de Murillo;MURILLO, DE;1;43
01580;0807301580;C;de la Verge de Montserrat;VERGE DE MONTSERRAT, DE L;0;43
01590;0807301590;C;de l Oliverar;OLIVERAR, DE L ;1;22
01595;0807301595;C;d Osona;OSONA, D ;1;5
01600;0807301600;C;Pau Riera;PAU RIERA;1;3
01602;0807301602;Ptge;Pau Riera;PAU RIERA;1;1
01605;0807301605;C;de Juan de Padilla;JUAN DE PADILLA, DE;0;0
01610;0807301610;C;del Pare Marchena;PARE MARCHENA, DEL;1;12
01620;0807301620;Ptge;del Pare Lleonart;PARE LLEONART, DEL;1;3
01625;0807301625;Pl;del Pare Lleonart;PARE LLEONART, DEL;0;0
01627;0807301627;Pl;dels Païssos Catalans;PAISSOS CATALANS, DELS;0;9999
01630;0807301630;C;de Palma de Mallorca;PALMA DE MALLORCA, DE;1;21
01633;0807301633;Av;de Pablo Picasso;PABLO PICASSO, DE;2;52
01635;0807301635;Pl;del Pallars;PALLARS, DEL;0;9999
01637;0807301637;Av;PARC DE CAN MERCADER;PARC DE CAN MERCADER;0;9999
01640;0807301640;Av;del Parc;PARC, DEL;1;61
01652;0807301652;Pl;de Pau Casals;PAU CASALS, DE;1;5
01654;0807301654;Pl;de la Pau;DE LA PAU;0;9999
01655;0807301655;Ptge;de la Pau;DE LA PAU;1;8
01656;0807301656;C;de Penedès;PENEDES, DE;1;5
01660;0807301660;C;de Pius XIIè;PIUS XIIE, DE;1;29
01670;0807301670;Ptge;de la Plàsmica;PLASMICA, DE LA;0;0
01675;0807301675;C;del Ponent;PONENT, DEL;1;3
01677;0807301677;C;de Pompeu Fabra;POMPEU FABRA, DE;0;9999
01680;0807301680;C;de l Avenir;AVENIR, DE L ;1;21
01685;0807301685;Av;Porta Diagonal;PORTA DIAGONAL;2;9998
01690;0807301690;Ctra;del Prat;PRAT, DEL;1;149
01691;0807301691;Pg;del Prat;PRAT, DEL;0;9999
01700;0807301700;Camí;del Prat;PRAT, DEL;0;9999
01703;0807301703;Pl;Prat de la Riba;PRAT DE LA RIBA;0;9999
01704;0807301704;C;del Principat d Andorra;PRINCIPAT D ANDORRA, DEL;1;9
01706;0807301706;C;del Priorat;PRIORAT, DEL;1;7
01708;0807301708;C;del Progrès;PROGRES, DEL;1;75
01717;0807301717;Pl;de Puigcerdà;PUIGCERDA, DE;0;9999
01720;0807301720;C;del Doctor Martí i Julià;DOCTOR MARTI I JULIA, DEL;1;78
01730;0807301730;C;de Quintana i Millars;QUINTANA I MILLARS, DE;1;22
01740;0807301740;Camí;del Quitllet;QUITLLET, DEL;1;12
01760;0807301760;Pl;dels Enamorats;ENAMORATS;1;7
01770;0807301770;C;de Santiago Ramon i Cajal;SANTIAGO RAMON I CAJAL, D;1;46
01780;0807301780;C;de Ramon Sala;RAMON SALA, DE;1;57
01790;0807301790;C;de Ramoneda;RAMONEDA, DE LA;1;99
01810;0807301810;Av;de la República Argentina;REPUBLICA ARGENTINA, DE L;0;64
01820;0807301820;C;Almogavers;ALMOGAVERS;0;0
01825;0807301825;C;Revolt Negre;REVOLT NEGRE;1;9999
01830;0807301830;Pl;dels Quatre Camins;QUATRE CAMINS, DELS;0;9999
01833;0807301833;Pl;de Reus;REUS, DE;1;9
01835;0807301835;C;de la Ribagorça;RIBAGORÇA, DE LA;1;6
01837;0807301837;C;de Ribera d Ebre;RIBERA D EBRE, DE;1;3
01838;0807301838;Parc;de la Ribera;RIBERA, DE LA;0;9999
01840;0807301840;C;de la Riereta;RIERETA, DE LA;1;29
01850;0807301850;C;de Ríos Rosas;RIOS ROSAS, DE;1;20
01854;0807301854;C;del Ripollès;RIPOLLES, DEL;0;12
01860;0807301860;C;de Francesc Rius i Taulet;FRANCESC RIUS I TAULET, D;1;16
01870;0807301870;Ptge;de Rivelles Rafael;RIVELLES RAFAEL, DE;1;15
01880;0807301880;Ptge;dels Rosers;ROSERS, DELS;1;22
01895;0807301895;Pl;dels Rosers;ROSERS, DELS;1;17
01900;0807301900;C;de Rubió i Ors;RUBIO I ORS, DE;1;300
01910;0807301910;C;de Sabina Mitjavila;SABINA MITJAVILA, DE;1;21
01930;0807301930;Ptge;de Salamanca;SALAMANCA, DE;1;36
01933;0807301933;C;Salvador Dalí;SALVADOR DALI;1;9999
01935;0807301935;GTA;Salvador Rueda;SALVADOR RUEDA;0;9999
01940;0807301940;Ctra;de Sant Boi;SANT BOI, DE;1;35
01950;0807301950;C;de Sant Bernat de Menthon;SANT BERNAT DE MENTHON, D;1;14
01960;0807301960;Av;de Sant Ferran;SANT FERRAN, DE;1;102
01980;0807301980;Av;de Sant Ildefons;SANT ILDEFONS, DE;1;36
01981;0807301981;Av;Sant Ildefons, posterior;SANT ILDEFONS, POSTERIOR;0;9999
01985;0807301985;Pl;de Sant Ildefons;SANT ILDEFONS, DE;0;9999
01990;0807301990;C;de Sant Isidre;SANT ISIDRE, DE;1;36
02000;0807302000;C;de Sant Jeroni;SANT JERONI, DE;1;55
02020;0807302020;C;de Sant Lluís;SANT LLUIS, DE;1;61
02025;0807302025;Ptge;de Sant Lluís;SANT LLUIS, DE;1;9999
02030;0807302030;C;de Sant Vicenç Ferrer;SANT VICENÇ FERRER, DE;1;80
02035;0807302035;C;de Mossèn Jaume Rafanell;MOSSEN JAUME RAFANELL, DE;1;11
02045;0807302045;Pl;de la Sardana;SARDANA, DE LA;0;9999
02048;0807302048;C;del Segrià;SEGRIA, DEL;1;30
02049;0807302049;C;de la Segarra;SEGARRA, DE LA;1;12
02050;0807302050;C;de Sevilla;SEVILLA, DE;1;56
02051;0807302051;Ptge;de la Selva;SELVA, DE LA;0;0
02055;0807302055;C;del Silici;SILICI, DEL;1;113
02060;0807302060;Pl;del Sol;SOL, DEL;1;4
02065;0807302065;Rbla;de Solanes;SOLANES, DE;1;50
02070;0807302070;C;de Soler i Cortada;SOLER I CORTADA, DE;1;39
02080;0807302080;C;del Sorral del Riu;SORRAL DEL RIU, DEL;0;0
02082;0807302082;Pl;Can Suris;CAN SURIS;0;9999
02083;0807302083;Pl;del Tam Tam;TAM TAM, DEL;0;9999
02085;0807302085;Pl;de Tàrrega;TARREGA, DE;0;0
02087;0807302087;C;Tarragonès;TARRAGONÈS;2;30
02090;0807302090;C;de Teodor Lacalle;TEODOR LACALLE, DE;1;23
02100;0807302100;C;de Teodor Llorente;TEODOR LLORENTE, DE;1;48
02103;0807302103;C;de la Terra Alta;TERRA ALTA, DE LA;0;6
02110;0807302110;C;del Timbaler del Bruch;TIMBALER DEL BRUCH, DEL;0;9999
02120;0807302120;C;de Tirso de Molina;TIRSO DE MOLINA, DE;0;49
02130;0807302130;C;de Torras i Bages;TORRAS I BAGES, DE;1;139
02145;0807302145;Ptge;del Transformador;TRANSFORMADOR, DEL;1;4
02150;0807302150;C;de la Travessera;TRAVESSERA, DE LA;1;26
02155;0807302155;C;del Treball;TREBALL, DEL;1;43
02160;0807302160;C;de la Urbanització Palou;URBANITZACIO PALOU, DE LA;1;26
02163;0807302163;C;de l Urgell;URGELL, DE L ;0;9999
02165;0807302165;C;de la Vall d Aran;VALL D ARAN, DE LA;1;39
02167;0807302167;C;del Vallès;VALLES, DEL;1;27
02170;0807302170;C;de Velàzquez;VELAZQUEZ, DE;1;16
02175;0807302175;Pl;de Vic;VIC, DE;1;1
02180;0807302180;C;de Vicenç Llivina;VICENÇ LLIVINA, DE;1;28
02190;0807302190;Av;de Salvador Allende;SALVADOR ALLENDE, DE;1;59
02191;0807302191;Av;de Salvador Allende, posterior;SALVADOR ALLENDE, POST;0;9999
02200;0807302200;C;de Can Rosés;CAN ROSÉS, DE;1;134
02210;0807302210;Camí;Vidrie;VIDRIE;0;9999
02215;0807302215;Ptge;de la Vil·la Julia;VIL·LA JULIA, DE LA;0;0
02220;0807302220;Ptge;de Villamil;VILLAMIL, DE;0;0
02240;0807302240;C;de la Verge del Pilar;VERGE DEL PILAR, DE LA;1;41
02245;0807302245;Pl;de la Verge del Pilar;VERGE DEL PILAR, DE LA;1;9
02246;0807302246;C;de la Verge de la Paloma;VERGE DE LA PALOMA, DE LA;0;9999
02250;0807302250;C;de Vistalegre;VISTALEGRE, DE;1;99
02260;0807302260;C;de Zamora;ZAMORA, DE;1;25
02270;0807302270;C;de Cadis;CADIS;0;9999
02280;0807302280;C;de Huelva;HUELVA;0;9999
02290;0807302290;C;d Alacant;ALACANT;0;9999
02300;0807302300;Pl;d Oleguer Bellavista;OLEGUER BELLAVISTA, DE;0;9999
02400;0807302400;C;Primer de Maig;PRIMER DE MAIG;0;9999
02420;0807302420;Ptge;Isabel Aunión;ISABEL AUNIÓN;0;9999
02440;0807302440;C;Martinet;MARTINET;0;9999
02500;0807302500;C;Rugbi;RUGBI;0;9999
02510;0807302510;Pl;Rosa Sensat;ROSA SENSAT;0;9999
02515;0807302515;Pl;Carles Navales;CARLES NAVALES;0;9999
02520;0807302520;Pl;Josep Llobera i Ramon;JOSEP LLOBERA I RAMON;0;9999
02525;0807302525;Pl;Almeda la Vella;ALMEDA LA VELLA;0;9999
09100;0807309100;Merc;Mercat Centre;MERCAT CENTRE;0;9999
09200;0807309200;Merc;Mercat Marsans;MERCAT MARSANS;0;9999
09300;0807309300;Merc;Mercat Sant Ildefons;MERCAT SANT ILDEFONS;0;9999
09905;0807309905;Pg;Ind.famades;IND.FAMADES;0;9999
09999;0807309999;LG   ;SISTEMA FERROVIARIO;SISTEMA FERROVIARIO;0;9999
