CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
D-03;060;86;64
D-04;060;111;127
D-05;060;33;45
D-06;060;96;113
D-01;061;116;127
D-02;061;29;26
D-03;061;61;78
D-04;061;102;105
D-05;061;46;54
D-06;061;80;87
D-01;062;103;154
D-02;062;18;18
D-03;062;54;53
D-04;062;102;134
D-05;062;42;48
D-06;062;82;74
D-01;063;83;120
D-02;063;25;28
D-03;063;61;71
D-04;063;101;142
D-05;063;29;34
D-06;063;68;88
D-01;064;109;100
D-02;064;14;32
D-03;064;60;44
D-04;064;97;123
D-05;064;31;50
D-06;064;75;66
D-01;065;124;127
D-02;065;19;14
D-03;065;67;44
D-04;065;122;144
D-05;065;46;47
D-06;065;61;96
D-01;066;104;92
D-02;066;20;23
D-03;066;54;64
D-04;066;100;149
D-05;066;31;41
D-06;066;72;73
D-01;067;85;104
D-02;067;20;24
D-03;067;43;68
D-04;067;112;151
D-05;067;40;56
D-06;067;71;68
D-01;068;99;135
D-02;068;28;23
D-03;068;51;71
D-04;068;105;167
D-05;068;46;66
D-06;068;89;67
D-01;069;94;115
D-02;069;22;23
D-03;069;58;58
D-04;069;170;195
D-05;069;48;47
D-06;069;79;90
D-01;070;89;109
D-02;070;19;22
D-03;070;49;64
D-04;070;145;145
D-05;070;57;66
D-06;070;70;102
D-01;071;86;120
D-02;071;15;25
D-03;071;41;64
D-04;071;128;154
D-05;071;45;53
D-06;071;60;97
D-01;072;93;123
D-02;072;17;20
D-03;072;46;64
D-04;072;145;164
D-05;072;48;55
D-06;072;59;99
D-01;073;77;113
D-02;073;19;22
D-03;073;34;52
D-04;073;130;144
D-05;073;38;68
D-06;073;69;91
D-01;074;90;111
D-02;074;13;13
D-03;074;47;58
D-04;074;123;167
D-05;074;46;61
D-06;074;78;100
D-01;075;58;79
D-02;075;13;20
D-03;075;42;47
D-04;075;110;141
D-05;075;49;59
D-06;075;74;95
D-01;076;50;77
D-02;076;14;9
D-03;076;30;37
D-04;076;92;98
D-05;076;38;48
D-06;076;55;63
D-01;077;93;98
D-02;077;13;10
D-03;077;46;57
D-04;077;122;153
D-05;077;57;76
D-06;077;75;91
D-01;078;55;75
D-02;078;7;17
D-03;078;14;29
D-04;078;59;94
D-05;078;33;44
D-06;078;67;70
D-01;079;63;68
D-02;079;8;8
D-03;079;28;37
D-04;079;82;87
D-05;079;39;57
D-06;079;50;59
D-01;080+;470;823
D-02;080+;77;171
D-03;080+;239;436
D-04;080+;741;1166
D-05;080+;332;533
D-06;080+;436;632
