CODI_DIVISIO_TERRITORIAL;EDAT;NRE_DONES;NRE_HOMES
D-02; 019;33;29
D-02; 020;42;35
D-02; 021;30;35
D-02; 022;34;34
D-02; 023;21;37
D-02; 024;35;28
D-02; 025;29;36
D-02; 026;28;38
D-02; 027;38;35
D-02; 028;32;42
D-02; 029;34;29
D-02; 030;24;33
D-02; 031;36;31
D-02; 032;37;44
D-02; 033;49;41
D-02; 034;48;42
D-02; 035;63;70
D-02; 036;56;39
D-02; 037;67;45
D-02; 038;84;72
D-02; 039;87;70
D-02; 040;100;74
D-02; 041;87;90
D-02; 042;65;67
D-02; 043;69;99
D-02; 044;70;76
D-02; 045;69;67
D-02; 046;60;76
D-02; 047;61;71
D-02; 048;50;58
D-02; 049;47;63
D-02; 050;57;58
D-02; 051;61;59
D-02; 052;50;50
D-02; 053;49;36
D-02; 054;50;34
D-02; 055;48;32
D-02; 056;46;38
D-02; 057;42;37
D-02; 058;44;35
D-02; 059;42;43
D-02; 060;31;32
D-02; 061;40;37
D-02; 062;39;44
D-02; 063;42;45
D-02; 064;44;34
D-02; 065;30;44
D-02; 066;44;26
D-02; 067;42;35
D-02; 068;34;35
D-02; 069;30;22
D-02; 070;43;46
D-02; 071;49;44
D-02; 072;30;44
D-02; 073;37;27
D-02; 074;28;16
D-02; 075;41;32
D-02; 076;17;29
D-02; 077;20;24
D-02; 078;27;20
D-02; 079;23;14
D-02; 080;23;10
D-02; 081;21;16
D-02; 082;20;6
D-02; 083;17;8
D-02; 084;12;7
D-02; 085;13;12
D-02; 086;15;8
D-02; 087;12;6
D-02; 088;14;4
D-02; 089;12;7
D-02; 090;9;4
D-02; 091;8;2
D-02; 092;11;5
D-02; 093;6;1
D-02; 094;3;1
D-02; 095;4;1
D-02; 096;5;1
D-02; 097;0;1
D-02; 098;2;1
D-02; 100;0;1
D-02; 101;1;0
D-02; 106;1;0
D-03; 001;46;42
D-03; 002;43;40
D-03; 003;36;54
D-03; 004;40;45
D-03; 005;49;56
D-03; 006;48;36
D-03; 007;35;37
D-03; 008;50;49
D-03; 009;43;31
D-03; 010;41;38
D-03; 011;37;49
D-03; 012;38;42
D-03; 013;45;53
D-03; 014;39;41
D-03; 015;30;30
D-03; 016;33;38
D-03; 017;37;34
D-03; 018;32;23
D-03; 019;27;38
D-03; 020;38;29
D-03; 021;29;38
D-03; 022;33;38
D-03; 023;34;36
D-03; 024;35;40
D-03; 025;34;44
D-03; 026;41;51
D-03; 027;35;39
D-03; 028;47;49
D-03; 029;45;63
D-03; 030;55;46
D-03; 031;78;53
D-03; 032;64;53
D-03; 033;68;61
D-03; 034;66;71
D-03; 035;70;68
D-03; 036;63;74
D-03; 037;79;76
D-03; 038;84;83
D-03; 039;63;67
D-03; 040;79;84
D-03; 041;93;73
D-03; 042;56;69
D-03; 043;84;81
D-03; 044;75;84
D-03; 045;62;53
D-03; 046;63;77
D-03; 047;71;76
D-03; 048;77;68
D-03; 049;57;49
D-03; 050;60;52
D-03; 051;64;62
D-03; 052;63;47
D-03; 053;47;28
D-03; 054;51;49
D-03; 055;45;52
D-03; 056;50;51
D-03; 057;58;43
D-03; 058;67;51
D-03; 059;49;40
D-03; 060;51;43
D-03; 061;62;49
D-03; 062;56;43
D-03; 063;42;50
D-03; 064;55;40
D-03; 065;39;48
D-03; 066;65;37
D-03; 067;57;54
D-03; 068;78;45
D-03; 069;61;43
D-03; 070;62;52
D-03; 071;71;47
D-03; 072;52;45
D-03; 073;41;44
D-03; 074;33;29
D-03; 075;52;43
D-03; 076;31;25
D-03; 077;28;37
D-03; 078;49;38
D-03; 079;33;26
D-03; 080;40;33
D-03; 081;40;34
D-03; 082;37;29
D-03; 083;32;20
D-03; 084;26;24
D-03; 085;17;21
D-03; 086;25;8
D-03; 087;17;12
D-03; 088;20;8
D-03; 089;19;10
D-03; 090;15;3
D-03; 091;8;5
D-03; 092;10;5
D-03; 093;16;2
D-03; 094;6;3
D-03; 095;3;0
D-03; 096;1;0
D-03; 097;1;0
D-03; 098;1;0
D-03; 099;1;1
D-03; 100;0;1
D-04; 001;22;21
D-04; 002;17;20
D-04; 003;22;34
D-04; 004;16;23
D-04; 005;16;27
D-04; 006;25;28
D-04; 007;16;23
D-04; 008;23;16
D-04; 009;23;16
D-04; 010;12;20
D-04; 011;13;24
D-04; 012;17;28
D-04; 013;14;24
D-04; 014;24;13
D-04; 015;17;17
D-04; 016;13;14
D-04; 017;13;16
D-04; 018;13;21
D-04; 019;13;22
D-04; 020;16;21
D-04; 021;19;16
D-04; 022;19;22
D-04; 023;19;16
D-04; 024;24;19
D-04; 025;21;16
D-04; 026;26;24
D-04; 027;24;24
D-04; 028;23;24
D-04; 029;29;25
D-04; 030;33;24
D-04; 031;24;33
D-04; 032;26;43
D-04; 033;40;37
D-04; 034;28;39
D-04; 035;35;43
D-04; 036;43;43
D-04; 037;44;36
D-04; 038;46;50
D-04; 039;28;49
D-04; 040;34;40
D-04; 041;36;41
D-04; 042;32;40
D-04; 043;30;47
D-04; 044;31;35
D-04; 045;23;45
D-04; 046;30;37
D-04; 047;35;32
D-04; 048;29;32
D-04; 049;39;25
D-04; 050;23;27
D-04; 051;23;26
D-04; 052;22;28
D-04; 053;24;20
D-04; 054;38;29
D-04; 055;24;25
D-04; 056;25;26
D-04; 057;26;30
D-04; 058;22;38
D-04; 059;13;17
D-04; 060;19;21
D-04; 061;20;22
D-04; 062;31;20
D-04; 063;45;18
D-04; 064;33;24
D-04; 065;28;28
D-04; 066;38;23
D-04; 067;55;33
D-04; 068;47;38
D-04; 069;40;30
D-04; 070;39;42
D-04; 071;37;41
D-04; 072;38;34
D-04; 073;29;37
D-04; 074;21;17
D-04; 075;24;27
D-04; 076;13;14
D-04; 077;21;17
D-04; 078;25;25
D-04; 079;17;17
D-04; 080;22;8
D-04; 081;12;9
D-04; 082;16;11
D-04; 083;16;10
D-04; 084;9;7
D-04; 085;11;4
D-04; 086;9;4
D-04; 087;11;7
D-04; 088;8;2
D-04; 089;9;6
D-04; 090;5;3
D-04; 091;4;1
D-04; 092;7;1
D-04; 093;6;3
D-04; 094;1;0
D-04; 095;3;1
D-04; 096;0;2
D-04; 097;0;1
D-04; 099;0;1
D-04; 102;1;0
D-05; 001;32;23
D-05; 002;29;33
D-05; 003;30;30
D-05; 004;30;29
D-05; 005;45;27
D-05; 006;28;37
D-05; 007;27;38
D-05; 008;24;33
D-05; 009;17;38
D-05; 010;41;32
D-05; 011;36;38
D-05; 012;20;33
D-05; 013;31;28
D-05; 014;25;29
D-05; 015;25;25
D-05; 016;27;24
D-05; 017;25;16
D-05; 018;16;22
D-05; 019;24;26
D-05; 020;33;22
D-05; 021;25;24
D-05; 022;21;22
D-05; 023;28;21
D-05; 024;33;32
D-05; 025;23;18
D-05; 026;32;19
D-05; 027;36;39
D-05; 028;37;34
D-05; 029;41;40
D-05; 030;34;35
D-05; 031;38;46
D-05; 032;50;47
D-05; 033;56;51
D-05; 034;57;63
D-05; 035;64;58
D-05; 036;66;69
D-05; 037;68;60
D-05; 038;60;63
D-05; 039;54;82
D-05; 040;49;46
D-05; 041;58;54
D-05; 042;53;64
D-05; 043;36;58
D-05; 044;54;53
D-05; 045;44;44
D-05; 046;48;42
D-05; 047;46;50
D-05; 048;51;47
D-05; 049;35;43
D-05; 050;37;37
D-05; 051;42;35
D-05; 052;42;28
D-05; 053;32;34
D-05; 054;39;34
D-05; 055;34;49
D-05; 056;32;36
D-05; 057;27;34
D-05; 058;41;40
D-05; 059;43;22
D-05; 060;42;35
D-05; 061;50;35
D-05; 062;46;40
D-05; 063;44;49
D-05; 064;39;30
D-05; 065;50;34
D-05; 066;50;47
D-05; 067;52;50
D-05; 068;42;41
D-05; 069;36;37
D-05; 070;47;38
D-05; 071;41;23
D-05; 072;42;34
D-05; 073;28;28
D-05; 074;31;26
D-05; 075;26;47
D-05; 076;20;17
D-05; 077;17;14
D-05; 078;14;17
D-05; 079;26;19
D-05; 080;33;24
D-05; 081;25;18
D-05; 082;17;18
D-05; 083;19;11
D-05; 084;25;10
D-05; 085;16;10
D-05; 086;18;11
D-05; 087;14;4
D-05; 088;5;11
D-05; 089;14;3
D-05; 090;7;2
D-05; 091;3;1
D-05; 092;5;2
D-05; 093;10;1
D-05; 094;4;2
D-05; 095;3;2
D-05; 097;2;2
D-05; 098;1;0
D-05; 099;2;1
D-05; 100;1;0
D-06; 001;0;3
D-06; 002;4;1
D-06; 003;10;7
D-06; 004;7;7
D-06; 005;4;10
D-06; 006;8;12
D-06; 007;8;15
D-06; 008;13;15
D-06; 009;15;18
D-06; 010;25;16
D-06; 011;22;16
D-06; 012;20;20
D-06; 013;13;27
D-06; 014;19;11
D-06; 015;21;10
D-06; 016;4;10
D-06; 017;10;12
D-06; 018;5;9
D-06; 019;2;8
D-06; 020;5;12
D-06; 021;7;7
D-06; 022;8;6
D-06; 023;6;3
D-06; 024;11;5
D-06; 025;11;4
D-06; 026;3;1
D-06; 027;10;7
D-06; 028;5;3
D-06; 029;5;5
D-06; 030;1;2
D-06; 031;4;4
D-06; 032;3;2
D-06; 033;1;6
D-06; 034;3;4
D-06; 035;6;7
D-06; 036;7;2
D-06; 037;5;6
D-06; 038;12;4
D-06; 039;18;5
D-06; 040;18;7
D-06; 041;25;13
D-06; 042;28;20
D-06; 043;34;46
D-06; 044;21;27
D-06; 045;26;25
D-06; 046;25;23
D-06; 047;26;24
D-06; 048;23;13
D-06; 049;14;19
D-06; 050;10;11
D-06; 051;15;16
D-06; 052;8;13
D-06; 053;7;9
D-06; 054;10;13
D-06; 055;12;7
D-06; 056;10;10
D-06; 057;12;9
D-06; 058;12;8
D-06; 059;2;4
D-06; 060;6;7
D-06; 061;2;11
D-06; 062;6;5
D-06; 063;8;8
D-06; 064;4;4
D-06; 065;4;7
D-06; 066;5;5
D-06; 067;3;3
D-06; 068;2;2
D-06; 069;2;4
D-06; 070;1;6
D-06; 071;1;1
D-06; 072;2;2
D-06; 073;0;1
D-06; 074;1;1
D-06; 075;2;2
D-06; 076;2;0
D-06; 078;2;0
D-06; 079;0;1
D-06; 080;1;0
D-06; 081;1;1
D-06; 082;1;1
D-06; 083;1;0
D-06; 084;0;2
D-06; 085;1;1
D-06; 086;1;1
D-06; 087;1;1
D-07; 001;22;21
D-07; 002;15;25
D-07; 003;20;22
D-07; 004;27;33
D-07; 005;43;35
D-07; 006;45;43
D-07; 007;55;41
D-07; 008;56;50
D-07; 009;63;44
D-07; 010;79;65
D-07; 011;65;85
D-07; 012;65;55
D-07; 013;65;63
D-07; 014;53;60
D-07; 015;49;49
D-07; 016;41;44
D-07; 017;44;35
D-07; 018;35;47
D-07; 019;28;42
D-07; 020;38;41
D-07; 021;25;36
D-07; 022;21;32
D-07; 023;17;32
D-07; 024;24;24
D-07; 025;18;22
D-07; 026;15;17
D-07; 027;27;20
D-07; 028;23;13
D-07; 029;14;13
D-07; 030;13;19
D-07; 031;8;22
D-07; 032;18;16
D-07; 033;19;16
D-07; 034;17;18
D-07; 035;25;17
D-07; 036;26;22
D-07; 037;25;22
D-07; 038;38;26
D-07; 039;45;33
D-07; 040;66;49
D-07; 041;61;50
D-07; 042;86;60
D-07; 043;80;72
D-07; 044;88;82
D-07; 045;83;62
D-07; 046;73;67
D-07; 047;66;80
D-07; 048;86;70
D-07; 049;76;67
D-07; 050;58;60
D-07; 051;67;61
D-07; 052;54;50
D-07; 053;51;53
D-07; 054;48;50
D-07; 055;32;49
D-07; 056;30;41
D-07; 057;34;37
D-07; 058;34;34
D-07; 059;27;24
D-07; 060;19;26
D-07; 061;19;21
D-07; 062;18;27
D-07; 063;23;18
D-07; 064;28;22
D-07; 065;16;20
D-07; 066;24;17
D-07; 067;24;20
D-07; 068;19;17
D-07; 069;13;9
D-07; 070;14;16
D-07; 071;11;12
D-07; 072;12;13
D-07; 073;10;6
D-07; 074;5;10
D-07; 075;7;5
D-07; 076;5;5
D-07; 077;7;2
D-07; 078;4;7
D-07; 079;13;3
D-07; 080;2;7
D-07; 081;6;2
D-07; 082;2;2
D-07; 083;4;2
D-07; 084;2;2
D-07; 085;1;4
D-07; 086;3;0
D-07; 087;1;2
D-07; 088;3;2
D-07; 089;1;0
D-07; 090;2;0
D-07; 091;2;0
D-07; 093;2;1
D-07; 095;1;0
D-07; 096;1;0
D-07; 097;1;1
D-07; 098;1;0
D-07; 100;1;0
