CODI_DIVISIO_TERRITORIAL;CODI_DIV_TERRITORIAL_ADM;CATEGORIA;IDENTIFICADOR;NOM;UBICAT;DOCUMENT_COMPLEMENTARI;PROTEGIT;TITULARITAT;US_ACTUAL;SUPERFICIE;DESCRIPCIO_LLARGA;DESCRIPCIO_CURTA;IMATGE
;;;NF;HABITATGE AL CARRER FALGUERA, 3;;;Legal;;;;HABITATGE AL CARRER FALGUERA, 3;HABITATGE AL CARRER FALGUERA, 3;
;;;NF;HABITATGES AL CARRER FALGUERA, 5- 7;;;Legal;;;;HABITATGES AL CARRER FALGUERA, 5- 7;HABITATGES AL CARRER FALGUERA, 5- 7;
;;;133;Habitatge al carrer Falguera 25;;;Legal;;;;Habitatge al carrer Falguera 25;Habitatge al carrer Falguera 25;
;;;135;Habitatge al carrer Falguera 82;;;Legal;;;;Habitatge al carrer Falguera 82;Habitatge al carrer Falguera 82;
;;;249;Edifici d habitatges al carrer Joan Maragall 4-6;;;Legal;;;;Edifici d habitatges al carrer Joan Maragall 4-6;Edifici d habitatges al carrer Joan Maragall 4-6;
;;;156;Casa Antoni Bausili i Mayol;;;Legal;;;;Casa Antoni Bausili i Mayol;Casa Antoni Bausili i Mayol;
;;;101;Habitatge del carrer de Pi i Maragall, 28;;;Legal;;;;Habitatge del carrer de Pi i Maragall, 28;Habitatge del carrer de Pi i Maragall, 28;
;;;155;Casa Ramon Padró i Pijoan;;;Legal;;;;Casa Ramon Padró i Pijoan;Casa Ramon Padró i Pijoan;
;;;146;Casa Llorenç Molins;;;Legal;;;;Casa Llorenç Molins;Casa Llorenç Molins;
;;;157;Antiga Casa Codina;;;Legal;;;;Antiga Casa Codina;Antiga Casa Codina;
;;;158;Cases al carrer Joan Maragall 119-131;;;Legal;;;;Cases al carrer Joan Maragall 119-131;Cases al carrer Joan Maragall 119-131;
;;;154;Casa Camil Tous;;;Legal;;;;Casa Camil Tous;Casa Camil Tous;
;;;160;Habitatge al carrer Joan Maragall 142 - 144;;;Legal;;;;Habitatge al carrer Joan Maragall 142 - 144;Habitatge al carrer Joan Maragall 142 - 144;
;;;161;Habitatge al carrer Josep Maria de Molina, 7;;;Legal;;;;Habitatge al carrer Josep Maria de Molina, 7;Habitatge al carrer Josep Maria de Molina, 7;
;;;196;Habitatge al carrer Josep Maria de Molina 24;;;Legal;;;;Habitatge al carrer Josep Maria de Molina 24;Habitatge al carrer Josep Maria de Molina 24;
;;;197;Habitatges al carrer Josep Maria de Molina 8-18;;;Legal;;;;Habitatges al carrer Josep Maria de Molina 8-18;Habitatges al carrer Josep Maria de Molina 8-18;
;;;198;Habitatge al carrer Josep Maria de Molina 15;;;Legal;;;;Habitatge al carrer Josep Maria de Molina 15;Habitatge al carrer Josep Maria de Molina 15;
;;;199;Habitatges a la carretera Laureà Miró, 3;;;Legal;;;;Habitatges a la carretera Laureà Miró, 3;Habitatges a la carretera Laureà Miró, 3;
;;;200;Habitatge a la carretera Laureà Miró 17-19;;;Legal;;;;Habitatge a la carretera Laureà Miró 17-19;Habitatge a la carretera Laureà Miró 17-19;
;;;201;Habitatge a la carretera Laureà Miró 23;;;Legal;;;;Habitatge a la carretera Laureà Miró 23;Habitatge a la carretera Laureà Miró 23;
;;;202;Habitatge a la carretera Laureà Miró 25;;;Legal;;;;Habitatge a la carretera Laureà Miró 25;Habitatge a la carretera Laureà Miró 25;
;;;203;Habitatges a la carretera Laureà Miró 33 - 37;;;Legal;;;;Habitatges a la carretera Laureà Miró 33 - 37;Habitatges a la carretera Laureà Miró 33 - 37;
;;;204;Habitatges a la carretera Laureà Miró 54;;;Legal;;;;Habitatges a la carretera Laureà Miró 54;Habitatges a la carretera Laureà Miró 54;
;;;205;Habitatges a la carretera Laureà Miró 72-74;;;Legal;;;;Habitatges a la carretera Laureà Miró 72-74;Habitatges a la carretera Laureà Miró 72-74;
;;;NF;HABITATGE A LA CARRETERA LAUREÀ MIRÓ, 70;;;Legal;;;;HABITATGE A LA CARRETERA LAUREÀ MIRÓ, 70;HABITATGE A LA CARRETERA LAUREÀ MIRÓ, 70;
;;;206;Habitatge a la carretera Laureà Miró 110;;;Legal;;;;Habitatge a la carretera Laureà Miró 110;Habitatge a la carretera Laureà Miró 110;
;;;207;Habitatges a la carretera Laureà Miró 113- 115;;;Legal;;;;Habitatges a la carretera Laureà Miró 113- 115;Habitatges a la carretera Laureà Miró 113- 115;
;;;208;Habitatge a la carretera Laureà Miró 131 - 137;;;Legal;;;;Habitatge a la carretera Laureà Miró 131 - 137;Habitatge a la carretera Laureà Miró 131 - 137;
;;;244;Hostal Centro;;;Legal;;;;Hostal Centro;Hostal Centro;
;;;209;Habitatge a la carretera Laureà Miró 198;;;Legal;;;;Habitatge a la carretera Laureà Miró 198;Habitatge a la carretera Laureà Miró 198;
;;;210;Habitatges a la carretera Laureà Miró 212- 214;;;Legal;;;;Habitatges a la carretera Laureà Miró 212- 214;Habitatges a la carretera Laureà Miró 212- 214;
;;;NF;HABITATGES A LA CARRETERA LAUREÀ MIRÓ, 229 - 235;;;Legal;;;;HABITATGES A LA CARRETERA LAUREÀ MIRÓ, 229 - 235;HABITATGES A LA CARRETERA LAUREÀ MIRÓ, 229 - 235;
;;;211;Casa de veïns d Eugeni Dotras (La Puntual);;;Legal;;;;Casa de veïns d Eugeni Dotras (La Puntual);Casa de veïns d Eugeni Dotras (La Puntual);
;;;212;Habitatge a la carretera Laureà Miró 284;;;Legal;;;;Habitatge a la carretera Laureà Miró 284;Habitatge a la carretera Laureà Miró 284;
;;;NF;CAL PUNTAIRE (CARRETERA LAUREÀ MIRÓ, 302);;;Legal;;;;CAL PUNTAIRE (CARRETERA LAUREÀ MIRÓ, 302);CAL PUNTAIRE (CARRETERA LAUREÀ MIRÓ, 302);
;;;213;Habitatge a la carretera Laureà Miró 345- 347;;;Legal;;;;Habitatge a la carretera Laureà Miró 345- 347;Habitatge a la carretera Laureà Miró 345- 347;
;;;20;Cases del carrer de les Creus 19;;;Legal;;;;Cases del carrer de les Creus 19;Cases del carrer de les Creus 19;
;;;214;Habitatges al carrer de les Creus 44-46;;;Legal;;;;Habitatges al carrer de les Creus 44-46;Habitatges al carrer de les Creus 44-46;
;;;37;Casa de veïns d Antoni Prats;;;Legal;;;;Casa de veïns d Antoni Prats;Casa de veïns d Antoni Prats;
;;;103;Habitatge del carrer Pi i Margall, 38;;;Legal;;;;Habitatge del carrer Pi i Margall, 38;Habitatge del carrer Pi i Margall, 38;
;;;215;Habitatges al carrer Joan Maragall 36-38;;;Legal;;;;Habitatges al carrer Joan Maragall 36-38;Habitatges al carrer Joan Maragall 36-38;
;;;216;Habitatge a la carretera Laureà Miró 27;;;Legal;;;;Habitatge a la carretera Laureà Miró 27;Habitatge a la carretera Laureà Miró 27;
;;;217;Habitatge al carrer de la Rectoria 5-7;;;Legal;;;;Habitatge al carrer de la Rectoria 5-7;Habitatge al carrer de la Rectoria 5-7;
;;;218;Habitatge al passatge Roig 6;;;Legal;;;;Habitatge al passatge Roig 6;Habitatge al passatge Roig 6;
;;;219;Habitatge al carrer Sant Llorenç 19;;;Legal;;;;Habitatge al carrer Sant Llorenç 19;Habitatge al carrer Sant Llorenç 19;
;;;36;Habitatge del carrer Santa Maria, 38-40;;;Legal;;;;Habitatge del carrer Santa Maria, 38-40;Habitatge del carrer Santa Maria, 38-40;
;;;13;Habitatges del carrer Santa Maria 53-55;;;Legal;;;;Habitatges del carrer Santa Maria 53-55;Habitatges del carrer Santa Maria 53-55;
;;;5 H;abitatges del carrer de Santa Maria 66-84;;;Legal;;;;abitatges del carrer de Santa Maria 66-84;abitatges del carrer de Santa Maria 66-84;
;;;220;Habitatge al carrer Torras i Bages 13;;;Legal;;;;Habitatge al carrer Torras i Bages 13;Habitatge al carrer Torras i Bages 13;
;;;242;Edifici d habitatges al carrer Torras i Bages 34;;;Legal;;;;Edifici d habitatges al carrer Torras i Bages 34;Edifici d habitatges al carrer Torras i Bages 34;
;;;104;Casa del carrer Verge de les Neus, 48;;;Legal;;;;Casa del carrer Verge de les Neus, 48;Casa del carrer Verge de les Neus, 48;
;;;105;Casa del carrer Verge de les Neus, 51;;;Legal;;;;Casa del carrer Verge de les Neus, 51;Casa del carrer Verge de les Neus, 51;
;;;94;Habitatges al carrer Verge de les Neus 14- 16;;;Legal;;;;Habitatges al carrer Verge de les Neus 14- 16;Habitatges al carrer Verge de les Neus 14- 16;
;;;221;Habitatges al carrer Verge de les Neus 19- 23;;;Legal;;;;Habitatges al carrer Verge de les Neus 19- 23;Habitatges al carrer Verge de les Neus 19- 23;
;;;222;Habitatge al carrer Verge de les Neus 32;;;Legal;;;;Habitatge al carrer Verge de les Neus 32;Habitatge al carrer Verge de les Neus 32;
;;;71;Casa del carrer Verge de les Neus, 39;;;Legal;;;;Casa del carrer Verge de les Neus, 39;Casa del carrer Verge de les Neus, 39;
;;;102;Habitatges al carrer de Vidal i Ribas;;;Legal;;;;Habitatges al carrer de Vidal i Ribas;Habitatges al carrer de Vidal i Ribas;
;;;NF;EDIFICI D HABITATGES AL CARRER BATISTA, 3;;;Legal;;;;EDIFICI D HABITATGES AL CARRER BATISTA, 3;EDIFICI D HABITATGES AL CARRER BATISTA, 3;
;;;238;Habitatges al carrer Falguera 9-23;;;Legal;;;;Habitatges al carrer Falguera 9-23;Habitatges al carrer Falguera 9-23;
;;;239;Habitatges al carrer Falguera 10-20;;;Legal;;;;Habitatges al carrer Falguera 10-20;Habitatges al carrer Falguera 10-20;
;;;NF;HABITATGE AL CARRER FALGUERA, 29- 31;;;Legal;;;;HABITATGE AL CARRER FALGUERA, 29- 31;HABITATGE AL CARRER FALGUERA, 29- 31;
;;;223;Habitatges al carrer Joan Maragall 16-2;;;Legal;;;;Habitatges al carrer Joan Maragall 16-2;Habitatges al carrer Joan Maragall 16-2;
;;;224;Habitatges al carrer Joan Maragall 57 - 70;;;Legal;;;;Habitatges al carrer Joan Maragall 57 - 70;Habitatges al carrer Joan Maragall 57 - 70;
;;;54;Habitatge al carrer Joan Maragall 84;;;Legal;;;;Habitatge al carrer Joan Maragall 84;Habitatge al carrer Joan Maragall 84;
;;;225;Habitatges al carrer Joan Maragall 163-165;;;Legal;;;;Habitatges al carrer Joan Maragall 163-165;Habitatges al carrer Joan Maragall 163-165;
;;;14;Conjunt del carrer de Joan Maragall;;;Legal;;;;Conjunt del carrer de Joan Maragall;Conjunt del carrer de Joan Maragall;
;;;226;Habitatge a la carretera Laureà Miró 9;;;Legal;;;;Habitatge a la carretera Laureà Miró 9;Habitatge a la carretera Laureà Miró 9;
;;;229;Habitatge a la carretera Laureà Miró 15;;;Legal;;;;Habitatge a la carretera Laureà Miró 15;Habitatge a la carretera Laureà Miró 15;
;;;84;Casal de Joves;;;Legal;;;;Casal de Joves;Casal de Joves;
;;;230;Taller Natzaret;;;Legal;;;;Taller Natzaret;Taller Natzaret;
;;;NF;HABITATGE A LA RAMBLA MARQUESA DE CASTELLBELL;;;Legal;;;;HABITATGE A LA RAMBLA MARQUESA DE CASTELLBELL;HABITATGE A LA RAMBLA MARQUESA DE CASTELLBELL;
;;;231;Casa al carrer Pere Àlvarez 1-3;;;Legal;;;;Casa al carrer Pere Àlvarez 1-3;Casa al carrer Pere Àlvarez 1-3;
;;;91;Conjunt del carrer de Pere Àlvarez;;;Legal;;;;Conjunt del carrer de Pere Àlvarez;Conjunt del carrer de Pere Àlvarez;
;;;232;Habitatge al carrer de la Rectoria 8-10;;;Legal;;;;Habitatge al carrer de la Rectoria 8-10;Habitatge al carrer de la Rectoria 8-10;
;;;233;Habitatges al carrer de la Rectoria 9-17;;;Legal;;;;Habitatges al carrer de la Rectoria 9-17;Habitatges al carrer de la Rectoria 9-17;
;;;234;Conjunt del carrer Sant Llorenç;;;Legal;;;;Conjunt del carrer Sant Llorenç;Conjunt del carrer Sant Llorenç;
;;;235;Edifici d habitatges al carrer Sant Llorenç 17;;;Legal;;;;Edifici d habitatges al carrer Sant Llorenç 17;Edifici d habitatges al carrer Sant Llorenç 17;
;;;8;Conjunt del carrer de n Serra;;;Legal;;;;Conjunt del carrer de n Serra;Conjunt del carrer de n Serra;
;;;241;Conjunt d habitatges al carrer Torras i Bages 14-20;;;Legal;;;;Conjunt d habitatges al carrer Torras i Bages 14-20;Conjunt d habitatges al carrer Torras i Bages 14-20;
;;;98;Habitatges del carrer de la Verge de les Neus, 9-11;;;Legal;;;;Habitatges del carrer de la Verge de les Neus, 9-11;Habitatges del carrer de la Verge de les Neus, 9-11;
;;;74;Can Furriol;;;Legal;;;;Can Furriol;Can Furriol;
;;;75;Can Messeguer;;;Legal;;;;Can Messeguer;Can Messeguer;
;;;76;Can Parellada;;;Legal;;;;Can Parellada;Can Parellada;
;;;72;Can Canaris;;;Legal;;;;Can Canaris;Can Canaris;
;;;NF;MASIA CAN PAHISSA;;;Legal;;;;MASIA CAN PAHISSA;MASIA CAN PAHISSA;
;;;NF;MASIA CAN SANFELIU;;;Legal;;;;MASIA CAN SANFELIU;MASIA CAN SANFELIU;
;;;73;Can Cuyàs;;;Legal;;;;Can Cuyàs;Can Cuyàs;
;;;NF;BARRAQUES DE CAMP;;;Legal;;;;BARRAQUES DE CAMP;BARRAQUES DE CAMP;
;;;22;Habitatge del carrer Santa Maria, 88;;;Legal;;;;Habitatge del carrer Santa Maria, 88;Habitatge del carrer Santa Maria, 88;
;;;34;Conjunt d habitatges passeig del Comte de Vilardaga 5-17;;;Legal;;;;Conjunt d habitatges passeig del Comte de Vilardaga 5-17;Conjunt d habitatges passeig del Comte de Vilardaga 5-17;
;;;240;Habitatge al carrer Verge de les Neus 18;;;Legal;;;;Habitatge al carrer Verge de les Neus 18;Habitatge al carrer Verge de les Neus 18;
;;;NF;TORRE AL CARRER DE LES ROSES;;;Legal;;;;TORRE AL CARRER DE LES ROSES;TORRE AL CARRER DE LES ROSES;
;;;;Finestra gótica de la masia Granja Grané;;;Legal;;;;Finestra gótica de la masia Granja Grané;Finestra gótica de la masia Granja Grané;
;;;;Fons documental de la Generalitat de Catalunya;;;Legal;;;;Fons documental de la Generalitat de Catalunya;Fons documental de la Generalitat de Catalunya;
;;;;Fons documental de l administració local;;;Legal;;;;Fons documental de l administració local;Fons documental de l administració local;
;;;;Fons judicials;;;Legal;;;;Fons judicials;Fons judicials;
;;;;Fons notarials;;;Legal;;;;Fons notarials;Fons notarials;
;;;;Fons documental d institucions;;;Legal;;;;Fons documental d institucions;Fons documental d institucions;
;;;;Fons documental d associacions i fundacions;;;Legal;;;;Fons documental d associacions i fundacions;Fons documental d associacions i fundacions;
;;;;Fons documental comercials i d empreses;;;Legal;;;;Fons documental comercials i d empreses;Fons documental comercials i d empreses;
;;;;Fons documental patrimonials i familiars;;;Legal;;;;Fons documental patrimonials i familiars;Fons documental patrimonials i familiars;
;;;;Fons personals;;;Legal;;;;Fons personals;Fons personals;
;;;;Col¿leccions;;;Legal;;;;Col¿leccions;Col¿leccions;
;;;;Parc Agrari del Baix Llobregat;;;Legal;;;;Parc Agrari del Baix Llobregat;Parc Agrari del Baix Llobregat;
;;;;Parc de Collserola;;;Legal;;;;Parc de Collserola;Parc de Collserola;
;;;;Habitatge al carrer Joan Maragall 155;;;Legal;;;;Habitatge al carrer Joan Maragall 155;Habitatge al carrer Joan Maragall 155;
;;;1;La Unió Coral;;;Legal;;;;La Unió Coral;La Unió Coral;
;;;2;Residència d Ernest Claramunt - Actual seu de la Creu Roja;;;Legal;;;;Residència d Ernest Claramunt - Actual seu de la Creu Roja;Residència d Ernest Claramunt - Actual seu de la Creu Roja;
;;;69;Cases Bertrand noves;;;Legal;;;;Cases Bertrand noves;Cases Bertrand noves;
;;;3;Dues cases aparellades. Família Mas;;;Legal;;;;Dues cases aparellades. Família Mas;Dues cases aparellades. Família Mas;
;;;4;Conjunt d habitatges del Passeig Comte Vilardaga, 12-24;;;Legal;;;;Conjunt d habitatges del Passeig Comte Vilardaga, 12-24;Conjunt d habitatges del Passeig Comte Vilardaga, 12-24;
;;;19;Torre de Jacint Carnicé;;;Legal;;;;Torre de Jacint Carnicé;Torre de Jacint Carnicé;
;;;NF;HABITATGE AL CARRER COMTE VILARDAGA, 16;;;Legal;;;;HABITATGE AL CARRER COMTE VILARDAGA, 16;HABITATGE AL CARRER COMTE VILARDAGA, 16;
;;;6;Torre  Pins d Or ;;;Legal;;;;Torre  Pins d Or ;Torre  Pins d Or ;
;;;100;Habitatges al passatges Fargas;;;Legal;;;;Habitatges al passatges Fargas;Habitatges al passatges Fargas;
;;;9;Casa Monmany;;;Legal;;;;Casa Monmany;Casa Monmany;
;;;10;Escola Tramuntana;;;Legal;;;;Escola Tramuntana;Escola Tramuntana;
;;;11;Escola Verge de la Salut;;;Legal;;;;Escola Verge de la Salut;Escola Verge de la Salut;
;;;81;Can Panyella;;;Legal;;;;Can Panyella;Can Panyella;
;;;52;Habitatges del carrer Falguera 32-38;;;Legal;;;;Habitatges del carrer Falguera 32-38;Habitatges del carrer Falguera 32-38;
;;;90;Palau Falguera;;;Legal;;;;Palau Falguera;Palau Falguera;
;;;125;Palau Falguera. Escultures;;;Legal;;;;Palau Falguera. Escultures;Palau Falguera. Escultures;
;;;126;Palau Falguera. Façana del Jardí;;;Legal;;;;Palau Falguera. Façana del Jardí;Palau Falguera. Façana del Jardí;
;;;127;Palau Falguera. Carrossa;;;Legal;;;;Palau Falguera. Carrossa;Palau Falguera. Carrossa;
;;;128;Palau Falguera. Jardí;;;Legal;;;;Palau Falguera. Jardí;Palau Falguera. Jardí;
;;;129;Palau Falguera. Saló dels Àustries;;;Legal;;;;Palau Falguera. Saló dels Àustries;Palau Falguera. Saló dels Àustries;
;;;130;Palau Falguera. Capella;;;Legal;;;;Palau Falguera. Capella;Palau Falguera. Capella;
;;;131;Palau Falguera. Escut;;;Legal;;;;Palau Falguera. Escut;Palau Falguera. Escut;
;;;227;Escultura del deu Baco al Palau Falguera;;;Legal;;;;Escultura del deu Baco al Palau Falguera;Escultura del deu Baco al Palau Falguera;
;;;228;Escultura de Neptú al Palau Falguera;;;Legal;;;;Escultura de Neptú al Palau Falguera;Escultura de Neptú al Palau Falguera;
;;;15;Can Maginàs;;;Legal;;;;Can Maginàs;Can Maginàs;
;;;16;Casino Santfeliuenc;;;Legal;;;;Casino Santfeliuenc;Casino Santfeliuenc;
;;;17;Cases aparellades (Joan Rovira) Passeig Bertrand, 17-19 1920 Autoria desconeguda;;;Legal;;;;Cases aparellades (Joan Rovira) Passeig Bertrand, 17-19 1920 Autoria desconeguda;Cases aparellades (Joan Rovira) Passeig Bertrand, 17-19 1920 Autoria desconeguda;
;;;108;Habitatge al carrer Constitució, 9;;;Legal;;;;Habitatge al carrer Constitució, 9;Habitatge al carrer Constitució, 9;
;;;109;Habitatge al carrer de les Creus 33;;;Legal;;;;Habitatge al carrer de les Creus 33;Habitatge al carrer de les Creus 33;
;;;21;Casa Ramon Baleta;;;Legal;;;;Casa Ramon Baleta;Casa Ramon Baleta;
;;;58;Habitatge al carrer Joan Maragall 90-102;;;Legal;;;;Habitatge al carrer Joan Maragall 90-102;Habitatge al carrer Joan Maragall 90-102;
;;;23;Casa de veïns de Josep Colominas;;;Legal;;;;Casa de veïns de Josep Colominas;Casa de veïns de Josep Colominas;
;;;24;Habitatges del carrer Joan Maragall, 136- 140;;;Legal;;;;Habitatges del carrer Joan Maragall, 136- 140;Habitatges del carrer Joan Maragall, 136- 140;
;;;25;Torre del Roser;;;Legal;;;;Torre del Roser;Torre del Roser;
;;;26;Mercat Vell;;;Legal;;;;Mercat Vell;Mercat Vell;
;;;27;Casa de veïns de Ramon Puig i Carme Carsi;;;Legal;;;;Casa de veïns de Ramon Puig i Carme Carsi;Casa de veïns de Ramon Puig i Carme Carsi;
;;;28;Cal Bausili;;;Legal;;;;Cal Bausili;Cal Bausili;
;;;70;Habitatge al carrer Laureà Miró 278-280;;;Legal;;;;Habitatge al carrer Laureà Miró 278-280;Habitatge al carrer Laureà Miró 278-280;
;;;110;Casa a Laureà Miró 265;;;Legal;;;;Casa a Laureà Miró 265;Casa a Laureà Miró 265;
;;;111;Habitatge al carrer Laureà Miró 271;;;Legal;;;;Habitatge al carrer Laureà Miró 271;Habitatge al carrer Laureà Miró 271;
;;;114;Casa a Laureà Miró 102;;;Legal;;;;Casa a Laureà Miró 102;Casa a Laureà Miró 102;
;;;35;Habitatge unifamiliar de la carretera Laureà Miró, 58;;;Legal;;;;Habitatge unifamiliar de la carretera Laureà Miró, 58;Habitatge unifamiliar de la carretera Laureà Miró, 58;
;;;80;Can Calders o casa de Josep Mallol Albareda;;;Legal;;;;Can Calders o casa de Josep Mallol Albareda;Can Calders o casa de Josep Mallol Albareda;
;;;57;Habitatge a la Rambla de la Marquesa de Castellbell 9;;;Legal;;;;Habitatge a la Rambla de la Marquesa de Castellbell 9;Habitatge a la Rambla de la Marquesa de Castellbell 9;
;;;115;Casa a la Rambla Marquesa de Castellbell, 13;;;Legal;;;;Casa a la Rambla Marquesa de Castellbell, 13;Casa a la Rambla Marquesa de Castellbell, 13;
;;;41;Cases de n Molins (Jacint Verdaguer);;;Legal;;;;Cases de n Molins (Jacint Verdaguer);Cases de n Molins (Jacint Verdaguer);
;;;43;Torre Francesc Serra;;;Legal;;;;Torre Francesc Serra;Torre Francesc Serra;
;;;44;Torre Francesc Folch (Cal Berna);;;Legal;;;;Torre Francesc Folch (Cal Berna);Torre Francesc Folch (Cal Berna);
;;;86;Cases Bertrand. Conjunt d habitatges unifamiliars d obrers;;;Legal;;;;Cases Bertrand. Conjunt d habitatges unifamiliars d obrers;Cases Bertrand. Conjunt d habitatges unifamiliars d obrers;
;;;46;Dues cases aparellades (Família Costa);;;Legal;;;;Dues cases aparellades (Família Costa);Dues cases aparellades (Família Costa);
;;;49;Ajuntament;;;Legal;;;;Ajuntament;Ajuntament;
;;;50;Casa Bonaventura Raspall;;;Legal;;;;Casa Bonaventura Raspall;Casa Bonaventura Raspall;
;;;51;Can Ricart;;;Legal;;;;Can Ricart;Can Ricart;
;;;82;Cal Doctor Martí;;;Legal;;;;Cal Doctor Martí;Cal Doctor Martí;
;;;53;Torre Victòria;;;Legal;;;;Torre Victòria;Torre Victòria;
;;;93;Complex industrial Bertrand. Complex de pisos d obrers;;;Legal;;;;Complex industrial Bertrand. Complex de pisos d obrers;Complex industrial Bertrand. Complex de pisos d obrers;
;;;79;Can Carbonell;;;Legal;;;;Can Carbonell;Can Carbonell;
