ID_CONCEPTE;DESCRIPCIO;ANY_PRESSUPOST;CODI_ECONOMIC;CODI_ORGANIC;SALDO_INICIAL;SALDO_ACTUAL;DR;DR_ANUAL;ING_NETS;SALDO;MODIFICACIO;DR_NET;DR_CANCELAT;DEVOLUCIO;TAN_PER_CENT_DR_PREVIST;TAN_PER_CENT_ING_NET_DR
;;2015;15     39190  ;39190;0;0;17363;;;;0;17363;0;0;;
;;2015;15     39903  ;39903;0;0;5776,44;;;;0;5776,44;0;0;;
;;2015;15     46401  ;46401;961116;961116;961116,24;;;;0;961116,24;0;0;;
;;2015;15     48000  ;48000;1000;1000;0;;;;0;0;0;0;;
;;2015;15     55002  ;55002;255000;255000;259450,73;;;;0;259450,73;0;0;;
;;2015;15     34204  ;34204;226055;226055;219787,64;;;;0;219412,34;67,5;307,8;;
;;2015;15     29000  ;29000;480000;480000;1361696,3;;;;0;1355580,52;5928,76;187,02;;
;;2015;15     32500  ;32500;16000;16000;16492,7;;;;0;16338,5;0;154,2;;
;;2015;15     32901  ;32901;15000;15000;17897,5;;;;0;17601,25;221,25;75;;
;;2015;15     38900  ;38900;30000;30000;32277,11;;;;0;32277,11;0;0;;
;;2015;15     83100  ;83100;45000;45000;34100;;;;0;34100;0;0;;
;;2015;15     34102  ;34102;15500;15500;11050,3;;;;0;11050,3;0;0;;
;;2015;15     34203  ;34203;4000;4000;3151,8;;;;0;3151,8;0;0;;
;;2015;15     34401  ;34401;3000;3000;1715;;;;0;1670;45;0;;
;;2015;15     39100  ;39100;0;0;600;;;;0;600;0;0;;
;;2015;15     46600  ;46600;0;0;0;;;;0;0;0;0;;
;;2015;15     54900  ;54900;5000;5000;0;;;;0;0;0;0;;
;;2015;15     55006  ;55006;8500;8500;10473,23;;;;0;10473,23;0;0;;
;;2015;15     91300  ;91300;2984660;2984660;2984660;;;;0;2984660;0;0;;
;;2015;15     11500  ;11500;2210000;2210000;2207262,89;;;;0;2182667,08;22651,96;1943,85;;
;;2015;15     54100  ;54100;7700;7700;7676,52;;;;0;7676,52;0;0;;
;;2015;15     34103  ;34103;105000;105000;98617,93;;;;0;98361,38;70,88;185,67;;
;;2015;15     34000  ;34000;40000;40000;34421,55;;;;0;34354;0;67,55;;
;;2015;15     11200  ;11200;9700;9700;9655,82;;;;0;9558,05;97,77;0;;
;;2015;15     32900  ;32900;12000;12000;13218,51;;;;0;13218,51;0;0;;
;;2015;15     34400  ;34400;300;300;1724;;;;0;1724;0;0;;
;;2015;15     39710  ;39710;0;971703,35;971703,35;;;;971703,35;971703,35;0;0;;
;;2015;15     42190  ;42190;0;0;537,31;;;;0;537,31;0;0;;
;;2015;15     48002  ;48002;0;0;0;;;;0;-317,91;0;317,91;;
;;2015;15     55004  ;55004;3500;3500;3480,38;;;;0;3480,38;0;0;;
;;2015;15     55005  ;55005;6000;6000;11889,92;;;;0;11889,92;0;0;;
;;2015;15     55007  ;55007;0;0;20374,35;;;;0;20374,35;0;0;;
;;2015;15     39900  ;39900;40000;55264;24132,89;;;;15264;24132,89;0;0;;
;;2015;15     33201  ;33201;13650;13650;0;;;;0;0;0;0;;
;;2015;15     55001  ;55001;5000;5000;0;;;;0;0;0;0;;
;;2015;15     75100  ;75100;0;0;6820;;;;0;6820;0;0;;
;;2015;15     76101  ;76101;0;143324,78;143324,78;;;;143324,78;143324,78;0;0;;
;;2015;15     91100  ;91100;0;175000;154875;;;;175000;154875;0;0;;
;;2015;15     34202  ;34202;625205;625205;695922,26;;;;0;645480,71;107;50334,55;;
;;2015;15     42007  ;42007;690000;690000;741693,06;;;;0;735378,46;0;6314,6;;
;;2015;15     11300  ;11300;13775000;13775000;13972669,29;;;;0;13853923,8;43892,86;74852,63;;
;;2015;15     46100  ;46100;544525;1361415,93;756926,75;;;;816890,93;756926,75;0;0;;
;;2015;15     33903  ;33903;25000;25000;20384,3;;;;0;20384,3;0;0;;
;;2015;15     34301  ;34301;32465;32465;35362,94;;;;0;35140,04;138,75;84,15;;
;;2015;15     34101  ;34101;12400;12400;11422,61;;;;0;11404,61;18;0;;
;;2015;15     34200  ;34200;2000;2000;2480,25;;;;0;2352,75;76,5;51;;
;;2015;15     45000  ;45000;550000;550000;569585,27;;;;0;569585,27;0;0;;
;;2015;15     45390  ;45390;0;14050;9897,89;;;;14050;9897,89;0;0;;
;;2015;15     46500  ;46500;39225;39225;27740,2;;;;0;27740,2;0;0;;
;;2015;15     55000  ;55000;6000;6000;3656,2;;;;0;3656,2;0;0;;
;;2015;15     55003  ;55003;7000;7000;6988,19;;;;0;6988,19;0;0;;
;;2015;15     55303  ;55303;14500;14500;14294,15;;;;0;14294,15;0;0;;
;;2015;15     87000  ;87000;0;1670830,42;0;;;;1670830,42;0;0;0;;
