CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
255;255;Ptge;Fargas;Fargas;0001;0008
259;259;Parc;Falguera;Falguera;;
260;260;C;Falguera;Falguera;0001;0117
261;261;C;Prolongació de Falguera;Prolongació de Falguera;0001;0017
262;262;C;Pere Quart;Pere Quart;0001;0047
265;265;Pl;Felip Alcántara Arellano;Felip Alcántara Arellano;0001;0003
270;270;C;Francesc Sáez;Francesc Sáez;0000;0013
280;280;C;Ventura Gassol;Ventura Gassol;0001;0007
290;290;C;General Manso;General Manso;0001;0070
300;300;Pg;Onze de Setembre;Onze de Setembre;0001;0025
310;310;C;Pi i Margall;Pi i Margall;0001;0061
320;320;C;General Prim;General Prim;0001;0013
330;330;C;Francesc Mestres;Francesc Mestres;0001;0032
340;340;Pl;Ferrer i Guàrdia;Ferrer i Guàrdia;0001;0005
350;350;C;Germans Carreras;Germans Carreras;0002;0016
360;360;C;Germans Lladó;Germans Lladó;0002;0010
365;365;C;Granollers;Granollers;;
368;368;Parc;Grases;Grases;0001;0001
370;370;C;Hospitalet;Hospitalet;0001;0032
380;380;C;Església;Església;0001;0012
382;382;C;Indústria;Indústria;0001;0036
390;390;C;Jacint Verdaguer;Jacint Verdaguer;0001;0039
400;400;C;Jaume Ribas;Jaume Ribas;0001;0037
402;402;Ptge;Jaume Ribas;Jaume Ribas;0002;0006
404;404;C;Jaume Vidal;Jaume Vidal;0001;0049
405;405;C;Joaquim Monmany;Joaquim Monmany;0001;0030
410;410;C;Joaquim Prats;Joaquim Prats;0001;0018
420;420;Pg;Nadal;Nadal;0001;0030
421;421;Parc;Nadal;Nadal;0001;0001
422;422;Ptge;Narcís Monturiol;Narcís Monturiol;0001;0003
430;430;C;Josep M. de Molina;Josep M. de Molina;0001;0044
440;440;C;Josep M. de Sagarra;Josep M. de Sagarra;0001;0012
450;450;C;Josep Ricart;Josep Ricart;0001;0076
452;452;C;Josep Teixidor;Josep Teixidor;0001;0015
455;455;Ptge;Josep Vallès;Josep Vallès;0001;0006
460;460;C;Joan Antoni Samaranch;Joan Antoni Samaranch;0001;0037
470;470;C;Joan Batllori;Joan Batllori;0001;0023
480;480;C;Joan de Batlle;Joan de Batlle;0001;0068
490;490;C;Joan Maragall;Joan Maragall;0001;0200
500;500;C;Joan XXIII;Joan XXIII;0001;0015
502;502;C;Joaquim Castells;Joaquim Castells;0001;0029
505;505;C;Joan Salvat-Papasseit;Joan Salvat-Papasseit;0001;0015
510;510;Ptge;Lleida;Lleida;0001;0010
515;515;Pl;Llibertat;Llibertat;0000;0000
517;517;Parc;Llobregat;Llobregat;0001;0001
520;520;C;Llorenç Martí;Llorenç Martí;0001;0009
530;530;C;Lluís G. Rius;Lluís G. Rius;0001;0055
533;533;C;Manresa;Manresa;;
534;534;C;Mataró;Mataró;0001;0065
535;535;C;Marquès de Monistrol;Marquès de Monistrol;0001;0081
540;540;Rbla;Marquesa de Castellbell;Marquesa de Castellbell;0001;0234
550;550;Pl;Vila;Vila;0001;0012
554;554;Ptge;Massana;Massana;0001;0004
557;557;Ptge;Maties Badia;Maties Badia;0001;0002
560;560;C;Miguel de Cervantes;Miguel de Cervantes;0001;0014
565;565;C;Miquel Coll i Alentorn;Miquel Coll i Alentorn;0001;0024
570;570;Av;Montejurra;Montejurra;0001;0043
575;575;Ptge;Joan Antoni Montobbio;Joan Antoni Montobbio;0001;0002
580;580;C;Verge de la Mercè;Verge de la Mercè;0000;0035
590;590;C;Verge de Montserrat;Verge de Montserrat;0001;0019
600;600;C;Verge de les Neus;Verge de les Neus;0001;0057
610;610;C;Verge del Pilar;Verge del Pilar;0001;0044
620;620;C;Verge de la Salut;Verge de la Salut;0001;0027
630;630;C;Pere Álvarez;Pere Álvarez;0001;0092
633;633;Ptge;Penedès;Penedès;0001;0009
640;640;Pg;Pins;Pins;0001;0053
650;650;C;Pizarro;Pizarro;0001;0011
655;655;C;Pla;Pla;0002;0170
660;660;C;Pou de Sant Pere;Pou de Sant Pere;0001;0035
665;665;Pl;Rafael Alberti;Rafael Alberti;0001;0001
670;670;C;Ramon Ribas;Ramon Ribas;0001;0047
680;680;C;Ramon de Trinxeria;Ramon de Trinxeria;0001;0046
690;690;C;Ramón y Cajal;Ramón y Cajal;0001;0051
700;700;C;Rectoria;Rectoria;0001;0025
705;705;C;Remigi Guix;Remigi Guix;0001;0004
710;710;C;Reverend Martí Duran;Reverend Martí Duran;0001;0036
720;720;C;Picasso;Picasso;0001;0018
725;725;Ptge;Ricard Ribas;Ricard Ribas;0001;0009
728;728;Rier;PAHISSA;PAHISSA;0001;0163
730;730;Ptge;Roig;Roig;0001;0015
740;740;C;Roses;Roses;0001;0115
750;750;C;Rupert Lladó;Rupert Lladó;0001;0064
760;760;Ptge;Sabadell;Sabadell;0001;0009
770;770;C;Sagrament;Sagrament;0001;0016
771;771;Ptge;Sagrament;Sagrament;0001;0007
790;790;Rier;Salut;Salut;0001;0100
800;800;C;Sant Antoni;Sant Antoni;0001;0062
801;801;Pl;Pere Dot;Pere Dot;0000;0000
802;802;Pl;Salut;Salut;0000;0000
810;810;C;Sant Gabriel;Sant Gabriel;0001;0034
820;820;C;Sant Jaume;Sant Jaume;0001;42  
830;830;C;Sant Josep;Sant Josep;0003;0171
840;840;C;Sant Joan;Sant Joan;0001;0023
850;850;Ptge;Sant Joan;Sant Joan;0001;0096
860;860;C;Sant Llorenç;Sant Llorenç;0001;0064
870;870;C;Santa Creu;Santa Creu;0001;0045
880;880;C;Santa Maria;Santa Maria;0001;0088
890;890;C;Carreretes;Carreretes;0001;0022
900;900;C;Santiago Rusiñol;Santiago Rusiñol;0001;0020
901;901;C;Jacint Rius;Jacint Rius;0001;0017
902;902;C;Estelí;Estelí;0001;0043
903;903;C;Daora;Daora;0001;0023
904;904;C;Matilde Bertran i Calopa;Matilde Bertran i Calopa;0001;0056
905;905;C;Clementina Arderiu;Clementina Arderiu;0001;0088
906;906;C;Margarida Xirgu;Margarida Xirgu;0001;0068
907;907;C;Frederica Montseny;Frederica Montseny;0001;0097
908;908;Pl;Villeneuve-le-Roi;Villeneuve-le-Roi;0000;0000
909;909;C;Joan Fuster;Joan Fuster;0001;0046
910;910;C;Serra;Serra;0001;0031
911;911;C;Joan N. García-Nieto;Joan N. García-Nieto;0001;0044
912;912;Ptge;Solà-Sert;Solà-Sert;0001;9999
913;913;C;Jordi Alcaraz;Jordi Alcaraz;0001;0008
914;914;C;Teixidores;Teixidores;0001;0004
915;915;Ptge;Olivera;Olivera;0001;0040
916;916;Ptge;Ametller;Ametller;0001;0061
917;917;Ptge;Garrofer;Garrofer;0001;0050
918;918;Pl;Can Llobera;Can Llobera;0001;0002
919;919;Pl;Can Maginàs;Can Maginàs;0000;0000
920;920;Ptge;Terrassa;Terrassa;0001;0008
921;921;Pl;Lluís Companys;Lluís Companys;0001;8   
922;922;Pl;Sant Joan;Sant Joan;0001;9999
924;924;Pg;Canal;Canal;0001;0009
930;930;C;Torras i Bages;Torras i Bages;0001;0034
940;940;C;Terrisser;Terrisser;0001;0024
950;950;C;Vidal i Ribas;Vidal i Ribas;0001;0038
960;960;Ptge;Vilafranca;Vilafranca;0001;0006
965;965;C;Tirant lo Blanc;Tirant lo Blanc;0001;0041
970;970;C;Dalt;Dalt;0001;0029
991;991;C;Mas Lluí;Mas Lluí;0001;0038
993;993;C;Treball;Treball;0001;0036
999;999;C;Primer de Maig;Primer de Maig;0001;0033
1000;1000;Pl;Xocolatada;Xocolatada;0000;0000
1001;1001;Ptge;Alumini;Alumini;0001;0018
1010;1010;C;Tallers;Tallers;0001;0048
1011;1011;C;JOANA RASPALL;JOANA RASPALL;0001;0054
1012;1012;C;Josep Irla;Josep Irla;0001;0004
1013;1013;C;Josep Tarradellas;Josep Tarradellas;0001;0043
1014;1014;C;Josep Gaspà;Josep Gaspà;0001;0030
1015;1015;Parc;Vuit de Març;Vuit de Març;;
1016;1016;Parc;Mestre Esteve;Mestre Esteve;;
1017;1017;Parc;Can Bertrand;Can Bertrand;;
1018;1018;Parc;Llorenç Sans;Llorenç Sans;;
1019;1019;C;Països Catalans;Països Catalans;0001;0055
1020;1020;C;República;República;0001;0008
1021;1021;C;Maria Noguera;Maria Noguera;0001;0007
1024;1024;Parc;Caterina Albert;Caterina Albert;;
1025;1025;Parc;Mercè Rodoreda;Mercè Rodoreda;;
1026;1026;Ptge;Blanca Bardiera;Blanca Bardiera;0001;0015
1027;1027;Ptge;Rosa Sensat;Rosa Sensat;0030;0031
1028;1028;Parc;Consell d Infants;Consell d Infants;0001;0002
1029;1029;C;Alfons Comín;Alfons Comín;;
1030;1030;Ptge;Catedral;Catedral;;
1031;1031;C;Llorenç Pahissa;Llorenç Pahissa;;
1032;1032;Camí;Riera de Pahissa;Riera de Pahissa;;
1033;1033;Camí;Riera de la Font;Riera de la Font;;
1034;1034;Camí;Riera de la Salut;Riera de la Salut;;
1035;1035;Camí;Primera Riereta;Primera Riereta;;
1036;1036;Camí;Peça de l Oliveres;Peça de l Oliveres;;
1037;1037;Camí;Segona Riereta;Segona Riereta;;
1038;1038;Camí;Riera de Can Miano;Riera de Can Miano;;
1039;1039;Camí;Canal de l Autopista;Canal de l Autopista;;
1040;1040;Camí;Paral·lel a l Autopista;Paral·lel a l Autopista;;
1041;1041;Camí;Ca n Amigó del Clot;Ca n Amigó del Clot;0000;0016
1042;1042;Camí;Can Canaris;Can Canaris;0000;0000
1043;1043;Camí;Torre Abadal;Torre Abadal;;
1044;1044;Camí;Coll de Can Cuiàs;Coll de Can Cuiàs;;
1045;1045;Camí;Can Cuiàs;Can Cuiàs;;
1046;1046;Camí;Ca n Albereda;Ca n Albereda;;
1047;1047;T;Duc;Duc;0000;0001
1048;1048;Camí;Can Pahissa;Can Pahissa;;
1049;1049;Camí;Ca n Albereda a la Torre Abadal;Ca n Albereda a la Torre Abadal;;
1050;1050;T;Cerdanet;Cerdanet;0000;0000
1051;1051;Camí;Salut;Salut;;
1052;1052;Camí;Can Gelabert;Can Gelabert;;
1053;1053;Camí;Riera de la Salut a Sant Just;Riera de la Salut a Sant Just;;
1054;1054;Camí;Can Furriol;Can Furriol;;
1055;1055;Camí;Can Parellada;Can Parellada;;
1056;1056;Camí;Can Messeguer;Can Messeguer;;
1057;1057;Camí;Santa Margarida de Valldonzella;Santa Margarida de Valldonzella;;
1058;1058;Camí;Turó Rodó;Turó Rodó;;
1059;1059;Camí;Font de Can Marc;Font de Can Marc;;
1060;1060;Camí;Torre del Bisbe;Torre del Bisbe;;
1061;1061;Camí;Torre Sargantana;Torre Sargantana;;
1062;1062;Camí;Can Furriol a Santa Creu;Can Furriol a Santa Creu;;
1063;1063;Camí;Santa Creu;Santa Creu;;
1064;1064;Camí;Can Furriol a la Torre Sargantana;Can Furriol a la Torre Sargantana;;
1065;1065;Parc;Torre dels Rosers;Torre dels Rosers;0001;0001
1066;1066;Ctra;Molins de Rei a Vallvidrera;Molins de Rei a Vallvidrera;;
1067;1067;Av;Sol;Sol;0002;0024
1068;1068;C;Filadores;Filadores;0001;0024
1069;1069;C;Can Güell;Can Güell;0001;0039
1070;1070;Pl;Vinyes;Vinyes;0001;0012
1071;1071;Parc;Rosa Si;Rosa Si;;
1072;1072;Ptge;Torre de la Presó;Torre de la Presó;;
1073;1073;Pl;Montserrat Roig;Montserrat Roig;;
1074;1074;Pl;Solidaritat;Solidaritat;;
9036;9036;Pl;Falguera;Falguera;0003;0005
9069;9069;Ptge;Carnicé;Carnicé;0001;9999
