ANY_,MES,TIPUS_TALLER,TALLER,ACTIVITAT,PARTICIPANTS,FID
2015,juliol,idiomes,Bon appétit,"En cuisine,en français",15,50
2016,març,genèric,Tu no ho llencis!,Cuina d'aprofitament,8,51
2015,juliol,genèric,El dia del tast,Vermut,22,52
2016,abril,genèric,Avui cuinem,Cuina de primavera,18,53
2015,juliol,idiomes,Let’s cook!,In English Please,14,54
2016,abril,genèric,Avui cuinem,Vins per Sant Jordi,15,55
2015,setembre,genèric,Avui cuinem,Amb cervesa,18,56
2016,abril,idiomes,Bon appétit,Cuina en francès,12,57
2015,setembre,genèric,Avui cuinem,Amb porc,24,58
2016,abril,infantil,Els cracks de la cuina,Escoles Bressol,15,59
2016,abril,infantil,Els cracks de la cuina,Escoles Bressol,15,60
2015,setembre,infantil,Els cracks de la cuina,Tallers de cuina infantil,78,61
2016,abril,infantil,Els cracks de la cuina,Escola Puig Agut 4t,32,62
2015,setembre,genèric,Tallers de cuina,Cuina saludable,48,63
2016,abril,infantil,Els cracks de la cuina,Escola Puig Agut 3r,40,64
2015,octubre,genèric,Avui cuinem,Pastisseria americana,24,65
2015,octubre,idiomes,Bon appétit,"En cuisine,en français",15,66
2016,abril,genèric,Tu no ho llencis!,Cuina d'aprofitament,10,67
2015,octubre,infantil,Els cracks de la cuina,Tallers de cuina per a joves,3,68
2016,maig,genèric,Avui cuinem,"Ceviches,tàrtars",5,69
2015,octubre,idiomes,Let’s cook!,In English Please,5,70
2016,maig,genèric,Avui cuinem,Hamburgueses,21,71
2015,octubre,genèric,Tu no ho llencis!,La cuina d'aprofitament: conserves,5,72
2016,maig,idiomes,Bon appétit,Cuina en francès,12,73
2015,novembre,genèric,Avui cuinem,Cuina d'aprofitament,24,74
2016,maig,idiomes,Let’s cook!,In English Please,6,75
2015,novembre,genèric,Avui cuinem,Cuina japonesa,21,76
2016,maig,genèric,Tu no ho llencis!,Cuina d'aprofitament,10,77
2015,novembre,idiomes,Bon appétit,"En cuisine,en français",15,78
2016,juny,genèric,Avui cuinem,Ccoca de Sant Joan,21,79
2015,novembre,idiomes,Let’s cook!,In English Please,9,80
2016,juny,genèric,Avui cuinem,Sucs i batuts verds,35,81
2015,desembre,genèric,Avui cuinem,Aquest Nadal no et tanquis a la cuina,23,82
2016,juny,genèric,Avui tastem,Maridatge de cerveses i formatges,26,83
2015,desembre,genèric,Avui cuinem,Postres de Nadal,23,84
2016,juny,idiomes,Bon appétit,"En cuisine,en français",15,85
2015,desembre,genèric,Avui tastem,Mocktails,14,86
2016,juny,idiomes,Let’s cook!,In English Please,15,87
2015,desembre,infantil,Els cracks de la cuina,Escola Puig Agut 5è,36,88
2016,juny,genèric,Tu no ho llencis!,Cuina d'aprofitament,10,89
2015,desembre,infantil,Els cracks de la cuina,Escola Puig Agut 5è,36,90
2016,juliol,genèric,Avui cuinem,A l'hort,30,91
2015,desembre,infantil,Els cracks de la cuina,Escola Puig Agut P3,32,92
2016,juliol,genèric,Avui tastem,Mariscada per totes les butxaques,35,93
2015,desembre,infantil,Els cracks de la cuina,Escola Puig Agut P4,36,94
2016,juliol,genèric,Avui tastem,Gin-tònics,35,95
2015,desembre,infantil,Els cracks de la cuina,Escola Puig Agut P5,36,96
2016,juliol,idiomes,Bon appétit,"En cuisine,en français",15,97
2015,desembre,infantil,Els cracks de la cuina,Escola Quatre Vents 4t,50,98
2015,desembre,genèric,Temps x temps,Intercanvi de cuina,12,99
2016,setembre,genèric,Avui cuinem,Sucs i batuts verds,30,100
2016,octubre,idiomes,Let’s cook!,In English Please,10,101
2016,octubre,genèric,Tu no ho llencis!,Cuina d'aprofitament,14,102
2016,octubre,genèric,Avui cuinem,Cuina Medieval,10,103
2016,octubre,genèric,Avui cuinem,Panellets,23,104
2016,novembre,genèric,Tu no ho llencis!,Cuina d'aprofitament,18,105
2016,novembre,idiomes,Let’s cook!,In English Please,12,106
2016,novembre,genèric,Avui cuinem,Petits fours,31,107
2016,novembre,genèric,Avui cuinem,Pa casolà,28,108
2016,novembre,idiomes,Bon appétit,"En cuisine,en français",15,109
2016,desembre,genèric,Avui cuinem,Canapès creatius,33,110
2016,desembre,genèric,Avui cuinem,Textures xocolata,27,111
