OBJECTID,Campanya,Provincia,Comarca,Municipi,ID_MUN,Grup,Cultiu,Seca_Regad,HA,Shape__Area,Shape__Length
127,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4295,4.67119481e-07,0.002862541997815
128,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1836,1.9954173e-07,0.002119929029235
129,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.2605,1.370998871e-06,0.004979140049489
130,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.159,2.346288047e-06,0.006892558341439
131,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,4.7861,5.205587046e-06,0.013734439315092
132,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,8.1921,8.90926095e-06,0.02484758140749
133,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,4.5352,4.932750259e-06,0.017987127733494
134,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.337,2.541948171e-06,0.00667412061693
135,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.2577,1.367989914e-06,0.004773933067129
136,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9792,1.065028236e-06,0.004647121137034
137,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9166,9.96754414e-07,0.004053917118897
138,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.3244,1.440509662e-06,0.006025213514268
139,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,5.9596,6.482295127e-06,0.015085742296698
140,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.5039,2.72342255e-06,0.009833795891238
141,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,3.1714,3.449488477e-06,0.02131248378474
142,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2478,2.69515022e-07,0.001977539941441
