codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
EP09,AVDA DIPUTACIO. 18,Electricitat Quadres enllumenat,€,ES0031446462245001ZW0F,ENDESA ENERGÍA S.A.U.,82013705854,,8510.57,8960.31,10780.22,11094.05,10287.15,9315.76,86
ESP02,PISCINA COBERTA,Aigua,€,,SOREA,4751714,08/06/2011,2019.61,626.62,,,,,87
EP10,VILACETRU-S/N 1,Electricitat Quadres enllumenat,€,ES0031446462179001LN0F,ENDESA ENERGÍA S.A.U.,82013627991,,1605.73,1778.21,527.9,398.49,358.25,362.8,88
ESP02,PISCINA COBERTA,Aigua,€,,SOREA,4751707,08/06/2011,66.69,22.62,,,,,89
EP11,VOLTREGA 155-2,Electricitat Quadres enllumenat,€,ES0031446462180001VT0F,ENDESA ENERGÍA S.A.U.,82013628750,,1163.46,3443.2,3364.78,2696.67,2546.1,2835.29,90
ESP02,PISCINA COBERTA,Aigua,€,,SOREA,4756431,09/06/2011,8114.31,3898,,,,,91
EP12,AVDA DIPUTACIO DAVANT Nº6,Electricitat Quadres enllumenat,€,ES0031446462012001AS0F,ENDESA ENERGÍA S.A.U.,82013706292,,5688.7,5468.64,6434.84,6021.04,6805.5,5987.54,92
ESP02,PISCINA COBERTA,Electricitat dependències,€,ES0031448323163002TD0F,ENDESA ENERGÍA S.A.U.,82013722221,,1093.78,1371.29,1510.06,1995.58,1671.94,1675.54,93
EP13,PTGE VENDRELL. SN,Electricitat Quadres enllumenat,€,ES0031446461202001EY0F,ENDESA ENERGÍA S.A.U.,82013706634,,5844.01,5834.32,6512.79,6589.56,6919.62,6823.98,94
ESP02,PISCINA COBERTA,Electricitat dependències,€,ES0031448323163001TP0F,ENDESA ENERGÍA S.A.U.,82013722589,,88562.24,95922.22,106734.66,79966.15,68175.21,71365.06,95
EP14,PASSEIG TER S/N PAVELLO ESPORT,Electricitat Quadres enllumenat,€,ES0031446462880001EH0F,ENDESA ENERGÍA S.A.U.,82013642864,,4406.32,7369.95,7440,7664.61,7986.7,7861.61,96
ESP02,PISCINA COBERTA,Gas,€,ES0230010272367478SE,ENDESA ENERGÍA S.A.U.,999405720584,,79184.73,56200.71,65529.34,83660.31,70605.8,70365.06,97
EP15,C/ VAZQUEZ MELLA. 24,Electricitat Quadres enllumenat,€,ES0031408345376001LG0F,ENDESA ENERGÍA S.A.U.,82013646801,,7327.23,7935.82,8125.66,8312.3,8287.64,7481.06,98
EP16,ROMA S/N 4,Electricitat Quadres enllumenat,€,ES0031446460918001WX0F,ENDESA ENERGÍA S.A.U.,82013643245,,3849.63,4056.85,4271.96,5902.39,11093.65,8416.34,99
ESP02,PISCINA COBERTA,Gas,€,ES0217010161679290WQ,ENDESA ENERGÍA S.A.U.,999405720132,,491.66,562.68,1664.11,1628.16,985.16,1221.35,100
EP17,PLAÇA ST HIGINI SN COSTAT Nº3,Electricitat Quadres enllumenat,€,ES0031446461358001LC0F,ENDESA ENERGÍA S.A.U.,82013724514,,8905.68,7097.42,7675.86,7578.37,7262.52,7464.21,101
ESP03,CAMP DE FUTBOL,Aigua,€,,SOREA,4755788,07/06/2011,0,0,,,,,102
EP18,PLAÇA FRA BERNADI S/N,Electricitat Quadres enllumenat,€,ES0031446461073001WJ0F,GAS NATURAL FENOSA,31204013355,08/01/2013,2502.46,1929.84,1616.9,11.64,,,103
ESP03,CAMP DE FUTBOL,Combustibles líquids dependències,€,,,7,,2714.55,,,4304.25,11952.52,9874.47,104
EP19,PÇA FRA BERNADI S/N FONT,Electricitat Quadres enllumenat,€,ES0031446462912001BW0F,FACTOR ENERGÍA,40034739209,21/10/2010,4840.57,,,,,,105
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031446462572001VB0F,ENDESA ENERGÍA S.A.U.,82013723204,,8434.18,8200.95,10029.52,11001.75,13227.65,13777.8,106
EP20,HORTA FONTS/N,Electricitat Quadres enllumenat,€,ES0031446447789001JP0F,ENDESA ENERGÍA S.A.U.,82013707959,,5273.52,5654.52,6671.08,6400.15,5599.36,5606.38,107
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031408215610001BG0F,ENDESA ENERGÍA S.A.U.,82013611791,,1339.35,1321.48,1275,585.25,596.65,668.28,108
